날짜,저수율
2014-01-01,48.8
2014-01-02,48.7
2014-01-03,48.7
2014-01-04,48.7
2014-01-05,48.7
2014-01-06,48.7
2014-01-07,48.6
2014-01-08,48.6
2014-01-09,48.6
2014-01-10,48.6
2014-01-11,48.6
2014-01-12,48.5
2014-01-13,48.5
2014-01-14,48.5
2014-01-15,48.5
2014-01-16,48.5
2014-01-17,48.5
2014-01-18,48.5
2014-01-19,48.5
2014-01-20,48.5
2014-01-21,48.5
2014-01-22,48.5
2014-01-23,48.5
2014-01-24,48.6
2014-01-25,48.6
2014-01-26,48.6
2014-01-27,48.6
2014-01-28,48.7
2014-01-29,48.9
2014-01-30,49.2
2014-01-31,49.6
2014-02-01,49.9
2014-02-02,50.1
2014-02-03,50.2
2014-02-04,50.2
2014-02-05,50.1
2014-02-06,49.9
2014-02-07,49.8
2014-02-08,49.6
2014-02-09,49.4
2014-02-10,49.2
2014-02-11,49.1
2014-02-12,49.0
2014-02-13,48.9
2014-02-14,48.7
2014-02-15,48.6
2014-02-16,48.6
2014-02-17,48.5
2014-02-18,48.5
2014-02-19,48.5
2014-02-20,48.4
2014-02-21,48.4
2014-02-22,48.3
2014-02-23,48.3
2014-02-24,48.3
2014-02-25,48.3
2014-02-26,48.3
2014-02-27,48.4
2014-02-28,48.4
2014-03-01,48.5
2014-03-02,48.5
2014-03-03,48.5
2014-03-04,48.4
2014-03-05,48.3
2014-03-06,48.1
2014-03-07,47.9
2014-03-08,47.7
2014-03-09,47.6
2014-03-10,47.5
2014-03-11,47.5
2014-03-12,47.5
2014-03-13,47.5
2014-03-14,47.4
2014-03-15,47.2
2014-03-16,47.2
2014-03-17,47.2
2014-03-18,47.2
2014-03-19,47.2
2014-03-20,47.3
2014-03-21,47.3
2014-03-22,47.4
2014-03-23,47.7
2014-03-24,47.9
2014-03-25,48.1
2014-03-26,48.3
2014-03-27,48.4
2014-03-28,48.5
2014-03-29,48.5
2014-03-30,48.5
2014-03-31,48.7
2014-04-01,49.0
2014-04-02,49.2
2014-04-03,49.3
2014-04-04,49.4
2014-04-05,49.6
2014-04-06,49.8
2014-04-07,50.0
2014-04-08,50.2
2014-04-09,50.3
2014-04-10,50.5
2014-04-11,50.7
2014-04-12,50.9
2014-04-13,51.0
2014-04-14,51.1
2014-04-15,51.2
2014-04-16,51.3
2014-04-17,51.4
2014-04-18,51.5
2014-04-19,51.6
2014-04-20,51.6
2014-04-21,51.7
2014-04-22,51.7
2014-04-23,51.8
2014-04-24,51.8
2014-04-25,51.9
2014-04-26,51.9
2014-04-27,51.9
2014-04-28,51.9
2014-04-29,51.8
2014-04-30,51.7
2014-05-01,51.5
2014-05-02,51.3
2014-05-03,50.9
2014-05-04,50.4
2014-05-05,49.8
2014-05-06,49.3
2014-05-07,49.0
2014-05-08,48.9
2014-05-09,48.9
2014-05-10,48.9
2014-05-11,48.8
2014-05-12,48.8
2014-05-13,48.8
2014-05-14,48.7
2014-05-15,48.7
2014-05-16,48.6
2014-05-17,48.4
2014-05-18,48.1
2014-05-19,47.8
2014-05-20,47.5
2014-05-21,47.4
2014-05-22,47.2
2014-05-23,46.7
2014-05-24,45.8
2014-05-25,43.8
2014-05-26,41.9
2014-05-27,41.4
2014-05-28,41.0
2014-05-29,39.9
2014-05-30,39.0
2014-05-31,38.9
2014-06-01,38.8
2014-06-02,38.8
2014-06-03,38.8
2014-06-04,38.8
2014-06-05,38.8
2014-06-06,38.8
2014-06-07,38.8
2014-06-08,37.7
2014-06-09,36.3
2014-06-10,35.8
2014-06-11,35.4
2014-06-12,34.8
2014-06-13,34.1
2014-06-14,33.6
2014-06-15,33.1
2014-06-16,32.7
2014-06-17,32.2
2014-06-18,31.8
2014-06-19,31.3
2014-06-20,30.9
2014-06-21,30.6
2014-06-22,30.3
2014-06-23,30.2
2014-06-24,30.2
2014-06-25,30.1
2014-06-26,29.9
2014-06-27,29.6
2014-06-28,29.3
2014-06-29,29.0
2014-06-30,28.7
2014-07-01,28.4
2014-07-02,28.2
2014-07-03,28.2
2014-07-04,28.2
2014-07-05,28.3
2014-07-06,28.3
2014-07-07,28.3
2014-07-08,28.4
2014-07-09,28.4
2014-07-10,28.4
2014-07-11,28.4
2014-07-12,28.4
2014-07-13,28.4
2014-07-14,28.4
2014-07-15,28.4
2014-07-16,28.4
2014-07-17,28.4
2014-07-18,28.4
2014-07-19,28.4
2014-07-20,28.4
2014-07-21,28.4
2014-07-22,28.4
2014-07-23,29.4
2014-07-24,31.8
2014-07-25,38.0
2014-07-26,45.5
2014-07-27,50.9
2014-07-28,54.6
2014-07-29,55.9
2014-07-30,57.3
2014-07-31,64.5
2014-08-01,73.0
2014-08-02,77.5
2014-08-03,81.1
2014-08-04,83.8
2014-08-05,85.7
2014-08-06,87.3
2014-08-07,89.1
2014-08-08,90.6
2014-08-09,92.0
2014-08-10,93.2
2014-08-11,93.7
2014-08-12,93.7
2014-08-13,93.7
2014-08-14,94.8
2014-08-15,95.8
2014-08-16,95.8
2014-08-17,95.8
2014-08-18,95.8
2014-08-19,95.8
2014-08-20,97.9
2014-08-21,100.0
2014-08-22,100.0
2014-08-23,99.9
2014-08-24,99.8
2014-08-25,99.7
2014-08-26,99.6
2014-08-27,99.4
2014-08-28,99.3
2014-08-29,99.1
2014-08-30,98.9
2014-08-31,98.7
2014-09-01,98.5
2014-09-02,98.2
2014-09-03,97.9
2014-09-04,97.7
2014-09-05,97.6
2014-09-06,97.5
2014-09-07,97.2
2014-09-08,96.7
2014-09-09,96.1
2014-09-10,95.5
2014-09-11,95.0
2014-09-12,94.6
2014-09-13,94.3
2014-09-14,94.0
2014-09-15,93.9
2014-09-16,93.9
2014-09-17,93.9
2014-09-18,93.9
2014-09-19,93.9
2014-09-20,93.9
2014-09-21,93.9
2014-09-22,93.9
2014-09-23,93.9
2014-09-24,93.9
2014-09-25,93.9
2014-09-26,93.9
2014-09-27,93.9
2014-09-28,93.9
2014-09-29,93.9
2014-09-30,93.9
2014-10-01,93.9
2014-10-02,93.9
2014-10-03,93.9
2014-10-04,93.9
2014-10-05,93.9
2014-10-06,93.9
2014-10-07,93.9
2014-10-08,93.9
2014-10-09,93.9
2014-10-10,93.9
2014-10-11,93.9
2014-10-12,93.9
2014-10-13,93.9
2014-10-14,93.9
2014-10-15,93.9
2014-10-16,93.9
2014-10-17,93.9
2014-10-18,93.9
2014-10-19,93.9
2014-10-20,93.9
2014-10-21,93.9
2014-10-22,93.9
2014-10-23,93.9
2014-10-24,93.9
2014-10-25,93.9
2014-10-26,93.9
2014-10-27,93.9
2014-10-28,93.9
2014-10-29,93.9
2014-10-30,93.9
2014-10-31,93.9
2014-11-01,93.9
2014-11-02,93.9
2014-11-03,93.9
2014-11-04,93.9
2014-11-05,93.9
2014-11-06,93.9
2014-11-07,93.9
2014-11-08,93.9
2014-11-09,93.9
2014-11-10,93.9
2014-11-11,93.9
2014-11-12,93.9
2014-11-13,93.9
2014-11-14,93.9
2014-11-15,93.9
2014-11-16,93.9
2014-11-17,93.9
2014-11-18,93.9
2014-11-19,93.9
2014-11-20,93.9
2014-11-21,93.9
2014-11-22,93.9
2014-11-23,93.9
2014-11-24,93.9
2014-11-25,93.9
2014-11-26,93.9
2014-11-27,93.9
2014-11-28,93.9
2014-11-29,93.9
2014-11-30,93.9
2014-12-01,93.9
2014-12-02,93.9
2014-12-03,93.9
2014-12-04,93.9
2014-12-05,93.8
2014-12-06,93.8
2014-12-07,93.7
2014-12-08,93.7
2014-12-09,93.7
2014-12-10,93.7
2014-12-11,93.7
2014-12-12,93.7
2014-12-13,93.7
2014-12-14,93.7
2014-12-15,93.7
2014-12-16,93.7
2014-12-17,93.7
2014-12-18,93.7
2014-12-19,93.7
2014-12-20,93.7
2014-12-21,93.7
2014-12-22,93.7
2014-12-23,93.7
2014-12-24,93.7
2014-12-25,93.7
2014-12-26,93.7
2014-12-27,93.7
2014-12-28,93.7
2014-12-29,93.7
2014-12-30,93.7
2014-12-31,93.7
2015-01-01,93.7
2015-01-02,93.7
2015-01-03,93.7
2015-01-04,93.7
2015-01-05,93.7
2015-01-06,93.7
2015-01-07,93.7
2015-01-08,93.7
2015-01-09,93.7
2015-01-10,93.7
2015-01-11,93.7
2015-01-12,93.7
2015-01-13,93.7
2015-01-14,93.7
2015-01-15,93.7
2015-01-16,93.7
2015-01-17,93.7
2015-01-18,93.7
2015-01-19,93.7
2015-01-20,93.7
2015-01-21,93.7
2015-01-22,93.7
2015-01-23,93.7
2015-01-24,93.7
2015-01-25,93.7
2015-01-26,93.7
2015-01-27,93.7
2015-01-28,93.7
2015-01-29,93.7
2015-01-30,93.7
2015-01-31,93.7
2015-02-01,93.7
2015-02-02,93.7
2015-02-03,93.7
2015-02-04,93.7
2015-02-05,93.7
2015-02-06,93.7
2015-02-07,93.7
2015-02-08,93.7
2015-02-09,93.7
2015-02-10,93.7
2015-02-11,93.7
2015-02-12,93.7
2015-02-13,93.7
2015-02-14,93.7
2015-02-15,93.7
2015-02-16,93.7
2015-02-17,93.7
2015-02-18,93.7
2015-02-19,93.7
2015-02-20,93.7
2015-02-21,93.7
2015-02-22,93.7
2015-02-23,93.7
2015-02-24,93.7
2015-02-25,93.7
2015-02-26,93.7
2015-02-27,93.7
2015-02-28,93.7
2015-03-01,93.7
2015-03-02,93.7
2015-03-03,93.7
2015-03-04,93.7
2015-03-05,93.7
2015-03-06,93.7
2015-03-07,93.7
2015-03-08,93.7
2015-03-09,93.7
2015-03-10,93.7
2015-03-11,93.7
2015-03-12,93.7
2015-03-13,93.7
2015-03-14,93.7
2015-03-15,93.7
2015-03-16,93.7
2015-03-17,93.7
2015-03-18,93.7
2015-03-19,93.7
2015-03-20,93.7
2015-03-21,93.7
2015-03-22,93.7
2015-03-23,93.7
2015-03-24,93.7
2015-03-25,93.7
2015-03-26,93.7
2015-03-27,93.7
2015-03-28,93.7
2015-03-29,93.7
2015-03-30,93.7
2015-03-31,93.7
2015-04-01,93.7
2015-04-02,93.7
2015-04-03,93.7
2015-04-04,93.7
2015-04-05,93.7
2015-04-06,93.7
2015-04-07,93.7
2015-04-08,93.7
2015-04-09,93.7
2015-04-10,93.7
2015-04-11,93.7
2015-04-12,93.7
2015-04-13,93.7
2015-04-14,93.7
2015-04-15,93.7
2015-04-16,93.7
2015-04-17,93.7
2015-04-18,93.7
2015-04-19,93.7
2015-04-20,93.7
2015-04-21,93.7
2015-04-22,93.7
2015-04-23,93.7
2015-04-24,93.7
2015-04-25,93.7
2015-04-26,93.7
2015-04-27,93.7
2015-04-28,93.7
2015-04-29,93.7
2015-04-30,93.7
2015-05-01,93.7
2015-05-02,93.8
2015-05-03,94.0
2015-05-04,94.3
2015-05-05,94.7
2015-05-06,95.0
2015-05-07,95.4
2015-05-08,95.8
2015-05-09,96.2
2015-05-10,96.6
2015-05-11,97.1
2015-05-12,97.6
2015-05-13,98.0
2015-05-14,98.5
2015-05-15,98.9
2015-05-16,99.2
2015-05-17,99.6
2015-05-18,99.8
2015-05-19,99.9
2015-05-20,100.0
2015-05-21,100.0
2015-05-22,100.0
2015-05-23,100.0
2015-05-24,100.0
2015-05-25,100.0
2015-05-26,100.0
2015-05-27,100.0
2015-05-28,100.0
2015-05-29,100.0
2015-05-30,100.0
2015-05-31,100.0
2015-06-01,100.0
