날짜,저수율
2014-01-01,64.6
2014-01-02,64.6
2014-01-03,64.6
2014-01-04,64.5
2014-01-05,64.5
2014-01-06,64.4
2014-01-07,64.4
2014-01-08,64.4
2014-01-09,64.4
2014-01-10,64.4
2014-01-11,64.3
2014-01-12,64.3
2014-01-13,64.3
2014-01-14,64.3
2014-01-15,64.3
2014-01-16,64.3
2014-01-17,64.3
2014-01-18,64.3
2014-01-19,64.3
2014-01-20,64.3
2014-01-21,64.3
2014-01-22,64.3
2014-01-23,64.3
2014-01-24,64.2
2014-01-25,64.2
2014-01-26,64.2
2014-01-27,64.2
2014-01-28,64.0
2014-01-29,63.9
2014-01-30,63.9
2014-01-31,63.9
2014-02-01,63.9
2014-02-02,64.0
2014-02-03,64.0
2014-02-04,64.0
2014-02-05,64.0
2014-02-06,64.0
2014-02-07,64.0
2014-02-08,63.9
2014-02-09,63.9
2014-02-10,63.9
2014-02-11,63.9
2014-02-12,62.8
2014-02-13,61.6
2014-02-14,61.7
2014-02-15,61.8
2014-02-16,62.3
2014-02-17,63.1
2014-02-18,63.5
2014-02-19,63.5
2014-02-20,63.5
2014-02-21,63.5
2014-02-22,63.5
2014-02-23,63.5
2014-02-24,63.5
2014-02-25,63.5
2014-02-26,63.4
2014-02-27,63.4
2014-02-28,63.4
2014-03-01,63.4
2014-03-02,63.3
2014-03-03,63.3
2014-03-04,63.1
2014-03-05,62.9
2014-03-06,62.9
2014-03-07,62.9
2014-03-08,63.0
2014-03-09,63.0
2014-03-10,63.0
2014-03-11,63.1
2014-03-12,63.1
2014-03-13,63.2
2014-03-14,63.3
2014-03-15,63.3
2014-03-16,63.5
2014-03-17,65.5
2014-03-18,67.4
2014-03-19,67.5
2014-03-20,67.5
2014-03-21,67.5
2014-03-22,67.6
2014-03-23,67.6
2014-03-24,67.6
2014-03-25,67.7
2014-03-26,68.1
2014-03-27,68.7
2014-03-28,69.2
2014-03-29,69.9
2014-03-30,71.2
2014-03-31,72.7
2014-04-01,74.0
2014-04-02,74.9
2014-04-03,75.4
2014-04-04,75.7
2014-04-05,75.7
2014-04-06,75.7
2014-04-07,75.7
2014-04-08,75.7
2014-04-09,75.8
2014-04-10,76.0
2014-04-11,76.1
2014-04-12,76.1
2014-04-13,76.1
2014-04-14,76.1
2014-04-15,76.2
2014-04-16,76.2
2014-04-17,76.3
2014-04-18,76.3
2014-04-19,76.2
2014-04-20,75.8
2014-04-21,75.5
2014-04-22,75.1
2014-04-23,75.0
2014-04-24,75.0
2014-04-25,75.2
2014-04-26,75.3
2014-04-27,75.5
2014-04-28,75.7
2014-04-29,75.9
2014-04-30,76.0
2014-05-01,76.2
2014-05-02,77.0
2014-05-03,77.6
2014-05-04,77.6
2014-05-05,77.5
2014-05-06,77.4
2014-05-07,77.2
2014-05-08,76.8
2014-05-09,76.5
2014-05-10,76.4
2014-05-11,76.4
2014-05-12,76.3
2014-05-13,76.3
2014-05-14,76.2
2014-05-15,76.0
2014-05-16,75.7
2014-05-17,74.8
2014-05-18,73.6
2014-05-19,72.8
2014-05-20,72.2
2014-05-21,71.9
2014-05-22,71.6
2014-05-23,71.3
2014-05-24,70.8
2014-05-25,69.6
2014-05-26,68.2
2014-05-27,67.2
2014-05-28,66.1
2014-05-29,64.0
2014-05-30,62.2
2014-05-31,61.6
2014-06-01,61.1
2014-06-02,60.3
2014-06-03,59.2
2014-06-04,58.0
2014-06-05,56.7
2014-06-06,55.4
2014-06-07,54.3
2014-06-08,53.3
2014-06-09,52.5
2014-06-10,51.8
2014-06-11,51.1
2014-06-12,50.6
2014-06-13,50.3
2014-06-14,50.0
2014-06-15,48.7
2014-06-16,47.2
2014-06-17,46.3
2014-06-18,45.5
2014-06-19,44.5
2014-06-20,43.7
2014-06-21,43.2
2014-06-22,42.7
2014-06-23,42.2
2014-06-24,41.5
2014-06-25,40.6
2014-06-26,39.2
2014-06-27,37.8
2014-06-28,37.0
2014-06-29,36.3
2014-06-30,35.7
2014-07-01,35.1
2014-07-02,34.8
2014-07-03,34.8
2014-07-04,34.8
2014-07-05,34.7
2014-07-06,34.5
2014-07-07,34.3
2014-07-08,34.1
2014-07-09,34.0
2014-07-10,34.0
2014-07-11,34.0
2014-07-12,34.0
2014-07-13,34.1
2014-07-14,34.1
2014-07-15,35.3
2014-07-16,37.2
2014-07-17,38.6
2014-07-18,40.4
2014-07-19,46.0
2014-07-20,54.2
2014-07-21,59.7
2014-07-22,61.5
2014-07-23,62.6
2014-07-24,63.5
2014-07-25,64.0
2014-07-26,64.0
2014-07-27,64.0
2014-07-28,64.0
2014-07-29,63.9
2014-07-30,63.7
2014-07-31,63.6
2014-08-01,66.6
2014-08-02,73.3
2014-08-03,80.0
2014-08-04,83.0
2014-08-05,82.6
2014-08-06,81.7
2014-08-07,80.7
2014-08-08,80.0
2014-08-09,79.5
2014-08-10,79.1
2014-08-11,78.9
2014-08-12,78.8
2014-08-13,78.8
2014-08-14,78.9
2014-08-15,79.2
2014-08-16,79.5
2014-08-17,79.8
2014-08-18,80.0
2014-08-19,80.1
2014-08-20,80.1
2014-08-21,80.2
2014-08-22,80.2
2014-08-23,80.2
2014-08-24,80.3
2014-08-25,80.4
2014-08-26,80.8
2014-08-27,81.1
2014-08-28,80.8
2014-08-29,79.9
2014-08-30,78.6
2014-08-31,76.9
2014-09-01,75.0
2014-09-02,71.1
2014-09-03,67.4
2014-09-04,66.1
2014-09-05,65.1
2014-09-06,63.7
2014-09-07,62.1
2014-09-08,60.4
2014-09-09,58.8
2014-09-10,57.5
2014-09-11,56.6
2014-09-12,56.2
2014-09-13,55.9
2014-09-14,55.6
2014-09-15,55.0
2014-09-16,52.8
2014-09-17,50.0
2014-09-18,47.9
2014-09-19,46.7
2014-09-20,46.7
2014-09-21,46.7
2014-09-22,46.7
2014-09-23,46.7
2014-09-24,48.2
2014-09-25,50.0
2014-09-26,50.4
2014-09-27,50.7
2014-09-28,50.9
2014-09-29,51.1
2014-09-30,51.2
2014-10-01,51.2
2014-10-02,51.2
2014-10-03,51.1
2014-10-04,51.0
2014-10-05,50.9
2014-10-06,50.7
2014-10-07,50.0
2014-10-08,49.4
2014-10-09,49.4
2014-10-10,49.4
2014-10-11,49.4
2014-10-12,49.4
2014-10-13,48.0
2014-10-14,46.6
2014-10-15,46.6
2014-10-16,46.7
2014-10-17,46.7
2014-10-18,46.8
2014-10-19,46.9
2014-10-20,47.0
2014-10-21,47.1
2014-10-22,47.3
2014-10-23,47.4
2014-10-24,47.6
2014-10-25,47.8
2014-10-26,48.0
2014-10-27,48.4
2014-10-28,48.9
2014-10-29,52.6
2014-10-30,56.0
2014-10-31,55.9
2014-11-01,55.5
2014-11-02,55.0
2014-11-03,52.3
2014-11-04,49.9
2014-11-05,49.8
2014-11-06,49.7
2014-11-07,49.5
2014-11-08,49.3
2014-11-09,49.0
2014-11-10,48.8
2014-11-11,48.8
2014-11-12,48.8
2014-11-13,48.8
2014-11-14,48.9
2014-11-15,48.9
2014-11-16,48.9
2014-11-17,48.9
2014-11-18,48.9
2014-11-19,49.0
2014-11-20,49.0
2014-11-21,49.0
2014-11-22,49.0
2014-11-23,49.0
2014-11-24,49.0
2014-11-25,53.3
2014-11-26,58.3
2014-11-27,59.3
2014-11-28,59.8
2014-11-29,60.0
2014-11-30,60.1
2014-12-01,60.4
2014-12-02,63.5
2014-12-03,66.8
2014-12-04,67.4
2014-12-05,67.8
2014-12-06,68.3
2014-12-07,68.7
2014-12-08,69.1
2014-12-09,69.4
2014-12-10,69.7
2014-12-11,69.9
2014-12-12,70.0
2014-12-13,70.1
