날짜,저수율
2015-02-09,60.0
2015-02-10,60.0
2015-02-11,60.0
2015-02-12,60.0
2015-02-13,60.0
2015-02-14,60.0
2015-02-15,60.0
2015-02-16,60.0
2015-02-17,60.0
2015-02-18,60.0
2015-02-19,60.0
2015-02-20,60.0
2015-02-21,60.0
2015-02-22,60.0
2015-02-23,60.0
2015-02-24,60.0
2015-02-25,60.0
2015-02-26,60.0
2015-02-27,60.0
2015-02-28,60.0
2015-03-01,60.0
2015-03-02,60.0
2015-03-03,60.0
2015-03-04,60.0
2015-03-05,60.0
2015-03-06,60.0
2015-03-07,60.0
2015-03-08,60.0
2015-03-09,60.0
2015-03-10,60.0
2015-03-11,60.0
2015-03-12,60.0
2015-03-13,60.0
2015-03-14,60.5
2015-03-15,61.8
2015-03-16,63.2
2015-03-17,64.5
2015-03-18,65.0
2015-03-19,65.0
2015-03-20,65.0
2015-03-21,65.0
2015-03-22,65.0
2015-03-23,65.0
2015-03-24,65.0
2015-03-25,65.0
2015-03-26,65.0
2015-03-27,65.0
2015-03-28,65.0
2015-03-29,65.0
2015-03-30,65.0
2015-03-31,65.0
2015-04-01,65.0
2015-04-02,65.0
2015-04-03,65.0
2015-04-04,65.0
2015-04-05,65.0
2015-04-06,65.0
2015-04-07,65.0
2015-04-08,65.0
2015-04-09,65.0
2015-04-10,65.2
2015-04-11,65.7
2015-04-12,66.4
2015-04-13,67.2
2015-04-14,68.0
2015-04-15,68.8
2015-04-16,69.9
2015-04-17,71.0
2015-04-18,72.2
2015-04-19,73.3
2015-04-20,74.2
2015-04-21,74.8
2015-04-22,75.0
2015-04-23,75.0
2015-04-24,75.0
2015-04-25,75.0
2015-04-26,75.0
2015-04-27,75.0
2015-04-28,75.0
2015-04-29,75.0
2015-04-30,75.0
2015-05-01,75.0
2015-05-02,75.0
2015-05-03,75.0
2015-05-04,75.0
2015-05-05,75.0
2015-05-06,75.0
2015-05-07,75.0
2015-05-08,75.0
2015-05-09,75.0
2015-05-10,75.0
2015-05-11,75.0
2015-05-12,75.0
2015-05-13,75.0
2015-05-14,75.0
2015-05-15,75.0
2015-05-16,75.0
2015-05-17,75.0
2015-05-18,75.0
2015-05-19,75.0
2015-05-20,75.0
2015-05-21,75.0
2015-05-22,74.6
2015-05-23,73.7
2015-05-24,72.4
2015-05-25,71.1
2015-05-26,70.0
2015-05-27,69.1
2015-05-28,68.1
2015-05-29,67.1
2015-05-30,66.0
2015-05-31,65.0
2015-06-01,64.0
2015-06-02,63.1
2015-06-03,62.3
2015-06-04,61.5
2015-06-05,60.9
2015-06-06,60.4
2015-06-07,60.1
2015-06-08,60.0
2015-06-09,60.0
2015-06-10,60.0
2015-06-11,60.0
2015-06-12,60.0
2015-06-13,60.0
2015-06-14,60.0
2015-06-15,60.0
2015-06-16,60.0
2015-06-17,60.0
2015-06-18,60.0
2015-06-19,60.0
2015-06-20,60.0
2015-06-21,60.0
2015-06-22,60.0
2015-06-23,60.0
2015-06-24,60.0
2015-06-25,60.0
2015-06-26,60.0
2015-06-27,60.0
2015-06-28,60.0
2015-06-29,60.0
2015-06-30,60.0
2015-07-01,60.0
2015-07-02,60.0
2015-07-03,60.0
2015-07-04,60.0
2015-07-05,60.3
2015-07-06,61.2
2015-07-07,62.4
2015-07-08,63.7
2015-07-09,65.0
2015-07-10,66.4
2015-07-11,68.2
2015-07-12,70.2
2015-07-13,72.5
2015-07-14,74.8
2015-07-15,77.2
2015-07-16,79.6
2015-07-17,82.0
2015-07-18,84.1
2015-07-19,86.0
2015-07-20,87.7
2015-07-21,88.9
2015-07-22,89.7
2015-07-23,90.0
2015-07-24,90.0
2015-07-25,90.0
2015-07-26,90.0
2015-07-27,90.0
2015-07-28,90.0
2015-07-29,90.0
2015-07-30,87.5
2015-07-31,85.0
2015-08-01,85.0
2015-08-02,85.0
2015-08-03,83.2
2015-08-04,80.0
2015-08-05,76.1
2015-08-06,73.0
2015-08-07,71.8
2015-08-08,70.8
2015-08-09,70.2
2015-08-10,70.0
2015-08-11,70.0
2015-08-12,70.0
2015-08-13,70.0
2015-08-14,70.0
2015-08-15,70.0
2015-08-16,70.0
2015-08-17,70.0
2015-08-18,70.0
2015-08-19,70.0
2015-08-20,70.0
2015-08-21,70.0
2015-08-22,70.5
2015-08-23,71.8
2015-08-24,73.2
2015-08-25,74.5
2015-08-26,75.0
2015-08-27,75.0
2015-08-28,75.0
2015-08-29,75.0
2015-08-30,75.0
2015-08-31,75.0
2015-09-01,75.0
2015-09-02,75.0
2015-09-03,75.0
2015-09-04,75.0
2015-09-05,75.0
2015-09-06,75.0
2015-09-07,74.0
2015-09-08,71.5
2015-09-09,68.5
2015-09-10,66.0
2015-09-11,65.0
2015-09-12,65.0
2015-09-13,65.0
2015-09-14,65.0
2015-09-15,65.0
2015-09-16,65.0
2015-09-17,65.0
2015-09-18,65.0
2015-09-19,65.0
2015-09-20,65.0
2015-09-21,65.0
2015-09-22,65.0
2015-09-23,65.0
2015-09-24,65.0
2015-09-25,65.0
2015-09-26,65.0
2015-09-27,65.0
2015-09-28,65.0
2015-09-29,65.0
2015-09-30,65.0
2015-10-01,65.0
2015-10-02,65.0
2015-10-03,65.0
2015-10-04,65.0
2015-10-05,65.0
2015-10-06,65.0
2015-10-07,65.0
2015-10-08,65.0
2015-10-09,65.0
2015-10-10,65.0
2015-10-11,65.0
2015-10-12,65.0
2015-10-13,65.0
2015-10-14,65.0
2015-10-15,65.0
2015-10-16,65.0
2015-10-17,65.0
2015-10-18,65.0
2015-10-19,65.0
2015-10-20,65.0
2015-10-21,65.0
2015-10-22,65.0
2015-10-23,65.0
2015-10-24,65.0
2015-10-25,65.0
2015-10-26,65.0
2015-10-27,65.0
2015-10-28,65.0
2015-10-29,65.0
2015-10-30,65.0
2015-10-31,65.0
2015-11-01,65.0
2015-11-02,65.0
2015-11-03,65.0
2015-11-04,65.0
2015-11-05,65.0
2015-11-06,65.0
2015-11-07,65.0
2015-11-08,65.4
2015-11-09,66.5
2015-11-10,67.8
2015-11-11,69.1
2015-11-12,70.0
2015-11-13,70.6
2015-11-14,71.2
2015-11-15,71.8
2015-11-16,72.4
2015-11-17,72.9
2015-11-18,73.4
2015-11-19,73.9
2015-11-20,74.3
2015-11-21,74.6
2015-11-22,74.8
2015-11-23,74.9
2015-11-24,75.0
2015-11-25,75.0
2015-11-26,75.0
2015-11-27,75.0
2015-11-28,75.0
2015-11-29,75.0
2015-11-30,75.0
2015-12-01,75.0
2015-12-02,75.0
2015-12-03,75.0
2015-12-04,75.0
2015-12-05,75.0
2015-12-06,75.0
2015-12-07,75.1
2015-12-08,75.4
2015-12-09,75.6
2015-12-10,75.9
2015-12-11,76.0
2015-12-12,76.0
2015-12-13,76.0
2015-12-14,76.0
2015-12-15,76.0
2015-12-16,76.0
2015-12-17,76.0
2015-12-18,76.0
2015-12-19,76.0
2015-12-20,76.0
2015-12-21,76.0
2015-12-22,76.0
2015-12-23,76.0
2015-12-24,76.0
2015-12-25,76.0
2015-12-26,76.0
2015-12-27,76.0
2015-12-28,76.0
2015-12-29,76.0
2015-12-30,76.0
2015-12-31,76.0
2016-01-01,76.0
2016-01-02,76.0
2016-01-03,76.0
2016-01-04,76.0
2016-01-05,76.0
2016-01-06,76.0
2016-01-07,76.0
2016-01-08,76.0
2016-01-09,76.0
2016-01-10,76.0
2016-01-11,76.0
2016-01-12,76.0
2016-01-13,76.0
2016-01-14,76.0
2016-01-15,76.0
2016-01-16,76.0
2016-01-17,76.0
2016-01-18,76.0
2016-01-19,76.0
2016-01-20,76.0
2016-01-21,76.0
2016-01-22,76.0
2016-01-23,76.0
2016-01-24,76.0
2016-01-25,76.0
2016-01-26,76.0
2016-01-27,76.0
2016-01-28,76.1
2016-01-29,76.4
2016-01-30,76.6
2016-01-31,76.9
2016-02-01,77.0
2016-02-02,76.3
2016-02-03,74.7
2016-02-04,72.4
2016-02-05,69.8
2016-02-06,67.5
2016-02-07,65.9
2016-02-08,65.2
2016-02-09,67.0
2016-02-10,71.1
2016-02-11,75.2
2016-02-12,77.0
2016-02-13,77.0
2016-02-14,77.0
2016-02-15,77.0
2016-02-16,77.0
2016-02-17,77.0
2016-02-18,77.0
2016-02-19,77.0
2016-02-20,77.0
2016-02-21,77.0
2016-02-22,77.0
2016-02-23,77.0
2016-02-24,77.0
2016-02-25,77.0
2016-02-26,77.0
2016-02-27,77.0
2016-02-28,77.0
2016-02-29,77.0
2016-03-01,77.0
2016-03-02,77.0
2016-03-03,77.0
2016-03-04,77.0
2016-03-05,77.0
2016-03-06,77.0
2016-03-07,77.0
2016-03-08,77.0
2016-03-09,77.0
2016-03-10,77.0
2016-03-11,77.0
2016-03-12,77.0
2016-03-13,77.0
2016-03-14,77.0
2016-03-15,77.0
2016-03-16,77.0
2016-03-17,77.0
2016-03-18,77.0
2016-03-19,77.0
2016-03-20,77.0
2016-03-21,77.0
2016-03-22,77.0
2016-03-23,77.0
2016-03-24,77.0
2016-03-25,77.0
2016-03-26,77.0
2016-03-27,77.0
2016-03-28,77.0
2016-03-29,77.0
2016-03-30,77.0
2016-03-31,77.0
2016-04-01,77.0
2016-04-02,77.0
2016-04-03,77.0
2016-04-04,77.0
2016-04-05,77.0
2016-04-06,77.0
2016-04-07,77.0
2016-04-08,77.0
2016-04-09,77.0
2016-04-10,77.0
2016-04-11,77.0
2016-04-12,77.0
2016-04-13,77.0
2016-04-14,77.0
2016-04-15,77.0
2016-04-16,77.0
2016-04-17,77.0
2016-04-18,77.0
2016-04-19,77.0
2016-04-20,77.0
2016-04-21,77.0
2016-04-22,77.0
2016-04-23,77.0
2016-04-24,77.0
2016-04-25,77.0
2016-04-26,77.0
2016-04-27,77.0
2016-04-28,77.0
2016-04-29,77.0
2016-04-30,77.0
2016-05-01,77.0
2016-05-02,77.0
2016-05-03,77.0
2016-05-04,77.0
2016-05-05,77.0
2016-05-06,77.0
2016-05-07,77.0
2016-05-08,77.0
2016-05-09,77.0
2016-05-10,77.0
2016-05-11,77.0
2016-05-12,77.0
2016-05-13,77.0
2016-05-14,77.0
2016-05-15,77.0
2016-05-16,77.0
2016-05-17,77.0
2016-05-18,77.0
2016-05-19,77.0
2016-05-20,77.0
2016-05-21,77.0
2016-05-22,77.0
2016-05-23,77.0
2016-05-24,77.0
2016-05-25,77.0
2016-05-26,77.0
2016-05-27,77.0
2016-05-28,77.0
2016-05-29,77.0
2016-05-30,76.8
2016-05-31,76.3
2016-06-01,75.7
2016-06-02,75.2
2016-06-03,75.0
2016-06-04,75.0
2016-06-05,75.0
2016-06-06,75.0
2016-06-07,61.2
2016-06-08,44.0
2016-06-09,38.6
2016-06-10,35.0
2016-06-11,31.7
2016-06-12,29.0
2016-06-13,27.7
2016-06-14,27.7
2016-06-15,27.6
2016-06-16,27.5
2016-06-17,27.3
2016-06-18,27.1
2016-06-19,26.9
2016-06-20,26.7
2016-06-21,26.5
2016-06-22,26.3
2016-06-23,26.1
2016-06-24,26.0
2016-06-25,25.9
2016-06-26,25.9
2016-06-27,25.8
2016-06-28,25.9
2016-06-29,26.0
2016-06-30,26.2
2016-07-01,26.5
2016-07-02,26.9
2016-07-03,27.3
2016-07-04,27.8
2016-07-05,29.2
2016-07-06,30.4
2016-07-07,30.4
2016-07-08,30.4
2016-07-09,30.4
2016-07-10,30.2
2016-07-11,29.9
2016-07-12,29.7
2016-07-13,29.5
2016-07-14,29.1
2016-07-15,28.5
2016-07-16,27.8
2016-07-17,27.1
2016-07-18,26.8
2016-07-19,26.8
2016-07-20,27.0
2016-07-21,27.1
2016-07-22,27.2
2016-07-23,27.0
2016-07-24,26.6
2016-07-25,26.1
2016-07-26,25.8
2016-07-27,25.7
2016-07-28,25.7
2016-07-29,25.6
2016-07-30,25.6
2016-07-31,25.5
2016-08-01,25.5
2016-08-02,25.4
2016-08-03,25.4
2016-08-04,25.4
2016-08-05,25.3
2016-08-06,25.3
2016-08-07,25.3
2016-08-08,25.3
2016-08-09,25.3
2016-08-10,25.2
2016-08-11,25.2
2016-08-12,25.2
2016-08-13,25.2
2016-08-14,25.2
2016-08-15,25.1
2016-08-16,25.1
2016-08-17,25.0
2016-08-18,25.0
2016-08-19,24.9
2016-08-20,24.6
2016-08-21,24.3
2016-08-22,23.9
2016-08-23,23.6
2016-08-24,23.3
2016-08-25,23.1
2016-08-26,23.0
2016-08-27,23.0
2016-08-28,23.0
2016-08-29,21.5
2016-08-30,20.0
2016-08-31,20.0
2016-09-01,20.0
2016-09-02,20.0
2016-09-03,24.6
2016-09-04,31.7
2016-09-05,37.6
2016-09-06,40.9
2016-09-07,40.7
2016-09-08,40.1
2016-09-09,39.3
2016-09-10,38.2
2016-09-11,37.0
2016-09-12,35.6
2016-09-13,34.2
2016-09-14,32.9
2016-09-15,31.7
2016-09-16,30.6
2016-09-17,29.7
2016-09-18,29.2
2016-09-19,29.0
2016-09-20,29.5
2016-09-21,30.9
2016-09-22,32.5
2016-09-23,33.9
2016-09-24,34.7
2016-09-25,35.5
2016-09-26,36.5
2016-09-27,38.0
2016-09-28,40.0
2016-09-29,42.4
2016-09-30,45.5
2016-10-01,50.0
2016-10-02,56.1
2016-10-03,62.8
2016-10-04,68.8
2016-10-05,73.3
2016-10-06,75.0
2016-10-07,74.7
2016-10-08,74.0
2016-10-09,73.3
2016-10-10,73.0
2016-10-11,73.0
2016-10-12,73.0
2016-10-13,73.0
2016-10-14,73.0
2016-10-15,73.0
2016-10-16,73.0
2016-10-17,73.7
2016-10-18,75.5
2016-10-19,78.0
2016-10-20,84.7
2016-10-21,90.0
2016-10-22,89.5
2016-10-23,88.3
2016-10-24,87.1
2016-10-25,86.5
2016-10-26,86.4
2016-10-27,86.3
2016-10-28,86.2
2016-10-29,86.1
2016-10-30,86.0
2016-10-31,86.0
2016-11-01,86.0
2016-11-02,86.0
2016-11-03,86.0
2016-11-04,86.0
2016-11-05,86.0
2016-11-06,86.0
2016-11-07,89.0
2016-11-08,92.0
2016-11-09,92.0
2016-11-10,92.0
2016-11-11,92.0
2016-11-12,92.0
2016-11-13,92.0
2016-11-14,92.0
2016-11-15,92.0
2016-11-16,92.0
2016-11-17,92.0
2016-11-18,92.0
2016-11-19,92.0
2016-11-20,92.0
2016-11-21,92.0
2016-11-22,92.0
2016-11-23,92.0
2016-11-24,92.0
2016-11-25,92.0
2016-11-26,92.0
2016-11-27,92.0
2016-11-28,92.0
2016-11-29,92.0
2016-11-30,92.1
2016-12-01,92.1
2016-12-02,92.2
2016-12-03,92.2
2016-12-04,92.2
2016-12-05,92.1
2016-12-06,92.1
2016-12-07,92.0
2016-12-08,91.9
2016-12-09,91.7
2016-12-10,91.4
2016-12-11,91.1
2016-12-12,90.8
2016-12-13,90.5
2016-12-14,90.2
2016-12-15,90.1
2016-12-16,90.0
2016-12-17,90.0
2016-12-18,90.0
2016-12-19,90.0
2016-12-20,88.3
2016-12-21,86.0
2016-12-22,84.7
2016-12-23,84.0
2016-12-24,84.1
2016-12-25,84.4
2016-12-26,84.8
2016-12-27,85.2
2016-12-28,85.6
2016-12-29,85.9
2016-12-30,86.0
2016-12-31,86.0
2017-01-01,86.0
2017-01-02,86.0
2017-01-03,88.2
2017-01-04,93.0
2017-01-05,97.8
2017-01-06,100.0
2017-01-07,100.0
2017-01-08,100.0
2017-01-09,100.0
2017-01-10,100.0
2017-01-11,100.0
2017-01-12,100.0
2017-01-13,100.0
2017-01-14,100.0
2017-01-15,100.0
2017-01-16,100.0
2017-01-17,100.0
2017-01-18,100.0
