날짜,저수율
2014-01-01,100.0
2014-01-02,100.0
2014-01-03,100.0
2014-01-04,100.0
2014-01-05,100.0
2014-01-06,100.0
2014-01-07,100.0
2014-01-08,100.0
2014-01-09,100.0
2014-01-10,100.0
2014-01-11,100.0
2014-01-12,100.0
2014-01-13,100.0
2014-01-14,100.0
2014-01-15,100.0
2014-01-16,100.0
2014-01-17,100.0
2014-01-18,100.0
2014-01-19,100.0
2014-01-20,100.0
2014-01-21,100.0
2014-01-22,100.0
2014-01-23,100.0
2014-01-24,100.0
2014-01-25,100.0
2014-01-26,100.0
2014-01-27,100.0
2014-01-28,100.0
2014-01-29,100.0
2014-01-30,100.0
2014-01-31,100.0
2014-02-01,100.0
2014-02-02,100.0
2014-02-03,99.8
2014-02-04,99.4
2014-02-05,98.8
2014-02-06,98.3
2014-02-07,98.0
2014-02-08,97.8
2014-02-09,97.7
2014-02-10,97.5
2014-02-11,97.4
2014-02-12,97.3
2014-02-13,97.2
2014-02-14,97.1
2014-02-15,97.0
2014-02-16,97.0
2014-02-17,97.0
2014-02-18,97.0
2014-02-19,97.0
2014-02-20,97.0
2014-02-21,97.0
2014-02-22,97.0
2014-02-23,97.0
2014-02-24,97.0
2014-02-25,97.0
2014-02-26,96.2
2014-02-27,94.8
2014-02-28,94.0
2014-03-01,94.0
2014-03-02,94.0
2014-03-03,93.2
2014-03-04,92.0
2014-03-05,91.4
2014-03-06,91.0
2014-03-07,90.7
2014-03-08,90.5
2014-03-09,90.3
2014-03-10,90.0
2014-03-11,89.6
2014-03-12,89.2
2014-03-13,89.0
2014-03-14,89.2
2014-03-15,89.5
2014-03-16,89.8
2014-03-17,90.0
2014-03-18,90.0
2014-03-19,90.0
2014-03-20,90.0
2014-03-21,90.0
2014-03-22,90.0
2014-03-23,90.0
2014-03-24,90.0
2014-03-25,90.0
2014-03-26,90.0
2014-03-27,90.0
2014-03-28,90.0
2014-03-29,90.0
2014-03-30,90.0
2014-03-31,90.0
2014-04-01,90.0
2014-04-02,90.0
2014-04-03,90.0
2014-04-04,90.0
2014-04-05,90.1
2014-04-06,90.2
2014-04-07,90.4
2014-04-08,90.7
2014-04-09,91.0
2014-04-10,91.5
2014-04-11,92.0
2014-04-12,92.3
2014-04-13,92.6
2014-04-14,92.8
2014-04-15,93.0
2014-04-16,93.2
2014-04-17,93.3
2014-04-18,93.5
2014-04-19,93.6
2014-04-20,93.7
2014-04-21,93.8
2014-04-22,93.9
2014-04-23,94.0
2014-04-24,94.0
2014-04-25,94.0
2014-04-26,93.9
2014-04-27,93.9
2014-04-28,93.8
2014-04-29,93.7
2014-04-30,93.6
2014-05-01,93.4
2014-05-02,93.3
2014-05-03,93.2
2014-05-04,93.1
2014-05-05,93.1
2014-05-06,93.0
2014-05-07,93.0
2014-05-08,93.0
2014-05-09,93.0
2014-05-10,93.0
2014-05-11,93.0
2014-05-12,93.0
2014-05-13,92.3
2014-05-14,91.0
2014-05-15,89.2
2014-05-16,88.0
2014-05-17,88.0
2014-05-18,88.0
2014-05-19,87.7
2014-05-20,87.0
2014-05-21,86.0
2014-05-22,83.7
2014-05-23,81.0
2014-05-24,79.6
2014-05-25,78.5
2014-05-26,77.0
2014-05-27,74.3
2014-05-28,71.0
2014-05-29,67.4
2014-05-30,65.0
2014-05-31,64.4
2014-06-01,64.0
2014-06-02,63.7
2014-06-03,63.4
2014-06-04,63.0
2014-06-05,62.5
2014-06-06,62.0
2014-06-07,61.5
2014-06-08,60.8
2014-06-09,60.0
2014-06-10,58.6
2014-06-11,57.0
2014-06-12,55.4
2014-06-13,54.0
2014-06-14,53.3
2014-06-15,52.8
2014-06-16,52.0
2014-06-17,48.9
2014-06-18,45.0
2014-06-19,42.0
2014-06-20,40.0
2014-06-21,39.3
2014-06-22,38.8
2014-06-23,38.5
2014-06-24,38.2
2014-06-25,37.9
2014-06-26,37.5
2014-06-27,37.0
2014-06-28,35.9
2014-06-29,34.6
2014-06-30,34.0
2014-07-01,34.0
2014-07-02,34.0
2014-07-03,34.0
2014-07-04,34.0
2014-07-05,34.0
2014-07-06,34.0
2014-07-07,34.0
2014-07-08,34.0
2014-07-09,34.0
2014-07-10,34.0
2014-07-11,34.0
2014-07-12,34.0
2014-07-13,34.0
2014-07-14,34.0
2014-07-15,34.0
2014-07-16,34.0
2014-07-17,34.0
2014-07-18,34.0
2014-07-19,34.0
2014-07-20,34.0
2014-07-21,34.0
