날짜,저수율
2014-01-01,78.0
2014-01-02,78.0
2014-01-03,78.0
2014-01-04,78.0
2014-01-05,78.0
2014-01-06,78.0
2014-01-07,78.0
2014-01-08,78.0
2014-01-09,78.0
2014-01-10,78.0
2014-01-11,78.0
2014-01-12,78.0
2014-01-13,78.0
2014-01-14,78.0
2014-01-15,78.0
2014-01-16,78.0
2014-01-17,78.0
2014-01-18,78.0
2014-01-19,78.0
2014-01-20,78.0
2014-01-21,78.0
2014-01-22,78.0
2014-01-23,78.0
2014-01-24,78.0
2014-01-25,78.0
2014-01-26,78.0
2014-01-27,78.0
2014-01-28,78.0
2014-01-29,78.0
2014-01-30,78.0
2014-01-31,78.0
2014-02-01,78.0
2014-02-02,78.0
2014-02-03,78.0
2014-02-04,78.0
2014-02-05,78.0
2014-02-06,78.0
2014-02-07,78.0
2014-02-08,78.0
2014-02-09,78.0
2014-02-10,78.0
2014-02-11,78.0
2014-02-12,78.0
2014-02-13,78.0
2014-02-14,78.0
2014-02-15,78.0
2014-02-16,78.0
2014-02-17,78.0
2014-02-18,78.0
2014-02-19,78.0
2014-02-20,78.0
2014-02-21,78.0
2014-02-22,78.0
2014-02-23,78.0
2014-02-24,78.0
2014-02-25,78.0
2014-02-26,78.0
2014-02-27,78.0
2014-02-28,78.0
2014-03-01,78.0
2014-03-02,78.0
2014-03-03,78.0
2014-03-04,78.0
2014-03-05,78.0
2014-03-06,78.0
2014-03-07,78.0
2014-03-08,78.0
2014-03-09,78.0
2014-03-10,78.0
2014-03-11,78.0
2014-03-12,78.0
2014-03-13,78.0
2014-03-14,78.0
2014-03-15,78.0
2014-03-16,78.0
2014-03-17,78.0
2014-03-18,78.0
2014-03-19,78.0
2014-03-20,78.0
2014-03-21,78.0
2014-03-22,78.0
2014-03-23,78.0
2014-03-24,78.0
2014-03-25,78.0
2014-03-26,78.0
2014-03-27,78.0
2014-03-28,78.0
2014-03-29,78.0
2014-03-30,78.0
2014-03-31,78.0
2014-04-01,78.0
2014-04-02,78.0
2014-04-03,78.0
2014-04-04,78.0
2014-04-05,78.0
2014-04-06,78.0
2014-04-07,78.0
2014-04-08,78.0
2014-04-09,78.0
2014-04-10,78.0
2014-04-11,78.0
2014-04-12,78.0
2014-04-13,78.0
2014-04-14,78.0
2014-04-15,78.0
2014-04-16,78.0
2014-04-17,78.0
2014-04-18,78.0
2014-04-19,78.0
2014-04-20,78.0
2014-04-21,78.0
2014-04-22,78.0
2014-04-23,78.0
2014-04-24,78.0
2014-04-25,78.0
2014-04-26,78.0
2014-04-27,78.0
2014-04-28,78.0
2014-04-29,78.0
2014-04-30,78.0
2014-05-01,78.0
2014-05-02,78.0
2014-05-03,78.0
2014-05-04,78.0
2014-05-05,78.0
2014-05-06,78.0
2014-05-07,78.0
2014-05-08,78.0
2014-05-09,78.0
2014-05-10,78.0
2014-05-11,78.0
2014-05-12,78.0
2014-05-13,78.0
2014-05-14,78.0
2014-05-15,78.0
2014-05-16,78.0
2014-05-17,78.0
2014-05-18,78.0
2014-05-19,78.0
2014-05-20,78.0
2014-05-21,78.0
2014-05-22,78.0
2014-05-23,78.0
2014-05-24,78.0
2014-05-25,78.0
2014-05-26,78.0
2014-05-27,78.0
2014-05-28,78.0
2014-05-29,78.0
2014-05-30,78.0
2014-05-31,78.0
2014-06-01,78.0
2014-06-02,78.0
2014-06-03,78.0
2014-06-04,78.0
2014-06-05,78.0
2014-06-06,78.0
2014-06-07,78.0
2014-06-08,78.0
2014-06-09,78.0
2014-06-10,78.0
2014-06-11,78.0
2014-06-12,78.0
2014-06-13,78.0
2014-06-14,78.0
2014-06-15,78.0
2014-06-16,78.0
2014-06-17,78.0
2014-06-18,78.0
2014-06-19,78.0
2014-06-20,78.0
2014-06-21,78.0
2014-06-22,78.0
2014-06-23,78.0
2014-06-24,78.0
2014-06-25,78.0
2014-06-26,77.0
2014-06-27,74.5
2014-06-28,71.5
2014-06-29,69.0
2014-06-30,68.0
2014-07-01,68.0
2014-07-02,68.0
2014-07-03,68.0
2014-07-04,68.0
2014-07-05,68.0
2014-07-06,68.0
2014-07-07,68.0
2014-07-08,68.0
2014-07-09,68.0
2014-07-10,68.0
2014-07-11,68.0
2014-07-12,67.0
2014-07-13,64.5
2014-07-14,61.5
2014-07-15,59.0
2014-07-16,58.0
2014-07-17,58.0
2014-07-18,58.0
2014-07-19,58.0
2014-07-20,58.0
2014-07-21,58.0
2014-07-22,58.0
2014-07-23,58.0
2014-07-24,58.0
2014-07-25,58.0
2014-07-26,58.0
2014-07-27,58.0
2014-07-28,58.0
2014-07-29,58.0
2014-07-30,58.0
2014-07-31,60.8
2014-08-01,67.5
2014-08-02,75.5
2014-08-03,82.2
2014-08-04,85.0
2014-08-05,85.0
2014-08-06,85.0
2014-08-07,85.0
2014-08-08,85.0
2014-08-09,85.0
2014-08-10,85.0
2014-08-11,85.0
2014-08-12,85.0
2014-08-13,85.0
2014-08-14,85.0
2014-08-15,85.0
2014-08-16,85.0
2014-08-17,85.0
2014-08-18,85.0
2014-08-19,85.0
2014-08-20,85.0
2014-08-21,85.0
2014-08-22,85.0
2014-08-23,85.0
2014-08-24,85.0
2014-08-25,85.0
2014-08-26,85.0
2014-08-27,85.0
2014-08-28,85.0
2014-08-29,85.0
2014-08-30,85.0
2014-08-31,85.0
2014-09-01,85.0
2014-09-02,85.0
2014-09-03,85.0
2014-09-04,85.0
2014-09-05,85.0
2014-09-06,85.0
2014-09-07,85.0
2014-09-08,85.0
2014-09-09,85.0
2014-09-10,85.0
2014-09-11,85.0
2014-09-12,85.0
2014-09-13,85.0
2014-09-14,85.0
2014-09-15,85.0
2014-09-16,85.0
2014-09-17,85.0
2014-09-18,85.0
