날짜,저수율
2018-03-12,70.2
2018-03-13,71.6
2018-03-14,72.7
2018-03-15,73.6
2018-03-16,74.3
2018-03-17,74.9
2018-03-18,75.4
2018-03-19,75.9
2018-03-20,76.4
2018-03-21,77.0
2018-03-22,77.3
2018-03-23,77.3
2018-03-24,77.3
2018-03-25,77.3
2018-03-26,77.9
2018-03-27,78.8
2018-03-28,79.2
2018-03-29,79.4
2018-03-30,79.4
2018-03-31,79.4
2018-04-01,79.6
2018-04-02,79.9
2018-04-03,80.1
2018-04-04,80.4
2018-04-05,81.2
2018-04-06,82.5
2018-04-07,84.1
2018-04-08,86.0
2018-04-09,87.5
2018-04-10,88.5
2018-04-11,89.4
2018-04-12,89.9
2018-04-13,90.1
2018-04-14,90.4
2018-04-15,91.7
2018-04-16,93.4
2018-04-17,94.6
2018-04-18,95.5
2018-04-19,96.2
2018-04-20,96.8
2018-04-21,97.3
2018-04-22,97.8
2018-04-23,98.3
2018-04-24,99.3
2018-04-25,100.0
2018-04-26,99.9
2018-04-27,99.7
2018-04-28,99.5
2018-04-29,99.2
2018-04-30,98.8
2018-05-01,98.5
2018-05-02,98.3
2018-05-03,98.1
2018-05-04,98.0
2018-05-05,98.0
2018-05-06,98.0
2018-05-07,98.0
2018-05-08,96.4
2018-05-09,93.5
2018-05-10,91.8
2018-05-11,91.7
2018-05-12,91.6
2018-05-13,91.1
2018-05-14,90.6
2018-05-15,90.7
2018-05-16,90.8
2018-05-17,91.2
2018-05-18,91.9
2018-05-19,92.9
2018-05-20,94.0
2018-05-21,95.0
2018-05-22,96.4
2018-05-23,97.3
2018-05-24,97.3
2018-05-25,97.3
2018-05-26,97.3
2018-05-27,97.3
2018-05-28,97.3
2018-05-29,94.4
2018-05-30,90.4
2018-05-31,88.6
2018-06-01,87.1
2018-06-02,85.4
2018-06-03,83.7
2018-06-04,82.9
2018-06-05,82.8
2018-06-06,82.7
2018-06-07,82.3
2018-06-08,81.8
2018-06-09,81.4
2018-06-10,81.1
2018-06-11,80.9
2018-06-12,80.8
2018-06-13,80.6
2018-06-14,80.0
2018-06-15,79.3
2018-06-16,78.9
2018-06-17,78.6
2018-06-18,78.3
2018-06-19,77.9
2018-06-20,77.4
2018-06-21,77.0
2018-06-22,76.7
2018-06-23,76.6
2018-06-24,76.6
2018-06-25,76.6
2018-06-26,76.7
2018-06-27,76.7
2018-06-28,77.4
2018-06-29,78.0
2018-06-30,78.0
2018-07-01,78.0
2018-07-02,89.0
2018-07-03,100.0
2018-07-04,99.9
2018-07-05,99.6
2018-07-06,99.1
2018-07-07,98.5
2018-07-08,97.9
2018-07-09,97.2
2018-07-10,96.4
2018-07-11,95.3
2018-07-12,93.9
2018-07-13,92.2
2018-07-14,90.3
2018-07-15,88.3
2018-07-16,86.4
2018-07-17,84.5
2018-07-18,83.3
2018-07-19,83.1
2018-07-20,83.0
2018-07-21,82.8
2018-07-22,82.4
2018-07-23,82.1
2018-07-24,81.7
2018-07-25,81.3
2018-07-26,80.9
2018-07-27,80.4
2018-07-28,80.0
2018-07-29,79.6
2018-07-30,79.2
2018-07-31,78.7
2018-08-01,78.1
2018-08-02,77.6
2018-08-03,77.1
2018-08-04,76.6
2018-08-05,76.2
2018-08-06,75.7
2018-08-07,75.1
2018-08-08,74.6
2018-08-09,74.3
2018-08-10,74.1
2018-08-11,73.7
2018-08-12,73.2
2018-08-13,72.7
2018-08-14,72.4
2018-08-15,72.1
2018-08-16,71.3
2018-08-17,70.3
2018-08-18,69.7
2018-08-19,69.1
2018-08-20,68.6
2018-08-21,68.0
2018-08-22,67.5
2018-08-23,67.3
2018-08-24,67.4
2018-08-25,67.7
2018-08-26,68.3
2018-08-27,69.2
2018-08-28,84.9
2018-08-29,100.0
2018-08-30,100.0
2018-08-31,99.9
2018-09-01,99.8
2018-09-02,99.7
2018-09-03,99.5
2018-09-04,99.3
2018-09-05,99.0
2018-09-06,98.7
2018-09-07,98.4
2018-09-08,98.0
2018-09-09,97.6
2018-09-10,97.1
2018-09-11,95.8
2018-09-12,93.7
2018-09-13,91.9
2018-09-14,90.9
2018-09-15,89.8
2018-09-16,86.8
2018-09-17,83.2
2018-09-18,80.7
2018-09-19,78.4
2018-09-20,75.5
2018-09-21,73.7
2018-09-22,73.8
2018-09-23,74.0
2018-09-24,74.3
2018-09-25,74.6
2018-09-26,75.0
2018-09-27,75.3
2018-09-28,75.7
2018-09-29,76.0
2018-09-30,76.3
2018-10-01,76.5
2018-10-02,76.5
2018-10-03,76.6
2018-10-04,77.0
2018-10-05,77.6
2018-10-06,77.9
2018-10-07,78.1
2018-10-08,77.9
2018-10-09,77.6
2018-10-10,77.5
2018-10-11,77.5
2018-10-12,77.7
2018-10-13,78.0
2018-10-14,78.4
2018-10-15,78.8
2018-10-16,79.1
2018-10-17,79.3
2018-10-18,79.5
2018-10-19,79.7
2018-10-20,80.0
2018-10-21,80.3
2018-10-22,80.5
2018-10-23,80.7
2018-10-24,80.8
2018-10-25,81.0
2018-10-26,81.3
2018-10-27,81.5
2018-10-28,81.8
2018-10-29,81.9
2018-10-30,81.9
2018-10-31,82.0
2018-11-01,82.2
2018-11-02,82.5
2018-11-03,82.7
2018-11-04,82.8
2018-11-05,83.0
2018-11-06,83.7
2018-11-07,84.7
2018-11-08,85.8
2018-11-09,86.2
2018-11-10,86.2
2018-11-11,86.2
2018-11-12,88.8
2018-11-13,92.0
2018-11-14,92.9
2018-11-15,93.4
2018-11-16,93.9
2018-11-17,94.5
2018-11-18,95.0
2018-11-19,95.4
2018-11-20,95.7
2018-11-21,96.0
2018-11-22,96.1
2018-11-23,96.2
2018-11-24,96.4
2018-11-25,96.9
2018-11-26,97.4
2018-11-27,97.7
2018-11-28,97.9
2018-11-29,98.0
2018-11-30,98.2
2018-12-01,98.2
2018-12-02,98.1
2018-12-03,97.7
2018-12-04,97.1
2018-12-05,95.4
2018-12-06,92.9
2018-12-07,90.7
2018-12-08,88.5
2018-12-09,86.3
2018-12-10,84.2
2018-12-11,82.0
2018-12-12,80.2
2018-12-13,78.8
2018-12-14,78.1
2018-12-15,78.3
2018-12-16,78.6
2018-12-17,78.9
