날짜,저수율
2014-01-01,98.8
2014-01-02,98.8
2014-01-03,98.8
2014-01-04,98.8
2014-01-05,98.8
2014-01-06,98.8
2014-01-07,98.8
2014-01-08,98.8
2014-01-09,98.9
2014-01-10,98.9
2014-01-11,99.0
2014-01-12,99.0
2014-01-13,99.0
2014-01-14,98.9
2014-01-15,98.9
2014-01-16,98.8
2014-01-17,98.8
2014-01-18,98.8
2014-01-19,98.8
2014-01-20,98.8
2014-01-21,98.8
2014-01-22,98.8
2014-01-23,98.8
2014-01-24,98.8
2014-01-25,98.8
2014-01-26,98.8
2014-01-27,98.8
2014-01-28,98.8
2014-01-29,98.8
2014-01-30,98.8
2014-01-31,98.8
2014-02-01,98.8
2014-02-02,98.8
2014-02-03,98.8
2014-02-04,98.8
2014-02-05,98.8
2014-02-06,98.8
2014-02-07,98.8
2014-02-08,98.8
2014-02-09,98.8
2014-02-10,98.8
2014-02-11,98.8
2014-02-12,98.8
2014-02-13,98.8
2014-02-14,98.8
2014-02-15,98.8
2014-02-16,98.8
2014-02-17,98.8
2014-02-18,98.8
2014-02-19,98.8
2014-02-20,98.8
2014-02-21,98.8
2014-02-22,98.8
2014-02-23,98.8
2014-02-24,98.8
2014-02-25,98.8
2014-02-26,98.8
2014-02-27,98.8
2014-02-28,98.8
2014-03-01,98.8
2014-03-02,98.8
2014-03-03,98.8
2014-03-04,98.8
2014-03-05,98.8
2014-03-06,98.8
2014-03-07,98.8
2014-03-08,98.8
2014-03-09,98.8
2014-03-10,98.8
2014-03-11,98.8
2014-03-12,98.8
2014-03-13,98.8
2014-03-14,98.8
2014-03-15,98.8
2014-03-16,98.8
2014-03-17,98.8
2014-03-18,98.8
2014-03-19,98.8
2014-03-20,98.8
2014-03-21,98.8
2014-03-22,98.8
2014-03-23,98.9
2014-03-24,99.1
2014-03-25,99.2
2014-03-26,99.2
2014-03-27,99.2
2014-03-28,99.2
2014-03-29,99.1
2014-03-30,99.1
2014-03-31,99.0
2014-04-01,98.9
2014-04-02,98.8
2014-04-03,98.8
2014-04-04,98.8
2014-04-05,98.8
2014-04-06,98.8
2014-04-07,98.8
2014-04-08,98.8
2014-04-09,98.8
2014-04-10,98.8
2014-04-11,98.8
2014-04-12,98.8
2014-04-13,98.8
2014-04-14,98.8
2014-04-15,98.7
2014-04-16,98.7
2014-04-17,98.6
2014-04-18,98.6
2014-04-19,98.6
2014-04-20,98.7
2014-04-21,98.8
2014-04-22,98.9
2014-04-23,99.0
2014-04-24,99.1
2014-04-25,99.2
2014-04-26,99.3
2014-04-27,99.4
2014-04-28,99.4
2014-04-29,99.4
2014-04-30,99.2
2014-05-01,99.1
2014-05-02,99.0
2014-05-03,98.9
2014-05-04,98.8
2014-05-05,98.7
2014-05-06,98.6
2014-05-07,98.6
2014-05-08,98.6
2014-05-09,98.7
2014-05-10,98.9
2014-05-11,99.0
2014-05-12,99.0
2014-05-13,99.0
2014-05-14,98.9
2014-05-15,98.8
2014-05-16,98.6
2014-05-17,97.2
2014-05-18,95.2
2014-05-19,94.0
2014-05-20,93.0
2014-05-21,92.0
2014-05-22,91.5
2014-05-23,91.5
