날짜,저수율
2014-01-01,73.6
2014-01-02,73.6
2014-01-03,73.6
2014-01-04,73.6
2014-01-05,73.6
2014-01-06,73.5
2014-01-07,73.2
2014-01-08,73.0
2014-01-09,72.7
2014-01-10,72.6
2014-01-11,72.6
2014-01-12,72.6
2014-01-13,72.6
2014-01-14,72.6
2014-01-15,72.6
2014-01-16,72.6
2014-01-17,72.6
2014-01-18,72.6
2014-01-19,72.6
2014-01-20,72.6
2014-01-21,72.6
2014-01-22,72.6
2014-01-23,72.6
2014-01-24,72.6
2014-01-25,72.6
2014-01-26,72.6
2014-01-27,72.6
2014-01-28,72.6
2014-01-29,72.6
2014-01-30,72.6
2014-01-31,72.6
2014-02-01,72.6
2014-02-02,72.6
2014-02-03,72.6
2014-02-04,72.6
2014-02-05,72.6
2014-02-06,72.6
2014-02-07,72.6
2014-02-08,72.6
2014-02-09,72.6
2014-02-10,72.6
2014-02-11,72.6
2014-02-12,72.6
2014-02-13,72.6
2014-02-14,72.6
2014-02-15,72.6
2014-02-16,72.6
2014-02-17,72.6
2014-02-18,72.6
2014-02-19,72.6
2014-02-20,72.6
2014-02-21,72.6
2014-02-22,72.6
2014-02-23,72.6
2014-02-24,72.6
2014-02-25,72.6
2014-02-26,72.6
2014-02-27,72.6
2014-02-28,72.6
2014-03-01,72.6
2014-03-02,72.6
2014-03-03,72.6
2014-03-04,72.6
2014-03-05,72.6
2014-03-06,72.6
2014-03-07,72.6
2014-03-08,72.6
2014-03-09,72.6
2014-03-10,72.6
2014-03-11,72.6
2014-03-12,72.6
2014-03-13,74.3
2014-03-14,76.6
2014-03-15,78.0
2014-03-16,79.2
2014-03-17,80.1
2014-03-18,80.5
2014-03-19,80.5
2014-03-20,80.5
2014-03-21,80.5
2014-03-22,80.5
2014-03-23,80.5
2014-03-24,80.5
2014-03-25,80.5
2014-03-26,82.3
2014-03-27,84.6
2014-03-28,85.7
2014-03-29,86.6
2014-03-30,87.2
2014-03-31,87.4
2014-04-01,87.4
2014-04-02,87.4
2014-04-03,87.4
2014-04-04,87.4
2014-04-05,87.4
2014-04-06,87.4
2014-04-07,87.4
2014-04-08,87.4
2014-04-09,87.4
2014-04-10,87.4
2014-04-11,87.4
2014-04-12,87.4
2014-04-13,87.4
2014-04-14,87.5
2014-04-15,87.7
2014-04-16,88.0
2014-04-17,88.3
2014-04-18,88.5
2014-04-19,88.6
2014-04-20,88.7
2014-04-21,88.8
2014-04-22,88.8
2014-04-23,88.9
2014-04-24,89.0
2014-04-25,89.1
2014-04-26,89.2
2014-04-27,89.4
2014-04-28,89.6
2014-04-29,94.9
2014-04-30,100.0
2014-05-01,100.0
2014-05-02,99.9
2014-05-03,99.7
2014-05-04,99.5
2014-05-05,99.3
2014-05-06,99.1
2014-05-07,98.9
2014-05-08,98.7
2014-05-09,98.5
2014-05-10,98.4
2014-05-11,98.3
2014-05-12,98.2
2014-05-13,98.0
2014-05-14,97.8
2014-05-15,97.0
2014-05-16,95.9
2014-05-17,95.2
2014-05-18,94.6
2014-05-19,93.9
2014-05-20,92.7
2014-05-21,91.3
2014-05-22,89.6
2014-05-23,88.1
2014-05-24,87.3
2014-05-25,86.9
2014-05-26,86.3
2014-05-27,85.3
2014-05-28,80.2
2014-05-29,75.6
2014-05-30,75.3
2014-05-31,75.1
2014-06-01,75.0
2014-06-02,75.0
2014-06-03,74.9
2014-06-04,74.8
2014-06-05,74.6
2014-06-06,74.3
2014-06-07,73.9
2014-06-08,73.4
2014-06-09,73.0
2014-06-10,72.6
2014-06-11,72.2
2014-06-12,71.5
2014-06-13,70.6
2014-06-14,69.9
2014-06-15,69.2
2014-06-16,68.5
2014-06-17,67.5
2014-06-18,66.7
2014-06-19,66.4
2014-06-20,66.1
2014-06-21,65.9
2014-06-22,65.7
2014-06-23,65.7
2014-06-24,65.7
2014-06-25,65.7
2014-06-26,63.5
2014-06-27,60.8
2014-06-28,59.9
2014-06-29,59.2
2014-06-30,59.0
2014-07-01,59.0
2014-07-02,59.0
2014-07-03,59.0
2014-07-04,59.0
2014-07-05,59.0
2014-07-06,59.0
2014-07-07,59.0
2014-07-08,59.0
2014-07-09,59.0
2014-07-10,59.0
2014-07-11,59.0
2014-07-12,59.0
2014-07-13,59.0
2014-07-14,59.1
2014-07-15,59.5
2014-07-16,59.8
2014-07-17,60.2
2014-07-18,60.3
2014-07-19,60.3
2014-07-20,60.3
2014-07-21,60.3
2014-07-22,58.2
2014-07-23,55.5
2014-07-24,54.3
2014-07-25,53.1
2014-07-26,52.2
2014-07-27,51.4
2014-07-28,50.7
2014-07-29,50.3
2014-07-30,50.2
2014-07-31,55.2
2014-08-01,67.0
2014-08-02,81.0
2014-08-03,92.8
2014-08-04,97.8
2014-08-05,97.7
2014-08-06,97.5
2014-08-07,97.1
2014-08-08,96.8
2014-08-09,96.4
2014-08-10,96.0
2014-08-11,95.8
2014-08-12,95.7
2014-08-13,96.0
2014-08-14,96.8
2014-08-15,97.9
2014-08-16,98.9
2014-08-17,99.7
2014-08-18,100.0
2014-08-19,99.9
2014-08-20,99.6
2014-08-21,99.2
2014-08-22,98.7
2014-08-23,98.1
2014-08-24,97.6
2014-08-25,97.0
2014-08-26,96.5
2014-08-27,96.1
2014-08-28,95.8
2014-08-29,95.7
2014-08-30,95.7
2014-08-31,95.7
2014-09-01,94.2
2014-09-02,92.4
2014-09-03,91.9
2014-09-04,91.6
2014-09-05,91.3
2014-09-06,90.9
2014-09-07,90.5
2014-09-08,90.1
2014-09-09,89.7
2014-09-10,89.3
2014-09-11,88.9
2014-09-12,88.4
2014-09-13,88.0
2014-09-14,87.5
2014-09-15,87.0
2014-09-16,86.3
2014-09-17,85.9
2014-09-18,85.9
2014-09-19,86.0
2014-09-20,86.0
2014-09-21,86.1
2014-09-22,86.3
2014-09-23,86.5
2014-09-24,86.7
2014-09-25,87.0
2014-09-26,89.2
2014-09-27,91.3
2014-09-28,90.8
2014-09-29,89.8
2014-09-30,88.7
2014-10-01,88.1
2014-10-02,88.0
