날짜,저수율
2014-01-01,2.6
2014-01-02,8.4
2014-01-03,16.3
2014-01-04,19.8
2014-01-05,22.5
2014-01-06,24.6
2014-01-07,26.1
2014-01-08,27.5
2014-01-09,29.3
2014-01-10,30.5
2014-01-11,30.7
2014-01-12,30.8
2014-01-13,31.0
2014-01-14,31.8
2014-01-15,32.8
2014-01-16,33.7
2014-01-17,34.5
2014-01-18,35.4
2014-01-19,36.3
2014-01-20,37.2
2014-01-21,38.1
2014-01-22,39.0
2014-01-23,39.8
2014-01-24,40.7
2014-01-25,41.7
2014-01-26,42.7
2014-01-27,43.7
2014-01-28,44.5
2014-01-29,45.3
2014-01-30,46.3
2014-01-31,47.4
2014-02-01,48.6
2014-02-02,49.7
2014-02-03,50.8
2014-02-04,51.7
2014-02-05,52.6
2014-02-06,53.3
2014-02-07,54.3
2014-02-08,57.5
2014-02-09,62.8
2014-02-10,67.3
2014-02-11,70.2
2014-02-12,72.8
2014-02-13,75.6
2014-02-14,78.3
2014-02-15,80.7
2014-02-16,83.1
2014-02-17,86.4
2014-02-18,94.2
2014-02-19,100.0
2014-02-20,100.0
2014-02-21,100.0
2014-02-22,100.0
2014-02-23,100.0
2014-02-24,100.0
2014-02-25,100.0
2014-02-26,100.0
2014-02-27,100.0
2014-02-28,100.0
2014-03-01,100.0
2014-03-02,100.0
2014-03-03,100.0
2014-03-04,100.0
2014-03-05,100.0
2014-03-06,100.0
2014-03-07,100.0
2014-03-08,100.0
2014-03-09,100.0
2014-03-10,100.0
2014-03-11,100.0
2014-03-12,100.0
2014-03-13,100.0
2014-03-14,100.0
2014-03-15,100.0
2014-03-16,100.0
2014-03-17,100.0
2014-03-18,100.0
2014-03-19,100.0
2014-03-20,100.0
2014-03-21,100.0
2014-03-22,100.0
2014-03-23,100.0
2014-03-24,100.0
2014-03-25,100.0
2014-03-26,100.0
2014-03-27,100.0
2014-03-28,100.0
2014-03-29,100.0
2014-03-30,100.0
2014-03-31,100.0
2014-04-01,100.0
2014-04-02,100.0
2014-04-03,100.0
2014-04-04,100.0
2014-04-05,100.0
2014-04-06,100.0
2014-04-07,100.0
2014-04-08,100.0
2014-04-09,100.0
2014-04-10,100.0
2014-04-11,100.0
2014-04-12,100.0
2014-04-13,100.0
2014-04-14,100.0
2014-04-15,100.0
2014-04-16,100.0
2014-04-17,100.0
2014-04-18,100.0
2014-04-19,100.0
2014-04-20,100.0
2014-04-21,100.0
2014-04-22,100.0
2014-04-23,100.0
2014-04-24,100.0
2014-04-25,100.0
2014-04-26,100.0
2014-04-27,100.0
2014-04-28,100.0
2014-04-29,100.0
2014-04-30,100.0
2014-05-01,100.0
2014-05-02,100.0
2014-05-03,100.0
2014-05-04,100.0
2014-05-05,100.0
2014-05-06,100.0
2014-05-07,100.0
2014-05-08,100.0
2014-05-09,100.0
2014-05-10,100.0
2014-05-11,100.0
2014-05-12,100.0
2014-05-13,100.0
2014-05-14,100.0
2014-05-15,100.0
2014-05-16,100.0
2014-05-17,100.0
2014-05-18,100.0
2014-05-19,100.0
2014-05-20,100.0
2014-05-21,100.0
2014-05-22,100.0
2014-05-23,100.0
2014-05-24,100.0
2014-05-25,100.0
2014-05-26,100.0
2014-05-27,100.0
2014-05-28,100.0
2014-05-29,100.0
2014-05-30,100.0
2014-05-31,100.0
2014-06-01,100.0
