날짜,저수율
2014-01-01,99.9
2014-01-02,99.9
2014-01-03,99.9
2014-01-04,99.9
2014-01-05,99.9
2014-01-06,99.9
2014-01-07,99.9
2014-01-08,99.9
2014-01-09,99.9
2014-01-10,99.9
2014-01-11,99.9
2014-01-12,99.9
2014-01-13,99.9
2014-01-14,99.9
2014-01-15,99.9
2014-01-16,99.9
2014-01-17,99.9
2014-01-18,99.9
2014-01-19,99.9
2014-01-20,99.9
2014-01-21,99.9
2014-01-22,99.9
2014-01-23,99.9
2014-01-24,99.9
2014-01-25,99.9
2014-01-26,99.9
2014-01-27,99.9
2014-01-28,99.9
2014-01-29,99.9
2014-01-30,99.9
2014-01-31,99.9
2014-02-01,99.8
2014-02-02,99.7
2014-02-03,99.5
2014-02-04,99.4
2014-02-05,99.3
2014-02-06,99.3
2014-02-07,99.3
2014-02-08,99.3
2014-02-09,99.3
2014-02-10,99.3
2014-02-11,99.3
2014-02-12,99.3
2014-02-13,99.3
2014-02-14,99.3
2014-02-15,99.3
2014-02-16,99.3
2014-02-17,99.3
2014-02-18,99.3
2014-02-19,99.3
2014-02-20,99.3
2014-02-21,99.3
2014-02-22,99.2
2014-02-23,99.1
2014-02-24,98.9
2014-02-25,98.8
2014-02-26,98.7
2014-02-27,98.8
2014-02-28,99.0
2014-03-01,99.2
2014-03-02,99.3
2014-03-03,99.2
2014-03-04,99.1
2014-03-05,98.9
2014-03-06,98.8
2014-03-07,98.7
2014-03-08,98.8
2014-03-09,99.0
2014-03-10,99.4
2014-03-11,99.7
2014-03-12,99.9
2014-03-13,100.0
2014-03-14,100.0
2014-03-15,100.0
2014-03-16,99.9
2014-03-17,99.9
2014-03-18,99.6
2014-03-19,99.3
2014-03-20,99.3
2014-03-21,99.4
2014-03-22,99.5
2014-03-23,99.7
2014-03-24,99.8
2014-03-25,99.9
2014-03-26,100.0
2014-03-27,100.0
2014-03-28,100.0
2014-03-29,100.0
2014-03-30,100.0
2014-03-31,100.0
2014-04-01,100.0
2014-04-02,100.0
2014-04-03,100.0
2014-04-04,100.0
2014-04-05,100.0
2014-04-06,100.0
2014-04-07,100.0
2014-04-08,100.0
2014-04-09,100.0
2014-04-10,100.0
2014-04-11,100.0
2014-04-12,100.0
2014-04-13,100.0
2014-04-14,100.0
2014-04-15,99.8
2014-04-16,99.7
2014-04-17,99.5
2014-04-18,99.3
2014-04-19,99.2
2014-04-20,99.0
2014-04-21,98.8
2014-04-22,98.1
2014-04-23,96.8
2014-04-24,93.7
2014-04-25,91.4
2014-04-26,92.5
2014-04-27,94.5
2014-04-28,95.6
2014-04-29,94.8
2014-04-30,93.2
2014-05-01,91.5
2014-05-02,90.7
2014-05-03,90.7
2014-05-04,90.8
2014-05-05,90.8
2014-05-06,90.9
2014-05-07,91.0
2014-05-08,91.2
2014-05-09,91.4
2014-05-10,92.0
2014-05-11,93.2
2014-05-12,96.3
2014-05-13,98.7
2014-05-14,98.5
2014-05-15,98.0
2014-05-16,97.1
2014-05-17,96.0
2014-05-18,94.7
2014-05-19,93.2
2014-05-20,89.8
2014-05-21,87.1
2014-05-22,87.6
2014-05-23,88.3
2014-05-24,88.7
2014-05-25,89.1
2014-05-26,89.6
2014-05-27,90.9
2014-05-28,92.6
2014-05-29,94.8
2014-05-30,96.2
2014-05-31,96.2
2014-06-01,96.2
2014-06-02,96.2
2014-06-03,96.2
2014-06-04,95.9
2014-06-05,95.6
2014-06-06,95.9
2014-06-07,96.2
2014-06-08,95.8
2014-06-09,95.0
2014-06-10,93.9
2014-06-11,93.2
2014-06-12,93.2
2014-06-13,93.2
2014-06-14,93.2
2014-06-15,93.7
2014-06-16,94.8
2014-06-17,95.6
2014-06-18,96.0
2014-06-19,96.2
2014-06-20,95.1
2014-06-21,92.6
2014-06-22,90.0
2014-06-23,88.9
2014-06-24,89.4
2014-06-25,90.6
2014-06-26,92.2
2014-06-27,93.8
2014-06-28,96.1
2014-06-29,98.7
2014-06-30,100.0
2014-07-01,99.4
2014-07-02,97.9
2014-07-03,95.8
2014-07-04,93.3
2014-07-05,91.0
2014-07-06,89.0
2014-07-07,87.7
2014-07-08,86.9
2014-07-09,86.5
2014-07-10,86.7
2014-07-11,87.2
2014-07-12,87.7
2014-07-13,88.0
2014-07-14,88.3
2014-07-15,88.7
2014-07-16,88.9
2014-07-17,88.9
2014-07-18,88.9
2014-07-19,89.2
2014-07-20,89.5
2014-07-21,89.5
2014-07-22,89.5
2014-07-23,89.5
2014-07-24,89.5
2014-07-25,89.5
2014-07-26,89.5
2014-07-27,89.5
2014-07-28,89.5
2014-07-29,89.9
2014-07-30,90.7
2014-07-31,93.1
2014-08-01,95.1
2014-08-02,95.1
2014-08-03,95.1
2014-08-04,95.1
2014-08-05,92.3
2014-08-06,89.5
2014-08-07,89.5
2014-08-08,89.5
2014-08-09,89.5
2014-08-10,89.5
2014-08-11,89.5
2014-08-12,89.5
2014-08-13,89.5
2014-08-14,89.5
2014-08-15,89.5
2014-08-16,89.5
2014-08-17,89.5
2014-08-18,89.5
2014-08-19,89.5
2014-08-20,89.5
2014-08-21,89.5
2014-08-22,89.5
2014-08-23,89.5
2014-08-24,89.5
2014-08-25,89.5
2014-08-26,89.5
2014-08-27,89.5
2014-08-28,89.5
2014-08-29,89.5
2014-08-30,89.5
2014-08-31,89.5
2014-09-01,89.5
2014-09-02,89.5
2014-09-03,89.5
2014-09-04,89.8
2014-09-05,90.1
2014-09-06,90.1
2014-09-07,90.0
2014-09-08,89.9
2014-09-09,89.8
2014-09-10,89.7
2014-09-11,89.6
2014-09-12,89.6
2014-09-13,89.5
2014-09-14,89.5
2014-09-15,89.5
2014-09-16,89.5
2014-09-17,89.5
2014-09-18,89.5
2014-09-19,89.5
2014-09-20,89.5
2014-09-21,89.5
2014-09-22,89.5
2014-09-23,89.5
2014-09-24,89.5
2014-09-25,89.5
2014-09-26,89.5
2014-09-27,89.5
2014-09-28,89.5
2014-09-29,89.5
2014-09-30,89.6
2014-10-01,89.6
2014-10-02,89.6
2014-10-03,89.6
2014-10-04,89.6
2014-10-05,89.5
2014-10-06,89.5
2014-10-07,89.5
2014-10-08,89.4
2014-10-09,89.4
2014-10-10,89.4
2014-10-11,89.4
2014-10-12,89.4
2014-10-13,89.5
2014-10-14,89.5
2014-10-15,89.5
2014-10-16,89.5
2014-10-17,89.6
2014-10-18,89.6
2014-10-19,89.6
2014-10-20,89.6
2014-10-21,89.6
2014-10-22,89.6
2014-10-23,89.6
2014-10-24,89.6
2014-10-25,89.6
2014-10-26,89.6
2014-10-27,89.6
2014-10-28,89.6
2014-10-29,89.6
2014-10-30,89.6
2014-10-31,89.6
2014-11-01,89.6
2014-11-02,89.6
2014-11-03,89.6
2014-11-04,89.6
2014-11-05,89.6
2014-11-06,89.6
2014-11-07,89.6
2014-11-08,89.6
2014-11-09,89.6
2014-11-10,89.6
2014-11-11,89.6
2014-11-12,89.6
2014-11-13,89.6
2014-11-14,89.6
2014-11-15,89.6
2014-11-16,89.6
2014-11-17,89.6
2014-11-18,89.6
