날짜,저수율
2014-01-01,95.0
2014-01-02,95.0
2014-01-03,95.0
2014-01-04,95.0
2014-01-05,95.0
2014-01-06,95.0
2014-01-07,95.0
2014-01-08,95.0
2014-01-09,95.0
2014-01-10,95.0
2014-01-11,95.0
2014-01-12,95.0
2014-01-13,95.0
2014-01-14,95.0
2014-01-15,95.0
2014-01-16,95.0
2014-01-17,95.0
2014-01-18,95.0
2014-01-19,95.0
2014-01-20,95.0
2014-01-21,95.0
2014-01-22,95.0
2014-01-23,95.0
2014-01-24,95.0
2014-01-25,95.0
2014-01-26,95.0
2014-01-27,95.0
2014-01-28,95.0
2014-01-29,95.0
2014-01-30,95.0
2014-01-31,95.0
2014-02-01,95.0
2014-02-02,95.0
2014-02-03,95.0
2014-02-04,95.0
2014-02-05,95.0
2014-02-06,95.0
2014-02-07,95.0
2014-02-08,95.0
2014-02-09,95.0
2014-02-10,95.0
2014-02-11,95.0
2014-02-12,95.0
2014-02-13,95.0
2014-02-14,95.0
2014-02-15,95.0
2014-02-16,95.0
2014-02-17,95.0
2014-02-18,95.0
2014-02-19,95.0
2014-02-20,95.0
2014-02-21,95.0
2014-02-22,95.0
2014-02-23,95.0
2014-02-24,95.0
2014-02-25,95.0
2014-02-26,95.0
2014-02-27,95.0
2014-02-28,95.0
2014-03-01,95.0
2014-03-02,95.0
2014-03-03,95.0
2014-03-04,95.0
2014-03-05,95.0
2014-03-06,95.0
2014-03-07,95.0
2014-03-08,95.0
2014-03-09,95.1
2014-03-10,95.4
2014-03-11,95.6
2014-03-12,95.9
2014-03-13,96.0
2014-03-14,96.0
2014-03-15,96.0
2014-03-16,96.0
2014-03-17,96.0
2014-03-18,96.0
2014-03-19,96.0
2014-03-20,96.0
2014-03-21,96.0
2014-03-22,96.0
2014-03-23,96.0
2014-03-24,96.0
2014-03-25,96.0
2014-03-26,96.0
2014-03-27,96.0
2014-03-28,96.0
2014-03-29,96.0
2014-03-30,96.0
2014-03-31,96.0
2014-04-01,96.0
2014-04-02,96.0
2014-04-03,96.0
2014-04-04,96.0
2014-04-05,96.0
2014-04-06,96.0
2014-04-07,96.0
2014-04-08,96.0
2014-04-09,96.0
2014-04-10,96.0
2014-04-11,96.0
2014-04-12,96.0
2014-04-13,96.0
2014-04-14,96.0
2014-04-15,96.0
2014-04-16,96.0
2014-04-17,96.0
2014-04-18,96.0
2014-04-19,96.0
2014-04-20,96.0
2014-04-21,96.0
2014-04-22,96.0
2014-04-23,96.0
2014-04-24,96.0
2014-04-25,96.0
2014-04-26,96.0
2014-04-27,96.0
2014-04-28,96.0
2014-04-29,96.0
2014-04-30,96.0
2014-05-01,96.0
2014-05-02,96.0
2014-05-03,96.0
2014-05-04,96.0
2014-05-05,96.0
2014-05-06,96.0
2014-05-07,96.0
2014-05-08,96.0
2014-05-09,96.0
2014-05-10,96.0
2014-05-11,96.0
2014-05-12,96.0
2014-05-13,96.0
2014-05-14,96.0
2014-05-15,96.0
2014-05-16,96.0
2014-05-17,96.0
2014-05-18,96.0
2014-05-19,96.0
2014-05-20,96.0
2014-05-21,96.0
2014-05-22,96.0
2014-05-23,96.0
2014-05-24,96.0
2014-05-25,96.0
2014-05-26,96.0
2014-05-27,96.0
2014-05-28,96.0
2014-05-29,96.0
2014-05-30,96.0
2014-05-31,96.0
2014-06-01,96.0
2014-06-02,96.0
2014-06-03,96.0
2014-06-04,96.0
2014-06-05,96.0
2014-06-06,96.0
2014-06-07,96.0
2014-06-08,96.0
2014-06-09,96.0
2014-06-10,96.0
2014-06-11,96.0
2014-06-12,96.0
2014-06-13,96.0
2014-06-14,96.0
2014-06-15,96.0
2014-06-16,96.0
2014-06-17,96.0
2014-06-18,96.0
2014-06-19,96.0
2014-06-20,96.0
2014-06-21,96.0
2014-06-22,96.0
2014-06-23,96.0
2014-06-24,96.0
2014-06-25,96.0
2014-06-26,96.0
2014-06-27,94.3
2014-06-28,90.4
2014-06-29,85.6
2014-06-30,81.7
2014-07-01,80.0
2014-07-02,80.0
2014-07-03,80.0
2014-07-04,80.0
2014-07-05,80.0
2014-07-06,80.0
2014-07-07,80.0
2014-07-08,80.0
2014-07-09,80.0
2014-07-10,80.0
2014-07-11,80.0
2014-07-12,80.0
2014-07-13,80.0
2014-07-14,80.0
2014-07-15,80.0
2014-07-16,80.0
2014-07-17,80.0
2014-07-18,80.0
2014-07-19,80.0
2014-07-20,80.0
2014-07-21,80.0
2014-07-22,80.0
2014-07-23,80.0
2014-07-24,80.0
2014-07-25,80.0
2014-07-26,80.0
2014-07-27,80.0
2014-07-28,80.0
2014-07-29,80.0
2014-07-30,80.0
2014-07-31,80.5
2014-08-01,81.8
2014-08-02,83.2
2014-08-03,84.5
2014-08-04,85.0
2014-08-05,85.0
2014-08-06,85.0
2014-08-07,85.0
2014-08-08,85.0
2014-08-09,85.0
2014-08-10,85.0
2014-08-11,85.0
2014-08-12,85.0
2014-08-13,85.0
2014-08-14,85.0
2014-08-15,85.0
2014-08-16,85.0
2014-08-17,85.0
2014-08-18,85.0
2014-08-19,85.0
2014-08-20,85.0
2014-08-21,85.0
2014-08-22,85.0
2014-08-23,85.0
2014-08-24,85.0
2014-08-25,85.0
2014-08-26,85.0
2014-08-27,85.0
2014-08-28,85.0
2014-08-29,85.0
2014-08-30,85.0
2014-08-31,85.0
2014-09-01,85.0
2014-09-02,85.0
2014-09-03,85.0
2014-09-04,85.0
2014-09-05,85.0
2014-09-06,85.0
