날짜,저수율
2014-01-01,73.2
2014-01-02,73.3
2014-01-03,73.3
2014-01-04,73.3
2014-01-05,73.4
2014-01-06,73.4
2014-01-07,73.4
2014-01-08,73.5
2014-01-09,73.6
2014-01-10,73.7
2014-01-11,73.7
2014-01-12,73.8
2014-01-13,73.8
2014-01-14,73.9
2014-01-15,73.9
2014-01-16,73.9
2014-01-17,73.9
2014-01-18,74.0
2014-01-19,74.0
2014-01-20,74.0
2014-01-21,74.0
2014-01-22,74.0
2014-01-23,74.1
2014-01-24,74.2
2014-01-25,74.2
2014-01-26,74.3
2014-01-27,74.4
2014-01-28,74.4
2014-01-29,74.5
2014-01-30,74.5
2014-01-31,74.6
2014-02-01,74.7
2014-02-02,74.7
2014-02-03,74.8
2014-02-04,74.9
2014-02-05,75.0
2014-02-06,75.1
2014-02-07,75.1
2014-02-08,75.1
2014-02-09,75.1
2014-02-10,75.2
2014-02-11,75.3
2014-02-12,75.4
2014-02-13,75.4
2014-02-14,75.4
2014-02-15,75.4
2014-02-16,75.4
2014-02-17,75.5
2014-02-18,75.6
2014-02-19,75.6
2014-02-20,75.6
2014-02-21,75.6
2014-02-22,75.7
2014-02-23,75.7
2014-02-24,75.7
2014-02-25,75.7
2014-02-26,75.7
2014-02-27,75.7
2014-02-28,75.8
2014-03-01,75.9
2014-03-02,76.0
2014-03-03,76.0
2014-03-04,76.0
2014-03-05,76.0
2014-03-06,76.0
2014-03-07,76.0
2014-03-08,76.1
2014-03-09,76.1
2014-03-10,76.1
2014-03-11,76.2
2014-03-12,76.6
2014-03-13,77.1
2014-03-14,78.6
2014-03-15,80.0
2014-03-16,80.2
2014-03-17,80.3
2014-03-18,80.7
2014-03-19,81.2
2014-03-20,81.6
2014-03-21,81.9
2014-03-22,81.9
2014-03-23,81.9
2014-03-24,82.1
2014-03-25,82.6
2014-03-26,83.4
2014-03-27,85.6
2014-03-28,87.3
2014-03-29,87.3
2014-03-30,87.3
2014-03-31,89.1
2014-04-01,91.1
2014-04-02,91.6
2014-04-03,92.0
2014-04-04,92.1
2014-04-05,92.1
