날짜,저수율
2014-01-01,0.0
2014-01-02,0.0
2014-01-03,0.0
2014-01-04,0.0
2014-01-05,0.0
2014-01-06,0.0
2014-01-07,0.0
2014-01-08,0.0
2014-01-09,0.0
2014-01-10,0.0
2014-01-11,0.0
2014-01-12,0.0
2014-01-13,0.0
2014-01-14,0.0
2014-01-15,0.0
2014-01-16,0.0
2014-01-17,0.0
2014-01-18,0.0
2014-01-19,0.0
2014-01-20,0.0
2014-01-21,0.0
2014-01-22,0.0
2014-01-23,0.0
2014-01-24,0.0
2014-01-25,0.1
2014-01-26,0.1
2014-01-27,0.2
2014-01-28,0.3
2014-01-29,0.4
2014-01-30,0.5
2014-01-31,0.5
2014-02-01,0.5
2014-02-02,0.6
2014-02-03,0.6
2014-02-04,0.7
2014-02-05,0.8
2014-02-06,0.9
2014-02-07,1.0
2014-02-08,1.1
2014-02-09,1.2
2014-02-10,1.3
2014-02-11,1.4
2014-02-12,1.5
2014-02-13,1.6
2014-02-14,1.8
2014-02-15,1.9
2014-02-16,2.0
2014-02-17,2.1
2014-02-18,2.2
2014-02-19,2.3
2014-02-20,2.4
2014-02-21,2.5
2014-02-22,2.6
2014-02-23,2.7
2014-02-24,2.8
2014-02-25,3.0
2014-02-26,3.2
2014-02-27,3.4
2014-02-28,3.6
2014-03-01,3.7
2014-03-02,3.9
2014-03-03,4.0
2014-03-04,4.1
2014-03-05,4.3
2014-03-06,4.5
2014-03-07,4.6
2014-03-08,4.7
2014-03-09,4.8
2014-03-10,4.9
2014-03-11,5.0
2014-03-12,5.3
2014-03-13,7.7
2014-03-14,10.0
2014-03-15,10.0
2014-03-16,10.0
2014-03-17,10.4
2014-03-18,11.4
2014-03-19,12.7
2014-03-20,14.0
2014-03-21,15.0
2014-03-22,15.6
2014-03-23,16.2
2014-03-24,17.0
2014-03-25,19.3
2014-03-26,22.0
2014-03-27,23.7
2014-03-28,25.0
2014-03-29,26.0
2014-03-30,26.9
2014-03-31,28.0
2014-04-01,30.0
2014-04-02,32.7
2014-04-03,35.0
2014-04-04,36.0
2014-04-05,36.0
2014-04-06,36.0
2014-04-07,36.9
2014-04-08,39.2
2014-04-09,41.8
2014-04-10,44.1
2014-04-11,45.0
2014-04-12,45.0
2014-04-13,45.0
2014-04-14,45.5
2014-04-15,46.8
2014-04-16,48.2
2014-04-17,49.5
2014-04-18,50.0
2014-04-19,50.0
2014-04-20,50.0
2014-04-21,51.1
2014-04-22,53.0
2014-04-23,55.3
2014-04-24,57.8
2014-04-25,59.0
2014-04-26,59.0
2014-04-27,59.0
2014-04-28,62.6
2014-04-29,67.0
2014-04-30,68.3
2014-05-01,69.2
2014-05-02,70.0
2014-05-03,71.1
2014-05-04,72.3
2014-05-05,73.4
2014-05-06,74.3
2014-05-07,74.6
2014-05-08,74.2
2014-05-09,73.3
2014-05-10,72.1
2014-05-11,70.9
2014-05-12,70.0
2014-05-13,69.4
2014-05-14,68.8
2014-05-15,68.4
2014-05-16,68.0
2014-05-17,67.7
2014-05-18,67.5
2014-05-19,67.3
2014-05-20,67.0
2014-05-21,66.7
2014-05-22,66.2
2014-05-23,65.5
2014-05-24,63.4
2014-05-25,61.0
2014-05-26,59.5
2014-05-27,58.2
2014-05-28,57.1
2014-05-29,56.3
2014-05-30,56.0
2014-05-31,56.2
2014-06-01,56.7
2014-06-02,57.3
2014-06-03,58.0
2014-06-04,58.6
2014-06-05,59.0
2014-06-06,59.2
2014-06-07,59.4
2014-06-08,59.6
2014-06-09,59.8
2014-06-10,59.9
2014-06-11,60.0
2014-06-12,60.0
2014-06-13,60.0
2014-06-14,60.0
2014-06-15,60.0
2014-06-16,59.6
2014-06-17,58.6
2014-06-18,57.3
2014-06-19,56.0
2014-06-20,55.0
2014-06-21,54.3
2014-06-22,53.7
2014-06-23,53.0
2014-06-24,52.2
2014-06-25,51.5
2014-06-26,50.6
2014-06-27,49.8
2014-06-28,48.9
2014-06-29,48.0
2014-06-30,47.0
2014-07-01,46.0
2014-07-02,45.0
2014-07-03,43.9
2014-07-04,43.0
2014-07-05,42.7
2014-07-06,42.5
2014-07-07,42.3
2014-07-08,42.0
2014-07-09,41.4
2014-07-10,41.0
2014-07-11,41.0
2014-07-12,41.0
2014-07-13,41.0
2014-07-14,40.5
2014-07-15,39.2
2014-07-16,37.8
2014-07-17,36.5
2014-07-18,36.0
2014-07-19,36.0
2014-07-20,36.0
2014-07-21,36.0
2014-07-22,36.3
2014-07-23,37.0
2014-07-24,38.6
2014-07-25,41.0
2014-07-26,44.1
2014-07-27,47.9
2014-07-28,51.0
2014-07-29,53.1
2014-07-30,55.0
2014-07-31,57.7
2014-08-01,60.0
2014-08-02,61.2
2014-08-03,62.0
2014-08-04,63.0
2014-08-05,64.1
2014-08-06,66.0
2014-08-07,83.7
2014-08-08,100.0
2014-08-09,100.0
2014-08-10,100.0
2014-08-11,100.0
2014-08-12,100.0
2014-08-13,100.0
2014-08-14,100.0
2014-08-15,100.0
2014-08-16,100.0
2014-08-17,100.0
2014-08-18,100.0
2014-08-19,100.0
2014-08-20,100.0
2014-08-21,100.0
2014-08-22,100.0
2014-08-23,100.0
2014-08-24,100.0
2014-08-25,100.0
2014-08-26,100.0
2014-08-27,100.0
2014-08-28,100.0
2014-08-29,100.0
2014-08-30,100.0
2014-08-31,100.0
2014-09-01,100.0
2014-09-02,100.0
2014-09-03,100.0
2014-09-04,100.0
2014-09-05,100.0
2014-09-06,100.0
2014-09-07,100.0
2014-09-08,100.0
2014-09-09,100.0
2014-09-10,100.0
2014-09-11,100.0
2014-09-12,100.0
2014-09-13,100.0
2014-09-14,100.0
2014-09-15,100.0
2014-09-16,100.0
2014-09-17,100.0
2014-09-18,100.0
2014-09-19,100.0
2014-09-20,100.0
2014-09-21,100.0
2014-09-22,100.0
2014-09-23,100.0
2014-09-24,100.0
2014-09-25,100.0
2014-09-26,100.0
2014-09-27,100.0
2014-09-28,100.0
2014-09-29,100.0
2014-09-30,100.0
2014-10-01,100.0
2014-10-02,100.0
2014-10-03,100.0
2014-10-04,100.0
2014-10-05,100.0
2014-10-06,100.0
2014-10-07,100.0
2014-10-08,100.0
2014-10-09,100.0
2014-10-10,100.0
2014-10-11,100.0
2014-10-12,100.0
2014-10-13,100.0
2014-10-14,100.0
2014-10-15,100.0
2014-10-16,100.0
2014-10-17,100.0
2014-10-18,100.0
2014-10-19,100.0
2014-10-20,100.0
2014-10-21,100.0
2014-10-22,100.0
2014-10-23,100.0
2014-10-24,100.0
2014-10-25,100.0
2014-10-26,100.0
2014-10-27,100.0
2014-10-28,100.0
2014-10-29,100.0
2014-10-30,100.0
2014-10-31,100.0
2014-11-01,100.0
2014-11-02,100.0
2014-11-03,100.0
2014-11-04,100.0
2014-11-05,100.0
2014-11-06,100.0
2014-11-07,100.0
2014-11-08,100.0
2014-11-09,100.0
2014-11-10,100.0
2014-11-11,100.0
2014-11-12,100.0
2014-11-13,100.0
2014-11-14,100.0
2014-11-15,100.0
2014-11-16,100.0
2014-11-17,100.0
2014-11-18,100.0
2014-11-19,100.0
2014-11-20,100.0
2014-11-21,100.0
2014-11-22,100.0
2014-11-23,100.0
2014-11-24,100.0
2014-11-25,100.0
2014-11-26,100.0
2014-11-27,100.0
2014-11-28,100.0
2014-11-29,100.0
2014-11-30,100.0
2014-12-01,100.0
2014-12-02,100.0
2014-12-03,100.0
2014-12-04,100.0
2014-12-05,100.0
2014-12-06,100.0
2014-12-07,100.0
2014-12-08,100.0
2014-12-09,100.0
2014-12-10,100.0
2014-12-11,100.0
2014-12-12,100.0
2014-12-13,100.0
2014-12-14,100.0
2014-12-15,100.0
2014-12-16,100.0
2014-12-17,100.0
2014-12-18,100.0
2014-12-19,100.0
2014-12-20,100.0
2014-12-21,100.0
2014-12-22,100.0
2014-12-23,100.0
2014-12-24,100.0
2014-12-25,100.0
2014-12-26,100.0
2014-12-27,100.0
2014-12-28,100.0
2014-12-29,100.0
2014-12-30,100.0
2014-12-31,100.0
2015-01-01,100.0
2015-01-02,100.0
2015-01-03,100.0
2015-01-04,100.0
2015-01-05,100.0
2015-01-06,100.0
2015-01-07,100.0
2015-01-08,100.0
2015-01-09,100.0
2015-01-10,100.0
2015-01-11,100.0
2015-01-12,100.0
2015-01-13,100.0
2015-01-14,100.0
2015-01-15,100.0
2015-01-16,100.0
2015-01-17,100.0
2015-01-18,100.0
2015-01-19,100.0
2015-01-20,100.0
2015-01-21,100.0
2015-01-22,100.0
2015-01-23,100.0
2015-01-24,100.0
2015-01-25,100.0
2015-01-26,100.0
2015-01-27,100.0
2015-01-28,100.0
2015-01-29,100.0
2015-01-30,100.0
2015-01-31,100.0
2015-02-01,100.0
2015-02-02,100.0
2015-02-03,100.0
2015-02-04,100.0
2015-02-05,100.0
2015-02-06,100.0
2015-02-07,100.0
2015-02-08,100.0
2015-02-09,100.0
2015-02-10,100.0
2015-02-11,100.0
2015-02-12,100.0
2015-02-13,100.0
2015-02-14,100.0
2015-02-15,100.0
2015-02-16,100.0
2015-02-17,100.0
2015-02-18,100.0
2015-02-19,100.0
2015-02-20,100.0
2015-02-21,100.0
2015-02-22,100.0
2015-02-23,100.0
2015-02-24,100.0
2015-02-25,100.0
2015-02-26,100.0
2015-02-27,100.0
2015-02-28,100.0
2015-03-01,100.0
2015-03-02,100.0
2015-03-03,100.0
2015-03-04,100.0
2015-03-05,100.0
2015-03-06,100.0
2015-03-07,100.0
2015-03-08,100.0
2015-03-09,100.0
2015-03-10,100.0
2015-03-11,100.0
2015-03-12,100.0
2015-03-13,100.0
2015-03-14,100.0
2015-03-15,100.0
2015-03-16,100.0
2015-03-17,100.0
2015-03-18,100.0
2015-03-19,100.0
2015-03-20,100.0
2015-03-21,100.0
2015-03-22,100.0
2015-03-23,100.0
2015-03-24,100.0
2015-03-25,100.0
2015-03-26,100.0
2015-03-27,100.0
2015-03-28,100.0
2015-03-29,100.0
2015-03-30,100.0
2015-03-31,100.0
2015-04-01,100.0
2015-04-02,100.0
2015-04-03,100.0
2015-04-04,100.0
2015-04-05,100.0
2015-04-06,100.0
2015-04-07,100.0
2015-04-08,100.0
2015-04-09,100.0
2015-04-10,100.0
2015-04-11,100.0
2015-04-12,100.0
2015-04-13,100.0
2015-04-14,100.0
2015-04-15,100.0
2015-04-16,100.0
2015-04-17,100.0
2015-04-18,100.0
2015-04-19,100.0
2015-04-20,100.0
2015-04-21,100.0
2015-04-22,100.0
2015-04-23,100.0
2015-04-24,100.0
2015-04-25,100.0
2015-04-26,100.0
2015-04-27,100.0
2015-04-28,100.0
2015-04-29,100.0
2015-04-30,100.0
2015-05-01,100.0
2015-05-02,100.0
2015-05-03,100.0
2015-05-04,100.0
2015-05-05,100.0
2015-05-06,99.5
2015-05-07,98.4
2015-05-08,97.2
2015-05-09,96.3
2015-05-10,95.8
2015-05-11,95.4
2015-05-12,95.2
2015-05-13,95.0
2015-05-14,94.1
2015-05-15,92.5
2015-05-16,90.8
2015-05-17,88.9
2015-05-18,87.1
2015-05-19,86.0
2015-05-20,85.0
2015-05-21,83.9
2015-05-22,82.5
2015-05-23,80.6
2015-05-24,78.3
2015-05-25,76.1
2015-05-26,74.2
2015-05-27,72.3
2015-05-28,70.1
2015-05-29,67.8
2015-05-30,65.0
2015-05-31,62.5
2015-06-01,60.7
