날짜,저수율
2014-01-01,50.2
2014-01-02,51.0
2014-01-03,52.0
2014-01-04,54.1
2014-01-05,57.2
2014-01-06,60.0
2014-01-07,62.3
2014-01-08,64.6
2014-01-09,66.3
2014-01-10,67.0
2014-01-11,67.0
2014-01-12,67.0
2014-01-13,69.1
2014-01-14,72.0
2014-01-15,73.2
2014-01-16,74.0
2014-01-17,74.4
2014-01-18,74.6
2014-01-19,75.0
2014-01-20,76.3
2014-01-21,78.6
2014-01-22,81.1
2014-01-23,83.1
2014-01-24,84.0
2014-01-25,84.0
2014-01-26,84.0
2014-01-27,85.2
2014-01-28,87.8
2014-01-29,90.0
2014-01-30,91.4
2014-01-31,92.7
2014-02-01,93.8
2014-02-02,94.9
2014-02-03,96.0
2014-02-04,97.0
2014-02-05,98.0
2014-02-06,99.3
2014-02-07,100.0
2014-02-08,100.0
2014-02-09,100.0
2014-02-10,100.0
2014-02-11,100.0
2014-02-12,100.0
2014-02-13,100.0
2014-02-14,100.0
2014-02-15,100.0
2014-02-16,100.0
2014-02-17,100.0
2014-02-18,100.0
2014-02-19,100.0
2014-02-20,100.0
2014-02-21,100.0
2014-02-22,100.0
2014-02-23,100.0
2014-02-24,100.0
2014-02-25,100.0
2014-02-26,100.0
2014-02-27,100.0
2014-02-28,100.0
2014-03-01,100.0
2014-03-02,100.0
2014-03-03,100.0
2014-03-04,100.0
2014-03-05,100.0
2014-03-06,100.0
2014-03-07,100.0
2014-03-08,100.0
2014-03-09,100.0
2014-03-10,100.0
2014-03-11,100.0
2014-03-12,100.0
2014-03-13,100.0
2014-03-14,100.0
2014-03-15,100.0
2014-03-16,100.0
2014-03-17,100.0
2014-03-18,100.0
2014-03-19,100.0
2014-03-20,100.0
2014-03-21,100.0
2014-03-22,100.0
2014-03-23,100.0
2014-03-24,100.0
2014-03-25,100.0
2014-03-26,100.0
2014-03-27,100.0
2014-03-28,100.0
2014-03-29,100.0
2014-03-30,100.0
2014-03-31,100.0
2014-04-01,100.0
2014-04-02,100.0
2014-04-03,100.0
2014-04-04,100.0
2014-04-05,100.0
2014-04-06,100.0
2014-04-07,100.0
2014-04-08,100.0
2014-04-09,100.0
2014-04-10,100.0
2014-04-11,100.0
2014-04-12,100.0
2014-04-13,100.0
2014-04-14,100.0
2014-04-15,100.0
2014-04-16,100.0
2014-04-17,100.0
2014-04-18,100.0
2014-04-19,100.0
2014-04-20,100.0
2014-04-21,100.0
2014-04-22,100.0
2014-04-23,100.0
2014-04-24,100.0
