날짜,저수율
2014-01-01,100.0
2014-01-02,100.0
2014-01-03,100.0
2014-01-04,100.0
2014-01-05,100.0
2014-01-06,100.0
2014-01-07,100.0
2014-01-08,100.0
2014-01-09,100.0
2014-01-10,100.0
2014-01-11,100.0
2014-01-12,100.0
2014-01-13,100.0
2014-01-14,100.0
2014-01-15,100.0
2014-01-16,100.0
2014-01-17,100.0
2014-01-18,100.0
2014-01-19,100.0
2014-01-20,100.0
2014-01-21,100.0
2014-01-22,100.0
2014-01-23,100.0
2014-01-24,100.0
2014-01-25,100.0
2014-01-26,100.0
2014-01-27,100.0
2014-01-28,100.0
2014-01-29,100.0
2014-01-30,100.0
2014-01-31,100.0
2014-02-01,100.0
2014-02-02,100.0
2014-02-03,100.0
2014-02-04,100.0
2014-02-05,100.0
2014-02-06,100.0
2014-02-07,100.0
2014-02-08,100.0
2014-02-09,100.0
2014-02-10,100.0
2014-02-11,100.0
2014-02-12,100.0
2014-02-13,100.0
2014-02-14,100.0
2014-02-15,100.0
2014-02-16,100.0
2014-02-17,100.0
2014-02-18,100.0
2014-02-19,100.0
2014-02-20,100.0
2014-02-21,100.0
2014-02-22,100.0
2014-02-23,100.0
2014-02-24,100.0
2014-02-25,100.0
2014-02-26,100.0
2014-02-27,100.0
2014-02-28,100.0
2014-03-01,100.0
2014-03-02,100.0
2014-03-03,100.0
2014-03-04,100.0
2014-03-05,100.0
2014-03-06,100.0
2014-03-07,100.0
2014-03-08,100.0
2014-03-09,100.0
2014-03-10,100.0
2014-03-11,100.0
2014-03-12,100.0
2014-03-13,100.0
2014-03-14,100.0
2014-03-15,100.0
2014-03-16,100.0
2014-03-17,100.0
2014-03-18,100.0
2014-03-19,100.0
2014-03-20,100.0
2014-03-21,100.0
2014-03-22,100.0
2014-03-23,100.0
2014-03-24,100.0
2014-03-25,100.0
2014-03-26,100.0
2014-03-27,100.0
2014-03-28,100.0
2014-03-29,100.0
2014-03-30,100.0
2014-03-31,100.0
2014-04-01,100.0
2014-04-02,100.0
2014-04-03,100.0
2014-04-04,99.8
2014-04-05,99.3
2014-04-06,98.7
2014-04-07,98.2
2014-04-08,98.0
2014-04-09,98.0
2014-04-10,98.1
2014-04-11,98.3
2014-04-12,98.5
2014-04-13,98.7
2014-04-14,98.9
2014-04-15,99.1
2014-04-16,99.3
2014-04-17,99.5
2014-04-18,99.7
2014-04-19,99.9
2014-04-20,100.0
2014-04-21,100.0
2014-04-22,99.8
2014-04-23,99.3
2014-04-24,98.7
2014-04-25,98.0
2014-04-26,97.2
2014-04-27,96.2
2014-04-28,95.8
2014-04-29,96.2
2014-04-30,97.2
2014-05-01,98.2
2014-05-02,98.6
2014-05-03,98.4
2014-05-04,97.9
2014-05-05,97.3
2014-05-06,96.6
2014-05-07,96.0
2014-05-08,95.4
2014-05-09,95.0
2014-05-10,94.9
2014-05-11,94.9
2014-05-12,94.9
2014-05-13,94.8
2014-05-14,94.8
2014-05-15,94.8
2014-05-16,94.7
2014-05-17,94.5
2014-05-18,94.0
2014-05-19,93.0
2014-05-20,92.0
2014-05-21,91.5
2014-05-22,91.0
2014-05-23,90.4
2014-05-24,89.7
2014-05-25,89.0
2014-05-26,88.0
2014-05-27,86.8
2014-05-28,85.7
2014-05-29,85.0
2014-05-30,84.8
2014-05-31,84.6
2014-06-01,84.4
2014-06-02,84.1
2014-06-03,83.7
2014-06-04,83.3
2014-06-05,83.2
2014-06-06,83.2
2014-06-07,83.2
2014-06-08,83.2
2014-06-09,82.3
2014-06-10,81.0
2014-06-11,80.5
2014-06-12,80.0
2014-06-13,79.5
2014-06-14,79.0
2014-06-15,78.5
2014-06-16,78.0
2014-06-17,77.5
2014-06-18,77.0
2014-06-19,75.8
2014-06-20,75.0
2014-06-21,75.0
2014-06-22,75.0
2014-06-23,74.2
2014-06-24,73.0
2014-06-25,72.4
2014-06-26,72.0
2014-06-27,71.8
2014-06-28,71.6
2014-06-29,71.5
2014-06-30,71.3
2014-07-01,71.0
2014-07-02,70.8
2014-07-03,70.8
2014-07-04,70.9
2014-07-05,71.1
2014-07-06,71.3
2014-07-07,74.9
2014-07-08,78.9
2014-07-09,79.8
2014-07-10,80.1
2014-07-11,80.0
2014-07-12,79.9
2014-07-13,79.8
2014-07-14,79.7
2014-07-15,80.0
2014-07-16,80.9
2014-07-17,82.3
2014-07-18,84.0
2014-07-19,88.9
2014-07-20,94.2
2014-07-21,97.0
