날짜,저수율
2014-01-01,78.6
2014-01-02,78.7
2014-01-03,78.8
2014-01-04,78.8
2014-01-05,78.8
2014-01-06,78.9
2014-01-07,79.0
2014-01-08,79.2
2014-01-09,79.4
2014-01-10,79.5
2014-01-11,79.5
2014-01-12,79.4
2014-01-13,79.4
2014-01-14,79.3
2014-01-15,79.2
2014-01-16,79.2
2014-01-17,79.2
2014-01-18,79.3
2014-01-19,79.4
2014-01-20,79.4
2014-01-21,79.5
2014-01-22,79.6
2014-01-23,79.6
2014-01-24,79.7
2014-01-25,79.7
2014-01-26,79.8
2014-01-27,79.8
2014-01-28,79.8
2014-01-29,79.8
2014-01-30,79.9
2014-01-31,79.9
2014-02-01,79.9
2014-02-02,79.9
2014-02-03,79.9
2014-02-04,79.9
2014-02-05,79.9
2014-02-06,79.9
2014-02-07,79.9
2014-02-08,80.0
2014-02-09,80.0
2014-02-10,80.2
2014-02-11,80.3
2014-02-12,80.3
2014-02-13,80.3
2014-02-14,80.3
2014-02-15,80.3
2014-02-16,80.3
2014-02-17,80.3
2014-02-18,80.3
2014-02-19,80.3
2014-02-20,80.3
2014-02-21,80.3
2014-02-22,80.3
2014-02-23,80.3
2014-02-24,80.3
2014-02-25,80.3
2014-02-26,80.3
2014-02-27,80.3
2014-02-28,80.3
2014-03-01,80.3
2014-03-02,80.3
2014-03-03,80.3
2014-03-04,80.3
2014-03-05,80.3
2014-03-06,80.3
2014-03-07,80.3
2014-03-08,80.3
2014-03-09,80.4
2014-03-10,80.6
2014-03-11,81.0
2014-03-12,81.5
2014-03-13,82.2
2014-03-14,84.4
2014-03-15,86.6
2014-03-16,87.2
2014-03-17,87.7
2014-03-18,88.2
2014-03-19,88.6
2014-03-20,88.9
2014-03-21,89.2
2014-03-22,89.4
2014-03-23,89.5
2014-03-24,89.8
2014-03-25,91.3
2014-03-26,93.6
2014-03-27,96.1
2014-03-28,97.7
2014-03-29,97.7
2014-03-30,97.6
2014-03-31,97.5
2014-04-01,97.4
2014-04-02,97.3
2014-04-03,97.1
2014-04-04,97.0
2014-04-05,96.9
2014-04-06,96.9
2014-04-07,96.8
2014-04-08,96.7
2014-04-09,96.6
2014-04-10,96.5
2014-04-11,96.6
2014-04-12,96.7
2014-04-13,96.8
2014-04-14,96.8
2014-04-15,96.8
2014-04-16,96.7
2014-04-17,96.7
2014-04-18,96.6
2014-04-19,96.5
2014-04-20,96.5
2014-04-21,96.5
2014-04-22,96.5
2014-04-23,96.6
2014-04-24,96.7
2014-04-25,96.9
2014-04-26,97.0
2014-04-27,97.1
2014-04-28,97.1
2014-04-29,96.8
2014-04-30,96.2
2014-05-01,95.6
2014-05-02,95.3
2014-05-03,95.3
2014-05-04,95.3
2014-05-05,95.3
2014-05-06,95.3
2014-05-07,94.4
2014-05-08,93.6
2014-05-09,94.1
2014-05-10,95.1
2014-05-11,96.0
2014-05-12,96.5
2014-05-13,96.5
2014-05-14,96.4
2014-05-15,96.3
2014-05-16,96.2
