날짜,저수율
2014-01-01,90.0
2014-01-02,90.0
2014-01-03,90.0
2014-01-04,90.0
2014-01-05,90.0
2014-01-06,90.0
2014-01-07,90.0
2014-01-08,90.0
2014-01-09,90.0
2014-01-10,90.0
2014-01-11,90.0
2014-01-12,90.0
2014-01-13,90.0
2014-01-14,90.0
2014-01-15,90.0
2014-01-16,90.0
2014-01-17,90.0
2014-01-18,90.0
2014-01-19,90.0
2014-01-20,90.0
2014-01-21,90.0
2014-01-22,90.0
2014-01-23,90.0
2014-01-24,90.0
2014-01-25,90.0
2014-01-26,90.0
2014-01-27,90.0
2014-01-28,90.0
2014-01-29,90.0
2014-01-30,90.0
2014-01-31,90.0
2014-02-01,90.0
2014-02-02,90.2
2014-02-03,90.7
2014-02-04,91.3
2014-02-05,91.8
2014-02-06,92.0
2014-02-07,92.0
2014-02-08,92.0
2014-02-09,92.0
2014-02-10,92.0
2014-02-11,92.0
2014-02-12,92.0
2014-02-13,92.0
2014-02-14,92.0
2014-02-15,92.0
2014-02-16,92.0
2014-02-17,92.0
2014-02-18,92.0
2014-02-19,92.0
2014-02-20,92.0
2014-02-21,92.0
2014-02-22,92.0
2014-02-23,92.0
2014-02-24,92.0
2014-02-25,92.0
2014-02-26,92.0
2014-02-27,92.0
2014-02-28,92.0
2014-03-01,92.0
2014-03-02,92.0
2014-03-03,92.0
2014-03-04,92.0
2014-03-05,92.0
2014-03-06,92.0
2014-03-07,92.0
2014-03-08,92.0
2014-03-09,92.1
2014-03-10,92.4
2014-03-11,92.8
2014-03-12,93.3
2014-03-13,94.0
2014-03-14,96.0
2014-03-15,97.8
2014-03-16,97.9
2014-03-17,98.0
2014-03-18,98.0
2014-03-19,98.0
2014-03-20,98.0
2014-03-21,98.0
2014-03-22,98.0
2014-03-23,98.0
2014-03-24,98.0
2014-03-25,98.1
2014-03-26,98.1
2014-03-27,98.1
2014-03-28,98.1
2014-03-29,98.1
2014-03-30,98.1
2014-03-31,98.1
2014-04-01,98.1
2014-04-02,98.1
2014-04-03,98.2
2014-04-04,98.4
2014-04-05,98.6
2014-04-06,98.8
2014-04-07,99.0
2014-04-08,99.2
2014-04-09,99.4
2014-04-10,99.6
2014-04-11,99.8
2014-04-12,99.9
2014-04-13,100.0
2014-04-14,100.0
2014-04-15,100.0
2014-04-16,100.0
2014-04-17,100.0
2014-04-18,100.0
2014-04-19,100.0
2014-04-20,100.0
2014-04-21,100.0
2014-04-22,100.0
2014-04-23,100.0
2014-04-24,100.0
2014-04-25,100.0
2014-04-26,100.0
2014-04-27,99.8
2014-04-28,99.3
2014-04-29,98.7
2014-04-30,98.2
2014-05-01,98.0
2014-05-02,98.0
2014-05-03,98.0
2014-05-04,98.0
2014-05-05,98.0
2014-05-06,98.0
2014-05-07,95.0
2014-05-08,92.0
2014-05-09,92.0
2014-05-10,92.0
2014-05-11,92.0
2014-05-12,92.0
2014-05-13,92.0
2014-05-14,90.4
2014-05-15,88.0
2014-05-16,86.4
2014-05-17,85.0
2014-05-18,84.0
2014-05-19,83.5
2014-05-20,83.0
2014-05-21,81.6
2014-05-22,80.0
2014-05-23,79.1
2014-05-24,78.0
2014-05-25,75.0
2014-05-26,72.0
2014-05-27,71.0
2014-05-28,70.0
2014-05-29,66.6
2014-05-30,64.0
