날짜,저수율
2014-01-01,96.0
2014-01-02,96.0
2014-01-03,96.0
2014-01-04,96.0
2014-01-05,96.0
2014-01-06,96.0
2014-01-07,96.0
2014-01-08,96.0
2014-01-09,96.0
2014-01-10,96.0
2014-01-11,96.0
2014-01-12,96.0
2014-01-13,96.0
2014-01-14,96.0
2014-01-15,96.0
2014-01-16,96.0
2014-01-17,96.0
2014-01-18,96.0
2014-01-19,96.0
2014-01-20,96.0
2014-01-21,96.0
2014-01-22,96.0
2014-01-23,96.0
2014-01-24,96.0
2014-01-25,96.0
2014-01-26,96.0
2014-01-27,96.0
2014-01-28,96.0
2014-01-29,96.0
2014-01-30,96.0
2014-01-31,96.0
2014-02-01,96.0
2014-02-02,96.0
2014-02-03,96.0
2014-02-04,96.0
2014-02-05,96.0
2014-02-06,96.0
2014-02-07,96.0
2014-02-08,96.0
2014-02-09,96.0
2014-02-10,96.0
2014-02-11,96.0
2014-02-12,96.0
2014-02-13,96.0
2014-02-14,96.0
2014-02-15,96.0
2014-02-16,96.0
2014-02-17,96.0
2014-02-18,96.0
2014-02-19,96.0
2014-02-20,96.0
2014-02-21,96.0
2014-02-22,96.0
2014-02-23,96.0
2014-02-24,96.0
2014-02-25,96.0
2014-02-26,96.0
2014-02-27,96.0
2014-02-28,96.0
2014-03-01,96.0
2014-03-02,96.0
2014-03-03,96.0
2014-03-04,96.0
2014-03-05,96.0
2014-03-06,96.0
2014-03-07,96.0
2014-03-08,96.0
2014-03-09,96.0
2014-03-10,96.0
2014-03-11,96.0
2014-03-12,96.0
2014-03-13,96.0
2014-03-14,96.0
2014-03-15,96.0
2014-03-16,96.0
2014-03-17,96.0
2014-03-18,96.0
2014-03-19,96.0
2014-03-20,96.0
2014-03-21,96.0
2014-03-22,96.0
2014-03-23,96.0
2014-03-24,96.0
2014-03-25,96.0
2014-03-26,96.0
2014-03-27,96.0
2014-03-28,96.0
2014-03-29,96.0
2014-03-30,96.0
2014-03-31,96.0
2014-04-01,96.0
