날짜,저수율
2014-01-01,71.7
2014-01-02,71.7
2014-01-03,71.7
2014-01-04,71.7
2014-01-05,71.7
2014-01-06,71.6
2014-01-07,71.4
2014-01-08,71.3
2014-01-09,71.3
2014-01-10,71.3
2014-01-11,71.3
2014-01-12,71.2
2014-01-13,71.2
2014-01-14,71.1
2014-01-15,71.1
2014-01-16,71.0
2014-01-17,70.9
2014-01-18,70.9
2014-01-19,70.8
2014-01-20,70.7
2014-01-21,70.6
2014-01-22,70.5
2014-01-23,70.3
2014-01-24,70.2
2014-01-25,70.1
2014-01-26,69.9
2014-01-27,69.8
2014-01-28,69.7
2014-01-29,69.6
2014-01-30,69.6
2014-01-31,69.6
2014-02-01,69.6
2014-02-02,69.6
2014-02-03,68.5
2014-02-04,67.4
2014-02-05,67.3
2014-02-06,67.2
2014-02-07,67.2
2014-02-08,67.2
2014-02-09,67.2
2014-02-10,67.1
2014-02-11,67.1
2014-02-12,67.1
2014-02-13,67.1
2014-02-14,67.1
2014-02-15,67.1
2014-02-16,67.1
2014-02-17,67.1
2014-02-18,67.1
2014-02-19,67.1
2014-02-20,67.1
2014-02-21,67.1
2014-02-22,67.1
2014-02-23,67.1
2014-02-24,67.1
2014-02-25,67.2
2014-02-26,67.2
2014-02-27,67.2
2014-02-28,67.3
2014-03-01,67.4
2014-03-02,67.5
2014-03-03,67.6
2014-03-04,67.7
2014-03-05,67.8
2014-03-06,67.9
2014-03-07,67.9
2014-03-08,68.0
2014-03-09,68.2
2014-03-10,68.3
2014-03-11,68.4
2014-03-12,68.6
2014-03-13,68.8
2014-03-14,69.2
2014-03-15,69.6
2014-03-16,69.8
2014-03-17,69.9
2014-03-18,69.9
2014-03-19,69.9
2014-03-20,69.9
2014-03-21,69.9
2014-03-22,69.9
2014-03-23,69.9
2014-03-24,69.9
2014-03-25,69.9
2014-03-26,70.2
2014-03-27,71.0
2014-03-28,71.7
2014-03-29,72.3
2014-03-30,72.9
2014-03-31,73.3
2014-04-01,73.5
2014-04-02,73.6
2014-04-03,73.6
2014-04-04,73.6
2014-04-05,73.5
2014-04-06,73.5
2014-04-07,73.4
2014-04-08,73.4
2014-04-09,73.4
2014-04-10,73.4
2014-04-11,73.4
2014-04-12,73.5
2014-04-13,73.5
2014-04-14,73.6
2014-04-15,73.7
2014-04-16,74.0
2014-04-17,74.2
2014-04-18,74.4
2014-04-19,74.5
2014-04-20,74.6
2014-04-21,74.6
2014-04-22,74.7
2014-04-23,74.7
2014-04-24,74.8
2014-04-25,74.8
2014-04-26,74.9
2014-04-27,75.0
2014-04-28,75.2
2014-04-29,77.4
2014-04-30,79.8
2014-05-01,80.4
2014-05-02,80.6
2014-05-03,80.5
2014-05-04,80.1
2014-05-05,79.8
2014-05-06,79.4
2014-05-07,79.3
2014-05-08,79.4
2014-05-09,79.8
2014-05-10,80.4
