날짜,저수율
2014-01-01,74.2
2014-01-02,74.5
2014-01-03,74.7
2014-01-04,74.7
2014-01-05,74.7
2014-01-06,74.7
2014-01-07,74.8
2014-01-08,74.9
2014-01-09,75.0
2014-01-10,75.1
2014-01-11,75.2
2014-01-12,75.2
2014-01-13,75.3
2014-01-14,75.4
2014-01-15,75.6
2014-01-16,75.7
2014-01-17,75.8
2014-01-18,75.9
2014-01-19,76.0
2014-01-20,76.1
2014-01-21,76.1
2014-01-22,76.2
2014-01-23,76.4
2014-01-24,76.6
2014-01-25,76.7
2014-01-26,76.7
2014-01-27,76.8
2014-01-28,76.9
2014-01-29,77.0
2014-01-30,77.1
2014-01-31,77.2
2014-02-01,77.3
2014-02-02,77.4
2014-02-03,77.5
2014-02-04,77.6
2014-02-05,77.6
2014-02-06,77.7
2014-02-07,77.7
2014-02-08,77.7
2014-02-09,77.7
2014-02-10,77.9
2014-02-11,78.1
2014-02-12,78.3
2014-02-13,78.4
2014-02-14,78.5
2014-02-15,78.5
2014-02-16,78.6
2014-02-17,78.6
2014-02-18,78.7
2014-02-19,78.7
2014-02-20,78.7
2014-02-21,78.7
2014-02-22,78.7
2014-02-23,78.8
2014-02-24,78.9
2014-02-25,79.1
2014-02-26,79.2
2014-02-27,79.2
2014-02-28,79.3
2014-03-01,79.4
2014-03-02,79.5
2014-03-03,79.6
2014-03-04,79.6
2014-03-05,79.7
2014-03-06,79.8
2014-03-07,79.8
2014-03-08,79.8
2014-03-09,79.8
2014-03-10,79.9
2014-03-11,80.0
2014-03-12,80.3
2014-03-13,80.7
2014-03-14,81.0
2014-03-15,81.2
2014-03-16,81.4
2014-03-17,81.5
2014-03-18,81.6
2014-03-19,81.7
2014-03-20,81.9
2014-03-21,82.1
2014-03-22,82.2
2014-03-23,82.2
2014-03-24,82.3
2014-03-25,82.7
2014-03-26,83.2
2014-03-27,83.6
2014-03-28,84.1
2014-03-29,84.7
2014-03-30,85.2
2014-03-31,85.7
2014-04-01,86.0
2014-04-02,86.2
2014-04-03,86.4
2014-04-04,86.6
2014-04-05,86.8
2014-04-06,87.1
2014-04-07,87.2
2014-04-08,87.2
2014-04-09,87.2
2014-04-10,87.4
2014-04-11,87.7
2014-04-12,87.9
2014-04-13,88.1
2014-04-14,88.2
2014-04-15,88.2
2014-04-16,88.3
2014-04-17,88.5
2014-04-18,88.7
2014-04-19,88.7
2014-04-20,88.8
2014-04-21,88.8
2014-04-22,88.8
2014-04-23,88.8
2014-04-24,88.8
2014-04-25,88.9
2014-04-26,89.0
2014-04-27,89.2
2014-04-28,89.5
2014-04-29,90.0
2014-04-30,90.6
2014-05-01,91.1
2014-05-02,91.5
