날짜,저수율
2014-01-01,60.6
2014-01-02,60.6
2014-01-03,60.6
2014-01-04,60.6
2014-01-05,60.6
2014-01-06,60.6
2014-01-07,60.7
2014-01-08,60.8
2014-01-09,61.1
2014-01-10,61.4
2014-01-11,61.5
2014-01-12,61.6
2014-01-13,61.7
2014-01-14,61.9
2014-01-15,62.1
2014-01-16,62.1
2014-01-17,62.1
2014-01-18,62.1
2014-01-19,62.1
2014-01-20,62.1
2014-01-21,62.1
2014-01-22,62.0
2014-01-23,61.9
2014-01-24,61.9
2014-01-25,61.8
2014-01-26,61.8
2014-01-27,61.8
2014-01-28,61.8
2014-01-29,61.8
2014-01-30,61.8
2014-01-31,61.8
2014-02-01,61.8
2014-02-02,61.9
2014-02-03,61.9
2014-02-04,61.9
2014-02-05,61.9
2014-02-06,61.9
2014-02-07,61.9
2014-02-08,61.9
2014-02-09,61.9
2014-02-10,61.9
2014-02-11,61.9
2014-02-12,62.0
2014-02-13,62.0
2014-02-14,62.0
2014-02-15,62.0
2014-02-16,62.0
2014-02-17,62.0
2014-02-18,62.0
2014-02-19,62.0
2014-02-20,62.0
2014-02-21,62.0
2014-02-22,62.0
2014-02-23,62.0
2014-02-24,62.0
2014-02-25,62.1
2014-02-26,62.1
2014-02-27,62.1
2014-02-28,62.2
2014-03-01,62.3
2014-03-02,62.3
2014-03-03,62.4
2014-03-04,62.5
2014-03-05,62.6
2014-03-06,62.7
2014-03-07,62.7
2014-03-08,62.7
2014-03-09,62.6
2014-03-10,62.6
2014-03-11,62.7
2014-03-12,62.8
2014-03-13,63.0
2014-03-14,63.6
2014-03-15,64.3
2014-03-16,64.6
2014-03-17,64.8
2014-03-18,65.1
2014-03-19,65.5
2014-03-20,65.7
2014-03-21,65.7
2014-03-22,65.8
2014-03-23,66.1
2014-03-24,66.5
2014-03-25,66.8
2014-03-26,67.2
2014-03-27,68.4
2014-03-28,69.8
2014-03-29,70.4
2014-03-30,70.9
2014-03-31,71.4
2014-04-01,72.0
2014-04-02,72.4
2014-04-03,72.6
2014-04-04,72.8
2014-04-05,72.9
2014-04-06,73.0
2014-04-07,73.1
2014-04-08,73.3
2014-04-09,73.4
2014-04-10,73.4
2014-04-11,73.2
2014-04-12,73.1
2014-04-13,72.9
2014-04-14,72.7
2014-04-15,72.5
2014-04-16,72.4
2014-04-17,72.4
2014-04-18,72.4
2014-04-19,72.4
2014-04-20,72.5
2014-04-21,72.5
2014-04-22,72.5
2014-04-23,72.5
2014-04-24,72.5
2014-04-25,72.5
2014-04-26,72.5
2014-04-27,72.5
2014-04-28,72.5
2014-04-29,73.6
2014-04-30,75.0
2014-05-01,75.6
2014-05-02,75.9
2014-05-03,75.9
2014-05-04,75.8
2014-05-05,75.8
2014-05-06,75.8
2014-05-07,75.7
2014-05-08,75.7
2014-05-09,75.8
2014-05-10,76.0
2014-05-11,76.1
2014-05-12,76.2
2014-05-13,76.1
2014-05-14,76.0
2014-05-15,75.7
2014-05-16,75.3
2014-05-17,74.1
2014-05-18,72.7
2014-05-19,72.1
2014-05-20,71.6
2014-05-21,71.2
2014-05-22,70.9
2014-05-23,70.6
2014-05-24,70.1
2014-05-25,68.8
2014-05-26,67.0
2014-05-27,65.5
2014-05-28,64.2
2014-05-29,63.0
2014-05-30,61.9
2014-05-31,60.7
2014-06-01,60.0
2014-06-02,60.0
2014-06-03,60.1
2014-06-04,60.2
2014-06-05,60.4
2014-06-06,60.8
2014-06-07,61.5
2014-06-08,61.8
2014-06-09,61.8
2014-06-10,61.8
2014-06-11,61.8
2014-06-12,61.6
2014-06-13,61.3
2014-06-14,60.8
2014-06-15,60.2
2014-06-16,59.5
2014-06-17,58.8
2014-06-18,58.2
2014-06-19,57.6
2014-06-20,57.0
2014-06-21,56.6
2014-06-22,56.3
2014-06-23,56.0
2014-06-24,55.8
2014-06-25,55.5
2014-06-26,54.6
2014-06-27,53.3
2014-06-28,52.1
2014-06-29,50.7
2014-06-30,49.4
2014-07-01,47.7
2014-07-02,46.7
2014-07-03,46.7
2014-07-04,46.7
2014-07-05,46.7
2014-07-06,46.7
2014-07-07,47.1
2014-07-08,47.6
2014-07-09,47.7
2014-07-10,47.8
2014-07-11,47.8
2014-07-12,47.9
2014-07-13,47.9
2014-07-14,47.9
2014-07-15,47.9
2014-07-16,47.9
2014-07-17,48.0
2014-07-18,48.4
2014-07-19,49.0
2014-07-20,49.3
2014-07-21,49.5
2014-07-22,49.6
2014-07-23,49.6
2014-07-24,49.6
2014-07-25,49.6
2014-07-26,49.6
2014-07-27,49.5
2014-07-28,49.5
2014-07-29,49.5
2014-07-30,49.5
2014-07-31,53.2
2014-08-01,61.9
2014-08-02,72.2
2014-08-03,80.9
2014-08-04,84.6
2014-08-05,83.8
2014-08-06,81.9
2014-08-07,79.4
2014-08-08,76.8
2014-08-09,73.3
2014-08-10,69.4
2014-08-11,67.6
2014-08-12,67.6
2014-08-13,67.6
2014-08-14,67.6
2014-08-15,67.6
2014-08-16,67.6
2014-08-17,67.6
2014-08-18,67.6
2014-08-19,69.7
2014-08-20,72.0
2014-08-21,72.4
2014-08-22,72.6
2014-08-23,72.8
2014-08-24,73.0
2014-08-25,73.5
2014-08-26,85.9
2014-08-27,98.0
2014-08-28,97.9
2014-08-29,97.5
2014-08-30,97.1
2014-08-31,96.5
2014-09-01,96.0
2014-09-02,95.4
2014-09-03,94.8
2014-09-04,94.2
2014-09-05,93.6
2014-09-06,92.6
2014-09-07,91.2
2014-09-08,89.6
2014-09-09,88.0
2014-09-10,86.4
2014-09-11,85.0
2014-09-12,83.9
2014-09-13,82.7
2014-09-14,79.8
2014-09-15,77.3
2014-09-16,76.9
2014-09-17,76.6
2014-09-18,76.2
2014-09-19,76.0
2014-09-20,76.1
2014-09-21,76.3
2014-09-22,76.7
2014-09-23,77.0
2014-09-24,77.4
2014-09-25,77.7
2014-09-26,78.0
2014-09-27,78.2
2014-09-28,78.2
2014-09-29,78.2
2014-09-30,78.2
2014-10-01,78.3
2014-10-02,78.4
2014-10-03,78.5
2014-10-04,78.6
2014-10-05,78.7
2014-10-06,78.8
2014-10-07,79.0
2014-10-08,79.2
2014-10-09,79.3
2014-10-10,79.4
2014-10-11,79.3
2014-10-12,79.2
2014-10-13,79.1
2014-10-14,79.0
2014-10-15,79.0
2014-10-16,79.0
2014-10-17,79.0
2014-10-18,79.0
2014-10-19,79.0
2014-10-20,79.0
2014-10-21,79.3
2014-10-22,79.8
2014-10-23,80.1
2014-10-24,80.4
2014-10-25,80.6
2014-10-26,80.7
2014-10-27,80.8
2014-10-28,80.8
2014-10-29,80.9
2014-10-30,80.9
2014-10-31,80.9
2014-11-01,80.9
2014-11-02,80.9
2014-11-03,81.2
2014-11-04,81.6
2014-11-05,81.7
2014-11-06,81.8
2014-11-07,81.8
2014-11-08,81.9
2014-11-09,81.9
2014-11-10,81.9
2014-11-11,81.9
2014-11-12,82.0
2014-11-13,82.0
2014-11-14,82.0
2014-11-15,82.1
2014-11-16,82.1
2014-11-17,82.1
2014-11-18,82.0
2014-11-19,81.9
2014-11-20,81.7
2014-11-21,81.6
2014-11-22,81.8
2014-11-23,82.3
2014-11-24,83.1
2014-11-25,83.9
2014-11-26,85.3
2014-11-27,86.4
2014-11-28,86.6
2014-11-29,86.8
2014-11-30,87.0
2014-12-01,87.4
2014-12-02,89.7
2014-12-03,92.3
2014-12-04,93.2
2014-12-05,93.6
2014-12-06,93.6
2014-12-07,93.6
2014-12-08,93.6
2014-12-09,94.2
2014-12-10,95.2
2014-12-11,96.3
2014-12-12,97.3
2014-12-13,97.7
2014-12-14,98.1
2014-12-15,98.4
2014-12-16,98.8
2014-12-17,99.2
2014-12-18,99.4
2014-12-19,99.5
2014-12-20,99.7
2014-12-21,99.9
2014-12-22,100.0
2014-12-23,100.0
2014-12-24,100.0
2014-12-25,100.0
2014-12-26,100.0
2014-12-27,99.9
2014-12-28,99.9
2014-12-29,99.9
2014-12-30,99.8
2014-12-31,99.8
2015-01-01,99.8
2015-01-02,99.7
2015-01-03,99.5
