날짜,저수율
2014-01-01,60.7
2014-01-02,60.7
2014-01-03,60.7
2014-01-04,60.7
2014-01-05,60.7
2014-01-06,60.7
2014-01-07,60.6
2014-01-08,60.6
2014-01-09,60.6
2014-01-10,60.6
2014-01-11,60.6
2014-01-12,60.6
2014-01-13,60.5
2014-01-14,60.5
2014-01-15,60.5
2014-01-16,60.5
2014-01-17,60.5
2014-01-18,60.5
2014-01-19,60.4
2014-01-20,60.4
2014-01-21,60.4
2014-01-22,60.3
2014-01-23,60.3
2014-01-24,60.3
2014-01-25,60.4
2014-01-26,60.4
2014-01-27,60.4
2014-01-28,60.4
2014-01-29,60.4
2014-01-30,60.5
2014-01-31,60.5
2014-02-01,60.5
2014-02-02,60.5
2014-02-03,60.5
2014-02-04,60.5
2014-02-05,60.5
2014-02-06,60.5
2014-02-07,60.4
2014-02-08,60.4
2014-02-09,60.3
2014-02-10,60.3
2014-02-11,60.3
2014-02-12,60.3
2014-02-13,60.3
2014-02-14,60.3
2014-02-15,60.3
2014-02-16,60.3
2014-02-17,60.3
2014-02-18,60.3
2014-02-19,60.3
2014-02-20,60.3
2014-02-21,60.3
2014-02-22,60.3
2014-02-23,60.2
2014-02-24,60.2
2014-02-25,60.2
2014-02-26,60.3
2014-02-27,60.4
2014-02-28,60.5
2014-03-01,60.5
2014-03-02,60.5
2014-03-03,60.6
2014-03-04,60.7
2014-03-05,60.8
2014-03-06,60.9
2014-03-07,60.9
2014-03-08,60.9
2014-03-09,60.9
2014-03-10,60.9
2014-03-11,61.0
2014-03-12,61.2
2014-03-13,61.7
2014-03-14,62.9
2014-03-15,64.1
2014-03-16,64.6
2014-03-17,65.0
2014-03-18,65.6
2014-03-19,66.2
2014-03-20,66.7
2014-03-21,67.2
2014-03-22,67.5
2014-03-23,67.8
2014-03-24,68.1
2014-03-25,68.4
2014-03-26,68.9
2014-03-27,69.7
2014-03-28,70.7
2014-03-29,71.5
2014-03-30,72.2
2014-03-31,72.8
2014-04-01,73.3
2014-04-02,73.8
2014-04-03,74.1
2014-04-04,74.2
2014-04-05,74.4
2014-04-06,74.9
2014-04-07,75.2
2014-04-08,75.2
2014-04-09,75.2
2014-04-10,75.2
2014-04-11,75.2
2014-04-12,75.2
2014-04-13,75.2
2014-04-14,74.9
2014-04-15,74.4
2014-04-16,74.1
2014-04-17,73.9
2014-04-18,73.9
2014-04-19,73.8
2014-04-20,73.8
2014-04-21,73.4
2014-04-22,72.7
2014-04-23,72.2
2014-04-24,71.8
2014-04-25,71.7
2014-04-26,71.6
2014-04-27,71.6
2014-04-28,71.6
2014-04-29,79.8
2014-04-30,87.9
2014-05-01,87.7
2014-05-02,87.1
2014-05-03,86.2
2014-05-04,85.2
2014-05-05,84.1
2014-05-06,83.1
2014-05-07,82.2
2014-05-08,81.5
2014-05-09,80.8
2014-05-10,80.0
2014-05-11,79.2
2014-05-12,78.2
2014-05-13,77.0
2014-05-14,75.8
2014-05-15,74.6
2014-05-16,73.5
2014-05-17,72.8
2014-05-18,72.3
2014-05-19,71.9
2014-05-20,71.4
2014-05-21,70.3
2014-05-22,69.1
2014-05-23,68.6
2014-05-24,68.0
2014-05-25,66.5
2014-05-26,64.7
2014-05-27,63.4
2014-05-28,62.1
2014-05-29,60.7
2014-05-30,59.5
2014-05-31,58.6
2014-06-01,57.8
2014-06-02,57.2
2014-06-03,56.7
2014-06-04,56.3
2014-06-05,55.9
2014-06-06,54.7
2014-06-07,52.9
2014-06-08,51.5
2014-06-09,50.9
2014-06-10,50.3
2014-06-11,49.4
2014-06-12,48.4
2014-06-13,47.7
2014-06-14,47.0
2014-06-15,45.7
2014-06-16,44.6
2014-06-17,44.4
2014-06-18,44.2
2014-06-19,43.5
2014-06-20,42.4
2014-06-21,41.0
2014-06-22,39.5
2014-06-23,38.8
2014-06-24,38.8
2014-06-25,38.8
2014-06-26,38.4
2014-06-27,37.7
2014-06-28,36.6
2014-06-29,35.4
2014-06-30,34.8
2014-07-01,35.2
2014-07-02,36.0
2014-07-03,36.7
2014-07-04,37.1
2014-07-05,37.1
2014-07-06,37.1
2014-07-07,37.9
2014-07-08,39.0
2014-07-09,39.7
2014-07-10,40.1
2014-07-11,39.8
2014-07-12,39.2
2014-07-13,38.5
2014-07-14,38.2
2014-07-15,38.3
2014-07-16,38.5
2014-07-17,38.6
2014-07-18,38.7
2014-07-19,38.6
2014-07-20,38.4
2014-07-21,38.2
2014-07-22,37.8
2014-07-23,37.5
2014-07-24,36.9
2014-07-25,36.5
2014-07-26,36.5
2014-07-27,36.5
2014-07-28,36.0
2014-07-29,35.1
2014-07-30,34.1
2014-07-31,33.2
2014-08-01,32.7
2014-08-02,37.6
2014-08-03,47.5
2014-08-04,55.0
2014-08-05,58.1
2014-08-06,60.3
2014-08-07,61.8
2014-08-08,63.2
2014-08-09,65.5
2014-08-10,68.3
2014-08-11,70.1
2014-08-12,71.0
2014-08-13,71.7
2014-08-14,72.0
2014-08-15,72.0
2014-08-16,72.0
2014-08-17,71.9
2014-08-18,71.9
2014-08-19,71.8
2014-08-20,71.8
2014-08-21,71.8
2014-08-22,71.8
2014-08-23,71.9
2014-08-24,72.1
2014-08-25,72.3
2014-08-26,72.9
2014-08-27,73.4
2014-08-28,73.4
2014-08-29,73.4
2014-08-30,73.4
2014-08-31,72.4
2014-09-01,70.7
2014-09-02,69.1
2014-09-03,67.8
2014-09-04,67.0
2014-09-05,66.4
2014-09-06,65.8
2014-09-07,65.3
2014-09-08,64.8
2014-09-09,64.4
2014-09-10,64.0
2014-09-11,63.7
2014-09-12,63.5
2014-09-13,63.3
2014-09-14,62.6
2014-09-15,61.6
2014-09-16,60.8
2014-09-17,59.9
2014-09-18,58.8
2014-09-19,58.2
2014-09-20,58.2
2014-09-21,58.2
2014-09-22,58.2
2014-09-23,58.2
