날짜,저수율
2014-01-01,66.0
2014-01-02,66.0
2014-01-03,66.1
2014-01-04,66.1
2014-01-05,66.2
2014-01-06,66.2
2014-01-07,66.2
2014-01-08,66.2
2014-01-09,66.2
2014-01-10,66.2
2014-01-11,66.2
2014-01-12,66.2
2014-01-13,66.2
2014-01-14,66.2
2014-01-15,66.2
2014-01-16,66.2
2014-01-17,66.2
2014-01-18,66.2
2014-01-19,66.2
2014-01-20,66.2
2014-01-21,66.3
2014-01-22,66.4
2014-01-23,66.5
2014-01-24,66.5
2014-01-25,66.5
2014-01-26,66.5
2014-01-27,66.5
2014-01-28,66.5
2014-01-29,66.5
2014-01-30,66.5
2014-01-31,66.5
2014-02-01,66.5
2014-02-02,66.5
2014-02-03,66.5
2014-02-04,66.5
2014-02-05,66.5
2014-02-06,66.5
2014-02-07,66.5
2014-02-08,66.5
2014-02-09,66.5
2014-02-10,67.6
2014-02-11,69.1
2014-02-12,69.6
2014-02-13,69.9
2014-02-14,70.3
2014-02-15,70.7
2014-02-16,71.0
2014-02-17,71.6
2014-02-18,73.4
2014-02-19,75.8
2014-02-20,77.4
2014-02-21,78.9
2014-02-22,80.8
2014-02-23,83.0
2014-02-24,84.9
2014-02-25,86.3
2014-02-26,88.0
2014-02-27,91.6
2014-02-28,95.2
2014-03-01,97.5
2014-03-02,99.3
2014-03-03,100.0
2014-03-04,100.0
2014-03-05,100.0
2014-03-06,100.0
2014-03-07,100.0
2014-03-08,100.0
2014-03-09,100.0
2014-03-10,100.0
2014-03-11,100.0
2014-03-12,100.0
2014-03-13,100.0
2014-03-14,100.0
2014-03-15,100.0
2014-03-16,100.0
2014-03-17,100.0
2014-03-18,100.0
2014-03-19,100.0
2014-03-20,100.0
2014-03-21,100.0
2014-03-22,100.0
2014-03-23,100.0
2014-03-24,100.0
2014-03-25,100.0
2014-03-26,100.0
2014-03-27,100.0
2014-03-28,100.0
2014-03-29,100.0
2014-03-30,100.0
2014-03-31,100.0
2014-04-01,100.0
2014-04-02,100.0
2014-04-03,100.0
2014-04-04,100.0
2014-04-05,100.0
2014-04-06,100.0
2014-04-07,100.0
2014-04-08,100.0
2014-04-09,100.0
2014-04-10,100.0
2014-04-11,100.0
2014-04-12,100.0
2014-04-13,100.0
2014-04-14,100.0
2014-04-15,100.0
2014-04-16,100.0
2014-04-17,100.0
2014-04-18,100.0
2014-04-19,100.0
2014-04-20,100.0
2014-04-21,100.0
2014-04-22,99.5
2014-04-23,98.6
2014-04-24,97.8
2014-04-25,97.4
2014-04-26,97.4
2014-04-27,97.4
2014-04-28,97.4
2014-04-29,98.7
2014-04-30,100.0
2014-05-01,100.0
2014-05-02,99.9
2014-05-03,99.8
2014-05-04,99.7
2014-05-05,99.5
2014-05-06,99.3
2014-05-07,99.1
2014-05-08,98.6
2014-05-09,97.7
2014-05-10,96.7
2014-05-11,95.6
2014-05-12,94.3
2014-05-13,92.9
2014-05-14,91.2
2014-05-15,89.2
2014-05-16,86.9
2014-05-17,84.2
2014-05-18,81.5
2014-05-19,79.1
2014-05-20,76.7
2014-05-21,73.7
2014-05-22,71.6
2014-05-23,71.2
2014-05-24,70.8
2014-05-25,69.1
2014-05-26,67.0
2014-05-27,66.0
2014-05-28,65.0
2014-05-29,63.6
2014-05-30,62.2
2014-05-31,61.0
2014-06-01,60.3
2014-06-02,60.4
2014-06-03,60.5
2014-06-04,60.7
2014-06-05,61.0
2014-06-06,61.2
2014-06-07,61.3
2014-06-08,61.4
2014-06-09,61.4
2014-06-10,61.3
2014-06-11,61.2
2014-06-12,61.2
2014-06-13,61.2
2014-06-14,61.2
2014-06-15,61.2
2014-06-16,61.2
2014-06-17,60.8
2014-06-18,60.0
2014-06-19,58.1
2014-06-20,56.7
2014-06-21,56.7
2014-06-22,56.7
2014-06-23,56.7
2014-06-24,57.7
2014-06-25,58.6
2014-06-26,58.5
2014-06-27,58.4
2014-06-28,58.3
2014-06-29,58.2
2014-06-30,58.1
2014-07-01,58.6
2014-07-02,59.6
2014-07-03,60.5
2014-07-04,61.0
2014-07-05,61.0
2014-07-06,61.0
2014-07-07,62.5
2014-07-08,64.5
2014-07-09,65.5
2014-07-10,66.0
2014-07-11,66.1
2014-07-12,66.2
2014-07-13,66.3
2014-07-14,66.4
2014-07-15,66.4
2014-07-16,66.5
2014-07-17,66.5
2014-07-18,66.5
2014-07-19,66.5
2014-07-20,66.5
2014-07-21,66.5
2014-07-22,66.5
2014-07-23,66.5
2014-07-24,65.1
2014-07-25,62.4
2014-07-26,59.5
2014-07-27,56.1
2014-07-28,53.1
2014-07-29,50.1
2014-07-30,48.4
2014-07-31,48.3
2014-08-01,48.2
2014-08-02,48.4
2014-08-03,48.8
2014-08-04,49.4
2014-08-05,50.2
2014-08-06,51.3
2014-08-07,53.3
2014-08-08,56.0
2014-08-09,58.5
2014-08-10,61.4
2014-08-11,65.0
2014-08-12,72.5
2014-08-13,82.2
2014-08-14,87.2
2014-08-15,87.5
2014-08-16,87.8
2014-08-17,94.0
2014-08-18,100.0
2014-08-19,100.0
2014-08-20,100.0
2014-08-21,100.0
2014-08-22,100.0
2014-08-23,100.0
2014-08-24,100.0
2014-08-25,100.0
2014-08-26,100.0
2014-08-27,100.0
2014-08-28,100.0
2014-08-29,100.0
2014-08-30,100.0
2014-08-31,100.0
2014-09-01,97.5
2014-09-02,95.0
2014-09-03,95.0
2014-09-04,95.0
2014-09-05,95.0
2014-09-06,95.0
2014-09-07,95.0
2014-09-08,95.0
2014-09-09,95.0
2014-09-10,95.0
2014-09-11,93.0
2014-09-12,90.0
2014-09-13,88.0
2014-09-14,86.2
2014-09-15,84.3
2014-09-16,81.9
2014-09-17,79.5
2014-09-18,76.7
2014-09-19,75.0
2014-09-20,75.6
2014-09-21,77.0
2014-09-22,78.8
2014-09-23,80.6
2014-09-24,82.0
2014-09-25,82.6
2014-09-26,82.6
2014-09-27,82.6
2014-09-28,82.6
2014-09-29,82.6
2014-09-30,80.2
2014-10-01,77.8
2014-10-02,78.2
2014-10-03,79.2
2014-10-04,80.5
2014-10-05,81.9
2014-10-06,82.9
2014-10-07,83.7
2014-10-08,84.5
2014-10-09,85.2
2014-10-10,85.9
2014-10-11,86.5
2014-10-12,87.1
2014-10-13,87.6
2014-10-14,88.0
2014-10-15,88.4
2014-10-16,88.6
2014-10-17,88.6
2014-10-18,88.6
2014-10-19,88.6
2014-10-20,89.0
2014-10-21,90.0
2014-10-22,93.7
2014-10-23,96.9
2014-10-24,96.9
2014-10-25,96.9
2014-10-26,96.8
2014-10-27,96.7
2014-10-28,96.6
2014-10-29,96.1
2014-10-30,95.3
2014-10-31,94.9
2014-11-01,94.9
2014-11-02,94.9
2014-11-03,94.9
2014-11-04,94.6
2014-11-05,94.0
2014-11-06,93.5
2014-11-07,93.2
2014-11-08,93.2
2014-11-09,93.2
2014-11-10,92.6
2014-11-11,92.0
2014-11-12,91.9
2014-11-13,91.8
2014-11-14,91.7
2014-11-15,91.7
2014-11-16,91.7
2014-11-17,91.7
2014-11-18,91.7
2014-11-19,91.7
2014-11-20,91.7
2014-11-21,91.7
2014-11-22,91.7
2014-11-23,91.7
2014-11-24,91.7
2014-11-25,92.7
2014-11-26,94.0
2014-11-27,94.4
2014-11-28,94.7
2014-11-29,94.9
2014-11-30,95.1
2014-12-01,95.2
2014-12-02,95.3
2014-12-03,95.4
2014-12-04,95.5
2014-12-05,95.5
2014-12-06,95.6
2014-12-07,95.6
2014-12-08,95.7
2014-12-09,95.7
2014-12-10,95.7
2014-12-11,95.8
2014-12-12,95.8
2014-12-13,95.8
2014-12-14,95.8
2014-12-15,95.9
2014-12-16,95.9
2014-12-17,96.0
2014-12-18,96.5
2014-12-19,96.9
2014-12-20,96.9
2014-12-21,96.9
2014-12-22,96.9
2014-12-23,96.9
2014-12-24,96.9
2014-12-25,96.9
2014-12-26,96.9
2014-12-27,96.9
2014-12-28,96.9
2014-12-29,96.9
2014-12-30,96.9
2014-12-31,96.9
2015-01-01,96.9
2015-01-02,96.9
2015-01-03,97.0
2015-01-04,97.1
2015-01-05,97.1
2015-01-06,97.2
2015-01-07,97.2
2015-01-08,97.3
2015-01-09,97.3
2015-01-10,97.3
2015-01-11,97.3
2015-01-12,97.3
2015-01-13,97.3
2015-01-14,97.4
2015-01-15,97.4
2015-01-16,97.5
2015-01-17,97.7
2015-01-18,97.8
2015-01-19,98.0
2015-01-20,98.1
2015-01-21,98.2
2015-01-22,98.3
2015-01-23,98.4
2015-01-24,98.4
2015-01-25,98.5
2015-01-26,98.6
2015-01-27,98.7
2015-01-28,98.9
2015-01-29,99.0
2015-01-30,99.1
2015-01-31,99.1
2015-02-01,99.1
2015-02-02,99.1
2015-02-03,99.1
2015-02-04,99.1
2015-02-05,99.1
2015-02-06,99.1
2015-02-07,99.1
2015-02-08,99.1
2015-02-09,99.1
2015-02-10,99.1
2015-02-11,99.1
2015-02-12,99.1
2015-02-13,99.1
2015-02-14,99.2
2015-02-15,99.3
2015-02-16,99.3
2015-02-17,99.4
2015-02-18,99.5
2015-02-19,99.5
2015-02-20,99.6
2015-02-21,99.6
2015-02-22,99.7
2015-02-23,99.7
2015-02-24,99.8
2015-02-25,99.8
2015-02-26,99.9
2015-02-27,99.9
2015-02-28,100.0
2015-03-01,100.0
2015-03-02,100.0
2015-03-03,100.0
2015-03-04,100.0
2015-03-05,99.9
2015-03-06,99.9
2015-03-07,99.9
2015-03-08,99.8
2015-03-09,99.8
2015-03-10,99.7
2015-03-11,99.7
2015-03-12,99.7
2015-03-13,99.7
2015-03-14,99.7
2015-03-15,99.8
2015-03-16,99.9
2015-03-17,99.9
2015-03-18,100.0
2015-03-19,100.0
2015-03-20,100.0
2015-03-21,100.0
2015-03-22,100.0
2015-03-23,99.9
2015-03-24,99.9
2015-03-25,99.9
2015-03-26,99.8
2015-03-27,99.8
2015-03-28,99.7
2015-03-29,99.7
2015-03-30,99.7
2015-03-31,99.7
2015-04-01,99.7
2015-04-02,99.8
2015-04-03,99.9
2015-04-04,99.9
2015-04-05,100.0
2015-04-06,100.0
2015-04-07,100.0
2015-04-08,100.0
2015-04-09,100.0
2015-04-10,100.0
2015-04-11,100.0
2015-04-12,100.0
2015-04-13,100.0
2015-04-14,100.0
2015-04-15,100.0
2015-04-16,100.0
2015-04-17,100.0
2015-04-18,100.0
2015-04-19,100.0
2015-04-20,100.0
2015-04-21,100.0
2015-04-22,100.0
2015-04-23,100.0
2015-04-24,100.0
2015-04-25,100.0
2015-04-26,100.0
2015-04-27,99.9
2015-04-28,99.7
2015-04-29,99.6
2015-04-30,99.4
2015-05-01,99.1
2015-05-02,98.8
2015-05-03,98.4
2015-05-04,98.0
2015-05-05,97.6
2015-05-06,97.2
2015-05-07,96.5
2015-05-08,95.7
2015-05-09,94.9
2015-05-10,94.2
2015-05-11,93.5
2015-05-12,93.0
2015-05-13,92.6
2015-05-14,92.2
2015-05-15,91.5
2015-05-16,89.2
2015-05-17,85.4
2015-05-18,82.1
2015-05-19,79.8
2015-05-20,77.8
2015-05-21,75.9
2015-05-22,74.2
2015-05-23,72.6
2015-05-24,71.1
2015-05-25,69.7
2015-05-26,68.3
2015-05-27,66.7
2015-05-28,65.5
2015-05-29,65.1
2015-05-30,64.7
2015-05-31,63.1
2015-06-01,61.0
2015-06-02,59.6
2015-06-03,58.1
2015-06-04,55.0
2015-06-05,52.7
2015-06-06,52.6
2015-06-07,52.5
2015-06-08,52.4
2015-06-09,52.1
2015-06-10,51.5
2015-06-11,49.4
2015-06-12,47.1
2015-06-13,46.3
2015-06-14,45.6
2015-06-15,44.8
2015-06-16,44.1
2015-06-17,43.3
2015-06-18,42.7
2015-06-19,42.6
2015-06-20,42.5
2015-06-21,42.4
2015-06-22,42.4
2015-06-23,42.5
2015-06-24,42.9
2015-06-25,43.3
2015-06-26,43.7
2015-06-27,43.9
2015-06-28,44.0
2015-06-29,44.1
2015-06-30,44.3
2015-07-01,44.6
2015-07-02,44.9
2015-07-03,45.2
2015-07-04,45.3
2015-07-05,45.3
2015-07-06,45.4
2015-07-07,45.9
2015-07-08,46.9
2015-07-09,49.6
2015-07-10,54.0
2015-07-11,57.9
2015-07-12,60.7
2015-07-13,62.7
2015-07-14,63.7
2015-07-15,64.2
2015-07-16,64.2
2015-07-17,64.2
2015-07-18,64.2
2015-07-19,64.2
2015-07-20,64.2
2015-07-21,62.8
2015-07-22,60.3
2015-07-23,58.2
2015-07-24,56.0
2015-07-25,53.0
2015-07-26,51.0
2015-07-27,50.8
