날짜,저수율
2019-02-25,100.0
2019-02-26,100.0
2019-02-27,100.0
2019-02-28,100.0
2019-03-01,100.0
2019-03-02,100.0
2019-03-03,100.0
2019-03-04,100.0
2019-03-05,100.0
2019-03-06,100.0
2019-03-07,100.0
2019-03-08,100.0
2019-03-09,100.0
2019-03-10,100.0
2019-03-11,100.0
2019-03-12,100.0
2019-03-13,100.0
2019-03-14,100.0
2019-03-15,100.0
2019-03-16,100.0
2019-03-17,100.0
2019-03-18,100.0
2019-03-19,100.0
2019-03-20,100.0
2019-03-21,100.0
2019-03-22,100.0
2019-03-23,100.0
2019-03-24,100.0
2019-03-25,100.0
2019-03-26,100.0
2019-03-27,100.0
2019-03-28,100.0
2019-03-29,100.0
2019-03-30,100.0
2019-03-31,100.0
2019-04-01,100.0
2019-04-02,100.0
2019-04-03,100.0
2019-04-04,100.0
2019-04-05,100.0
2019-04-06,100.0
2019-04-07,100.0
2019-04-08,100.0
2019-04-09,100.0
2019-04-10,100.0
2019-04-11,100.0
2019-04-12,100.0
2019-04-13,100.0
2019-04-14,100.0
2019-04-15,100.0
2019-04-16,100.0
2019-04-17,100.0
2019-04-18,100.0
2019-04-19,100.0
2019-04-20,100.0
2019-04-21,100.0
2019-04-22,100.0
2019-04-23,100.0
2019-04-24,100.0
2019-04-25,100.0
2019-04-26,100.0
2019-04-27,100.0
2019-04-28,100.0
2019-04-29,100.0
2019-04-30,100.0
2019-05-01,100.0
2019-05-02,100.0
2019-05-03,100.0
2019-05-04,100.0
2019-05-05,100.0
2019-05-06,100.0
2019-05-07,100.0
2019-05-08,100.0
2019-05-09,100.0
2019-05-10,100.0
2019-05-11,100.0
2019-05-12,100.0
2019-05-13,100.0
2019-05-14,100.0
2019-05-15,100.0
2019-05-16,100.0
2019-05-17,100.0
2019-05-18,100.0
2019-05-19,99.8
2019-05-20,99.3
2019-05-21,98.6
2019-05-22,97.9
2019-05-23,97.3
2019-05-24,96.8
2019-05-25,96.2
2019-05-26,94.7
2019-05-27,93.1
2019-05-28,92.3
2019-05-29,91.6
2019-05-30,90.6
2019-05-31,89.6
2019-06-01,88.6
2019-06-02,87.5
2019-06-03,86.4
2019-06-04,85.0
2019-06-05,84.1
2019-06-06,84.0
2019-06-07,83.9
2019-06-08,83.8
2019-06-09,83.8
2019-06-10,83.7
2019-06-11,83.7
2019-06-12,83.6
2019-06-13,83.2
2019-06-14,82.8
2019-06-15,82.6
2019-06-16,82.4
2019-06-17,82.2
2019-06-18,81.9
2019-06-19,81.5
2019-06-20,80.3
2019-06-21,79.4
2019-06-22,79.6
2019-06-23,80.2
2019-06-24,81.2
2019-06-25,82.4
2019-06-26,84.0
2019-06-27,85.7
2019-06-28,87.6
2019-06-29,91.7
2019-06-30,97.2
2019-07-01,100.0
2019-07-02,100.0
2019-07-03,100.0
2019-07-04,100.0
2019-07-05,100.0
2019-07-06,100.0
2019-07-07,100.0
2019-07-08,100.0
2019-07-09,100.0
2019-07-10,100.0
2019-07-11,100.0
2019-07-12,100.0
2019-07-13,100.0
2019-07-14,100.0
2019-07-15,100.0
2019-07-16,100.0
2019-07-17,100.0
2019-07-18,100.0
2019-07-19,100.0
2019-07-20,100.0
2019-07-21,100.0
2019-07-22,100.0
2019-07-23,100.0
2019-07-24,100.0
2019-07-25,100.0
2019-07-26,100.0
2019-07-27,100.0
2019-07-28,100.0
2019-07-29,100.0
2019-07-30,100.0
2019-07-31,100.0
2019-08-01,100.0
2019-08-02,100.0
2019-08-03,100.0
2019-08-04,100.0
2019-08-05,100.0
2019-08-06,100.0
2019-08-07,100.0
2019-08-08,100.0
2019-08-09,100.0
2019-08-10,100.0
2019-08-11,100.0
2019-08-12,100.0
2019-08-13,100.0
2019-08-14,100.0
2019-08-15,100.0
2019-08-16,100.0
2019-08-17,100.0
2019-08-18,100.0
2019-08-19,100.0
2019-08-20,100.0
2019-08-21,100.0
2019-08-22,100.0
2019-08-23,100.0
2019-08-24,100.0
2019-08-25,100.0
2019-08-26,100.0
2019-08-27,100.0
2019-08-28,100.0
2019-08-29,100.0
2019-08-30,100.0
2019-08-31,99.8
2019-09-01,99.2
2019-09-02,98.3
2019-09-03,97.2
2019-09-04,95.8
2019-09-05,92.2
2019-09-06,89.4
2019-09-07,89.5
2019-09-08,89.6
2019-09-09,89.8
2019-09-10,90.0
2019-09-11,90.2
2019-09-12,90.6
2019-09-13,91.1
2019-09-14,91.6
2019-09-15,92.1
2019-09-16,92.3
2019-09-17,92.3
2019-09-18,92.4
2019-09-19,92.4
2019-09-20,94.4
2019-09-21,98.0
2019-09-22,100.0
2019-09-23,100.0
2019-09-24,100.0
2019-09-25,100.0
2019-09-26,100.0
2019-09-27,100.0
2019-09-28,100.0
2019-09-29,100.0
2019-09-30,100.0
2019-10-01,100.0
2019-10-02,100.0
2019-10-03,100.0
2019-10-04,100.0
2019-10-05,100.0
2019-10-06,100.0
2019-10-07,100.0
2019-10-08,100.0
2019-10-09,100.0
2019-10-10,99.9
2019-10-11,99.6
2019-10-12,99.4
2019-10-13,99.1
2019-10-14,99.0
2019-10-15,99.0
2019-10-16,99.0
2019-10-17,99.0
2019-10-18,99.0
2019-10-19,99.0
2019-10-20,99.0
2019-10-21,99.5
2019-10-22,100.0
2019-10-23,100.0
2019-10-24,100.0
2019-10-25,100.0
2019-10-26,100.0
2019-10-27,100.0
2019-10-28,100.0
2019-10-29,100.0
2019-10-30,100.0
2019-10-31,100.0
2019-11-01,100.0
2019-11-02,100.0
2019-11-03,100.0
2019-11-04,100.0
2019-11-05,100.0
2019-11-06,100.0
2019-11-07,100.0
2019-11-08,100.0
2019-11-09,100.0
2019-11-10,100.0
2019-11-11,100.0
2019-11-12,100.0
2019-11-13,100.0
2019-11-14,100.0
2019-11-15,100.0
2019-11-16,100.0
2019-11-17,100.0
2019-11-18,100.0
