날짜,저수율
2014-01-01,99.6
2014-01-02,99.6
2014-01-03,99.6
2014-01-04,99.6
2014-01-05,99.6
2014-01-06,99.6
2014-01-07,99.6
2014-01-08,99.6
2014-01-09,99.6
2014-01-10,99.6
2014-01-11,99.6
2014-01-12,99.6
2014-01-13,99.6
2014-01-14,99.6
2014-01-15,99.6
2014-01-16,99.6
2014-01-17,99.6
2014-01-18,99.6
2014-01-19,99.6
2014-01-20,99.6
2014-01-21,99.7
2014-01-22,99.9
2014-01-23,100.0
2014-01-24,100.0
2014-01-25,100.0
2014-01-26,99.9
2014-01-27,99.8
2014-01-28,99.8
2014-01-29,99.6
2014-01-30,99.5
2014-01-31,99.5
2014-02-01,99.4
2014-02-02,99.3
2014-02-03,99.3
2014-02-04,99.3
2014-02-05,99.3
2014-02-06,99.3
2014-02-07,99.3
2014-02-08,99.3
2014-02-09,99.3
2014-02-10,99.3
2014-02-11,99.3
2014-02-12,99.3
2014-02-13,99.3
2014-02-14,99.3
2014-02-15,99.3
2014-02-16,99.3
2014-02-17,99.3
2014-02-18,99.3
2014-02-19,99.3
2014-02-20,99.3
2014-02-21,99.2
2014-02-22,99.1
2014-02-23,99.0
2014-02-24,98.9
2014-02-25,98.8
2014-02-26,98.8
2014-02-27,98.7
2014-02-28,98.7
2014-03-01,98.6
2014-03-02,98.6
2014-03-03,98.5
2014-03-04,98.5
2014-03-05,98.5
2014-03-06,98.5
2014-03-07,98.6
2014-03-08,98.7
2014-03-09,98.7
2014-03-10,98.8
2014-03-11,98.9
2014-03-12,98.9
2014-03-13,98.9
2014-03-14,98.8
2014-03-15,98.7
2014-03-16,98.7
2014-03-17,98.6
2014-03-18,98.5
2014-03-19,98.5
2014-03-20,98.5
2014-03-21,98.6
2014-03-22,98.7
2014-03-23,98.7
2014-03-24,98.8
2014-03-25,98.9
2014-03-26,98.9
2014-03-27,98.9
2014-03-28,98.8
2014-03-29,98.8
2014-03-30,98.7
2014-03-31,98.6
2014-04-01,98.6
