날짜,저수율
2014-01-01,0.0
2014-01-02,0.0
2014-01-03,0.0
2014-01-04,0.0
2014-01-05,0.0
2014-01-06,0.0
2014-01-07,0.0
2014-01-08,0.0
2014-01-09,0.0
2014-01-10,0.0
2014-01-11,0.0
2014-01-12,0.0
2014-01-13,0.0
2014-01-14,0.0
2014-01-15,0.0
2014-01-16,0.0
2014-01-17,0.0
2014-01-18,0.0
2014-01-19,0.0
2014-01-20,0.0
2014-01-21,0.0
2014-01-22,0.0
2014-01-23,1.0
2014-01-24,3.5
2014-01-25,6.5
2014-01-26,9.0
2014-01-27,10.0
2014-01-28,10.0
2014-01-29,10.0
2014-01-30,10.0
2014-01-31,10.0
2014-02-01,10.0
2014-02-02,10.0
2014-02-03,10.0
2014-02-04,10.0
2014-02-05,10.0
2014-02-06,10.0
2014-02-07,10.0
2014-02-08,10.0
2014-02-09,10.0
2014-02-10,10.0
2014-02-11,10.0
2014-02-12,10.0
2014-02-13,10.0
2014-02-14,10.0
2014-02-15,10.0
2014-02-16,10.0
2014-02-17,10.0
2014-02-18,10.0
2014-02-19,10.0
2014-02-20,10.0
2014-02-21,10.0
2014-02-22,10.0
2014-02-23,10.0
2014-02-24,10.1
2014-02-25,10.4
2014-02-26,10.8
2014-02-27,11.3
2014-02-28,12.0
2014-03-01,13.8
2014-03-02,16.5
2014-03-03,18.0
2014-03-04,18.2
2014-03-05,18.3
2014-03-06,18.4
2014-03-07,18.4
2014-03-08,18.4
2014-03-09,18.5
2014-03-10,18.5
2014-03-11,18.6
2014-03-12,18.6
2014-03-13,18.7
2014-03-14,18.9
2014-03-15,19.7
2014-03-16,21.1
2014-03-17,22.4
2014-03-18,23.3
2014-03-19,24.0
2014-03-20,24.7
2014-03-21,25.1
2014-03-22,25.1
2014-03-23,25.1
2014-03-24,25.4
2014-03-25,26.0
2014-03-26,26.6
2014-03-27,27.2
2014-03-28,27.8
2014-03-29,28.3
2014-03-30,29.0
2014-03-31,30.0
2014-04-01,32.8
2014-04-02,35.8
2014-04-03,36.9
2014-04-04,37.7
2014-04-05,38.6
2014-04-06,39.3
2014-04-07,40.0
2014-04-08,40.5
2014-04-09,40.9
2014-04-10,41.3
2014-04-11,41.6
2014-04-12,41.9
2014-04-13,42.1
2014-04-14,42.3
2014-04-15,42.6
2014-04-16,43.0
2014-04-17,43.3
2014-04-18,43.7
2014-04-19,44.0
2014-04-20,44.2
2014-04-21,44.3
2014-04-22,44.3
2014-04-23,44.3
2014-04-24,44.2
2014-04-25,44.2
2014-04-26,44.2
2014-04-27,44.2
2014-04-28,44.2
2014-04-29,56.0
2014-04-30,67.7
2014-05-01,67.0
2014-05-02,65.0
2014-05-03,62.2
2014-05-04,58.8
2014-05-05,55.2
2014-05-06,51.8
2014-05-07,48.9
2014-05-08,46.1
2014-05-09,44.0
2014-05-10,43.1
2014-05-11,42.4
2014-05-12,42.2
2014-05-13,42.2
2014-05-14,42.2
2014-05-15,42.3
2014-05-16,42.3
2014-05-17,42.4
2014-05-18,42.4
2014-05-19,42.5
2014-05-20,42.5
2014-05-21,42.6
2014-05-22,42.6
2014-05-23,42.6
2014-05-24,42.6
2014-05-25,42.5
2014-05-26,42.3
2014-05-27,41.9
2014-05-28,41.3
2014-05-29,40.3
2014-05-30,39.0
2014-05-31,37.3
2014-06-01,35.5
2014-06-02,33.9
2014-06-03,32.5
2014-06-04,31.5
2014-06-05,30.6
2014-06-06,29.9
2014-06-07,29.3
2014-06-08,28.6
2014-06-09,27.9
2014-06-10,27.1
2014-06-11,26.2
2014-06-12,25.6
2014-06-13,25.4
2014-06-14,25.3
2014-06-15,25.3
2014-06-16,25.2
2014-06-17,25.1
2014-06-18,25.0
2014-06-19,24.6
2014-06-20,24.3
2014-06-21,24.3
2014-06-22,24.2
2014-06-23,23.5
2014-06-24,22.7
2014-06-25,22.4
2014-06-26,22.2
2014-06-27,22.0
2014-06-28,21.9
2014-06-29,21.8
2014-06-30,21.8
2014-07-01,21.8
2014-07-02,21.8
2014-07-03,21.9
2014-07-04,21.9
2014-07-05,22.0
2014-07-06,22.3
2014-07-07,22.4
2014-07-08,22.4
2014-07-09,22.4
2014-07-10,22.4
2014-07-11,22.3
2014-07-12,22.3
2014-07-13,22.2
2014-07-14,22.2
2014-07-15,22.1
2014-07-16,21.7
2014-07-17,21.2
2014-07-18,21.0
2014-07-19,20.8
2014-07-20,20.7
2014-07-21,20.7
2014-07-22,20.6
2014-07-23,20.6
2014-07-24,20.5
2014-07-25,20.4
2014-07-26,19.7
2014-07-27,18.4
2014-07-28,17.3
2014-07-29,16.5
2014-07-30,16.0
2014-07-31,16.2
2014-08-01,16.6
2014-08-02,17.4
2014-08-03,18.3
2014-08-04,21.2
2014-08-05,24.3
2014-08-06,25.2
2014-08-07,26.1
2014-08-08,27.5
2014-08-09,29.8
2014-08-10,41.8
2014-08-11,52.3
2014-08-12,52.3
2014-08-13,52.3
2014-08-14,54.8
2014-08-15,59.8
2014-08-16,68.0
2014-08-17,79.5
2014-08-18,89.7
2014-08-19,94.1
2014-08-20,94.1
2014-08-21,94.1
2014-08-22,94.1
2014-08-23,94.1
2014-08-24,94.1
2014-08-25,93.6
2014-08-26,92.8
2014-08-27,92.4
2014-08-28,92.2
2014-08-29,92.2
2014-08-30,92.2
2014-08-31,92.2
2014-09-01,92.2
2014-09-02,92.2
2014-09-03,92.2
2014-09-04,91.4
2014-09-05,90.4
2014-09-06,89.9
2014-09-07,89.6
2014-09-08,89.6
2014-09-09,89.6
2014-09-10,89.6
2014-09-11,88.6
2014-09-12,87.0
2014-09-13,85.8
2014-09-14,84.6
2014-09-15,83.5
2014-09-16,82.6
2014-09-17,81.8
2014-09-18,80.9
2014-09-19,79.9
2014-09-20,78.8
2014-09-21,77.8
2014-09-22,77.3
2014-09-23,77.4
2014-09-24,77.6
2014-09-25,77.8
2014-09-26,77.9
2014-09-27,77.9
2014-09-28,77.9
2014-09-29,78.5
2014-09-30,79.2
2014-10-01,79.5
2014-10-02,79.7
2014-10-03,79.7
2014-10-04,79.7
2014-10-05,79.7
2014-10-06,79.8
2014-10-07,80.0
2014-10-08,80.0
2014-10-09,80.1
2014-10-10,80.1
2014-10-11,80.1
2014-10-12,80.1
2014-10-13,80.2
2014-10-14,81.4
2014-10-15,82.9
2014-10-16,83.3
2014-10-17,83.6
2014-10-18,83.8
2014-10-19,83.9
2014-10-20,84.2
2014-10-21,85.4
2014-10-22,87.8
2014-10-23,93.7
2014-10-24,98.2
2014-10-25,98.2
2014-10-26,98.0
2014-10-27,97.8
2014-10-28,97.6
2014-10-29,97.3
2014-10-30,96.9
2014-10-31,96.2
2014-11-01,95.5
2014-11-02,94.6
2014-11-03,93.6
2014-11-04,92.6
2014-11-05,91.6
2014-11-06,91.0
2014-11-07,90.7
2014-11-08,90.6
2014-11-09,90.7
2014-11-10,90.8
2014-11-11,90.9
2014-11-12,91.1
2014-11-13,91.2
2014-11-14,91.3
2014-11-15,91.3
2014-11-16,91.3
2014-11-17,91.5
2014-11-18,91.7
2014-11-19,91.8
2014-11-20,91.8
2014-11-21,91.9
2014-11-22,92.0
2014-11-23,92.1
2014-11-24,92.3
2014-11-25,93.0
2014-11-26,93.8
2014-11-27,94.4
2014-11-28,94.9
2014-11-29,95.4
2014-11-30,96.0
2014-12-01,96.4
2014-12-02,96.7
2014-12-03,97.0
2014-12-04,97.4
2014-12-05,97.7
2014-12-06,97.7
2014-12-07,97.7
2014-12-08,98.0
2014-12-09,98.4
2014-12-10,98.8
2014-12-11,99.1
2014-12-12,99.1
2014-12-13,99.2
2014-12-14,99.2
2014-12-15,99.2
2014-12-16,99.2
2014-12-17,99.2
2014-12-18,99.2
2014-12-19,99.2
2014-12-20,99.2
2014-12-21,99.2
2014-12-22,99.2
2014-12-23,99.2
2014-12-24,99.2
2014-12-25,99.2
2014-12-26,99.2
2014-12-27,99.2
2014-12-28,99.2
2014-12-29,99.2
2014-12-30,99.2
2014-12-31,99.2
2015-01-01,99.3
2015-01-02,99.3
2015-01-03,99.3
2015-01-04,99.3
2015-01-05,99.3
2015-01-06,99.2
2015-01-07,99.2
2015-01-08,99.2
2015-01-09,99.2
2015-01-10,99.2
2015-01-11,99.2
2015-01-12,99.2
2015-01-13,99.3
2015-01-14,99.3
2015-01-15,99.3
2015-01-16,99.3
2015-01-17,99.3
2015-01-18,99.3
2015-01-19,99.3
2015-01-20,99.3
2015-01-21,99.3
2015-01-22,99.3
2015-01-23,99.3
2015-01-24,99.3
2015-01-25,99.3
2015-01-26,99.3
2015-01-27,99.3
2015-01-28,99.3
2015-01-29,99.3
2015-01-30,99.3
2015-01-31,99.3
2015-02-01,99.3
2015-02-02,99.2
2015-02-03,99.2
2015-02-04,99.2
2015-02-05,99.2
2015-02-06,99.2
2015-02-07,99.2
2015-02-08,99.2
2015-02-09,99.2
2015-02-10,99.2
2015-02-11,99.3
2015-02-12,99.3
2015-02-13,99.3
2015-02-14,99.3
2015-02-15,99.3
2015-02-16,99.3
2015-02-17,99.3
2015-02-18,99.3
2015-02-19,99.3
2015-02-20,99.3
2015-02-21,99.2
2015-02-22,99.2
2015-02-23,99.2
2015-02-24,99.2
2015-02-25,99.1
2015-02-26,99.0
2015-02-27,98.9
2015-02-28,98.8
2015-03-01,98.7
2015-03-02,98.6
2015-03-03,98.4
2015-03-04,98.3
2015-03-05,98.1
2015-03-06,98.0
2015-03-07,97.8
2015-03-08,97.6
2015-03-09,97.5
2015-03-10,97.3
2015-03-11,97.1
2015-03-12,96.9
2015-03-13,96.9
2015-03-14,97.0
2015-03-15,97.0
2015-03-16,97.1
2015-03-17,97.8
2015-03-18,99.0
2015-03-19,99.7
2015-03-20,99.7
2015-03-21,99.6
2015-03-22,99.5
2015-03-23,99.4
2015-03-24,99.3
2015-03-25,99.3
2015-03-26,99.2
2015-03-27,99.2
2015-03-28,99.2
2015-03-29,99.2
2015-03-30,99.2
2015-03-31,99.3
2015-04-01,99.3
2015-04-02,99.3
2015-04-03,99.4
2015-04-04,99.4
2015-04-05,99.4
2015-04-06,99.4
2015-04-07,99.4
2015-04-08,99.4
2015-04-09,99.3
2015-04-10,99.3
2015-04-11,99.3
2015-04-12,99.3
2015-04-13,99.3
2015-04-14,99.3
2015-04-15,99.3
2015-04-16,99.1
2015-04-17,98.6
2015-04-18,97.8
2015-04-19,96.9
2015-04-20,96.3
2015-04-21,96.2
2015-04-22,96.1
2015-04-23,96.0
2015-04-24,96.0
2015-04-25,96.0
2015-04-26,95.9
2015-04-27,95.9
2015-04-28,95.9
2015-04-29,95.8
2015-04-30,95.7
2015-05-01,95.7
2015-05-02,95.6
2015-05-03,95.5
2015-05-04,95.4
2015-05-05,95.2
2015-05-06,95.0
2015-05-07,94.9
2015-05-08,94.8
2015-05-09,94.6
2015-05-10,94.2
2015-05-11,93.9
2015-05-12,93.8
2015-05-13,93.8
2015-05-14,93.6
2015-05-15,93.3
2015-05-16,93.0
2015-05-17,92.8
2015-05-18,92.5
2015-05-19,92.3
2015-05-20,92.1
2015-05-21,91.7
2015-05-22,91.1
2015-05-23,90.0
2015-05-24,88.4
2015-05-25,86.5
2015-05-26,84.7
2015-05-27,82.8
2015-05-28,81.2
2015-05-29,80.4
2015-05-30,79.5
2015-05-31,77.1
2015-06-01,74.4
