날짜,저수율
2014-01-01,57.1
2014-01-02,57.2
2014-01-03,57.3
2014-01-04,57.3
2014-01-05,57.3
2014-01-06,57.4
2014-01-07,57.5
2014-01-08,57.6
2014-01-09,57.7
2014-01-10,57.8
2014-01-11,57.8
2014-01-12,57.9
2014-01-13,57.9
2014-01-14,57.9
2014-01-15,58.0
2014-01-16,58.0
2014-01-17,58.0
2014-01-18,58.1
2014-01-19,58.1
2014-01-20,58.2
2014-01-21,58.3
2014-01-22,58.4
2014-01-23,58.5
2014-01-24,58.6
2014-01-25,58.7
2014-01-26,58.7
2014-01-27,58.8
2014-01-28,58.9
2014-01-29,58.9
2014-01-30,59.0
2014-01-31,59.0
2014-02-01,59.1
2014-02-02,59.1
2014-02-03,59.2
2014-02-04,59.3
2014-02-05,59.4
2014-02-06,59.4
2014-02-07,59.4
2014-02-08,59.4
2014-02-09,59.4
2014-02-10,59.5
2014-02-11,59.7
2014-02-12,59.8
2014-02-13,59.9
2014-02-14,59.9
2014-02-15,59.9
2014-02-16,60.0
2014-02-17,60.0
2014-02-18,60.0
2014-02-19,60.1
2014-02-20,60.1
2014-02-21,60.1
2014-02-22,60.2
2014-02-23,60.2
2014-02-24,60.3
2014-02-25,60.3
2014-02-26,60.4
2014-02-27,60.5
2014-02-28,60.6
2014-03-01,60.6
2014-03-02,60.6
2014-03-03,60.6
2014-03-04,60.6
2014-03-05,60.6
2014-03-06,60.6
2014-03-07,60.6
2014-03-08,60.6
2014-03-09,60.6
2014-03-10,60.6
2014-03-11,61.4
2014-03-12,63.1
2014-03-13,64.7
2014-03-14,66.1
2014-03-15,67.1
2014-03-16,67.5
2014-03-17,67.7
2014-03-18,67.9
2014-03-19,68.1
2014-03-20,68.3
2014-03-21,68.6
2014-03-22,68.9
2014-03-23,69.3
2014-03-24,69.8
2014-03-25,70.8
2014-03-26,72.3
2014-03-27,75.3
2014-03-28,78.3
2014-03-29,79.8
2014-03-30,81.1
2014-03-31,83.0
2014-04-01,84.6
2014-04-02,85.5
2014-04-03,86.1
2014-04-04,86.3
