날짜,저수율
2014-01-01,76.5
2014-01-02,76.8
2014-01-03,77.2
2014-01-04,77.3
2014-01-05,77.3
2014-01-06,77.4
2014-01-07,77.4
2014-01-08,77.5
2014-01-09,77.6
2014-01-10,77.8
2014-01-11,77.9
2014-01-12,78.0
2014-01-13,78.0
2014-01-14,78.1
2014-01-15,78.2
2014-01-16,78.2
2014-01-17,78.2
2014-01-18,78.3
2014-01-19,78.3
2014-01-20,78.4
2014-01-21,78.5
2014-01-22,78.7
2014-01-23,78.8
2014-01-24,78.9
2014-01-25,79.0
2014-01-26,79.1
2014-01-27,79.1
2014-01-28,79.1
2014-01-29,79.1
2014-01-30,79.1
2014-01-31,79.1
2014-02-01,79.1
2014-02-02,79.1
2014-02-03,79.2
2014-02-04,79.5
2014-02-05,79.7
2014-02-06,79.8
2014-02-07,79.9
2014-02-08,79.9
2014-02-09,80.0
2014-02-10,80.0
2014-02-11,80.0
2014-02-12,80.0
2014-02-13,80.0
2014-02-14,79.9
2014-02-15,79.9
2014-02-16,79.8
2014-02-17,79.7
2014-02-18,79.4
2014-02-19,78.9
2014-02-20,78.4
2014-02-21,77.7
2014-02-22,77.2
2014-02-23,77.2
2014-02-24,77.3
2014-02-25,77.4
2014-02-26,77.5
2014-02-27,77.5
2014-02-28,77.5
2014-03-01,77.5
2014-03-02,77.4
2014-03-03,77.4
2014-03-04,77.3
2014-03-05,77.3
2014-03-06,77.2
2014-03-07,77.0
2014-03-08,76.7
2014-03-09,76.3
2014-03-10,76.2
2014-03-11,76.6
2014-03-12,77.4
2014-03-13,78.4
2014-03-14,79.1
2014-03-15,79.4
2014-03-16,79.7
2014-03-17,80.1
2014-03-18,80.6
2014-03-19,81.0
2014-03-20,81.3
2014-03-21,81.4
2014-03-22,81.4
2014-03-23,81.5
2014-03-24,81.6
2014-03-25,82.6
2014-03-26,84.1
2014-03-27,85.8
2014-03-28,86.9
2014-03-29,87.0
2014-03-30,87.2
2014-03-31,89.1
2014-04-01,91.0
2014-04-02,91.2
2014-04-03,91.2
2014-04-04,91.3
2014-04-05,91.4
2014-04-06,91.5
2014-04-07,91.5
2014-04-08,91.6
2014-04-09,91.6
2014-04-10,91.6
2014-04-11,91.4
2014-04-12,91.3
2014-04-13,91.3
2014-04-14,91.3
2014-04-15,91.3
2014-04-16,91.3
2014-04-17,91.3
2014-04-18,91.3
2014-04-19,91.3
2014-04-20,91.3
2014-04-21,89.1
2014-04-22,86.9
2014-04-23,86.9
2014-04-24,87.0
2014-04-25,87.1
2014-04-26,87.2
2014-04-27,87.4
2014-04-28,87.6
2014-04-29,87.9
2014-04-30,90.1
2014-05-01,93.2
2014-05-02,95.2
2014-05-03,96.3
2014-05-04,96.3
2014-05-05,96.3
2014-05-06,96.3
2014-05-07,93.0
2014-05-08,89.7
2014-05-09,89.9
2014-05-10,90.4
2014-05-11,90.8
2014-05-12,91.0
2014-05-13,90.9
2014-05-14,90.7
2014-05-15,90.3
2014-05-16,89.7
2014-05-17,87.0
2014-05-18,83.2
2014-05-19,80.7
2014-05-20,78.1
2014-05-21,74.3
2014-05-22,71.5
2014-05-23,71.0
2014-05-24,70.5
2014-05-25,69.1
2014-05-26,67.4
2014-05-27,66.1
2014-05-28,64.8
2014-05-29,63.2
2014-05-30,61.3
2014-05-31,58.9
2014-06-01,56.6
2014-06-02,55.4
2014-06-03,54.1
2014-06-04,50.8
2014-06-05,48.3
2014-06-06,48.3
2014-06-07,48.3
2014-06-08,43.6
2014-06-09,37.7
2014-06-10,36.2
2014-06-11,34.7
2014-06-12,29.6
2014-06-13,25.7
2014-06-14,25.7
2014-06-15,25.7
2014-06-16,21.0
2014-06-17,14.7
2014-06-18,11.5
2014-06-19,9.9
2014-06-20,9.9
2014-06-21,9.9
2014-06-22,9.9
2014-06-23,10.8
2014-06-24,12.5
2014-06-25,14.4
2014-06-26,15.6
2014-06-27,15.7
2014-06-28,15.8
2014-06-29,15.8
2014-06-30,15.8
2014-07-01,16.5
2014-07-02,18.1
2014-07-03,24.0
2014-07-04,30.6
2014-07-05,33.2
2014-07-06,35.1
2014-07-07,36.9
2014-07-08,38.7
2014-07-09,40.7
2014-07-10,45.0
2014-07-11,48.0
2014-07-12,47.3
2014-07-13,46.0
2014-07-14,45.3
2014-07-15,45.6
2014-07-16,46.5
2014-07-17,47.9
2014-07-18,49.5
2014-07-19,52.8
2014-07-20,57.7
2014-07-21,62.0
2014-07-22,65.7
2014-07-23,67.7
2014-07-24,67.7
2014-07-25,67.7
2014-07-26,67.7
2014-07-27,67.7
2014-07-28,66.3
2014-07-29,63.9
2014-07-30,61.4
2014-07-31,58.7
2014-08-01,57.5
2014-08-02,60.3
2014-08-03,65.9
2014-08-04,70.2
2014-08-05,71.7
2014-08-06,73.4
2014-08-07,82.6
2014-08-08,92.2
2014-08-09,95.1
2014-08-10,97.1
2014-08-11,98.1
2014-08-12,98.5
2014-08-13,98.9
2014-08-14,99.2
2014-08-15,99.4
2014-08-16,99.6
2014-08-17,99.8
2014-08-18,99.9
2014-08-19,100.0
2014-08-20,100.0
2014-08-21,100.0
2014-08-22,100.0
2014-08-23,100.0
2014-08-24,100.0
2014-08-25,100.0
2014-08-26,99.0
2014-08-27,97.5
2014-08-28,96.6
2014-08-29,95.9
2014-08-30,95.1
2014-08-31,94.4
2014-09-01,93.5
2014-09-02,92.1
2014-09-03,91.0
2014-09-04,90.8
2014-09-05,90.7
2014-09-06,90.4
2014-09-07,90.0
2014-09-08,89.5
2014-09-09,89.0
2014-09-10,88.5
2014-09-11,88.2
2014-09-12,88.0
2014-09-13,87.7
2014-09-14,87.5
2014-09-15,87.3
2014-09-16,87.1
2014-09-17,87.0
2014-09-18,86.9
2014-09-19,86.9
2014-09-20,86.9
2014-09-21,86.9
2014-09-22,86.9
2014-09-23,86.9
2014-09-24,93.5
2014-09-25,100.0
2014-09-26,100.0
2014-09-27,100.0
2014-09-28,100.0
2014-09-29,97.1
2014-09-30,93.5
2014-10-01,92.2
2014-10-02,91.6
2014-10-03,91.6
2014-10-04,91.6
2014-10-05,91.6
2014-10-06,90.4
2014-10-07,89.1
2014-10-08,88.9
2014-10-09,88.8
2014-10-10,88.6
2014-10-11,88.6
2014-10-12,88.5
2014-10-13,88.5
2014-10-14,88.5
2014-10-15,88.5
2014-10-16,88.5
2014-10-17,88.5
2014-10-18,88.5
2014-10-19,88.5
2014-10-20,88.8
2014-10-21,89.4
2014-10-22,92.7
2014-10-23,95.6
2014-10-24,95.2
2014-10-25,94.2
2014-10-26,93.0
2014-10-27,92.2
2014-10-28,91.7
2014-10-29,91.2
2014-10-30,91.0
2014-10-31,90.9
2014-11-01,90.9
2014-11-02,90.8
2014-11-03,90.8
2014-11-04,90.7
2014-11-05,90.7
2014-11-06,90.7
2014-11-07,90.7
2014-11-08,90.7
2014-11-09,90.7
2014-11-10,90.7
2014-11-11,90.1
2014-11-12,89.4
2014-11-13,89.3
2014-11-14,89.3
2014-11-15,89.2
2014-11-16,89.2
2014-11-17,89.2
2014-11-18,89.1
2014-11-19,88.9
2014-11-20,88.6
2014-11-21,88.5
2014-11-22,89.4
2014-11-23,91.5
2014-11-24,93.5
2014-11-25,94.4
2014-11-26,94.3
2014-11-27,94.2
2014-11-28,94.0
2014-11-29,93.7
2014-11-30,93.5
2014-12-01,93.2
2014-12-02,92.8
2014-12-03,92.5
2014-12-04,92.3
2014-12-05,92.2
2014-12-06,92.0
2014-12-07,91.7
2014-12-08,91.5
2014-12-09,91.3
2014-12-10,91.2
2014-12-11,91.1
2014-12-12,91.0
2014-12-13,90.9
2014-12-14,90.8
2014-12-15,90.7
2014-12-16,90.6
2014-12-17,90.5
2014-12-18,90.5
2014-12-19,90.4
2014-12-20,90.3
2014-12-21,90.3
2014-12-22,90.2
2014-12-23,90.2
2014-12-24,90.1
2014-12-25,90.1
2014-12-26,90.1
2014-12-27,90.0
2014-12-28,90.0
2014-12-29,90.0
2014-12-30,90.0
2014-12-31,90.0
2015-01-01,90.1
2015-01-02,90.1
2015-01-03,90.2
2015-01-04,90.2
2015-01-05,90.3
2015-01-06,90.4
2015-01-07,90.6
2015-01-08,90.7
2015-01-09,90.7
2015-01-10,90.8
2015-01-11,90.8
2015-01-12,90.8
2015-01-13,90.8
2015-01-14,90.9
2015-01-15,90.9
2015-01-16,90.9
2015-01-17,90.9
2015-01-18,90.9
2015-01-19,90.9
2015-01-20,90.9
2015-01-21,91.0
2015-01-22,91.0
2015-01-23,91.0
2015-01-24,91.0
2015-01-25,91.1
2015-01-26,91.1
2015-01-27,91.1
2015-01-28,91.1
2015-01-29,91.2
2015-01-30,91.2
2015-01-31,91.2
2015-02-01,91.3
2015-02-02,91.3
2015-02-03,91.3
2015-02-04,91.4
2015-02-05,91.4
2015-02-06,91.4
2015-02-07,91.5
2015-02-08,91.5
2015-02-09,91.5
2015-02-10,91.6
2015-02-11,91.6
2015-02-12,91.6
2015-02-13,91.7
2015-02-14,91.7
2015-02-15,91.8
2015-02-16,91.8
2015-02-17,91.9
2015-02-18,92.0
2015-02-19,92.1
2015-02-20,92.2
2015-02-21,92.4
2015-02-22,92.5
2015-02-23,92.5
2015-02-24,92.5
2015-02-25,92.5
2015-02-26,92.5
2015-02-27,92.5
2015-02-28,92.5
2015-03-01,92.5
2015-03-02,92.8
2015-03-03,93.2
2015-03-04,93.4
2015-03-05,93.6
2015-03-06,93.8
2015-03-07,94.0
2015-03-08,94.2
2015-03-09,94.3
2015-03-10,94.5
2015-03-11,94.7
2015-03-12,94.9
2015-03-13,95.1
2015-03-14,95.2
2015-03-15,95.3
2015-03-16,95.4
2015-03-17,95.5
2015-03-18,95.6
2015-03-19,95.6
2015-03-20,95.3
2015-03-21,94.5
2015-03-22,93.6
2015-03-23,92.8
2015-03-24,92.1
2015-03-25,91.6
2015-03-26,91.3
2015-03-27,91.0
2015-03-28,90.3
2015-03-29,89.5
2015-03-30,89.1
2015-03-31,89.1
2015-04-01,89.2
2015-04-02,89.3
2015-04-03,89.4
2015-04-04,90.1
2015-04-05,91.2
2015-04-06,91.9
2015-04-07,92.1
2015-04-08,92.2
2015-04-09,92.3
2015-04-10,92.4
2015-04-11,92.5
2015-04-12,92.6
2015-04-13,92.7
2015-04-14,92.8
2015-04-15,93.0
2015-04-16,93.3
2015-04-17,93.6
2015-04-18,93.9
2015-04-19,94.1
2015-04-20,94.3
2015-04-21,94.4
2015-04-22,94.3
2015-04-23,94.1
2015-04-24,93.8
2015-04-25,93.4
2015-04-26,93.0
2015-04-27,92.5
2015-04-28,91.9
2015-04-29,91.0
2015-04-30,90.0
2015-05-01,89.0
2015-05-02,88.1
2015-05-03,87.3
2015-05-04,86.9
