날짜,저수율
2014-01-01,45.0
2014-01-02,45.0
2014-01-03,45.0
2014-01-04,45.0
2014-01-05,45.0
2014-01-06,45.0
2014-01-07,45.0
2014-01-08,45.0
2014-01-09,45.0
2014-01-10,45.0
2014-01-11,45.0
2014-01-12,45.0
2014-01-13,45.0
2014-01-14,45.0
2014-01-15,45.0
2014-01-16,45.0
2014-01-17,45.0
2014-01-18,45.0
2014-01-19,45.0
2014-01-20,45.0
2014-01-21,45.0
2014-01-22,45.0
2014-01-23,45.0
2014-01-24,45.0
2014-01-25,45.0
2014-01-26,45.0
2014-01-27,45.0
2014-01-28,45.0
2014-01-29,45.0
2014-01-30,45.0
2014-01-31,45.0
2014-02-01,45.0
2014-02-02,45.0
2014-02-03,45.0
2014-02-04,45.0
2014-02-05,45.0
2014-02-06,45.0
2014-02-07,45.0
2014-02-08,45.0
2014-02-09,45.0
2014-02-10,45.0
2014-02-11,45.0
2014-02-12,45.0
2014-02-13,45.0
2014-02-14,45.0
2014-02-15,45.0
2014-02-16,45.0
2014-02-17,45.0
2014-02-18,45.0
2014-02-19,45.0
2014-02-20,45.0
2014-02-21,45.0
2014-02-22,45.0
2014-02-23,45.0
2014-02-24,45.0
2014-02-25,45.0
2014-02-26,45.0
2014-02-27,45.0
2014-02-28,45.0
2014-03-01,45.0
2014-03-02,45.0
2014-03-03,45.0
2014-03-04,46.3
2014-03-05,48.0
2014-03-06,48.7
2014-03-07,49.0
2014-03-08,49.0
2014-03-09,49.0
2014-03-10,49.6
2014-03-11,50.9
2014-03-12,52.0
2014-03-13,52.7
2014-03-14,53.0
2014-03-15,53.0
2014-03-16,53.0
2014-03-17,53.3
2014-03-18,54.0
2014-03-19,54.9
2014-03-20,56.0
2014-03-21,57.0
2014-03-22,57.7
2014-03-23,58.3
2014-03-24,59.0
2014-03-25,60.0
2014-03-26,61.1
2014-03-27,62.2
2014-03-28,63.0
2014-03-29,63.4
2014-03-30,63.6
2014-03-31,64.1
2014-04-01,65.9
