날짜,저수율
2014-01-01,100.0
2014-01-02,100.0
2014-01-03,100.0
2014-01-04,100.0
2014-01-05,100.0
2014-01-06,100.0
2014-01-07,100.0
2014-01-08,100.0
2014-01-09,100.0
2014-01-10,100.0
2014-01-11,100.0
2014-01-12,100.0
2014-01-13,100.0
2014-01-14,100.0
2014-01-15,100.0
2014-01-16,100.0
2014-01-17,100.0
2014-01-18,100.0
2014-01-19,100.0
2014-01-20,100.0
2014-01-21,100.0
2014-01-22,100.0
2014-01-23,100.0
2014-01-24,100.0
2014-01-25,100.0
2014-01-26,100.0
2014-01-27,100.0
2014-01-28,100.0
2014-01-29,100.0
2014-01-30,100.0
2014-01-31,100.0
2014-02-01,100.0
2014-02-02,100.0
2014-02-03,100.0
2014-02-04,100.0
2014-02-05,100.0
2014-02-06,100.0
2014-02-07,100.0
2014-02-08,100.0
2014-02-09,100.0
2014-02-10,100.0
2014-02-11,100.0
2014-02-12,100.0
2014-02-13,100.0
2014-02-14,100.0
2014-02-15,100.0
2014-02-16,100.0
2014-02-17,100.0
2014-02-18,100.0
2014-02-19,100.0
2014-02-20,100.0
2014-02-21,100.0
2014-02-22,100.0
2014-02-23,100.0
2014-02-24,100.0
2014-02-25,100.0
2014-02-26,100.0
2014-02-27,100.0
2014-02-28,100.0
2014-03-01,100.0
2014-03-02,100.0
2014-03-03,100.0
2014-03-04,100.0
2014-03-05,100.0
2014-03-06,100.0
2014-03-07,100.0
2014-03-08,100.0
2014-03-09,100.0
2014-03-10,100.0
2014-03-11,100.0
2014-03-12,100.0
2014-03-13,100.0
2014-03-14,100.0
2014-03-15,100.0
2014-03-16,100.0
2014-03-17,100.0
2014-03-18,100.0
2014-03-19,100.0
2014-03-20,100.0
2014-03-21,100.0
2014-03-22,100.0
2014-03-23,100.0
2014-03-24,100.0
2014-03-25,100.0
2014-03-26,100.0
2014-03-27,100.0
2014-03-28,100.0
2014-03-29,100.0
2014-03-30,100.0
2014-03-31,100.0
2014-04-01,100.0
2014-04-02,100.0
2014-04-03,100.0
2014-04-04,100.0
2014-04-05,100.0
2014-04-06,100.0
2014-04-07,100.0
2014-04-08,100.0
2014-04-09,100.0
2014-04-10,100.0
2014-04-11,100.0
2014-04-12,100.0
2014-04-13,100.0
2014-04-14,99.7
2014-04-15,99.2
2014-04-16,98.6
2014-04-17,98.2
2014-04-18,98.2
2014-04-19,98.2
2014-04-20,98.3
2014-04-21,98.3
2014-04-22,98.4
2014-04-23,98.5
2014-04-24,98.6
2014-04-25,98.8
2014-04-26,99.0
2014-04-27,99.2
2014-04-28,99.4
2014-04-29,99.8
2014-04-30,100.0
2014-05-01,100.0
2014-05-02,100.0
2014-05-03,100.0
2014-05-04,100.0
2014-05-05,99.9
2014-05-06,99.9
2014-05-07,99.9
2014-05-08,99.8
2014-05-09,99.8
2014-05-10,99.7
2014-05-11,99.6
2014-05-12,99.5
2014-05-13,99.4
2014-05-14,99.3
2014-05-15,98.5
2014-05-16,97.1
2014-05-17,95.9
2014-05-18,94.7
2014-05-19,93.6
2014-05-20,92.4
2014-05-21,91.1
2014-05-22,89.8
2014-05-23,88.4
2014-05-24,87.0
2014-05-25,85.7
2014-05-26,84.9
2014-05-27,84.2
2014-05-28,82.9
2014-05-29,81.7
2014-05-30,81.1
2014-05-31,80.5
2014-06-01,78.5
2014-06-02,76.8
2014-06-03,76.5
2014-06-04,76.3
2014-06-05,76.3
2014-06-06,76.2
2014-06-07,75.1
2014-06-08,74.0
2014-06-09,73.8
2014-06-10,73.7
2014-06-11,73.3
2014-06-12,72.9
2014-06-13,72.8
2014-06-14,72.8
2014-06-15,72.8
2014-06-16,72.7
2014-06-17,72.5
2014-06-18,72.0
2014-06-19,71.1
2014-06-20,70.3
2014-06-21,69.9
2014-06-22,69.6
2014-06-23,69.4
2014-06-24,69.4
2014-06-25,69.3
2014-06-26,69.1
2014-06-27,68.7
2014-06-28,68.1
2014-06-29,67.3
2014-06-30,66.6
2014-07-01,66.0
2014-07-02,65.7
2014-07-03,65.6
2014-07-04,65.6
2014-07-05,65.6
2014-07-06,65.6
2014-07-07,65.7
2014-07-08,65.8
2014-07-09,65.9
2014-07-10,66.0
2014-07-11,66.0
2014-07-12,65.9
2014-07-13,65.8
2014-07-14,65.6
2014-07-15,64.9
2014-07-16,64.2
2014-07-17,64.2
2014-07-18,64.1
2014-07-19,64.1
2014-07-20,63.9
2014-07-21,63.6
