날짜,저수율
2014-01-01,45.1
2014-01-02,45.5
2014-01-03,46.0
2014-01-04,46.5
2014-01-05,47.0
2014-01-06,47.5
2014-01-07,48.2
2014-01-08,48.8
2014-01-09,49.0
2014-01-10,49.2
2014-01-11,49.4
2014-01-12,49.6
2014-01-13,49.9
2014-01-14,50.4
2014-01-15,50.9
2014-01-16,51.4
2014-01-17,51.9
2014-01-18,52.2
2014-01-19,52.5
2014-01-20,52.9
2014-01-21,53.5
2014-01-22,54.0
2014-01-23,54.3
2014-01-24,54.6
2014-01-25,55.0
2014-01-26,55.3
2014-01-27,55.7
2014-01-28,56.1
2014-01-29,56.4
2014-01-30,56.4
2014-01-31,56.4
2014-02-01,56.4
2014-02-02,56.4
2014-02-03,57.3
2014-02-04,58.5
2014-02-05,58.9
2014-02-06,59.1
2014-02-07,59.4
2014-02-08,59.7
2014-02-09,60.3
2014-02-10,61.0
2014-02-11,61.4
2014-02-12,61.7
2014-02-13,62.0
2014-02-14,62.3
2014-02-15,62.6
2014-02-16,63.0
2014-02-17,63.4
2014-02-18,63.7
2014-02-19,64.0
2014-02-20,64.3
2014-02-21,64.6
2014-02-22,65.0
2014-02-23,65.4
2014-02-24,65.8
2014-02-25,66.0
2014-02-26,66.2
2014-02-27,66.7
2014-02-28,67.1
2014-03-01,67.3
2014-03-02,67.5
2014-03-03,68.1
2014-03-04,68.7
2014-03-05,68.9
2014-03-06,69.1
2014-03-07,69.3
2014-03-08,69.4
2014-03-09,69.6
2014-03-10,69.9
2014-03-11,70.5
2014-03-12,71.5
2014-03-13,74.6
2014-03-14,77.2
2014-03-15,77.4
2014-03-16,77.6
2014-03-17,78.2
2014-03-18,78.9
2014-03-19,79.4
2014-03-20,79.8
2014-03-21,80.0
2014-03-22,80.1
2014-03-23,80.3
2014-03-24,80.6
2014-03-25,83.3
2014-03-26,86.4
2014-03-27,87.1
2014-03-28,87.7
2014-03-29,88.9
2014-03-30,90.3
2014-03-31,91.2
2014-04-01,91.4
2014-04-02,91.6
2014-04-03,92.1
2014-04-04,92.5
2014-04-05,92.5
2014-04-06,92.5
2014-04-07,92.7
2014-04-08,93.0
2014-04-09,93.2
2014-04-10,93.5
2014-04-11,93.8
2014-04-12,94.4
2014-04-13,95.1
2014-04-14,95.6
2014-04-15,95.8
2014-04-16,96.0
2014-04-17,97.1
2014-04-18,98.2
2014-04-19,98.6
2014-04-20,98.9
2014-04-21,99.1
2014-04-22,99.3
2014-04-23,99.5
2014-04-24,99.6
2014-04-25,99.8
2014-04-26,99.9
2014-04-27,100.0
2014-04-28,100.0
2014-04-29,100.0
2014-04-30,99.9
2014-05-01,99.9
2014-05-02,99.8
2014-05-03,99.7
2014-05-04,99.6
