날짜,저수율
2014-01-01,90.6
2014-01-02,90.6
2014-01-03,90.6
2014-01-04,90.6
2014-01-05,90.6
2014-01-06,90.6
2014-01-07,90.6
2014-01-08,90.5
2014-01-09,90.5
2014-01-10,90.5
2014-01-11,90.5
2014-01-12,90.5
2014-01-13,90.5
2014-01-14,90.5
2014-01-15,90.5
2014-01-16,90.5
2014-01-17,90.5
2014-01-18,90.5
2014-01-19,90.5
2014-01-20,90.5
2014-01-21,90.5
2014-01-22,90.5
2014-01-23,90.5
2014-01-24,90.5
2014-01-25,90.5
2014-01-26,90.5
2014-01-27,90.5
2014-01-28,90.5
2014-01-29,90.5
2014-01-30,90.5
2014-01-31,90.5
2014-02-01,90.5
2014-02-02,90.5
2014-02-03,90.5
2014-02-04,90.5
2014-02-05,90.5
2014-02-06,90.5
2014-02-07,90.5
2014-02-08,90.5
2014-02-09,90.5
2014-02-10,90.5
2014-02-11,90.5
2014-02-12,90.5
2014-02-13,90.5
2014-02-14,90.5
2014-02-15,90.5
2014-02-16,90.5
2014-02-17,90.5
2014-02-18,90.6
2014-02-19,90.6
2014-02-20,90.6
2014-02-21,90.7
2014-02-22,90.7
2014-02-23,90.8
2014-02-24,90.8
2014-02-25,90.8
2014-02-26,90.8
2014-02-27,90.8
2014-02-28,90.8
2014-03-01,90.8
2014-03-02,90.8
2014-03-03,90.7
2014-03-04,90.5
2014-03-05,90.5
2014-03-06,90.5
2014-03-07,90.5
2014-03-08,90.5
2014-03-09,90.5
2014-03-10,90.6
2014-03-11,90.6
2014-03-12,90.6
2014-03-13,90.6
2014-03-14,90.7
2014-03-15,90.7
2014-03-16,90.8
2014-03-17,90.8
2014-03-18,90.9
2014-03-19,91.1
2014-03-20,91.3
2014-03-21,91.3
2014-03-22,91.4
2014-03-23,91.6
2014-03-24,91.9
2014-03-25,92.2
2014-03-26,92.4
2014-03-27,92.6
2014-03-28,92.7
2014-03-29,92.9
2014-03-30,93.1
2014-03-31,93.3
2014-04-01,93.5
2014-04-02,93.7
2014-04-03,93.9
2014-04-04,94.0
2014-04-05,94.0
2014-04-06,94.0
2014-04-07,94.2
2014-04-08,94.5
2014-04-09,94.6
2014-04-10,94.6
2014-04-11,94.6
2014-04-12,94.6
2014-04-13,94.5
2014-04-14,94.5
2014-04-15,94.2
2014-04-16,93.8
2014-04-17,93.7
2014-04-18,93.7
2014-04-19,93.6
2014-04-20,93.4
2014-04-21,93.2
2014-04-22,92.9
2014-04-23,92.7
2014-04-24,92.6
2014-04-25,92.5
2014-04-26,92.3
2014-04-27,92.1
2014-04-28,92.0
2014-04-29,92.0
2014-04-30,92.0
2014-05-01,91.8
2014-05-02,91.4
2014-05-03,91.0
2014-05-04,90.5
2014-05-05,90.0
2014-05-06,89.6
2014-05-07,89.1
2014-05-08,88.7
2014-05-09,88.3
2014-05-10,87.8
2014-05-11,87.4
2014-05-12,86.9
2014-05-13,86.5
2014-05-14,86.1
2014-05-15,85.6
2014-05-16,85.0
2014-05-17,84.2
2014-05-18,83.3
2014-05-19,82.1
2014-05-20,80.9
2014-05-21,79.8
2014-05-22,79.0
2014-05-23,78.7
2014-05-24,78.4
2014-05-25,77.7
2014-05-26,77.0
2014-05-27,76.5
2014-05-28,76.0
2014-05-29,75.2
2014-05-30,74.2
2014-05-31,73.2
2014-06-01,72.4
2014-06-02,72.1
2014-06-03,71.9
2014-06-04,71.7
2014-06-05,71.5
2014-06-06,71.2
2014-06-07,70.8
2014-06-08,70.3
2014-06-09,69.8
2014-06-10,69.2
2014-06-11,68.1
2014-06-12,67.1
2014-06-13,66.7
2014-06-14,66.3
2014-06-15,65.2
2014-06-16,63.9
2014-06-17,63.1
2014-06-18,62.4
2014-06-19,61.7
2014-06-20,61.1
2014-06-21,60.8
2014-06-22,60.7
2014-06-23,60.7
2014-06-24,60.6
2014-06-25,60.4
2014-06-26,60.0
2014-06-27,59.7
2014-06-28,59.3
2014-06-29,58.4
2014-06-30,57.5
2014-07-01,56.9
2014-07-02,56.4
2014-07-03,56.0
2014-07-04,55.7
2014-07-05,55.6
2014-07-06,55.5
2014-07-07,55.2
2014-07-08,54.8
2014-07-09,54.6
2014-07-10,54.5
2014-07-11,54.5
2014-07-12,54.5
2014-07-13,54.5
