날짜,저수율
2014-01-01,99.8
2014-01-02,99.8
2014-01-03,99.8
2014-01-04,99.8
2014-01-05,99.8
2014-01-06,99.8
2014-01-07,99.8
2014-01-08,99.8
2014-01-09,99.8
2014-01-10,99.8
2014-01-11,99.9
2014-01-12,99.9
2014-01-13,100.0
2014-01-14,100.0
2014-01-15,100.0
2014-01-16,100.0
2014-01-17,99.9
2014-01-18,99.9
2014-01-19,99.9
2014-01-20,99.9
2014-01-21,99.8
2014-01-22,99.8
2014-01-23,99.8
2014-01-24,99.9
2014-01-25,100.0
2014-01-26,100.0
2014-01-27,100.0
2014-01-28,100.0
2014-01-29,100.0
2014-01-30,100.0
2014-01-31,99.9
2014-02-01,99.9
2014-02-02,99.9
2014-02-03,99.9
2014-02-04,99.9
2014-02-05,99.8
2014-02-06,99.8
2014-02-07,99.8
2014-02-08,99.8
2014-02-09,99.8
2014-02-10,99.7
2014-02-11,99.7
2014-02-12,99.7
2014-02-13,99.7
2014-02-14,99.7
2014-02-15,99.7
2014-02-16,99.6
2014-02-17,99.6
2014-02-18,99.6
2014-02-19,99.6
2014-02-20,99.6
2014-02-21,99.6
2014-02-22,99.6
2014-02-23,99.6
2014-02-24,99.6
2014-02-25,99.6
2014-02-26,99.7
2014-02-27,99.8
2014-02-28,99.8
2014-03-01,99.8
2014-03-02,99.7
2014-03-03,99.6
2014-03-04,99.6
2014-03-05,99.5
2014-03-06,99.2
2014-03-07,98.9
2014-03-08,99.0
2014-03-09,99.2
2014-03-10,99.4
2014-03-11,99.5
2014-03-12,99.5
2014-03-13,99.6
2014-03-14,99.6
2014-03-15,99.6
2014-03-16,99.6
2014-03-17,99.5
2014-03-18,99.4
2014-03-19,99.3
2014-03-20,99.3
2014-03-21,99.3
2014-03-22,99.4
2014-03-23,99.6
2014-03-24,99.7
2014-03-25,99.8
2014-03-26,99.8
2014-03-27,99.8
2014-03-28,99.7
2014-03-29,99.6
2014-03-30,99.5
2014-03-31,99.4
2014-04-01,99.4
2014-04-02,99.3
2014-04-03,99.2
2014-04-04,99.1
2014-04-05,99.2
2014-04-06,99.5
2014-04-07,99.6
2014-04-08,99.6
2014-04-09,99.6
2014-04-10,99.6
2014-04-11,99.6
2014-04-12,99.6
2014-04-13,99.6
2014-04-14,99.6
2014-04-15,99.6
2014-04-16,99.6
2014-04-17,99.6
2014-04-18,99.6
2014-04-19,99.6
2014-04-20,99.5
2014-04-21,99.3
2014-04-22,99.2
2014-04-23,99.1
2014-04-24,98.7
2014-04-25,98.0
2014-04-26,96.8
2014-04-27,95.2
2014-04-28,93.9
2014-04-29,93.1
2014-04-30,92.4
2014-05-01,91.5
2014-05-02,89.4
2014-05-03,86.7
2014-05-04,84.2
2014-05-05,81.6
2014-05-06,79.3
2014-05-07,77.3
2014-05-08,75.8
2014-05-09,74.6
2014-05-10,73.6
2014-05-11,72.8
2014-05-12,72.0
2014-05-13,71.3
2014-05-14,70.6
2014-05-15,69.3
2014-05-16,67.8
2014-05-17,66.5
2014-05-18,65.3
2014-05-19,64.2
2014-05-20,63.0
2014-05-21,61.4
2014-05-22,59.9
2014-05-23,59.0
2014-05-24,58.3
2014-05-25,57.7
2014-05-26,57.1
2014-05-27,55.9
2014-05-28,54.5
2014-05-29,53.0
2014-05-30,51.6
2014-05-31,50.2
2014-06-01,49.3
2014-06-02,49.2
2014-06-03,49.1
2014-06-04,49.1
2014-06-05,49.0
2014-06-06,48.7
2014-06-07,48.1
2014-06-08,47.5
2014-06-09,47.0
2014-06-10,46.6
2014-06-11,46.5
2014-06-12,46.4
2014-06-13,46.3
2014-06-14,46.3
2014-06-15,46.1
2014-06-16,45.0
2014-06-17,43.3
2014-06-18,42.0
2014-06-19,41.0
2014-06-20,40.4
2014-06-21,40.1
2014-06-22,40.1
2014-06-23,40.1
