날짜,저수율
2014-01-01,70.7
2014-01-02,70.8
2014-01-03,70.9
2014-01-04,71.0
2014-01-05,71.1
2014-01-06,71.2
2014-01-07,71.4
2014-01-08,71.6
2014-01-09,71.8
2014-01-10,71.9
2014-01-11,72.0
2014-01-12,72.0
2014-01-13,72.1
2014-01-14,72.2
2014-01-15,72.2
2014-01-16,72.2
2014-01-17,72.3
2014-01-18,72.3
2014-01-19,72.4
2014-01-20,72.4
2014-01-21,72.4
2014-01-22,72.5
2014-01-23,72.5
2014-01-24,72.5
2014-01-25,72.6
2014-01-26,72.6
2014-01-27,72.7
2014-01-28,72.7
2014-01-29,72.8
2014-01-30,72.8
2014-01-31,72.9
2014-02-01,72.9
2014-02-02,72.9
2014-02-03,73.0
2014-02-04,73.0
2014-02-05,73.0
2014-02-06,73.0
2014-02-07,73.0
2014-02-08,73.0
2014-02-09,73.0
2014-02-10,73.0
2014-02-11,73.0
2014-02-12,73.0
2014-02-13,73.0
2014-02-14,73.0
2014-02-15,73.0
2014-02-16,73.0
2014-02-17,73.0
2014-02-18,73.0
2014-02-19,73.0
2014-02-20,73.0
2014-02-21,73.1
2014-02-22,73.4
2014-02-23,73.7
2014-02-24,74.1
2014-02-25,74.4
2014-02-26,74.7
2014-02-27,75.0
2014-02-28,75.2
2014-03-01,75.3
2014-03-02,75.4
2014-03-03,75.5
2014-03-04,75.7
2014-03-05,75.9
2014-03-06,76.0
2014-03-07,76.2
2014-03-08,76.4
2014-03-09,76.6
2014-03-10,76.9
2014-03-11,77.2
2014-03-12,77.7
2014-03-13,78.2
2014-03-14,80.4
2014-03-15,82.6
2014-03-16,83.0
2014-03-17,83.3
2014-03-18,83.7
2014-03-19,84.0
2014-03-20,84.0
2014-03-21,84.0
2014-03-22,84.0
2014-03-23,84.0
2014-03-24,84.2
2014-03-25,84.7
2014-03-26,85.7
2014-03-27,87.3
2014-03-28,89.2
2014-03-29,91.4
2014-03-30,93.7
2014-03-31,95.6
2014-04-01,97.2
2014-04-02,98.5
2014-04-03,99.5
2014-04-04,100.0
2014-04-05,100.0
2014-04-06,100.0
2014-04-07,100.0
2014-04-08,100.0
2014-04-09,100.0
2014-04-10,100.0
2014-04-11,100.0
2014-04-12,100.0
2014-04-13,100.0
2014-04-14,100.0
2014-04-15,100.0
2014-04-16,100.0
2014-04-17,100.0
2014-04-18,100.0
2014-04-19,100.0
2014-04-20,100.0
2014-04-21,100.0
2014-04-22,100.0
2014-04-23,100.0
2014-04-24,100.0
2014-04-25,100.0
2014-04-26,100.0
2014-04-27,100.0
2014-04-28,100.0
2014-04-29,100.0
2014-04-30,100.0
2014-05-01,100.0
2014-05-02,100.0
2014-05-03,100.0
