날짜,저수율
2014-01-01,90.8
2014-01-02,90.9
2014-01-03,91.0
2014-01-04,91.1
2014-01-05,91.1
2014-01-06,91.2
2014-01-07,91.3
2014-01-08,91.3
2014-01-09,91.4
2014-01-10,91.4
2014-01-11,91.5
2014-01-12,91.5
2014-01-13,91.6
2014-01-14,91.6
2014-01-15,91.7
2014-01-16,91.7
2014-01-17,91.7
2014-01-18,91.8
2014-01-19,91.8
2014-01-20,91.9
2014-01-21,92.0
2014-01-22,92.2
2014-01-23,92.3
2014-01-24,92.4
2014-01-25,92.5
2014-01-26,92.5
2014-01-27,92.6
2014-01-28,92.6
2014-01-29,92.7
2014-01-30,92.7
2014-01-31,92.7
2014-02-01,92.8
2014-02-02,92.8
2014-02-03,92.9
2014-02-04,93.1
2014-02-05,93.3
2014-02-06,93.4
2014-02-07,93.4
2014-02-08,93.5
2014-02-09,93.5
2014-02-10,93.6
2014-02-11,93.7
2014-02-12,93.8
2014-02-13,93.9
2014-02-14,94.0
2014-02-15,94.1
2014-02-16,94.2
2014-02-17,94.3
2014-02-18,94.4
2014-02-19,94.4
2014-02-20,94.4
2014-02-21,94.5
2014-02-22,94.5
2014-02-23,94.5
2014-02-24,94.6
2014-02-25,94.7
2014-02-26,94.7
2014-02-27,94.8
2014-02-28,94.9
2014-03-01,95.0
2014-03-02,95.1
2014-03-03,95.1
2014-03-04,95.2
2014-03-05,95.3
2014-03-06,95.4
2014-03-07,95.5
2014-03-08,95.6
2014-03-09,95.7
2014-03-10,95.8
2014-03-11,96.0
2014-03-12,96.1
2014-03-13,96.3
2014-03-14,96.6
2014-03-15,97.0
2014-03-16,97.2
2014-03-17,97.3
2014-03-18,97.4
2014-03-19,97.6
2014-03-20,97.8
2014-03-21,98.0
2014-03-22,98.0
2014-03-23,98.0
2014-03-24,98.0
2014-03-25,98.0
2014-03-26,98.3
2014-03-27,98.7
2014-03-28,99.1
2014-03-29,99.5
2014-03-30,99.9
2014-03-31,100.0
2014-04-01,100.0
2014-04-02,100.0
2014-04-03,100.0
2014-04-04,100.0
2014-04-05,100.0
2014-04-06,100.0
2014-04-07,100.0
2014-04-08,100.0
2014-04-09,100.0
2014-04-10,100.0
2014-04-11,100.0
2014-04-12,100.0
2014-04-13,100.0
2014-04-14,99.8
2014-04-15,99.4
2014-04-16,98.9
2014-04-17,98.5
2014-04-18,98.3
2014-04-19,98.3
2014-04-20,98.3
2014-04-21,94.7
2014-04-22,90.2
2014-04-23,88.6
2014-04-24,87.9
2014-04-25,87.9
2014-04-26,87.9
2014-04-27,87.9
2014-04-28,87.9
2014-04-29,87.9
2014-04-30,87.9
2014-05-01,87.9
2014-05-02,87.9
2014-05-03,87.9
2014-05-04,87.9
2014-05-05,87.9
2014-05-06,87.9
2014-05-07,87.9
2014-05-08,87.9
2014-05-09,87.9
2014-05-10,87.9
2014-05-11,87.9
2014-05-12,87.9
2014-05-13,87.9
2014-05-14,87.9
2014-05-15,87.9
2014-05-16,87.9
2014-05-17,87.9
2014-05-18,87.9
2014-05-19,87.9
2014-05-20,87.9
2014-05-21,87.9
2014-05-22,87.7
2014-05-23,87.2
2014-05-24,86.3
2014-05-25,85.2
2014-05-26,83.9
2014-05-27,81.3
2014-05-28,78.0
2014-05-29,74.9
2014-05-30,73.1
2014-05-31,73.2
2014-06-01,73.6
2014-06-02,74.1
2014-06-03,74.7
2014-06-04,76.6
2014-06-05,78.2
2014-06-06,77.5
2014-06-07,76.1
2014-06-08,74.7
2014-06-09,74.0
2014-06-10,74.6
2014-06-11,76.0
2014-06-12,77.3
2014-06-13,77.9
2014-06-14,77.8
2014-06-15,77.5
2014-06-16,77.1
2014-06-17,76.7
2014-06-18,76.4
2014-06-19,76.3
2014-06-20,76.5
2014-06-21,76.9
2014-06-22,77.3
2014-06-23,77.7
2014-06-24,77.9
2014-06-25,77.9
2014-06-26,77.9
2014-06-27,77.9
2014-06-28,77.9
2014-06-29,77.9
2014-06-30,74.5
2014-07-01,70.9
2014-07-02,70.7
2014-07-03,70.6
2014-07-04,69.9
2014-07-05,68.5
2014-07-06,66.8
2014-07-07,65.2
2014-07-08,63.7
2014-07-09,62.3
2014-07-10,61.0
2014-07-11,59.7
2014-07-12,57.6
2014-07-13,55.3
2014-07-14,54.1
2014-07-15,53.9
2014-07-16,53.8
2014-07-17,53.7
2014-07-18,53.6
2014-07-19,53.3
2014-07-20,52.9
2014-07-21,52.3
2014-07-22,51.4
2014-07-23,50.5
2014-07-24,50.1
2014-07-25,49.9
2014-07-26,49.7
2014-07-27,49.5
2014-07-28,49.3
2014-07-29,49.1
2014-07-30,48.7
2014-07-31,47.7
2014-08-01,46.9
2014-08-02,47.2
2014-08-03,47.8
2014-08-04,48.5
2014-08-05,49.3
2014-08-06,50.2
2014-08-07,51.3
2014-08-08,52.3
2014-08-09,53.2
2014-08-10,54.1
2014-08-11,54.6
2014-08-12,54.8
2014-08-13,54.9
2014-08-14,55.1
2014-08-15,56.3
2014-08-16,58.8
2014-08-17,62.0
2014-08-18,65.0
2014-08-19,67.6
2014-08-20,70.9
2014-08-21,79.3
2014-08-22,85.9
2014-08-23,86.3
2014-08-24,86.6
2014-08-25,86.9
2014-08-26,88.2
2014-08-27,89.2
2014-08-28,88.7
2014-08-29,87.6
2014-08-30,86.1
2014-08-31,84.7
2014-09-01,83.6
2014-09-02,82.8
2014-09-03,82.3
2014-09-04,82.1
2014-09-05,82.0
2014-09-06,81.8
2014-09-07,81.8
2014-09-08,81.7
2014-09-09,81.6
2014-09-10,81.5
2014-09-11,81.4
2014-09-12,81.3
2014-09-13,81.1
2014-09-14,80.8
2014-09-15,80.7
2014-09-16,80.8
2014-09-17,81.1
2014-09-18,81.5
2014-09-19,82.0
2014-09-20,82.7
2014-09-21,83.7
2014-09-22,84.9
2014-09-23,86.4
2014-09-24,88.5
2014-09-25,92.5
2014-09-26,95.3
2014-09-27,93.6
2014-09-28,90.0
2014-09-29,86.5
2014-09-30,83.3
2014-10-01,81.4
2014-10-02,81.4
2014-10-03,81.6
2014-10-04,81.7
2014-10-05,81.9
2014-10-06,82.0
2014-10-07,82.1
2014-10-08,82.2
2014-10-09,82.3
2014-10-10,82.4
2014-10-11,82.6
2014-10-12,83.0
2014-10-13,83.3
2014-10-14,83.4
2014-10-15,83.4
2014-10-16,83.4
2014-10-17,83.4
2014-10-18,83.5
2014-10-19,83.5
2014-10-20,83.6
2014-10-21,91.0
2014-10-22,98.3
2014-10-23,98.3
2014-10-24,98.3
2014-10-25,98.3
2014-10-26,98.3
2014-10-27,91.0
2014-10-28,83.0
2014-10-29,82.0
2014-10-30,81.6
2014-10-31,82.3
2014-11-01,83.0
2014-11-02,83.1
2014-11-03,83.2
2014-11-04,83.3
2014-11-05,83.4
2014-11-06,83.5
2014-11-07,83.6
2014-11-08,83.6
2014-11-09,83.8
2014-11-10,83.9
2014-11-11,84.2
2014-11-12,84.5
2014-11-13,84.8
2014-11-14,84.9
2014-11-15,84.9
2014-11-16,84.9
2014-11-17,84.9
2014-11-18,85.1
2014-11-19,85.5
2014-11-20,85.7
2014-11-21,85.9
2014-11-22,86.0
2014-11-23,86.1
2014-11-24,86.2
2014-11-25,86.8
2014-11-26,87.5
2014-11-27,87.9
2014-11-28,88.2
2014-11-29,88.3
2014-11-30,88.4
2014-12-01,88.5
2014-12-02,89.1
2014-12-03,89.9
2014-12-04,90.3
2014-12-05,90.6
2014-12-06,90.7
2014-12-07,90.8
2014-12-08,90.8
2014-12-09,90.9
2014-12-10,91.1
2014-12-11,91.2
2014-12-12,91.2
2014-12-13,91.2
2014-12-14,91.2
2014-12-15,91.7
2014-12-16,92.3
2014-12-17,92.5
2014-12-18,92.6
2014-12-19,92.7
2014-12-20,92.8
2014-12-21,92.8
2014-12-22,92.9
2014-12-23,93.0
2014-12-24,93.1
2014-12-25,93.2
2014-12-26,93.3
2014-12-27,93.4
2014-12-28,93.5
2014-12-29,93.6
2014-12-30,93.7
2014-12-31,93.9
2015-01-01,94.1
2015-01-02,94.3
2015-01-03,94.4
2015-01-04,94.5
2015-01-05,94.5
2015-01-06,94.6
2015-01-07,94.7
2015-01-08,94.7
2015-01-09,94.7
2015-01-10,94.8
2015-01-11,94.8
2015-01-12,94.9
2015-01-13,95.0
2015-01-14,95.1
2015-01-15,95.2
2015-01-16,95.3
2015-01-17,95.4
2015-01-18,95.4
2015-01-19,95.5
2015-01-20,95.6
2015-01-21,95.8
2015-01-22,96.0
2015-01-23,96.2
2015-01-24,96.3
2015-01-25,96.4
2015-01-26,96.6
2015-01-27,96.8
2015-01-28,97.0
2015-01-29,97.1
2015-01-30,97.1
2015-01-31,97.2
2015-02-01,97.2
2015-02-02,97.3
2015-02-03,97.5
2015-02-04,97.6
2015-02-05,97.7
2015-02-06,97.7
2015-02-07,97.7
2015-02-08,97.8
2015-02-09,97.8
2015-02-10,97.8
2015-02-11,97.8
2015-02-12,97.8
2015-02-13,97.9
2015-02-14,97.9
2015-02-15,97.9
2015-02-16,98.0
2015-02-17,98.1
2015-02-18,98.3
2015-02-19,98.6
2015-02-20,98.8
2015-02-21,99.1
2015-02-22,99.2
2015-02-23,99.3
2015-02-24,99.3
2015-02-25,99.3
2015-02-26,99.2
2015-02-27,99.2
2015-02-28,99.1
2015-03-01,99.1
2015-03-02,99.0
2015-03-03,99.0
2015-03-04,99.0
2015-03-05,99.0
2015-03-06,99.0
2015-03-07,99.1
2015-03-08,99.1
2015-03-09,99.2
2015-03-10,99.2
2015-03-11,99.3
2015-03-12,99.4
2015-03-13,99.5
2015-03-14,99.5
2015-03-15,99.6
2015-03-16,99.6
2015-03-17,99.7
2015-03-18,99.7
2015-03-19,99.7
2015-03-20,99.7
2015-03-21,99.7
2015-03-22,99.7
