날짜,저수율
2014-01-01,100.0
2014-01-02,100.0
2014-01-03,100.0
2014-01-04,100.0
2014-01-05,100.0
2014-01-06,100.0
2014-01-07,100.0
2014-01-08,100.0
2014-01-09,100.0
2014-01-10,100.0
2014-01-11,100.0
2014-01-12,100.0
2014-01-13,100.0
2014-01-14,100.0
2014-01-15,100.0
2014-01-16,100.0
2014-01-17,100.0
2014-01-18,100.0
2014-01-19,100.0
2014-01-20,100.0
2014-01-21,100.0
2014-01-22,100.0
2014-01-23,100.0
2014-01-24,100.0
2014-01-25,100.0
2014-01-26,100.0
2014-01-27,100.0
2014-01-28,100.0
2014-01-29,100.0
2014-01-30,100.0
2014-01-31,100.0
2014-02-01,100.0
2014-02-02,100.0
2014-02-03,100.0
2014-02-04,100.0
2014-02-05,100.0
2014-02-06,100.0
2014-02-07,100.0
2014-02-08,100.0
2014-02-09,100.0
2014-02-10,100.0
2014-02-11,100.0
2014-02-12,100.0
2014-02-13,100.0
2014-02-14,99.0
2014-02-15,96.5
2014-02-16,93.5
2014-02-17,91.0
2014-02-18,90.0
2014-02-19,90.0
2014-02-20,90.0
2014-02-21,90.0
2014-02-22,90.0
2014-02-23,90.0
2014-02-24,90.0
2014-02-25,90.0
2014-02-26,90.0
2014-02-27,90.0
2014-02-28,90.0
2014-03-01,90.0
2014-03-02,90.0
2014-03-03,90.0
2014-03-04,90.0
2014-03-05,90.0
2014-03-06,90.0
2014-03-07,90.0
2014-03-08,90.0
2014-03-09,91.0
2014-03-10,93.5
2014-03-11,96.5
2014-03-12,99.0
2014-03-13,100.0
2014-03-14,100.0
2014-03-15,100.0
2014-03-16,100.0
2014-03-17,100.0
2014-03-18,100.0
2014-03-19,100.0
2014-03-20,100.0
2014-03-21,100.0
2014-03-22,100.0
2014-03-23,100.0
2014-03-24,100.0
2014-03-25,100.0
2014-03-26,100.0
2014-03-27,100.0
2014-03-28,100.0
2014-03-29,99.9
2014-03-30,99.4
2014-03-31,98.8
2014-04-01,98.0
2014-04-02,97.0
2014-04-03,94.9
2014-04-04,92.4
2014-04-05,90.6
2014-04-06,89.0
2014-04-07,87.8
2014-04-08,86.8
2014-04-09,86.3
2014-04-10,86.4
2014-04-11,86.5
2014-04-12,86.8
2014-04-13,87.2
2014-04-14,87.8
2014-04-15,91.6
2014-04-16,95.0
2014-04-17,94.7
2014-04-18,94.0
2014-04-19,93.0
2014-04-20,92.0
2014-04-21,91.0
2014-04-22,90.3
2014-04-23,90.0
2014-04-24,91.0
2014-04-25,93.2
2014-04-26,95.0
2014-04-27,96.3
2014-04-28,97.0
2014-04-29,96.5
2014-04-30,95.5
2014-05-01,94.4
2014-05-02,93.9
2014-05-03,93.9
2014-05-04,93.9
2014-05-05,93.9
2014-05-06,93.9
2014-05-07,90.9
2014-05-08,87.8
2014-05-09,87.8
2014-05-10,87.8
2014-05-11,93.9
2014-05-12,100.0
2014-05-13,100.0
2014-05-14,100.0
2014-05-15,100.0
2014-05-16,100.0
2014-05-17,100.0
2014-05-18,100.0
2014-05-19,100.0
2014-05-20,100.0
2014-05-21,100.0
2014-05-22,100.0
2014-05-23,100.0
2014-05-24,100.0
2014-05-25,100.0
2014-05-26,100.0
2014-05-27,100.0
2014-05-28,92.5
2014-05-29,85.0
2014-05-30,86.0
2014-05-31,88.5
2014-06-01,91.5
2014-06-02,94.0
2014-06-03,95.0
2014-06-04,94.8
2014-06-05,94.4
2014-06-06,93.7
2014-06-07,92.9
2014-06-08,92.1
2014-06-09,91.3
2014-06-10,90.6
2014-06-11,90.2
2014-06-12,90.0
2014-06-13,90.0
2014-06-14,90.0
2014-06-15,90.0
2014-06-16,90.0
2014-06-17,90.0
2014-06-18,79.8
2014-06-19,66.0
2014-06-20,59.2
2014-06-21,56.0
2014-06-22,56.0
2014-06-23,56.0
2014-06-24,56.0
2014-06-25,59.8
2014-06-26,65.5
2014-06-27,69.7
2014-06-28,72.0
2014-06-29,71.9
2014-06-30,71.7
2014-07-01,71.3
2014-07-02,67.0
2014-07-03,61.0
2014-07-04,57.1
2014-07-05,55.0
2014-07-06,55.0
2014-07-07,55.0
2014-07-08,50.0
2014-07-09,45.0
2014-07-10,45.6
2014-07-11,47.3
2014-07-12,49.7
2014-07-13,52.4
2014-07-14,55.0
2014-07-15,57.3
2014-07-16,61.0
2014-07-17,81.8
2014-07-18,100.0
2014-07-19,99.9
2014-07-20,99.7
2014-07-21,99.4
