날짜,저수율
2014-01-01,100.0
2014-01-02,100.0
2014-01-03,100.0
2014-01-04,100.0
2014-01-05,100.0
2014-01-06,100.0
2014-01-07,100.0
2014-01-08,100.0
2014-01-09,100.0
2014-01-10,100.0
2014-01-11,100.0
2014-01-12,100.0
2014-01-13,100.0
2014-01-14,100.0
2014-01-15,100.0
2014-01-16,100.0
2014-01-17,100.0
2014-01-18,100.0
2014-01-19,100.0
2014-01-20,100.0
2014-01-21,100.0
2014-01-22,100.0
2014-01-23,100.0
2014-01-24,100.0
2014-01-25,100.0
2014-01-26,100.0
2014-01-27,100.0
2014-01-28,100.0
2014-01-29,100.0
2014-01-30,100.0
2014-01-31,100.0
2014-02-01,100.0
2014-02-02,100.0
2014-02-03,100.0
2014-02-04,100.0
2014-02-05,100.0
2014-02-06,100.0
2014-02-07,100.0
2014-02-08,100.0
2014-02-09,100.0
2014-02-10,100.0
2014-02-11,100.0
2014-02-12,100.0
2014-02-13,100.0
2014-02-14,100.0
2014-02-15,100.0
2014-02-16,100.0
2014-02-17,100.0
2014-02-18,100.0
2014-02-19,100.0
2014-02-20,100.0
2014-02-21,100.0
2014-02-22,100.0
2014-02-23,100.0
2014-02-24,100.0
2014-02-25,100.0
2014-02-26,100.0
2014-02-27,100.0
2014-02-28,100.0
2014-03-01,100.0
2014-03-02,100.0
2014-03-03,99.9
2014-03-04,99.9
2014-03-05,99.9
2014-03-06,99.9
2014-03-07,99.9
2014-03-08,100.0
2014-03-09,100.0
2014-03-10,100.0
2014-03-11,100.0
2014-03-12,100.0
2014-03-13,100.0
2014-03-14,100.0
2014-03-15,100.0
2014-03-16,100.0
2014-03-17,100.0
2014-03-18,100.0
2014-03-19,100.0
2014-03-20,100.0
2014-03-21,100.0
2014-03-22,100.0
2014-03-23,100.0
2014-03-24,100.0
2014-03-25,100.0
2014-03-26,100.0
2014-03-27,100.0
2014-03-28,100.0
2014-03-29,100.0
2014-03-30,100.0
2014-03-31,100.0
2014-04-01,100.0
2014-04-02,100.0
2014-04-03,100.0
2014-04-04,100.0
2014-04-05,100.0
2014-04-06,100.0
2014-04-07,99.9
2014-04-08,99.9
2014-04-09,99.9
2014-04-10,99.8
2014-04-11,99.8
2014-04-12,99.8
2014-04-13,99.8
2014-04-14,99.8
2014-04-15,99.8
2014-04-16,99.8
2014-04-17,99.8
2014-04-18,99.8
2014-04-19,99.8
2014-04-20,99.8
2014-04-21,99.8
2014-04-22,99.7
2014-04-23,99.3
2014-04-24,98.5
2014-04-25,98.0
2014-04-26,97.8
2014-04-27,97.7
2014-04-28,97.6
2014-04-29,97.4
2014-04-30,97.3
2014-05-01,97.2
2014-05-02,97.2
2014-05-03,97.2
2014-05-04,97.2
2014-05-05,97.2
2014-05-06,97.2
2014-05-07,96.1
2014-05-08,94.9
2014-05-09,94.9
2014-05-10,95.0
2014-05-11,95.1
2014-05-12,95.2
2014-05-13,95.2
2014-05-14,95.1
2014-05-15,95.0
2014-05-16,94.8
2014-05-17,94.5
2014-05-18,94.2
2014-05-19,93.9
2014-05-20,93.4
2014-05-21,92.8
2014-05-22,92.2
2014-05-23,92.0
2014-05-24,91.7
2014-05-25,91.1
2014-05-26,90.4
2014-05-27,89.8
2014-05-28,89.2
2014-05-29,88.6
2014-05-30,87.9
2014-05-31,87.0
2014-06-01,86.2
2014-06-02,85.8
2014-06-03,85.5
2014-06-04,85.4
2014-06-05,85.2
2014-06-06,84.3
2014-06-07,82.6
2014-06-08,81.2
2014-06-09,80.3
2014-06-10,79.7
2014-06-11,79.4
2014-06-12,79.1
2014-06-13,78.8
2014-06-14,78.3
2014-06-15,77.5
2014-06-16,76.8
2014-06-17,76.0
2014-06-18,75.3
2014-06-19,74.5
2014-06-20,74.0
2014-06-21,74.0
2014-06-22,74.0
2014-06-23,73.2
2014-06-24,72.1
2014-06-25,71.4
2014-06-26,70.8
2014-06-27,70.2
2014-06-28,69.5
2014-06-29,68.9
2014-06-30,68.3
2014-07-01,67.8
2014-07-02,67.5
2014-07-03,67.3
2014-07-04,66.9
2014-07-05,66.4
2014-07-06,65.6
2014-07-07,65.0
2014-07-08,64.8
2014-07-09,64.6
2014-07-10,64.3
2014-07-11,63.9
2014-07-12,63.5
2014-07-13,62.9
2014-07-14,62.1
2014-07-15,61.2
2014-07-16,60.5
2014-07-17,60.0
2014-07-18,59.7
2014-07-19,59.5
2014-07-20,59.4
2014-07-21,59.3
