날짜,저수율
2014-01-01,67.0
2014-01-02,67.1
2014-01-03,67.1
2014-01-04,67.1
2014-01-05,67.1
2014-01-06,67.5
2014-01-07,67.9
2014-01-08,68.0
2014-01-09,68.1
2014-01-10,68.2
2014-01-11,68.2
2014-01-12,68.3
2014-01-13,68.3
2014-01-14,68.3
2014-01-15,68.4
2014-01-16,68.4
2014-01-17,68.5
2014-01-18,68.6
2014-01-19,68.8
2014-01-20,69.0
2014-01-21,69.2
2014-01-22,69.4
2014-01-23,69.6
2014-01-24,69.8
2014-01-25,70.1
2014-01-26,70.4
2014-01-27,70.7
2014-01-28,70.9
2014-01-29,71.1
2014-01-30,71.6
2014-01-31,72.5
2014-02-01,73.5
2014-02-02,74.3
2014-02-03,74.6
2014-02-04,74.6
2014-02-05,74.6
2014-02-06,74.6
2014-02-07,74.6
2014-02-08,74.6
2014-02-09,74.6
2014-02-10,75.5
2014-02-11,76.6
2014-02-12,77.1
2014-02-13,77.5
2014-02-14,77.8
2014-02-15,78.1
2014-02-16,78.3
2014-02-17,78.6
2014-02-18,78.9
2014-02-19,79.1
2014-02-20,79.4
2014-02-21,79.6
2014-02-22,79.6
2014-02-23,79.6
2014-02-24,80.0
2014-02-25,80.6
2014-02-26,80.9
2014-02-27,81.1
2014-02-28,81.4
2014-03-01,81.8
2014-03-02,82.2
2014-03-03,82.5
2014-03-04,82.6
2014-03-05,82.7
2014-03-06,83.0
2014-03-07,83.3
2014-03-08,83.3
2014-03-09,83.3
2014-03-10,83.7
2014-03-11,84.4
2014-03-12,84.9
2014-03-13,85.4
2014-03-14,85.8
2014-03-15,86.2
2014-03-16,86.6
2014-03-17,87.0
2014-03-18,87.2
2014-03-19,87.5
2014-03-20,88.1
2014-03-21,88.6
2014-03-22,88.9
2014-03-23,89.1
2014-03-24,89.3
2014-03-25,89.7
2014-03-26,90.1
2014-03-27,90.4
2014-03-28,90.8
2014-03-29,91.1
2014-03-30,91.4
2014-03-31,91.6
2014-04-01,91.8
2014-04-02,92.0
2014-04-03,92.3
2014-04-04,92.6
2014-04-05,92.9
2014-04-06,93.2
2014-04-07,93.3
2014-04-08,93.3
2014-04-09,93.3
2014-04-10,93.3
2014-04-11,93.3
2014-04-12,93.3
2014-04-13,93.3
2014-04-14,93.3
2014-04-15,93.3
2014-04-16,93.3
2014-04-17,93.3
2014-04-18,93.3
2014-04-19,93.3
2014-04-20,93.1
2014-04-21,93.0
2014-04-22,92.8
2014-04-23,92.6
2014-04-24,92.5
2014-04-25,92.3
2014-04-26,91.7
2014-04-27,90.7
2014-04-28,89.1
2014-04-29,85.7
2014-04-30,81.2
2014-05-01,76.8
2014-05-02,73.0
2014-05-03,70.0
