날짜,저수율
2014-01-01,89.3
2014-01-02,89.3
2014-01-03,89.3
2014-01-04,89.2
2014-01-05,89.2
2014-01-06,89.2
2014-01-07,89.1
2014-01-08,89.1
2014-01-09,88.9
2014-01-10,88.8
2014-01-11,88.9
2014-01-12,89.0
2014-01-13,89.1
2014-01-14,89.1
2014-01-15,89.1
2014-01-16,89.1
2014-01-17,89.1
2014-01-18,89.1
2014-01-19,89.1
2014-01-20,89.1
2014-01-21,89.1
2014-01-22,89.1
2014-01-23,89.1
2014-01-24,89.1
2014-01-25,89.1
2014-01-26,89.1
2014-01-27,89.1
2014-01-28,89.1
2014-01-29,89.1
2014-01-30,89.1
2014-01-31,89.0
2014-02-01,88.9
2014-02-02,88.8
2014-02-03,88.7
2014-02-04,88.6
2014-02-05,88.6
2014-02-06,88.6
2014-02-07,88.7
2014-02-08,88.7
2014-02-09,88.8
2014-02-10,88.8
2014-02-11,88.9
2014-02-12,89.0
2014-02-13,89.1
2014-02-14,89.1
2014-02-15,89.1
2014-02-16,89.1
2014-02-17,89.1
2014-02-18,89.1
2014-02-19,89.1
2014-02-20,89.1
2014-02-21,89.1
2014-02-22,89.1
2014-02-23,89.1
2014-02-24,89.1
2014-02-25,89.1
2014-02-26,89.1
2014-02-27,89.1
2014-02-28,89.1
2014-03-01,89.0
2014-03-02,88.9
2014-03-03,88.8
2014-03-04,88.7
2014-03-05,88.6
2014-03-06,88.6
2014-03-07,88.6
2014-03-08,88.7
2014-03-09,88.8
2014-03-10,88.8
2014-03-11,88.9
2014-03-12,89.0
2014-03-13,89.1
2014-03-14,89.2
2014-03-15,89.3
2014-03-16,89.4
2014-03-17,89.5
2014-03-18,89.5
2014-03-19,89.6
2014-03-20,89.6
2014-03-21,89.7
2014-03-22,89.7
2014-03-23,89.7
2014-03-24,89.8
2014-03-25,90.6
2014-03-26,91.8
2014-03-27,92.5
2014-03-28,93.1
2014-03-29,93.6
2014-03-30,94.1
2014-03-31,94.4
2014-04-01,94.6
2014-04-02,94.7
2014-04-03,94.7
2014-04-04,94.8
2014-04-05,94.8
2014-04-06,94.8
2014-04-07,94.8
2014-04-08,94.9
2014-04-09,94.9
2014-04-10,94.9
2014-04-11,95.0
2014-04-12,95.1
2014-04-13,95.1
2014-04-14,95.2
2014-04-15,95.3
2014-04-16,95.3
2014-04-17,95.4
2014-04-18,95.6
2014-04-19,95.7
2014-04-20,95.8
2014-04-21,95.8
2014-04-22,95.8
2014-04-23,95.9
2014-04-24,96.0
2014-04-25,96.1
2014-04-26,96.3
2014-04-27,96.6
2014-04-28,96.9
2014-04-29,97.7
2014-04-30,98.5
2014-05-01,99.0
2014-05-02,99.2
2014-05-03,99.2
2014-05-04,99.2
2014-05-05,99.2
2014-05-06,99.2
2014-05-07,98.5
2014-05-08,97.7
2014-05-09,97.8
2014-05-10,98.0
2014-05-11,98.2
2014-05-12,98.5
2014-05-13,98.8
2014-05-14,99.0
2014-05-15,99.0
2014-05-16,99.0
2014-05-17,99.0
2014-05-18,98.5
2014-05-19,98.0
2014-05-20,98.0
2014-05-21,98.0
2014-05-22,98.0
2014-05-23,97.9
2014-05-24,97.7
2014-05-25,96.8
2014-05-26,95.4
2014-05-27,94.3
2014-05-28,93.1
2014-05-29,92.0
2014-05-30,90.8
2014-05-31,89.1
2014-06-01,84.8
2014-06-02,81.3
2014-06-03,81.1
2014-06-04,81.0
2014-06-05,81.0
2014-06-06,81.0
2014-06-07,81.0
2014-06-08,76.7
2014-06-09,71.1
2014-06-10,68.9
2014-06-11,67.2
2014-06-12,65.3
2014-06-13,63.5
2014-06-14,61.6
2014-06-15,59.6
2014-06-16,57.7
2014-06-17,55.8
2014-06-18,53.9
2014-06-19,52.0
2014-06-20,50.3
2014-06-21,48.7
2014-06-22,47.3
2014-06-23,46.1
2014-06-24,45.3
2014-06-25,44.5
2014-06-26,43.1
2014-06-27,41.9
2014-06-28,41.1
2014-06-29,40.5
2014-06-30,40.3
2014-07-01,40.3
2014-07-02,40.3
2014-07-03,40.3
2014-07-04,40.7
2014-07-05,41.4
2014-07-06,42.8
2014-07-07,44.2
2014-07-08,45.0
2014-07-09,45.4
2014-07-10,45.5
2014-07-11,45.5
2014-07-12,45.5
2014-07-13,45.5
2014-07-14,45.5
2014-07-15,45.5
2014-07-16,45.6
2014-07-17,51.6
2014-07-18,60.6
2014-07-19,67.0
2014-07-20,72.6
2014-07-21,75.6
2014-07-22,76.4
2014-07-23,76.8
2014-07-24,76.9
2014-07-25,77.0
2014-07-26,77.0
2014-07-27,76.9
2014-07-28,76.7
2014-07-29,76.5
2014-07-30,76.0
2014-07-31,75.6
2014-08-01,75.9
2014-08-02,76.7
2014-08-03,77.8
2014-08-04,79.0
2014-08-05,80.5
2014-08-06,82.5
2014-08-07,86.0
2014-08-08,89.1
2014-08-09,90.2
2014-08-10,91.0
2014-08-11,91.6
2014-08-12,92.3
2014-08-13,93.0
2014-08-14,93.8
2014-08-15,94.4
2014-08-16,95.0
2014-08-17,95.5
2014-08-18,95.8
2014-08-19,95.9
2014-08-20,95.9
2014-08-21,95.9
2014-08-22,95.9
2014-08-23,95.9
2014-08-24,95.8
2014-08-25,95.8
2014-08-26,95.8
2014-08-27,95.8
2014-08-28,95.7
2014-08-29,95.7
2014-08-30,95.6
2014-08-31,95.6
2014-09-01,95.5
2014-09-02,95.4
2014-09-03,95.4
2014-09-04,95.4
2014-09-05,95.4
2014-09-06,95.4
2014-09-07,95.4
2014-09-08,95.4
2014-09-09,95.4
2014-09-10,95.4
2014-09-11,91.6
2014-09-12,87.6
2014-09-13,87.5
2014-09-14,87.4
2014-09-15,87.3
2014-09-16,86.4
2014-09-17,85.0
2014-09-18,83.0
2014-09-19,81.5
2014-09-20,81.1
2014-09-21,80.9
2014-09-22,80.8
2014-09-23,80.8
2014-09-24,80.8
2014-09-25,80.9
2014-09-26,80.9
2014-09-27,80.9
2014-09-28,81.0
2014-09-29,81.1
2014-09-30,81.3
2014-10-01,81.4
2014-10-02,81.5
2014-10-03,81.6
2014-10-04,81.7
2014-10-05,81.8
2014-10-06,81.8
2014-10-07,81.8
2014-10-08,81.8
2014-10-09,81.8
2014-10-10,81.8
2014-10-11,81.8
2014-10-12,81.8
2014-10-13,82.3
2014-10-14,82.8
2014-10-15,82.8
2014-10-16,82.8
2014-10-17,82.8
2014-10-18,82.8
2014-10-19,83.1
2014-10-20,83.8
2014-10-21,84.8
2014-10-22,85.5
2014-10-23,85.5
2014-10-24,85.5
2014-10-25,85.5
2014-10-26,86.0
2014-10-27,86.6
2014-10-28,86.7
2014-10-29,86.8
2014-10-30,87.1
2014-10-31,87.6
2014-11-01,88.0
2014-11-02,88.3
2014-11-03,88.6
2014-11-04,88.9
2014-11-05,89.1
2014-11-06,89.4
2014-11-07,89.6
2014-11-08,89.7
2014-11-09,89.7
2014-11-10,89.8
2014-11-11,89.9
2014-11-12,90.0
2014-11-13,90.1
2014-11-14,90.2
2014-11-15,90.4
2014-11-16,90.5
2014-11-17,90.6
2014-11-18,90.7
2014-11-19,90.8
2014-11-20,90.9
2014-11-21,91.1
2014-11-22,91.2
2014-11-23,91.4
2014-11-24,91.6
2014-11-25,93.8
2014-11-26,96.2
2014-11-27,96.7
2014-11-28,96.9
2014-11-29,97.0
2014-11-30,97.1
2014-12-01,97.2
2014-12-02,98.4
2014-12-03,99.5
2014-12-04,99.6
2014-12-05,99.7
2014-12-06,99.8
2014-12-07,99.9
2014-12-08,100.0
2014-12-09,100.0
2014-12-10,100.0
2014-12-11,100.0
2014-12-12,100.0
2014-12-13,100.0
2014-12-14,100.0
2014-12-15,100.0
2014-12-16,100.0
2014-12-17,100.0
2014-12-18,100.0
2014-12-19,100.0
2014-12-20,100.0
2014-12-21,100.0
2014-12-22,100.0
2014-12-23,100.0
2014-12-24,100.0
2014-12-25,100.0
2014-12-26,100.0
2014-12-27,100.0
2014-12-28,100.0
2014-12-29,100.0
2014-12-30,100.0
2014-12-31,100.0
2015-01-01,100.0
2015-01-02,100.0
2015-01-03,100.0
2015-01-04,100.0
2015-01-05,100.0
2015-01-06,100.0
2015-01-07,100.0
2015-01-08,100.0
2015-01-09,100.0
2015-01-10,100.0
2015-01-11,100.0
2015-01-12,100.0
2015-01-13,100.0
2015-01-14,100.0
2015-01-15,100.0
2015-01-16,100.0
2015-01-17,100.0
2015-01-18,100.0
2015-01-19,100.0
2015-01-20,100.0
2015-01-21,100.0
2015-01-22,100.0
2015-01-23,100.0
2015-01-24,100.0
2015-01-25,100.0
2015-01-26,100.0
2015-01-27,100.0
2015-01-28,100.0
2015-01-29,100.0
2015-01-30,100.0
2015-01-31,100.0
2015-02-01,100.0
2015-02-02,100.0
2015-02-03,100.0
