날짜,저수율
2014-01-01,80.0
2014-01-02,80.0
2014-01-03,80.0
2014-01-04,80.0
2014-01-05,80.0
2014-01-06,80.0
2014-01-07,80.0
2014-01-08,80.0
2014-01-09,80.0
2014-01-10,80.0
2014-01-11,80.0
2014-01-12,80.0
2014-01-13,80.0
2014-01-14,80.0
2014-01-15,80.0
2014-01-16,80.0
2014-01-17,80.0
2014-01-18,80.0
2014-01-19,80.0
2014-01-20,80.0
2014-01-21,80.0
2014-01-22,80.0
2014-01-23,80.0
2014-01-24,80.0
2014-01-25,80.0
2014-01-26,80.0
2014-01-27,80.0
2014-01-28,80.0
2014-01-29,80.0
2014-01-30,80.0
2014-01-31,80.0
2014-02-01,80.0
2014-02-02,80.0
2014-02-03,80.0
2014-02-04,80.0
2014-02-05,80.0
2014-02-06,80.0
2014-02-07,80.0
2014-02-08,80.0
2014-02-09,80.0
2014-02-10,80.0
2014-02-11,80.0
2014-02-12,80.0
2014-02-13,80.0
2014-02-14,80.0
2014-02-15,80.0
2014-02-16,80.0
2014-02-17,80.0
2014-02-18,80.0
2014-02-19,80.0
2014-02-20,80.0
2014-02-21,80.0
2014-02-22,80.0
2014-02-23,80.0
2014-02-24,80.0
2014-02-25,80.0
2014-02-26,80.0
2014-02-27,80.0
2014-02-28,80.0
2014-03-01,80.0
2014-03-02,80.0
2014-03-03,80.0
2014-03-04,80.0
2014-03-05,80.0
2014-03-06,80.0
2014-03-07,80.0
2014-03-08,80.0
2014-03-09,80.0
2014-03-10,82.0
2014-03-11,86.7
2014-03-12,92.3
2014-03-13,97.0
2014-03-14,99.0
2014-03-15,99.0
2014-03-16,99.0
2014-03-17,99.0
2014-03-18,99.0
2014-03-19,99.0
2014-03-20,99.0
2014-03-21,99.0
2014-03-22,99.0
2014-03-23,99.0
2014-03-24,99.0
2014-03-25,99.0
2014-03-26,99.0
2014-03-27,99.0
2014-03-28,99.0
2014-03-29,99.0
2014-03-30,99.0
2014-03-31,99.0
2014-04-01,99.0
2014-04-02,99.0
2014-04-03,99.0
2014-04-04,99.0
2014-04-05,99.0
2014-04-06,99.0
2014-04-07,99.0
2014-04-08,99.0
2014-04-09,99.0
2014-04-10,99.0
2014-04-11,99.0
2014-04-12,99.0
2014-04-13,99.0
2014-04-14,99.0
2014-04-15,99.0
2014-04-16,99.0
2014-04-17,99.0
2014-04-18,99.0
2014-04-19,99.0
2014-04-20,99.0
2014-04-21,99.0
2014-04-22,99.0
2014-04-23,99.0
2014-04-24,99.1
2014-04-25,99.4
2014-04-26,99.6
2014-04-27,99.9
2014-04-28,100.0
2014-04-29,100.0
2014-04-30,100.0
2014-05-01,100.0
2014-05-02,100.0
2014-05-03,100.0
2014-05-04,100.0
2014-05-05,100.0
2014-05-06,100.0
2014-05-07,100.0
2014-05-08,100.0
2014-05-09,100.0
2014-05-10,100.0
2014-05-11,100.0
2014-05-12,100.0
2014-05-13,100.0
2014-05-14,100.0
2014-05-15,100.0
2014-05-16,100.0
2014-05-17,100.0
2014-05-18,100.0
2014-05-19,100.0
2014-05-20,100.0
2014-05-21,100.0
2014-05-22,100.0
2014-05-23,99.9
2014-05-24,99.8
2014-05-25,99.7
2014-05-26,99.6
2014-05-27,99.5
2014-05-28,99.5
2014-05-29,99.5
2014-05-30,99.5
2014-05-31,99.5
2014-06-01,99.5
2014-06-02,99.5
2014-06-03,99.5
2014-06-04,99.5
2014-06-05,99.5
2014-06-06,99.5
2014-06-07,99.5
2014-06-08,99.5
2014-06-09,99.5
2014-06-10,99.5
2014-06-11,99.5
2014-06-12,99.5
2014-06-13,99.5
2014-06-14,99.5
2014-06-15,99.5
2014-06-16,99.5
2014-06-17,99.5
2014-06-18,99.5
2014-06-19,99.5
2014-06-20,99.5
2014-06-21,99.5
