날짜,저수율
2014-01-01,77.5
2014-01-02,77.5
2014-01-03,77.4
2014-01-04,77.4
2014-01-05,77.4
2014-01-06,77.4
2014-01-07,77.4
2014-01-08,77.4
2014-01-09,77.4
2014-01-10,77.4
2014-01-11,77.4
2014-01-12,77.4
2014-01-13,77.3
2014-01-14,77.2
2014-01-15,77.2
2014-01-16,77.1
2014-01-17,77.1
2014-01-18,77.1
2014-01-19,77.0
2014-01-20,77.0
2014-01-21,77.0
2014-01-22,77.0
2014-01-23,77.0
2014-01-24,77.0
2014-01-25,76.9
2014-01-26,76.9
2014-01-27,76.9
2014-01-28,76.9
2014-01-29,76.8
2014-01-30,76.8
2014-01-31,76.8
2014-02-01,76.8
2014-02-02,76.7
2014-02-03,76.7
2014-02-04,76.7
2014-02-05,76.6
2014-02-06,76.6
2014-02-07,76.6
2014-02-08,76.6
2014-02-09,76.6
2014-02-10,76.5
2014-02-11,76.5
2014-02-12,76.5
2014-02-13,76.5
2014-02-14,76.4
2014-02-15,76.4
2014-02-16,76.3
2014-02-17,76.3
2014-02-18,76.3
2014-02-19,76.2
2014-02-20,76.2
2014-02-21,76.2
2014-02-22,76.2
2014-02-23,76.1
2014-02-24,76.1
2014-02-25,76.1
2014-02-26,76.1
2014-02-27,76.1
2014-02-28,76.1
2014-03-01,76.0
2014-03-02,76.0
2014-03-03,76.0
2014-03-04,76.0
2014-03-05,75.9
2014-03-06,75.8
2014-03-07,75.8
2014-03-08,75.8
2014-03-09,75.8
2014-03-10,75.8
2014-03-11,75.8
2014-03-12,75.8
2014-03-13,76.3
2014-03-14,76.8
2014-03-15,76.8
2014-03-16,76.9
2014-03-17,76.9
2014-03-18,76.9
2014-03-19,76.9
2014-03-20,77.0
2014-03-21,77.0
2014-03-22,77.0
2014-03-23,77.0
2014-03-24,77.0
2014-03-25,77.1
2014-03-26,77.1
2014-03-27,77.4
2014-03-28,77.8
2014-03-29,78.2
2014-03-30,78.6
2014-03-31,78.9
2014-04-01,79.0
2014-04-02,79.1
2014-04-03,79.2
2014-04-04,79.3
2014-04-05,79.3
2014-04-06,79.3
2014-04-07,79.3
2014-04-08,79.3
2014-04-09,79.3
2014-04-10,79.3
2014-04-11,79.4
2014-04-12,79.4
2014-04-13,79.4
2014-04-14,79.4
2014-04-15,79.4
2014-04-16,79.4
2014-04-17,79.4
2014-04-18,79.5
2014-04-19,79.7
2014-04-20,79.8
2014-04-21,79.8
2014-04-22,79.8
2014-04-23,79.8
2014-04-24,79.9
2014-04-25,79.9
2014-04-26,79.9
2014-04-27,80.0
2014-04-28,80.2
2014-04-29,82.3
2014-04-30,84.9
2014-05-01,86.1
2014-05-02,86.6
2014-05-03,86.6
2014-05-04,86.5
2014-05-05,86.5
2014-05-06,86.4
2014-05-07,86.3
2014-05-08,86.3
2014-05-09,86.2
2014-05-10,86.2
2014-05-11,86.1
2014-05-12,86.1
2014-05-13,86.0
2014-05-14,86.0
2014-05-15,85.9
2014-05-16,85.8
2014-05-17,85.5
2014-05-18,85.1
2014-05-19,83.8
2014-05-20,81.9
2014-05-21,80.3
2014-05-22,78.8
2014-05-23,77.3
2014-05-24,75.7
2014-05-25,74.3
2014-05-26,73.4
2014-05-27,72.6
2014-05-28,71.9
2014-05-29,71.3
2014-05-30,71.1
2014-05-31,70.8
2014-06-01,68.9
2014-06-02,66.8
2014-06-03,66.2
2014-06-04,65.6
2014-06-05,64.3
2014-06-06,62.6
2014-06-07,60.8
2014-06-08,59.2
2014-06-09,58.1
2014-06-10,57.2
2014-06-11,56.0
2014-06-12,55.3
2014-06-13,55.2
2014-06-14,55.2
2014-06-15,54.6
2014-06-16,54.0
2014-06-17,54.0
2014-06-18,54.0
2014-06-19,51.9
2014-06-20,49.2
2014-06-21,48.2
2014-06-22,47.4
2014-06-23,46.7
2014-06-24,45.9
2014-06-25,45.0
2014-06-26,44.1
2014-06-27,43.2
2014-06-28,42.4
2014-06-29,41.7
2014-06-30,41.0
2014-07-01,40.3
2014-07-02,39.9
2014-07-03,39.9
2014-07-04,39.9
2014-07-05,39.9
2014-07-06,39.9
2014-07-07,39.9
2014-07-08,39.9
2014-07-09,40.0
2014-07-10,40.2
2014-07-11,40.5
2014-07-12,40.7
2014-07-13,40.9
2014-07-14,41.1
2014-07-15,41.2
2014-07-16,41.4
2014-07-17,41.7
2014-07-18,42.1
2014-07-19,43.3
2014-07-20,45.1
2014-07-21,46.0
2014-07-22,46.0
2014-07-23,45.9
2014-07-24,45.8
2014-07-25,45.7
2014-07-26,45.3
2014-07-27,44.5
2014-07-28,43.7
2014-07-29,43.0
2014-07-30,42.3
2014-07-31,42.0
2014-08-01,47.0
2014-08-02,58.1
2014-08-03,69.6
2014-08-04,75.8
2014-08-05,76.8
2014-08-06,77.8
2014-08-07,80.9
2014-08-08,84.6
2014-08-09,87.5
2014-08-10,90.0
2014-08-11,91.2
2014-08-12,91.4
2014-08-13,91.5
2014-08-14,91.5
2014-08-15,91.5
2014-08-16,91.6
2014-08-17,91.6
2014-08-18,91.7
2014-08-19,91.9
2014-08-20,96.0
2014-08-21,100.0
2014-08-22,100.0
2014-08-23,100.0
2014-08-24,100.0
2014-08-25,100.0
2014-08-26,100.0
2014-08-27,99.9
2014-08-28,99.9
2014-08-29,99.7
2014-08-30,99.3
2014-08-31,98.6
2014-09-01,97.7
2014-09-02,94.2
2014-09-03,90.3
2014-09-04,88.6
2014-09-05,87.9
2014-09-06,87.9
2014-09-07,87.9
2014-09-08,87.9
2014-09-09,87.9
2014-09-10,87.9
2014-09-11,85.8
2014-09-12,83.6
2014-09-13,83.6
2014-09-14,83.6
2014-09-15,82.6
2014-09-16,81.2
2014-09-17,80.4
2014-09-18,79.8
2014-09-19,79.6
2014-09-20,79.7
2014-09-21,79.9
2014-09-22,80.1
2014-09-23,80.4
2014-09-24,80.7
