날짜,저수율
2014-01-01,99.5
2014-01-02,99.5
2014-01-03,99.4
2014-01-04,99.4
2014-01-05,99.4
2014-01-06,99.4
2014-01-07,99.3
2014-01-08,99.3
2014-01-09,99.3
2014-01-10,99.3
2014-01-11,99.4
2014-01-12,99.5
2014-01-13,99.5
2014-01-14,99.5
2014-01-15,99.5
2014-01-16,99.5
2014-01-17,99.5
2014-01-18,99.5
2014-01-19,99.5
2014-01-20,99.5
2014-01-21,99.5
2014-01-22,99.5
2014-01-23,99.5
2014-01-24,99.5
2014-01-25,99.5
2014-01-26,99.5
2014-01-27,99.5
2014-01-28,99.5
2014-01-29,99.5
2014-01-30,99.5
2014-01-31,99.5
2014-02-01,99.5
2014-02-02,99.5
2014-02-03,99.5
2014-02-04,99.5
2014-02-05,99.5
2014-02-06,99.5
2014-02-07,99.5
2014-02-08,99.5
2014-02-09,99.5
2014-02-10,99.5
2014-02-11,99.5
2014-02-12,99.5
2014-02-13,99.5
2014-02-14,99.5
2014-02-15,99.5
2014-02-16,99.5
2014-02-17,99.5
2014-02-18,99.5
2014-02-19,99.5
2014-02-20,99.5
2014-02-21,99.5
2014-02-22,99.5
2014-02-23,99.5
2014-02-24,99.6
2014-02-25,99.7
2014-02-26,99.8
2014-02-27,99.8
2014-02-28,99.8
2014-03-01,99.8
2014-03-02,99.7
2014-03-03,99.6
2014-03-04,99.6
2014-03-05,99.5
2014-03-06,99.4
2014-03-07,99.3
2014-03-08,99.3
2014-03-09,99.4
2014-03-10,99.5
2014-03-11,99.6
2014-03-12,99.7
2014-03-13,99.8
2014-03-14,99.8
2014-03-15,99.8
2014-03-16,99.7
2014-03-17,99.7
2014-03-18,99.6
2014-03-19,99.5
2014-03-20,99.5
2014-03-21,99.5
2014-03-22,99.5
2014-03-23,99.6
2014-03-24,99.7
2014-03-25,99.8
2014-03-26,99.8
2014-03-27,99.8
2014-03-28,99.8
2014-03-29,99.7
2014-03-30,99.7
2014-03-31,99.6
2014-04-01,99.6
2014-04-02,99.5
2014-04-03,99.5
2014-04-04,99.5
2014-04-05,99.5
2014-04-06,99.5
2014-04-07,99.5
2014-04-08,99.5
2014-04-09,99.5
2014-04-10,99.5
2014-04-11,99.5
2014-04-12,99.5
2014-04-13,99.5
2014-04-14,99.5
2014-04-15,99.5
2014-04-16,99.5
2014-04-17,99.5
2014-04-18,99.5
2014-04-19,99.5
2014-04-20,99.5
2014-04-21,99.4
2014-04-22,99.4
2014-04-23,99.3
2014-04-24,99.3
2014-04-25,99.3
2014-04-26,99.4
2014-04-27,99.4
2014-04-28,99.5
2014-04-29,99.7
2014-04-30,99.8
2014-05-01,99.8
2014-05-02,99.8
2014-05-03,99.7
2014-05-04,99.6
2014-05-05,99.6
2014-05-06,99.5
2014-05-07,99.5
2014-05-08,99.5
2014-05-09,99.5
2014-05-10,99.4
2014-05-11,99.4
2014-05-12,99.4
2014-05-13,99.4
2014-05-14,99.3
2014-05-15,99.3
2014-05-16,99.0
2014-05-17,98.4
2014-05-18,96.2
2014-05-19,93.1
2014-05-20,90.3
2014-05-21,87.6
2014-05-22,85.5
2014-05-23,83.6
2014-05-24,81.5
2014-05-25,79.8
2014-05-26,78.8
2014-05-27,78.0
2014-05-28,77.2
2014-05-29,76.6
2014-05-30,76.3
2014-05-31,76.0
2014-06-01,73.5
2014-06-02,71.1
2014-06-03,71.0
2014-06-04,70.9
2014-06-05,70.9
2014-06-06,70.9
2014-06-07,70.8
2014-06-08,70.8
2014-06-09,70.7
2014-06-10,70.5
2014-06-11,70.0
2014-06-12,69.0
2014-06-13,68.3
2014-06-14,68.3
2014-06-15,68.3
2014-06-16,66.7
2014-06-17,64.4
2014-06-18,63.3
2014-06-19,62.4
2014-06-20,61.5
2014-06-21,60.2
2014-06-22,58.9
2014-06-23,58.2
2014-06-24,58.0
2014-06-25,57.9
2014-06-26,57.4
2014-06-27,56.6
2014-06-28,55.8
2014-06-29,55.1
2014-06-30,54.8
2014-07-01,55.8
2014-07-02,58.1
2014-07-03,60.8
2014-07-04,63.1
2014-07-05,64.7
2014-07-06,66.2
2014-07-07,67.9
2014-07-08,70.3
2014-07-09,73.0
2014-07-10,75.3
2014-07-11,77.5
2014-07-12,79.8
2014-07-13,82.8
2014-07-14,84.8
2014-07-15,84.9
2014-07-16,85.0
2014-07-17,85.0
2014-07-18,84.9
2014-07-19,84.9
2014-07-20,84.8
2014-07-21,84.6
2014-07-22,84.2
2014-07-23,83.4
2014-07-24,82.3
2014-07-25,81.8
2014-07-26,81.8
2014-07-27,81.8
2014-07-28,79.0
2014-07-29,75.4
2014-07-30,73.8
2014-07-31,73.0
2014-08-01,77.0
2014-08-02,85.9
2014-08-03,94.8
2014-08-04,98.9
2014-08-05,99.0
2014-08-06,99.1
2014-08-07,99.6
2014-08-08,100.0
2014-08-09,100.0
2014-08-10,100.0
2014-08-11,100.0
2014-08-12,99.7
2014-08-13,99.3
2014-08-14,99.3
2014-08-15,99.4
2014-08-16,99.5
2014-08-17,99.7
2014-08-18,99.8
