날짜,저수율
2014-01-01,65.0
2014-01-02,65.0
2014-01-03,65.0
2014-01-04,65.0
2014-01-05,65.0
2014-01-06,65.0
2014-01-07,65.0
2014-01-08,65.0
2014-01-09,65.0
2014-01-10,65.0
2014-01-11,65.0
2014-01-12,65.0
2014-01-13,65.0
2014-01-14,65.0
2014-01-15,65.0
2014-01-16,65.0
2014-01-17,65.0
2014-01-18,65.0
2014-01-19,65.0
2014-01-20,65.0
2014-01-21,65.0
2014-01-22,65.0
2014-01-23,65.0
2014-01-24,65.0
2014-01-25,65.0
2014-01-26,65.0
2014-01-27,65.0
2014-01-28,65.0
2014-01-29,65.0
2014-01-30,65.0
2014-01-31,65.0
2014-02-01,65.0
2014-02-02,65.0
2014-02-03,65.0
2014-02-04,65.0
2014-02-05,65.0
2014-02-06,65.0
2014-02-07,65.0
2014-02-08,65.0
2014-02-09,65.0
2014-02-10,65.0
2014-02-11,65.0
2014-02-12,65.0
2014-02-13,65.0
2014-02-14,65.0
2014-02-15,65.0
2014-02-16,65.0
2014-02-17,65.0
2014-02-18,65.0
2014-02-19,65.0
2014-02-20,65.0
2014-02-21,65.0
2014-02-22,65.0
2014-02-23,65.0
2014-02-24,65.0
2014-02-25,65.0
2014-02-26,65.0
2014-02-27,65.0
2014-02-28,65.0
2014-03-01,65.0
2014-03-02,65.1
2014-03-03,65.1
2014-03-04,65.2
2014-03-05,65.6
2014-03-06,66.0
2014-03-07,66.0
2014-03-08,66.0
2014-03-09,66.0
2014-03-10,66.0
2014-03-11,66.0
2014-03-12,66.0
2014-03-13,66.5
2014-03-14,67.6
2014-03-15,68.4
2014-03-16,68.7
2014-03-17,69.0
2014-03-18,69.6
2014-03-19,70.0
2014-03-20,70.0
2014-03-21,70.0
2014-03-22,70.0
2014-03-23,70.0
2014-03-24,70.0
2014-03-25,70.0
2014-03-26,71.3
2014-03-27,73.0
2014-03-28,73.6
2014-03-29,74.1
2014-03-30,74.4
2014-03-31,75.0
2014-04-01,76.0
2014-04-02,77.0
2014-04-03,77.5
2014-04-04,78.0
2014-04-05,78.4
2014-04-06,78.8
2014-04-07,79.1
2014-04-08,79.4
2014-04-09,79.7
2014-04-10,80.0
2014-04-11,80.2
2014-04-12,80.5
2014-04-13,80.7
2014-04-14,81.0
2014-04-15,81.3
2014-04-16,81.6
2014-04-17,81.8
2014-04-18,82.0
2014-04-19,82.1
2014-04-20,82.2
2014-04-21,82.3
2014-04-22,82.4
2014-04-23,82.4
2014-04-24,82.5
2014-04-25,82.6
2014-04-26,82.7
2014-04-27,82.8
2014-04-28,83.0
2014-04-29,83.5
2014-04-30,84.4
2014-05-01,85.0
2014-05-02,85.2
2014-05-03,85.4
2014-05-04,85.6
2014-05-05,85.7
2014-05-06,85.8
2014-05-07,86.0
2014-05-08,86.2
2014-05-09,86.4
2014-05-10,86.6
2014-05-11,86.8
2014-05-12,86.9
2014-05-13,87.0
2014-05-14,86.8
2014-05-15,86.4
2014-05-16,85.7
2014-05-17,84.9
2014-05-18,84.0
2014-05-19,82.6
2014-05-20,80.6
2014-05-21,79.0
2014-05-22,78.1
2014-05-23,77.0
2014-05-24,74.3
2014-05-25,71.3
2014-05-26,69.7
2014-05-27,68.0
2014-05-28,64.8
2014-05-29,62.0
2014-05-30,61.0
2014-05-31,60.0
2014-06-01,57.8
2014-06-02,56.0
2014-06-03,55.6
2014-06-04,55.4
2014-06-05,55.0
2014-06-06,54.0
2014-06-07,52.2
2014-06-08,50.0
2014-06-09,48.0
2014-06-10,45.9
2014-06-11,44.0
2014-06-12,43.0
2014-06-13,42.0
2014-06-14,40.0
2014-06-15,37.3
2014-06-16,35.0
2014-06-17,33.3
2014-06-18,31.8
2014-06-19,31.0
2014-06-20,30.7
2014-06-21,30.4
2014-06-22,30.2
2014-06-23,30.0
2014-06-24,30.0
2014-06-25,30.0
2014-06-26,30.0
2014-06-27,30.0
2014-06-28,30.0
2014-06-29,30.0
2014-06-30,30.0
2014-07-01,30.0
2014-07-02,30.0
2014-07-03,30.0
2014-07-04,30.0
2014-07-05,30.0
2014-07-06,30.0
2014-07-07,30.0
2014-07-08,30.0
2014-07-09,30.0
2014-07-10,30.0
2014-07-11,30.0
2014-07-12,30.0
2014-07-13,30.0
2014-07-14,30.2
2014-07-15,30.6
2014-07-16,31.3
2014-07-17,32.1
2014-07-18,33.0
2014-07-19,34.2
2014-07-20,36.0
2014-07-21,40.3
2014-07-22,45.0
2014-07-23,47.8
2014-07-24,50.0
2014-07-25,51.9
2014-07-26,53.0
2014-07-27,53.4
2014-07-28,53.7
2014-07-29,53.9
2014-07-30,54.0
2014-07-31,54.0
2014-08-01,54.0
2014-08-02,54.0
2014-08-03,54.0
2014-08-04,55.4
2014-08-05,57.0
2014-08-06,57.4
2014-08-07,57.6
2014-08-08,58.0
2014-08-09,62.8
2014-08-10,68.0
2014-08-11,69.1
2014-08-12,69.7
2014-08-13,70.2
2014-08-14,71.0
2014-08-15,72.1
2014-08-16,73.6
2014-08-17,76.0
2014-08-18,88.8
2014-08-19,100.0
2014-08-20,100.0
2014-08-21,99.9
2014-08-22,99.8
2014-08-23,99.7
2014-08-24,99.5
2014-08-25,99.3
2014-08-26,99.1
2014-08-27,98.8
2014-08-28,98.6
2014-08-29,98.3
2014-08-30,98.0
2014-08-31,97.7
2014-09-01,97.3
2014-09-02,97.0
2014-09-03,96.6
2014-09-04,96.0
2014-09-05,94.6
2014-09-06,92.9
2014-09-07,92.0
2014-09-08,92.0
2014-09-09,92.0
2014-09-10,92.0
2014-09-11,89.0
2014-09-12,85.0
2014-09-13,83.3
2014-09-14,82.1
2014-09-15,81.0
2014-09-16,80.0
2014-09-17,79.0
2014-09-18,77.7
2014-09-19,76.0
2014-09-20,73.4
2014-09-21,70.4
2014-09-22,69.0
2014-09-23,69.2
2014-09-24,69.5
2014-09-25,69.8
2014-09-26,70.0
2014-09-27,70.0
2014-09-28,70.0
2014-09-29,71.0
2014-09-30,72.0
2014-10-01,72.0
2014-10-02,72.0
2014-10-03,72.0
2014-10-04,72.0
2014-10-05,72.0
2014-10-06,72.0
2014-10-07,72.0
2014-10-08,72.0
2014-10-09,72.0
2014-10-10,72.0
2014-10-11,72.0
2014-10-12,72.0
2014-10-13,72.0
2014-10-14,72.0
2014-10-15,72.0
2014-10-16,72.0
2014-10-17,72.0
2014-10-18,72.0
2014-10-19,72.0
2014-10-20,72.0
2014-10-21,73.1
2014-10-22,75.0
2014-10-23,76.5
2014-10-24,78.0
2014-10-25,79.9
2014-10-26,81.9
2014-10-27,83.0
2014-10-28,83.3
