날짜,저수율
2014-01-01,60.0
2014-01-02,60.0
2014-01-03,60.0
2014-01-04,60.0
2014-01-05,60.0
2014-01-06,60.0
2014-01-07,60.0
2014-01-08,60.0
2014-01-09,60.0
2014-01-10,60.0
2014-01-11,60.0
2014-01-12,60.0
2014-01-13,60.0
2014-01-14,60.0
2014-01-15,60.0
2014-01-16,60.0
2014-01-17,60.0
2014-01-18,60.0
2014-01-19,60.0
2014-01-20,60.0
2014-01-21,60.0
2014-01-22,60.0
2014-01-23,60.0
2014-01-24,60.0
2014-01-25,60.0
2014-01-26,60.0
2014-01-27,60.0
2014-01-28,60.0
2014-01-29,60.0
2014-01-30,60.0
2014-01-31,60.0
2014-02-01,60.0
2014-02-02,60.0
2014-02-03,60.0
2014-02-04,60.0
2014-02-05,60.0
2014-02-06,60.0
2014-02-07,60.0
2014-02-08,60.0
2014-02-09,60.0
2014-02-10,60.0
2014-02-11,60.0
2014-02-12,60.0
2014-02-13,60.0
2014-02-14,60.0
2014-02-15,60.0
2014-02-16,60.0
2014-02-17,60.0
2014-02-18,60.0
2014-02-19,60.0
2014-02-20,60.0
2014-02-21,60.0
2014-02-22,60.0
2014-02-23,60.0
2014-02-24,60.0
2014-02-25,60.0
2014-02-26,60.0
2014-02-27,60.0
2014-02-28,60.0
2014-03-01,60.0
2014-03-02,60.0
2014-03-03,60.0
2014-03-04,60.0
2014-03-05,60.0
2014-03-06,60.0
2014-03-07,60.0
2014-03-08,60.0
2014-03-09,60.0
2014-03-10,60.0
2014-03-11,60.0
2014-03-12,60.0
2014-03-13,60.0
2014-03-14,60.0
2014-03-15,60.0
2014-03-16,60.0
2014-03-17,60.0
2014-03-18,60.0
2014-03-19,60.0
2014-03-20,60.0
2014-03-21,60.0
2014-03-22,60.0
2014-03-23,61.0
2014-03-24,63.5
2014-03-25,66.5
2014-03-26,69.0
2014-03-27,70.0
2014-03-28,70.0
2014-03-29,70.0
2014-03-30,70.0
2014-03-31,70.0
2014-04-01,70.0
2014-04-02,70.0
2014-04-03,70.0
2014-04-04,70.0
2014-04-05,70.0
2014-04-06,70.0
2014-04-07,70.0
2014-04-08,70.0
2014-04-09,70.0
2014-04-10,70.0
2014-04-11,70.0
2014-04-12,70.0
2014-04-13,70.0
2014-04-14,70.0
2014-04-15,70.0
2014-04-16,70.0
2014-04-17,70.0
2014-04-18,70.0
2014-04-19,70.0
2014-04-20,70.0
2014-04-21,70.0
2014-04-22,70.0
2014-04-23,70.0
2014-04-24,70.0
2014-04-25,70.0
2014-04-26,70.0
2014-04-27,70.0
2014-04-28,70.0
2014-04-29,70.0
2014-04-30,70.0
2014-05-01,70.0
2014-05-02,70.0
2014-05-03,70.0
2014-05-04,70.0
2014-05-05,70.0
2014-05-06,70.0
2014-05-07,70.0
2014-05-08,70.0
2014-05-09,70.0
2014-05-10,70.0
2014-05-11,70.0
2014-05-12,70.0
2014-05-13,70.0
2014-05-14,70.0
2014-05-15,70.0
2014-05-16,70.0
2014-05-17,70.0
2014-05-18,70.0
2014-05-19,70.0
2014-05-20,70.0
2014-05-21,70.0
2014-05-22,70.0
2014-05-23,70.0
2014-05-24,70.0
2014-05-25,70.0
2014-05-26,70.0
2014-05-27,70.0
2014-05-28,70.0
2014-05-29,69.0
2014-05-30,66.5
2014-05-31,63.5
2014-06-01,61.0
2014-06-02,60.0
2014-06-03,60.0
2014-06-04,60.0
2014-06-05,60.0
2014-06-06,60.0
2014-06-07,60.0
