날짜,저수율
2014-01-01,100.0
2014-01-02,100.0
2014-01-03,100.0
2014-01-04,100.0
2014-01-05,100.0
2014-01-06,100.0
2014-01-07,100.0
2014-01-08,100.0
2014-01-09,100.0
2014-01-10,100.0
2014-01-11,100.0
2014-01-12,100.0
2014-01-13,100.0
2014-01-14,100.0
2014-01-15,100.0
2014-01-16,100.0
2014-01-17,100.0
2014-01-18,99.0
2014-01-19,96.5
2014-01-20,93.5
2014-01-21,91.0
2014-01-22,90.0
2014-01-23,90.2
2014-01-24,90.6
2014-01-25,91.4
2014-01-26,92.3
2014-01-27,93.3
2014-01-28,94.4
2014-01-29,95.6
2014-01-30,96.7
2014-01-31,97.7
2014-02-01,98.6
2014-02-02,99.4
2014-02-03,99.8
2014-02-04,100.0
2014-02-05,100.0
2014-02-06,100.0
2014-02-07,100.0
2014-02-08,100.0
2014-02-09,100.0
2014-02-10,100.0
2014-02-11,100.0
2014-02-12,100.0
2014-02-13,100.0
2014-02-14,100.0
2014-02-15,100.0
2014-02-16,100.0
2014-02-17,100.0
2014-02-18,100.0
2014-02-19,100.0
2014-02-20,100.0
2014-02-21,100.0
2014-02-22,100.0
2014-02-23,100.0
2014-02-24,100.0
2014-02-25,100.0
2014-02-26,100.0
2014-02-27,100.0
2014-02-28,100.0
2014-03-01,100.0
2014-03-02,100.0
2014-03-03,100.0
2014-03-04,100.0
2014-03-05,100.0
2014-03-06,100.0
2014-03-07,100.0
2014-03-08,100.0
2014-03-09,100.0
2014-03-10,100.0
2014-03-11,100.0
2014-03-12,100.0
2014-03-13,100.0
2014-03-14,100.0
2014-03-15,100.0
2014-03-16,100.0
2014-03-17,100.0
2014-03-18,100.0
2014-03-19,100.0
2014-03-20,100.0
2014-03-21,100.0
2014-03-22,100.0
2014-03-23,100.0
2014-03-24,100.0
2014-03-25,100.0
2014-03-26,100.0
2014-03-27,100.0
2014-03-28,100.0
2014-03-29,100.0
2014-03-30,100.0
2014-03-31,100.0
2014-04-01,100.0
2014-04-02,99.9
2014-04-03,99.9
2014-04-04,99.9
2014-04-05,99.9
2014-04-06,99.9
2014-04-07,100.0
2014-04-08,100.0
2014-04-09,100.0
2014-04-10,100.0
2014-04-11,100.0
2014-04-12,100.0
2014-04-13,100.0
2014-04-14,99.5
2014-04-15,98.8
2014-04-16,98.6
2014-04-17,98.5
2014-04-18,98.7
2014-04-19,99.3
2014-04-20,99.8
2014-04-21,100.0
2014-04-22,100.0
2014-04-23,100.0
2014-04-24,100.0
2014-04-25,100.0
2014-04-26,100.0
2014-04-27,100.0
2014-04-28,100.0
2014-04-29,100.0
2014-04-30,100.0
2014-05-01,100.0
2014-05-02,100.0
2014-05-03,100.0
2014-05-04,100.0
2014-05-05,100.0
2014-05-06,100.0
2014-05-07,100.0
2014-05-08,100.0
2014-05-09,99.8
2014-05-10,99.6
2014-05-11,99.4
2014-05-12,99.0
2014-05-13,97.6
2014-05-14,96.0
2014-05-15,95.2
2014-05-16,94.7
2014-05-17,94.0
2014-05-18,93.0
2014-05-19,91.9
2014-05-20,90.7
2014-05-21,89.5
2014-05-22,88.6
2014-05-23,87.7
2014-05-24,86.7
2014-05-25,85.0
2014-05-26,83.2
2014-05-27,81.8
2014-05-28,80.7
2014-05-29,80.2
2014-05-30,79.6
2014-05-31,77.6
2014-06-01,75.9
2014-06-02,75.8
2014-06-03,75.7
2014-06-04,75.4
2014-06-05,75.1
2014-06-06,74.8
2014-06-07,74.4
2014-06-08,72.8
2014-06-09,71.2
2014-06-10,70.7
2014-06-11,70.2
2014-06-12,69.5
2014-06-13,68.7
2014-06-14,68.0
2014-06-15,67.3
2014-06-16,66.7
2014-06-17,66.3
2014-06-18,66.0
2014-06-19,65.6
2014-06-20,65.2
2014-06-21,64.5
2014-06-22,63.7
2014-06-23,62.9
2014-06-24,62.2
2014-06-25,61.6
2014-06-26,60.9
2014-06-27,60.2
2014-06-28,59.6
2014-06-29,59.0
2014-06-30,58.5
2014-07-01,57.9
2014-07-02,57.4
2014-07-03,57.1
2014-07-04,56.9
2014-07-05,56.7
2014-07-06,56.6
2014-07-07,56.3
2014-07-08,55.8
2014-07-09,55.5
2014-07-10,55.5
2014-07-11,55.5
2014-07-12,55.5
2014-07-13,55.4
2014-07-14,54.3
2014-07-15,52.8
2014-07-16,52.1
2014-07-17,51.7
2014-07-18,51.9
2014-07-19,52.4
2014-07-20,52.9
2014-07-21,53.2
