날짜,저수율
2014-01-01,35.3
2014-01-02,35.2
2014-01-03,35.2
2014-01-04,35.2
2014-01-05,35.2
2014-01-06,34.9
2014-01-07,34.5
2014-01-08,34.4
2014-01-09,34.4
2014-01-10,34.3
2014-01-11,34.2
2014-01-12,34.0
2014-01-13,33.9
2014-01-14,33.8
2014-01-15,33.6
2014-01-16,33.5
2014-01-17,33.4
2014-01-18,33.2
2014-01-19,32.9
2014-01-20,32.7
2014-01-21,32.7
2014-01-22,32.7
2014-01-23,32.5
2014-01-24,32.3
2014-01-25,32.3
2014-01-26,32.3
2014-01-27,32.0
2014-01-28,31.6
2014-01-29,31.4
2014-01-30,31.3
2014-01-31,31.2
2014-02-01,31.1
2014-02-02,31.0
2014-02-03,30.9
2014-02-04,30.9
2014-02-05,30.8
2014-02-06,30.5
2014-02-07,30.3
2014-02-08,30.4
2014-02-09,30.5
2014-02-10,30.7
2014-02-11,30.8
2014-02-12,30.9
2014-02-13,31.0
2014-02-14,31.0
2014-02-15,31.1
2014-02-16,31.3
2014-02-17,31.5
2014-02-18,33.0
2014-02-19,35.0
2014-02-20,36.0
2014-02-21,36.8
2014-02-22,37.7
2014-02-23,38.6
2014-02-24,39.6
2014-02-25,40.5
2014-02-26,41.7
2014-02-27,44.9
2014-02-28,48.4
2014-03-01,50.2
2014-03-02,51.7
2014-03-03,52.7
2014-03-04,53.5
2014-03-05,53.9
2014-03-06,54.0
2014-03-07,54.1
2014-03-08,54.1
2014-03-09,54.1
2014-03-10,54.3
2014-03-11,54.7
2014-03-12,56.0
2014-03-13,58.5
2014-03-14,66.3
2014-03-15,73.8
2014-03-16,75.5
2014-03-17,76.6
2014-03-18,77.5
2014-03-19,78.3
2014-03-20,79.1
2014-03-21,79.5
2014-03-22,79.5
2014-03-23,79.5
2014-03-24,79.7
2014-03-25,80.1
2014-03-26,80.6
2014-03-27,81.1
2014-03-28,81.9
2014-03-29,83.6
2014-03-30,86.3
2014-03-31,88.9
2014-04-01,91.3
2014-04-02,93.4
2014-04-03,95.0
2014-04-04,95.8
2014-04-05,95.8
2014-04-06,95.8
2014-04-07,97.0
2014-04-08,98.2
2014-04-09,98.3
2014-04-10,98.3
2014-04-11,98.4
2014-04-12,98.4
2014-04-13,98.4
2014-04-14,98.5
2014-04-15,98.5
2014-04-16,98.5
2014-04-17,98.5
2014-04-18,98.5
2014-04-19,98.4
2014-04-20,98.3
2014-04-21,98.0
2014-04-22,97.8
2014-04-23,97.4
2014-04-24,97.1
2014-04-25,97.2
2014-04-26,97.6
2014-04-27,98.0
2014-04-28,98.4
