날짜,저수율
2019-02-25,69.0
2019-02-26,69.0
2019-02-27,69.0
2019-02-28,69.0
2019-03-01,74.0
2019-03-02,79.0
2019-03-03,79.0
2019-03-04,79.0
2019-03-05,79.0
2019-03-06,79.0
2019-03-07,79.0
2019-03-08,76.8
2019-03-09,74.6
2019-03-10,74.6
2019-03-11,74.6
2019-03-12,74.6
2019-03-13,70.8
2019-03-14,66.9
2019-03-15,68.0
2019-03-16,70.8
2019-03-17,74.4
2019-03-18,78.0
2019-03-19,80.8
2019-03-20,81.9
2019-03-21,81.9
2019-03-22,81.8
2019-03-23,81.8
2019-03-24,81.7
2019-03-25,81.6
2019-03-26,81.6
2019-03-27,81.6
2019-03-28,81.7
2019-03-29,81.8
2019-03-30,81.9
2019-03-31,82.1
2019-04-01,82.3
2019-04-02,82.5
2019-04-03,82.7
2019-04-04,83.0
2019-04-05,83.2
2019-04-06,83.5
2019-04-07,84.0
2019-04-08,84.7
2019-04-09,85.3
2019-04-10,85.6
2019-04-11,85.6
2019-04-12,85.6
2019-04-13,85.6
2019-04-14,85.6
2019-04-15,85.6
2019-04-16,85.6
2019-04-17,83.6
2019-04-18,81.6
2019-04-19,81.8
2019-04-20,82.4
2019-04-21,83.1
2019-04-22,83.7
2019-04-23,83.9
2019-04-24,83.9
2019-04-25,83.9
2019-04-26,83.9
2019-04-27,83.9
2019-04-28,83.9
2019-04-29,83.9
2019-04-30,81.1
2019-05-01,78.3
2019-05-02,78.3
2019-05-03,78.3
2019-05-04,78.3
2019-05-05,78.3
2019-05-06,78.3
2019-05-07,78.4
2019-05-08,78.5
2019-05-09,78.5
2019-05-10,78.5
2019-05-11,78.5
2019-05-12,78.5
2019-05-13,78.5
2019-05-14,81.0
2019-05-15,83.5
2019-05-16,83.5
2019-05-17,83.5
2019-05-18,83.5
2019-05-19,83.5
2019-05-20,83.5
2019-05-21,83.5
2019-05-22,83.5
2019-05-23,83.5
2019-05-24,83.5
2019-05-25,83.5
2019-05-26,83.5
2019-05-27,83.5
2019-05-28,83.5
2019-05-29,83.5
2019-05-30,85.7
2019-05-31,87.9
2019-06-01,87.9
2019-06-02,87.9
2019-06-03,87.9
2019-06-04,87.9
2019-06-05,87.9
2019-06-06,87.2
2019-06-07,86.4
2019-06-08,86.7
2019-06-09,87.3
2019-06-10,88.0
2019-06-11,88.6
