날짜,저수율
2014-01-01,11.0
2014-01-02,11.0
2014-01-03,11.0
2014-01-04,11.0
2014-01-05,11.0
2014-01-06,11.0
2014-01-07,11.0
2014-01-08,11.0
2014-01-09,11.0
2014-01-10,11.0
2014-01-11,11.0
2014-01-12,11.0
2014-01-13,11.0
2014-01-14,11.0
2014-01-15,10.9
2014-01-16,10.9
2014-01-17,10.9
2014-01-18,10.9
2014-01-19,10.9
2014-01-20,10.9
2014-01-21,10.9
2014-01-22,10.9
2014-01-23,10.9
2014-01-24,10.9
2014-01-25,10.9
2014-01-26,10.9
2014-01-27,10.9
2014-01-28,10.9
2014-01-29,10.9
2014-01-30,10.9
2014-01-31,10.9
2014-02-01,10.9
2014-02-02,10.9
2014-02-03,10.9
2014-02-04,10.9
2014-02-05,10.9
2014-02-06,10.9
2014-02-07,10.9
2014-02-08,10.9
2014-02-09,10.9
2014-02-10,10.9
2014-02-11,10.9
2014-02-12,10.9
2014-02-13,10.9
2014-02-14,10.9
2014-02-15,10.9
2014-02-16,10.9
2014-02-17,10.9
2014-02-18,10.9
2014-02-19,10.9
2014-02-20,10.9
2014-02-21,10.9
2014-02-22,10.9
2014-02-23,10.9
2014-02-24,10.9
2014-02-25,10.9
2014-02-26,10.9
2014-02-27,10.9
2014-02-28,10.9
2014-03-01,10.9
2014-03-02,10.9
2014-03-03,10.9
2014-03-04,10.9
2014-03-05,10.9
2014-03-06,10.9
2014-03-07,10.9
2014-03-08,10.9
2014-03-09,10.9
2014-03-10,10.9
2014-03-11,10.9
2014-03-12,10.9
2014-03-13,11.2
2014-03-14,11.5
2014-03-15,11.5
2014-03-16,11.6
2014-03-17,11.6
2014-03-18,11.6
2014-03-19,11.6
2014-03-20,11.6
2014-03-21,11.6
2014-03-22,11.6
2014-03-23,11.6
2014-03-24,11.6
2014-03-25,11.7
2014-03-26,11.7
2014-03-27,11.7
2014-03-28,11.7
2014-03-29,11.8
2014-03-30,12.0
2014-03-31,12.1
2014-04-01,12.2
2014-04-02,12.2
2014-04-03,12.3
2014-04-04,12.4
2014-04-05,12.3
2014-04-06,12.1
2014-04-07,11.9
2014-04-08,11.7
2014-04-09,11.6
2014-04-10,11.6
2014-04-11,11.6
2014-04-12,11.6
2014-04-13,11.5
2014-04-14,11.5
2014-04-15,11.5
2014-04-16,11.5
2014-04-17,11.5
2014-04-18,11.5
2014-04-19,11.5
2014-04-20,11.5
2014-04-21,11.5
2014-04-22,11.5
2014-04-23,11.5
2014-04-24,11.5
2014-04-25,11.5
2014-04-26,11.5
2014-04-27,11.6
2014-04-28,11.6
2014-04-29,11.9
2014-04-30,12.3
2014-05-01,12.4
2014-05-02,12.4
2014-05-03,12.4
2014-05-04,12.4
2014-05-05,12.4
2014-05-06,12.3
2014-05-07,12.3
2014-05-08,12.3
2014-05-09,12.2
2014-05-10,12.1
2014-05-11,12.1
2014-05-12,12.0
2014-05-13,11.9
2014-05-14,11.7
2014-05-15,11.6
2014-05-16,11.3
2014-05-17,11.0
2014-05-18,10.8
2014-05-19,10.9
2014-05-20,11.2
2014-05-21,11.5
2014-05-22,11.9
2014-05-23,12.3
2014-05-24,12.8
2014-05-25,13.2
2014-05-26,13.2
2014-05-27,13.2
2014-05-28,15.3
2014-05-29,17.4
2014-05-30,17.5
2014-05-31,17.5
2014-06-01,18.0
2014-06-02,19.0
2014-06-03,20.2
2014-06-04,21.8
2014-06-05,22.9
2014-06-06,22.9
2014-06-07,22.9
2014-06-08,24.1
2014-06-09,25.8
2014-06-10,27.0
2014-06-11,27.7
2014-06-12,27.5
2014-06-13,26.9
2014-06-14,26.3
2014-06-15,25.7
2014-06-16,25.5
2014-06-17,25.6
2014-06-18,25.8
2014-06-19,26.2
2014-06-20,26.7
2014-06-21,28.4
2014-06-22,31.2
2014-06-23,33.1
2014-06-24,33.7
2014-06-25,34.0
2014-06-26,34.2
2014-06-27,34.4
2014-06-28,34.7
2014-06-29,35.2
2014-06-30,35.8
2014-07-01,36.7
2014-07-02,38.7
2014-07-03,41.0
2014-07-04,42.4
2014-07-05,43.1
2014-07-06,43.1
2014-07-07,43.1
2014-07-08,43.1
2014-07-09,43.0
2014-07-10,43.0
2014-07-11,42.0
2014-07-12,41.1
2014-07-13,41.1
2014-07-14,41.1
2014-07-15,41.6
2014-07-16,42.4
2014-07-17,42.9
2014-07-18,43.3
2014-07-19,43.5
2014-07-20,43.6
2014-07-21,43.6
2014-07-22,43.4
2014-07-23,42.9
2014-07-24,42.3
2014-07-25,41.6
2014-07-26,41.0
2014-07-27,40.5
2014-07-28,40.3
2014-07-29,40.5
2014-07-30,40.8
2014-07-31,41.2
2014-08-01,41.4
2014-08-02,41.4
2014-08-03,41.4
2014-08-04,44.2
2014-08-05,47.1
2014-08-06,47.3
2014-08-07,47.5
2014-08-08,47.6
2014-08-09,47.8
2014-08-10,48.0
2014-08-11,48.1
2014-08-12,48.2
2014-08-13,48.2
2014-08-14,48.2
2014-08-15,48.3
2014-08-16,48.3
2014-08-17,48.4
2014-08-18,48.5
2014-08-19,49.6
2014-08-20,51.8
2014-08-21,56.3
2014-08-22,59.7
2014-08-23,59.7
2014-08-24,59.7
2014-08-25,60.9
2014-08-26,62.2
2014-08-27,62.3
2014-08-28,62.3
2014-08-29,62.3
2014-08-30,62.3
2014-08-31,62.4
2014-09-01,62.4
2014-09-02,62.4
2014-09-03,62.4
2014-09-04,62.4
2014-09-05,61.9
2014-09-06,60.6
2014-09-07,58.8
2014-09-08,56.8
2014-09-09,54.7
2014-09-10,52.8
2014-09-11,51.5
2014-09-12,50.5
2014-09-13,49.9
2014-09-14,49.9
2014-09-15,49.8
2014-09-16,49.8
2014-09-17,49.8
2014-09-18,49.8
2014-09-19,49.8
2014-09-20,49.8
2014-09-21,49.8
2014-09-22,49.8
2014-09-23,49.9
2014-09-24,49.9
2014-09-25,50.6
2014-09-26,51.6
2014-09-27,52.4
2014-09-28,53.3
2014-09-29,54.1
2014-09-30,54.7
2014-10-01,54.9
2014-10-02,54.9
2014-10-03,54.9
2014-10-04,54.9
2014-10-05,54.9
2014-10-06,54.9
2014-10-07,54.9
2014-10-08,54.9
2014-10-09,54.9
2014-10-10,54.9
2014-10-11,54.9
2014-10-12,54.9
2014-10-13,54.9
2014-10-14,54.9
2014-10-15,54.9
2014-10-16,54.9
2014-10-17,54.9
2014-10-18,55.0
