날짜,저수율
2014-01-01,100.0
2014-01-02,100.0
2014-01-03,100.0
2014-01-04,100.0
2014-01-05,100.0
2014-01-06,100.0
2014-01-07,100.0
2014-01-08,100.0
2014-01-09,100.0
2014-01-10,100.0
2014-01-11,100.0
2014-01-12,100.0
2014-01-13,100.0
2014-01-14,100.0
2014-01-15,100.0
2014-01-16,100.0
2014-01-17,100.0
2014-01-18,100.0
2014-01-19,100.0
2014-01-20,100.0
2014-01-21,100.0
2014-01-22,100.0
2014-01-23,100.0
2014-01-24,100.0
2014-01-25,100.0
2014-01-26,100.0
2014-01-27,100.0
2014-01-28,100.0
2014-01-29,100.0
2014-01-30,100.0
2014-01-31,100.0
2014-02-01,100.0
2014-02-02,100.0
2014-02-03,100.0
2014-02-04,100.0
2014-02-05,100.0
2014-02-06,100.0
2014-02-07,100.0
2014-02-08,100.0
2014-02-09,100.0
2014-02-10,100.0
2014-02-11,100.0
2014-02-12,100.0
2014-02-13,100.0
2014-02-14,100.0
2014-02-15,100.0
2014-02-16,100.0
2014-02-17,100.0
2014-02-18,100.0
2014-02-19,100.0
2014-02-20,100.0
2014-02-21,100.0
2014-02-22,100.0
2014-02-23,100.0
2014-02-24,100.0
2014-02-25,100.0
2014-02-26,99.9
2014-02-27,99.7
2014-02-28,99.6
2014-03-01,99.6
2014-03-02,99.6
2014-03-03,99.6
2014-03-04,99.7
2014-03-05,99.7
2014-03-06,99.8
2014-03-07,99.8
2014-03-08,99.8
2014-03-09,99.9
2014-03-10,99.9
2014-03-11,100.0
2014-03-12,100.0
2014-03-13,100.0
2014-03-14,100.0
2014-03-15,100.0
2014-03-16,100.0
2014-03-17,99.8
2014-03-18,99.4
2014-03-19,99.2
2014-03-20,99.2
2014-03-21,99.3
2014-03-22,99.3
2014-03-23,99.4
2014-03-24,99.5
2014-03-25,99.6
2014-03-26,99.7
2014-03-27,99.8
2014-03-28,99.9
2014-03-29,99.9
2014-03-30,100.0
2014-03-31,100.0
2014-04-01,100.0
2014-04-02,100.0
2014-04-03,100.0
2014-04-04,100.0
2014-04-05,100.0
2014-04-06,100.0
2014-04-07,100.0
2014-04-08,100.0
2014-04-09,100.0
2014-04-10,100.0
2014-04-11,100.0
2014-04-12,100.0
2014-04-13,100.0
2014-04-14,100.0
2014-04-15,100.0
2014-04-16,100.0
2014-04-17,100.0
2014-04-18,100.0
2014-04-19,100.0
2014-04-20,100.0
2014-04-21,100.0
2014-04-22,100.0
2014-04-23,100.0
2014-04-24,100.0
2014-04-25,100.0
2014-04-26,100.0
2014-04-27,100.0
2014-04-28,100.0
2014-04-29,100.0
2014-04-30,100.0
2014-05-01,100.0
2014-05-02,100.0
2014-05-03,100.0
2014-05-04,100.0
2014-05-05,99.7
2014-05-06,98.8
2014-05-07,97.6
2014-05-08,96.3
2014-05-09,95.1
2014-05-10,93.8
2014-05-11,92.5
2014-05-12,91.8
2014-05-13,91.7
2014-05-14,91.7
2014-05-15,91.7
2014-05-16,91.7
2014-05-17,91.6
2014-05-18,91.4
2014-05-19,90.9
2014-05-20,89.5
2014-05-21,87.6
2014-05-22,85.3
2014-05-23,83.9
2014-05-24,83.9
2014-05-25,83.9
2014-05-26,83.2
2014-05-27,81.7
2014-05-28,79.8
2014-05-29,77.0
2014-05-30,75.0
2014-05-31,75.4
2014-06-01,76.2
2014-06-02,77.0
2014-06-03,77.4
2014-06-04,77.3
2014-06-05,76.9
2014-06-06,76.3
2014-06-07,75.7
2014-06-08,75.0
2014-06-09,73.9
2014-06-10,73.0
2014-06-11,72.7
2014-06-12,72.6
2014-06-13,72.6
2014-06-14,72.6
2014-06-15,72.6
2014-06-16,72.6
2014-06-17,72.6
2014-06-18,72.6
2014-06-19,72.6
2014-06-20,72.6
2014-06-21,72.6
2014-06-22,72.6
2014-06-23,72.6
2014-06-24,72.6
2014-06-25,69.9
2014-06-26,67.0
2014-06-27,66.7
2014-06-28,66.5
2014-06-29,66.2
2014-06-30,65.2
2014-07-01,63.8
2014-07-02,63.0
2014-07-03,62.8
2014-07-04,62.7
2014-07-05,62.6
2014-07-06,62.8
2014-07-07,63.0
2014-07-08,62.7
2014-07-09,62.2
2014-07-10,62.0
2014-07-11,61.9
2014-07-12,61.7
2014-07-13,61.6
2014-07-14,61.5
2014-07-15,61.4
2014-07-16,61.3
2014-07-17,61.1
2014-07-18,61.0
2014-07-19,60.9
2014-07-20,60.8
2014-07-21,60.6
