날짜,저수율
2014-01-01,61.6
2014-01-02,61.6
2014-01-03,61.6
2014-01-04,61.6
2014-01-05,61.6
2014-01-06,61.6
2014-01-07,61.5
2014-01-08,61.5
2014-01-09,61.5
2014-01-10,61.5
2014-01-11,61.5
2014-01-12,61.5
2014-01-13,61.5
2014-01-14,61.5
2014-01-15,61.4
2014-01-16,61.4
2014-01-17,61.4
2014-01-18,61.4
2014-01-19,61.4
2014-01-20,61.3
2014-01-21,61.3
2014-01-22,61.3
2014-01-23,61.3
2014-01-24,61.3
2014-01-25,61.3
2014-01-26,61.3
2014-01-27,61.3
2014-01-28,61.3
2014-01-29,61.3
2014-01-30,61.3
2014-01-31,61.3
2014-02-01,61.3
2014-02-02,61.3
2014-02-03,61.3
2014-02-04,61.3
2014-02-05,61.3
2014-02-06,61.3
2014-02-07,61.3
2014-02-08,61.3
2014-02-09,61.3
2014-02-10,61.3
2014-02-11,61.3
2014-02-12,61.3
2014-02-13,61.3
2014-02-14,61.2
2014-02-15,61.2
2014-02-16,61.1
2014-02-17,61.1
2014-02-18,61.1
2014-02-19,61.1
2014-02-20,61.0
2014-02-21,61.0
2014-02-22,61.0
2014-02-23,61.0
2014-02-24,61.0
2014-02-25,61.0
2014-02-26,61.0
2014-02-27,61.0
2014-02-28,61.0
2014-03-01,60.9
2014-03-02,60.9
2014-03-03,60.9
2014-03-04,60.8
2014-03-05,60.7
2014-03-06,60.7
2014-03-07,60.7
2014-03-08,60.7
2014-03-09,60.8
2014-03-10,60.8
2014-03-11,60.9
2014-03-12,61.0
2014-03-13,61.1
2014-03-14,61.5
2014-03-15,61.8
2014-03-16,61.9
2014-03-17,61.9
2014-03-18,61.9
2014-03-19,61.9
2014-03-20,61.9
2014-03-21,62.0
2014-03-22,62.0
2014-03-23,62.0
2014-03-24,62.1
2014-03-25,62.2
2014-03-26,62.3
2014-03-27,62.5
2014-03-28,62.7
2014-03-29,62.7
2014-03-30,62.7
2014-03-31,63.2
2014-04-01,63.9
2014-04-02,64.1
2014-04-03,64.2
2014-04-04,64.3
2014-04-05,64.3
2014-04-06,64.3
2014-04-07,64.2
2014-04-08,64.2
2014-04-09,64.1
2014-04-10,64.1
2014-04-11,64.1
2014-04-12,64.1
2014-04-13,64.1
2014-04-14,64.1
2014-04-15,64.1
2014-04-16,64.1
2014-04-17,64.1
2014-04-18,64.1
2014-04-19,64.0
2014-04-20,64.0
2014-04-21,64.0
2014-04-22,64.0
2014-04-23,63.8
2014-04-24,63.5
2014-04-25,63.4
2014-04-26,63.4
2014-04-27,63.6
2014-04-28,64.0
2014-04-29,64.6
2014-04-30,65.2
2014-05-01,66.1
2014-05-02,66.8
2014-05-03,66.8
2014-05-04,66.8
2014-05-05,66.7
2014-05-06,66.7
2014-05-07,66.7
2014-05-08,66.7
2014-05-09,66.7
2014-05-10,66.7
2014-05-11,66.6
2014-05-12,66.6
2014-05-13,66.5
2014-05-14,66.4
2014-05-15,66.2
2014-05-16,65.9
2014-05-17,65.3
2014-05-18,64.5
2014-05-19,63.7
2014-05-20,62.7
2014-05-21,61.4
2014-05-22,60.2
2014-05-23,59.5
2014-05-24,58.6
2014-05-25,56.4
2014-05-26,53.9
2014-05-27,52.1
2014-05-28,51.2
2014-05-29,51.2
2014-05-30,51.1
2014-05-31,49.8
2014-06-01,48.0
2014-06-02,47.2
2014-06-03,46.5
2014-06-04,45.8
2014-06-05,45.1
2014-06-06,44.2
2014-06-07,43.3
2014-06-08,42.8
2014-06-09,42.7
2014-06-10,42.6
2014-06-11,41.6
2014-06-12,40.7
2014-06-13,40.7
2014-06-14,40.6
2014-06-15,40.6
2014-06-16,39.3
2014-06-17,37.8
2014-06-18,37.4
2014-06-19,37.2
2014-06-20,37.2
2014-06-21,37.1
2014-06-22,35.7
2014-06-23,34.3
2014-06-24,34.2
2014-06-25,34.2
2014-06-26,33.7
2014-06-27,33.1
2014-06-28,32.7
2014-06-29,32.3
2014-06-30,31.9
2014-07-01,31.2
2014-07-02,30.7
2014-07-03,30.7
2014-07-04,30.7
2014-07-05,30.8
2014-07-06,30.8
2014-07-07,30.9
2014-07-08,31.0
2014-07-09,31.0
2014-07-10,31.1
2014-07-11,31.2
2014-07-12,31.2
2014-07-13,31.3
2014-07-14,31.3
2014-07-15,31.3
2014-07-16,31.1
