날짜,저수율
2017-02-06,100.0
2017-02-07,100.0
2017-02-08,100.0
2017-02-09,100.0
2017-02-10,100.0
2017-02-11,100.0
2017-02-12,100.0
2017-02-13,100.0
2017-02-14,100.0
2017-02-15,100.0
2017-02-16,100.0
2017-02-17,100.0
2017-02-18,100.0
2017-02-19,100.0
2017-02-20,100.0
2017-02-21,100.0
2017-02-22,100.0
2017-02-23,100.0
2017-02-24,100.0
2017-02-25,100.0
2017-02-26,100.0
2017-02-27,100.0
2017-02-28,100.0
2017-03-01,100.0
2017-03-02,100.0
2017-03-03,100.0
2017-03-04,100.0
2017-03-05,100.0
2017-03-06,100.0
2017-03-07,100.0
2017-03-08,100.0
2017-03-09,100.0
2017-03-10,100.0
2017-03-11,100.0
2017-03-12,100.0
2017-03-13,100.0
2017-03-14,100.0
2017-03-15,100.0
2017-03-16,100.0
2017-03-17,100.0
2017-03-18,100.0
2017-03-19,100.0
2017-03-20,100.0
2017-03-21,100.0
2017-03-22,100.0
2017-03-23,100.0
2017-03-24,100.0
2017-03-25,100.0
2017-03-26,100.0
2017-03-27,100.0
2017-03-28,100.0
2017-03-29,100.0
2017-03-30,100.0
2017-03-31,100.0
2017-04-01,100.0
2017-04-02,100.0
2017-04-03,100.0
2017-04-04,100.0
2017-04-05,100.0
2017-04-06,100.0
2017-04-07,100.0
2017-04-08,100.0
2017-04-09,100.0
2017-04-10,100.0
2017-04-11,100.0
2017-04-12,100.0
2017-04-13,100.0
2017-04-14,100.0
2017-04-15,100.0
2017-04-16,100.0
2017-04-17,100.0
2017-04-18,100.0
2017-04-19,100.0
2017-04-20,100.0
2017-04-21,100.0
2017-04-22,100.0
2017-04-23,100.0
2017-04-24,100.0
2017-04-25,100.0
2017-04-26,100.0
2017-04-27,100.0
2017-04-28,100.0
2017-04-29,100.0
2017-04-30,100.0
2017-05-01,100.0
2017-05-02,100.0
2017-05-03,100.0
2017-05-04,100.0
2017-05-05,100.0
2017-05-06,100.0
2017-05-07,100.0
2017-05-08,100.0
2017-05-09,100.0
2017-05-10,100.0
2017-05-11,100.0
2017-05-12,100.0
2017-05-13,100.0
2017-05-14,100.0
2017-05-15,100.0
2017-05-16,100.0
2017-05-17,100.0
2017-05-18,100.0
2017-05-19,100.0
2017-05-20,100.0
2017-05-21,100.0
2017-05-22,99.8
2017-05-23,99.2
2017-05-24,98.5
2017-05-25,97.7
2017-05-26,97.0
2017-05-27,96.4
2017-05-28,95.9
2017-05-29,95.3
2017-05-30,94.7
2017-05-31,94.0
2017-06-01,93.1
2017-06-02,92.0
2017-06-03,90.5
2017-06-04,88.8
2017-06-05,88.0
2017-06-06,88.0
2017-06-07,88.0
2017-06-08,88.0
2017-06-09,88.0
2017-06-10,88.0
2017-06-11,88.0
2017-06-12,88.0
2017-06-13,88.0
2017-06-14,88.0
2017-06-15,88.0
2017-06-16,88.0
2017-06-17,88.0
2017-06-18,88.0
2017-06-19,88.0
2017-06-20,88.0
2017-06-21,88.0
2017-06-22,86.4
2017-06-23,84.0
2017-06-24,82.6
2017-06-25,81.3
2017-06-26,80.0
2017-06-27,78.4
2017-06-28,77.0
2017-06-29,75.8
2017-06-30,74.7
2017-07-01,74.0
2017-07-02,73.5
2017-07-03,73.0
2017-07-04,72.6
2017-07-05,72.3
2017-07-06,72.1
2017-07-07,72.0
2017-07-08,72.0
2017-07-09,72.0
2017-07-10,72.0
2017-07-11,72.0
2017-07-12,72.0
2017-07-13,72.0
2017-07-14,72.0
2017-07-15,72.0
2017-07-16,72.0
2017-07-17,72.0
2017-07-18,72.0
2017-07-19,72.0
2017-07-20,72.0
2017-07-21,72.0
2017-07-22,72.2
2017-07-23,72.6
2017-07-24,73.3
2017-07-25,74.1
2017-07-26,75.0
2017-07-27,76.3
2017-07-28,78.0
2017-07-29,79.6
2017-07-30,81.2
2017-07-31,83.0
2017-08-01,85.5
2017-08-02,87.2
2017-08-03,87.5
2017-08-04,87.7
2017-08-05,87.9
2017-08-06,88.0
2017-08-07,88.1
2017-08-08,88.2
2017-08-09,88.2
2017-08-10,88.3
2017-08-11,89.2
2017-08-12,90.5
2017-08-13,91.2
2017-08-14,92.0
2017-08-15,93.7
2017-08-16,95.8
2017-08-17,98.2
2017-08-18,99.6
2017-08-19,99.6
2017-08-20,99.6
2017-08-21,99.6
2017-08-22,99.6
2017-08-23,99.6
2017-08-24,99.6
2017-08-25,99.6
2017-08-26,99.6
2017-08-27,99.6
2017-08-28,99.6
2017-08-29,99.6
2017-08-30,99.6
2017-08-31,99.6
2017-09-01,99.6
2017-09-02,99.6
2017-09-03,99.6
2017-09-04,99.6
2017-09-05,99.6
2017-09-06,99.6
2017-09-07,99.6
2017-09-08,99.6
2017-09-09,99.6
2017-09-10,99.6
2017-09-11,99.6
2017-09-12,99.6
2017-09-13,99.6
2017-09-14,99.6
2017-09-15,99.6
2017-09-16,99.6
2017-09-17,99.6
2017-09-18,99.6
2017-09-19,99.6
2017-09-20,99.6
2017-09-21,99.6
2017-09-22,99.6
2017-09-23,99.6
2017-09-24,99.6
2017-09-25,99.6
2017-09-26,99.6
2017-09-27,99.6
2017-09-28,99.6
2017-09-29,99.6
2017-09-30,99.6
2017-10-01,99.6
2017-10-02,99.6
2017-10-03,99.6
2017-10-04,99.6
2017-10-05,99.6
2017-10-06,99.6
2017-10-07,99.6
