날짜,저수율
2014-01-01,49.0
2014-01-02,49.0
2014-01-03,49.0
2014-01-04,49.0
2014-01-05,49.0
2014-01-06,49.0
2014-01-07,49.0
2014-01-08,49.0
2014-01-09,49.0
2014-01-10,49.0
2014-01-11,49.0
2014-01-12,49.0
2014-01-13,48.9
2014-01-14,48.9
2014-01-15,48.9
2014-01-16,48.9
2014-01-17,48.9
2014-01-18,48.8
2014-01-19,48.8
2014-01-20,48.8
2014-01-21,48.8
2014-01-22,48.8
2014-01-23,48.8
2014-01-24,48.8
2014-01-25,48.8
2014-01-26,48.7
2014-01-27,48.7
2014-01-28,48.7
2014-01-29,48.7
2014-01-30,48.7
2014-01-31,48.7
2014-02-01,48.6
2014-02-02,48.6
2014-02-03,48.6
2014-02-04,48.6
2014-02-05,48.6
2014-02-06,48.7
2014-02-07,48.7
2014-02-08,48.8
2014-02-09,48.9
2014-02-10,49.0
2014-02-11,49.1
2014-02-12,49.2
2014-02-13,49.2
2014-02-14,49.3
2014-02-15,49.4
2014-02-16,49.4
2014-02-17,49.4
2014-02-18,49.5
2014-02-19,49.6
2014-02-20,49.7
2014-02-21,49.8
2014-02-22,49.8
2014-02-23,49.8
2014-02-24,49.8
2014-02-25,49.9
2014-02-26,50.0
2014-02-27,50.1
2014-02-28,50.2
2014-03-01,50.4
2014-03-02,50.8
2014-03-03,51.2
2014-03-04,51.3
2014-03-05,51.4
2014-03-06,51.5
2014-03-07,51.5
2014-03-08,51.5
2014-03-09,51.6
2014-03-10,51.6
2014-03-11,51.6
2014-03-12,51.7
2014-03-13,56.0
2014-03-14,61.3
2014-03-15,62.7
2014-03-16,63.7
2014-03-17,64.9
2014-03-18,65.7
2014-03-19,66.0
2014-03-20,66.2
2014-03-21,66.4
2014-03-22,66.5
2014-03-23,66.6
2014-03-24,66.7
2014-03-25,66.8
2014-03-26,67.1
2014-03-27,67.5
2014-03-28,68.1
2014-03-29,69.2
2014-03-30,70.9
2014-03-31,72.5
2014-04-01,73.9
2014-04-02,75.1
2014-04-03,75.8
2014-04-04,76.3
2014-04-05,76.7
2014-04-06,77.0
2014-04-07,77.3
2014-04-08,77.6
2014-04-09,77.7
2014-04-10,77.7
2014-04-11,77.7
2014-04-12,77.7
2014-04-13,77.7
2014-04-14,77.7
2014-04-15,77.7
2014-04-16,77.7
2014-04-17,77.7
2014-04-18,77.7
2014-04-19,77.7
2014-04-20,77.7
2014-04-21,77.7
2014-04-22,78.2
2014-04-23,78.7
2014-04-24,78.7
2014-04-25,78.7
2014-04-26,78.7
2014-04-27,78.7
2014-04-28,78.7
2014-04-29,84.5
2014-04-30,91.6
2014-05-01,93.7
2014-05-02,94.8
2014-05-03,95.3
2014-05-04,95.6
2014-05-05,95.9
2014-05-06,96.0
2014-05-07,96.1
2014-05-08,96.1
2014-05-09,96.0
2014-05-10,95.9
2014-05-11,95.8
2014-05-12,95.7
2014-05-13,95.5
2014-05-14,95.3
2014-05-15,95.1
2014-05-16,94.8
2014-05-17,94.3
2014-05-18,93.6
2014-05-19,92.7
2014-05-20,91.8
2014-05-21,91.2
2014-05-22,90.7
2014-05-23,90.1
2014-05-24,89.4
2014-05-25,88.2
2014-05-26,86.7
2014-05-27,85.3
2014-05-28,84.1
2014-05-29,83.2
2014-05-30,82.4
2014-05-31,81.3
2014-06-01,80.3
2014-06-02,79.3
2014-06-03,78.7
2014-06-04,78.6
2014-06-05,78.5
2014-06-06,78.4
2014-06-07,77.9
2014-06-08,77.3
2014-06-09,77.0
2014-06-10,76.6
2014-06-11,75.9
2014-06-12,75.2
2014-06-13,74.9
2014-06-14,74.5
2014-06-15,73.0
2014-06-16,71.5
2014-06-17,71.0
2014-06-18,70.5
2014-06-19,69.7
2014-06-20,68.8
2014-06-21,68.1
2014-06-22,67.5
2014-06-23,67.0
2014-06-24,66.7
2014-06-25,66.5
2014-06-26,66.4
2014-06-27,66.3
2014-06-28,66.3
2014-06-29,66.3
2014-06-30,64.9
2014-07-01,63.5
2014-07-02,63.5
2014-07-03,63.5
2014-07-04,63.5
2014-07-05,63.5
2014-07-06,63.5
2014-07-07,63.5
2014-07-08,63.5
2014-07-09,64.9
2014-07-10,66.2
2014-07-11,66.2
2014-07-12,66.1
2014-07-13,65.9
2014-07-14,65.7
2014-07-15,65.3
2014-07-16,64.7
2014-07-17,64.2
2014-07-18,63.9
2014-07-19,63.9
2014-07-20,63.9
2014-07-21,62.8
2014-07-22,61.1
2014-07-23,59.8
2014-07-24,58.7
2014-07-25,57.8
2014-07-26,57.1
2014-07-27,56.4
2014-07-28,55.6
2014-07-29,54.7
2014-07-30,53.9
2014-07-31,53.4
2014-08-01,53.1
2014-08-02,61.4
2014-08-03,77.7
2014-08-04,88.9
2014-08-05,92.0
2014-08-06,94.4
2014-08-07,97.9
2014-08-08,100.0
2014-08-09,100.0
2014-08-10,99.9
2014-08-11,99.7
2014-08-12,99.7
2014-08-13,99.7
2014-08-14,99.7
2014-08-15,99.8
2014-08-16,99.8
2014-08-17,99.9
2014-08-18,99.9
2014-08-19,100.0
2014-08-20,100.0
2014-08-21,100.0
2014-08-22,100.0
2014-08-23,100.0
2014-08-24,100.0
2014-08-25,100.0
2014-08-26,100.0
2014-08-27,100.0
2014-08-28,100.0
2014-08-29,100.0
2014-08-30,100.0
2014-08-31,100.0
2014-09-01,100.0
2014-09-02,100.0
2014-09-03,100.0
2014-09-04,100.0
2014-09-05,100.0
2014-09-06,100.0
2014-09-07,100.0
2014-09-08,100.0
2014-09-09,100.0
2014-09-10,100.0
2014-09-11,100.0
2014-09-12,100.0
2014-09-13,100.0
2014-09-14,100.0
2014-09-15,99.7
2014-09-16,99.0
2014-09-17,97.9
2014-09-18,96.6
2014-09-19,96.0
2014-09-20,96.3
2014-09-21,97.0
2014-09-22,98.0
2014-09-23,99.0
2014-09-24,99.7
2014-09-25,100.0
2014-09-26,100.0
2014-09-27,100.0
2014-09-28,100.0
2014-09-29,100.0
2014-09-30,100.0
2014-10-01,100.0
2014-10-02,100.0
2014-10-03,100.0
2014-10-04,100.0
2014-10-05,100.0
2014-10-06,100.0
2014-10-07,100.0
2014-10-08,100.0
2014-10-09,100.0
2014-10-10,99.9
2014-10-11,99.8
2014-10-12,99.7
2014-10-13,99.6
