날짜,저수율
2014-01-01,100.0
2014-01-02,100.0
2014-01-03,100.0
2014-01-04,100.0
2014-01-05,100.0
2014-01-06,100.0
2014-01-07,100.0
2014-01-08,100.0
2014-01-09,100.0
2014-01-10,100.0
2014-01-11,100.0
2014-01-12,100.0
2014-01-13,100.0
2014-01-14,100.0
2014-01-15,100.0
2014-01-16,100.0
2014-01-17,100.0
2014-01-18,100.0
2014-01-19,100.0
2014-01-20,100.0
2014-01-21,100.0
2014-01-22,100.0
2014-01-23,100.0
2014-01-24,100.0
2014-01-25,100.0
2014-01-26,100.0
2014-01-27,100.0
2014-01-28,100.0
2014-01-29,100.0
2014-01-30,100.0
2014-01-31,100.0
2014-02-01,100.0
2014-02-02,100.0
2014-02-03,100.0
2014-02-04,100.0
2014-02-05,100.0
2014-02-06,100.0
2014-02-07,100.0
2014-02-08,100.0
2014-02-09,100.0
2014-02-10,100.0
2014-02-11,100.0
2014-02-12,100.0
2014-02-13,100.0
2014-02-14,100.0
2014-02-15,100.0
2014-02-16,100.0
2014-02-17,100.0
2014-02-18,100.0
2014-02-19,100.0
2014-02-20,100.0
2014-02-21,100.0
2014-02-22,100.0
2014-02-23,100.0
2014-02-24,100.0
2014-02-25,100.0
2014-02-26,100.0
2014-02-27,100.0
2014-02-28,100.0
2014-03-01,100.0
2014-03-02,100.0
2014-03-03,100.0
2014-03-04,100.0
2014-03-05,100.0
2014-03-06,100.0
2014-03-07,100.0
2014-03-08,100.0
2014-03-09,100.0
2014-03-10,100.0
2014-03-11,100.0
2014-03-12,100.0
2014-03-13,100.0
2014-03-14,100.0
2014-03-15,100.0
2014-03-16,100.0
2014-03-17,100.0
2014-03-18,100.0
2014-03-19,100.0
2014-03-20,100.0
2014-03-21,100.0
2014-03-22,100.0
2014-03-23,100.0
2014-03-24,100.0
2014-03-25,100.0
2014-03-26,100.0
2014-03-27,100.0
2014-03-28,100.0
2014-03-29,100.0
2014-03-30,100.0
2014-03-31,100.0
2014-04-01,100.0
2014-04-02,100.0
2014-04-03,100.0
2014-04-04,100.0
2014-04-05,100.0
2014-04-06,100.0
2014-04-07,100.0
2014-04-08,100.0
2014-04-09,100.0
2014-04-10,100.0
2014-04-11,100.0
2014-04-12,100.0
2014-04-13,100.0
2014-04-14,100.0
2014-04-15,100.0
2014-04-16,100.0
2014-04-17,100.0
2014-04-18,100.0
2014-04-19,100.0
2014-04-20,99.9
2014-04-21,99.8
2014-04-22,99.5
2014-04-23,99.4
2014-04-24,99.3
2014-04-25,99.7
2014-04-26,100.0
2014-04-27,99.8
2014-04-28,99.3
2014-04-29,98.5
2014-04-30,97.6
2014-05-01,96.5
2014-05-02,95.4
2014-05-03,94.3
2014-05-04,93.2
2014-05-05,92.4
2014-05-06,91.7
2014-05-07,91.3
2014-05-08,91.1
2014-05-09,91.0
2014-05-10,90.9
2014-05-11,90.8
2014-05-12,90.6
2014-05-13,90.4
2014-05-14,90.1
2014-05-15,89.8
2014-05-16,89.2
2014-05-17,86.4
2014-05-18,83.2
2014-05-19,82.1
2014-05-20,81.2
2014-05-21,79.4
2014-05-22,77.8
2014-05-23,77.1
2014-05-24,76.5
2014-05-25,76.0
2014-05-26,75.5
2014-05-27,75.1
2014-05-28,74.7
2014-05-29,74.3
2014-05-30,73.8
2014-05-31,73.0
2014-06-01,72.5
2014-06-02,73.0
2014-06-03,74.1
2014-06-04,75.2
2014-06-05,75.8
2014-06-06,76.0
2014-06-07,76.1
2014-06-08,76.3
2014-06-09,76.4
2014-06-10,76.4
2014-06-11,76.5
2014-06-12,76.5
2014-06-13,76.5
2014-06-14,76.5
2014-06-15,76.5
2014-06-16,74.7
2014-06-17,72.5
2014-06-18,71.8
2014-06-19,71.4
2014-06-20,71.0
2014-06-21,70.8
2014-06-22,70.8
2014-06-23,70.8
2014-06-24,70.8
2014-06-25,70.8
2014-06-26,69.8
2014-06-27,68.6
2014-06-28,68.3
2014-06-29,68.1
2014-06-30,68.0
2014-07-01,68.1
2014-07-02,68.3
2014-07-03,68.5
2014-07-04,68.6
2014-07-05,68.4
2014-07-06,68.0
2014-07-07,67.5
2014-07-08,66.9
2014-07-09,66.4
2014-07-10,66.0
2014-07-11,65.8
2014-07-12,66.2
2014-07-13,67.3
2014-07-14,69.0
2014-07-15,70.9
2014-07-16,72.9
2014-07-17,74.9
2014-07-18,76.5
2014-07-19,77.8
2014-07-20,79.0
2014-07-21,80.5
