날짜,저수율
2014-01-01,70.0
2014-01-02,70.0
2014-01-03,70.0
2014-01-04,70.0
2014-01-05,70.0
2014-01-06,70.0
2014-01-07,70.0
2014-01-08,70.0
2014-01-09,70.0
2014-01-10,70.0
2014-01-11,70.0
2014-01-12,70.0
2014-01-13,70.0
2014-01-14,70.0
2014-01-15,70.0
2014-01-16,70.0
2014-01-17,70.0
2014-01-18,70.0
2014-01-19,70.0
2014-01-20,70.0
2014-01-21,70.0
2014-01-22,70.0
2014-01-23,70.0
2014-01-24,70.0
2014-01-25,70.0
2014-01-26,70.0
2014-01-27,70.0
2014-01-28,70.0
2014-01-29,70.0
2014-01-30,70.0
2014-01-31,70.0
2014-02-01,70.0
2014-02-02,70.0
2014-02-03,70.0
2014-02-04,70.0
2014-02-05,70.0
2014-02-06,70.0
2014-02-07,70.0
2014-02-08,70.0
2014-02-09,70.0
2014-02-10,70.0
2014-02-11,70.0
2014-02-12,70.0
2014-02-13,70.0
2014-02-14,70.0
2014-02-15,70.0
2014-02-16,70.0
2014-02-17,70.0
2014-02-18,70.0
2014-02-19,70.0
2014-02-20,70.0
2014-02-21,70.0
2014-02-22,70.0
2014-02-23,70.0
2014-02-24,70.0
2014-02-25,70.0
2014-02-26,70.0
2014-02-27,70.0
2014-02-28,70.0
2014-03-01,70.0
2014-03-02,70.0
2014-03-03,70.0
2014-03-04,70.0
2014-03-05,70.0
2014-03-06,70.0
2014-03-07,70.0
2014-03-08,70.0
2014-03-09,70.0
2014-03-10,70.0
2014-03-11,70.0
2014-03-12,70.0
2014-03-13,70.0
2014-03-14,70.0
2014-03-15,70.0
2014-03-16,70.0
2014-03-17,70.0
2014-03-18,70.0
2014-03-19,70.0
2014-03-20,70.0
2014-03-21,70.0
2014-03-22,70.0
2014-03-23,70.5
2014-03-24,71.8
2014-03-25,73.2
2014-03-26,74.5
2014-03-27,75.0
2014-03-28,75.0
2014-03-29,75.0
2014-03-30,75.0
2014-03-31,80.0
2014-04-01,85.0
2014-04-02,85.0
2014-04-03,85.0
2014-04-04,85.0
2014-04-05,85.0
2014-04-06,85.0
2014-04-07,85.0
2014-04-08,85.0
2014-04-09,85.0
2014-04-10,85.0
2014-04-11,85.0
2014-04-12,85.0
2014-04-13,85.0
2014-04-14,85.0
2014-04-15,85.0
2014-04-16,85.0
2014-04-17,85.0
2014-04-18,85.0
2014-04-19,85.0
2014-04-20,85.0
2014-04-21,85.0
2014-04-22,85.0
2014-04-23,85.0
2014-04-24,85.0
2014-04-25,85.0
2014-04-26,85.0
2014-04-27,85.0
2014-04-28,92.5
2014-04-29,100.0
2014-04-30,100.0
2014-05-01,100.0
2014-05-02,100.0
2014-05-03,100.0
2014-05-04,100.0
2014-05-05,100.0
2014-05-06,100.0
2014-05-07,100.0
2014-05-08,100.0
2014-05-09,100.0
2014-05-10,100.0
2014-05-11,100.0
2014-05-12,99.6
2014-05-13,98.5
2014-05-14,97.2
2014-05-15,95.9
2014-05-16,95.0
2014-05-17,94.4
2014-05-18,93.9
2014-05-19,93.5
2014-05-20,93.1
2014-05-21,92.8
2014-05-22,92.4
2014-05-23,92.1
2014-05-24,91.8
2014-05-25,91.4
2014-05-26,91.0
2014-05-27,90.5
2014-05-28,90.0
2014-05-29,89.2
2014-05-30,88.2
2014-05-31,87.1
2014-06-01,86.0
2014-06-02,85.3
2014-06-03,85.0
2014-06-04,85.3
2014-06-05,86.0
2014-06-06,87.0
2014-06-07,88.0
2014-06-08,89.0
2014-06-09,89.7
2014-06-10,90.0
2014-06-11,90.0
2014-06-12,89.9
2014-06-13,89.7
2014-06-14,89.5
2014-06-15,89.2
2014-06-16,88.9
2014-06-17,88.5
2014-06-18,88.0
2014-06-19,87.5
2014-06-20,87.0
2014-06-21,86.3
2014-06-22,85.7
2014-06-23,85.0
2014-06-24,83.4
2014-06-25,81.1
2014-06-26,80.0
2014-06-27,80.0
2014-06-28,80.0
2014-06-29,80.0
2014-06-30,80.0
2014-07-01,80.0
2014-07-02,75.4
2014-07-03,70.0
2014-07-04,68.7
2014-07-05,67.5
2014-07-06,66.6
2014-07-07,65.9
2014-07-08,65.4
2014-07-09,65.1
2014-07-10,65.0
2014-07-11,65.0
2014-07-12,65.2
2014-07-13,65.4
2014-07-14,65.7
2014-07-15,66.0
2014-07-16,66.5
2014-07-17,66.9
2014-07-18,67.5
2014-07-19,68.0
2014-07-20,68.7
2014-07-21,69.3
2014-07-22,70.0
2014-07-23,71.1
2014-07-24,72.9
2014-07-25,75.3
2014-07-26,78.1
2014-07-27,81.2
2014-07-28,84.5
2014-07-29,87.8
2014-07-30,90.9
2014-07-31,93.8
2014-08-01,96.3
2014-08-02,98.3
2014-08-03,99.5
2014-08-04,100.0
2014-08-05,99.7
2014-08-06,99.0
2014-08-07,98.0
2014-08-08,97.0
2014-08-09,96.0
2014-08-10,95.3
2014-08-11,95.0
2014-08-12,95.0
2014-08-13,95.0
2014-08-14,95.0
2014-08-15,95.0
2014-08-16,95.0
2014-08-17,95.0
2014-08-18,95.0
2014-08-19,95.0
2014-08-20,95.0
2014-08-21,95.0
2014-08-22,95.0
2014-08-23,95.0
2014-08-24,95.0
2014-08-25,95.0
2014-08-26,95.0
2014-08-27,95.0
2014-08-28,95.0
2014-08-29,95.0
2014-08-30,95.0
2014-08-31,95.0
2014-09-01,95.0
2014-09-02,95.0
2014-09-03,95.0
2014-09-04,95.0
2014-09-05,95.0
2014-09-06,95.0
2014-09-07,95.0
2014-09-08,95.0
2014-09-09,95.0
2014-09-10,95.0
2014-09-11,95.0
2014-09-12,95.0
2014-09-13,95.0
2014-09-14,94.0
2014-09-15,91.5
2014-09-16,88.5
2014-09-17,86.0
2014-09-18,85.0
2014-09-19,85.0
2014-09-20,85.0
