날짜,저수율
2014-01-01,70.0
2014-01-02,70.0
2014-01-03,70.0
2014-01-04,70.0
2014-01-05,70.0
2014-01-06,70.0
2014-01-07,70.0
2014-01-08,70.0
2014-01-09,70.0
2014-01-10,70.0
2014-01-11,70.0
2014-01-12,70.0
2014-01-13,70.0
2014-01-14,70.0
2014-01-15,70.0
2014-01-16,70.0
2014-01-17,70.0
2014-01-18,70.0
2014-01-19,70.0
2014-01-20,70.0
2014-01-21,70.0
2014-01-22,70.0
2014-01-23,70.0
2014-01-24,70.0
2014-01-25,70.0
2014-01-26,70.0
2014-01-27,70.0
2014-01-28,70.0
2014-01-29,70.0
2014-01-30,70.0
2014-01-31,70.0
2014-02-01,70.0
2014-02-02,70.0
2014-02-03,70.0
2014-02-04,70.0
2014-02-05,70.0
2014-02-06,70.0
2014-02-07,70.0
2014-02-08,70.0
2014-02-09,70.0
2014-02-10,70.0
2014-02-11,70.0
2014-02-12,70.0
2014-02-13,70.0
2014-02-14,70.0
2014-02-15,70.0
2014-02-16,70.0
2014-02-17,70.0
2014-02-18,70.0
2014-02-19,70.0
2014-02-20,70.0
2014-02-21,70.0
2014-02-22,70.0
2014-02-23,70.0
2014-02-24,70.0
2014-02-25,70.0
2014-02-26,70.0
2014-02-27,70.0
2014-02-28,70.0
2014-03-01,70.0
2014-03-02,70.0
2014-03-03,70.0
2014-03-04,70.0
2014-03-05,70.0
2014-03-06,70.0
2014-03-07,70.0
2014-03-08,70.0
2014-03-09,70.0
2014-03-10,70.0
2014-03-11,70.0
2014-03-12,70.0
2014-03-13,70.0
2014-03-14,70.0
2014-03-15,70.0
2014-03-16,70.0
2014-03-17,70.0
2014-03-18,70.0
2014-03-19,70.0
2014-03-20,70.0
2014-03-21,70.0
2014-03-22,70.0
2014-03-23,70.0
2014-03-24,70.0
2014-03-25,70.0
2014-03-26,70.0
2014-03-27,70.0
2014-03-28,70.0
2014-03-29,70.0
2014-03-30,70.0
2014-03-31,70.0
2014-04-01,70.0
2014-04-02,70.0
2014-04-03,70.0
2014-04-04,70.0
2014-04-05,70.0
2014-04-06,70.0
2014-04-07,70.0
2014-04-08,70.0
2014-04-09,70.0
2014-04-10,70.0
2014-04-11,70.0
2014-04-12,70.0
2014-04-13,70.0
2014-04-14,70.0
2014-04-15,70.0
2014-04-16,70.0
2014-04-17,70.0
2014-04-18,70.0
2014-04-19,70.0
2014-04-20,70.0
2014-04-21,70.0
2014-04-22,70.0
2014-04-23,70.0
2014-04-24,70.0
2014-04-25,70.0
2014-04-26,70.0
2014-04-27,70.0
2014-04-28,70.0
2014-04-29,70.0
2014-04-30,70.0
2014-05-01,70.0
2014-05-02,70.0
2014-05-03,70.0
2014-05-04,70.0
2014-05-05,70.0
2014-05-06,70.0
2014-05-07,70.0
2014-05-08,70.0
2014-05-09,70.0
2014-05-10,70.0
2014-05-11,70.0
2014-05-12,70.0
2014-05-13,70.0
2014-05-14,70.0
2014-05-15,70.0
2014-05-16,70.0
2014-05-17,70.0
2014-05-18,70.0
2014-05-19,70.0
2014-05-20,70.0
2014-05-21,70.0
2014-05-22,70.0
2014-05-23,70.2
2014-05-24,70.7
2014-05-25,71.3
2014-05-26,71.8
2014-05-27,72.0
2014-05-28,72.0
2014-05-29,72.0
2014-05-30,72.0
2014-05-31,72.0
2014-06-01,72.0
2014-06-02,72.0
2014-06-03,72.0
2014-06-04,70.3
2014-06-05,68.0
2014-06-06,66.8
2014-06-07,65.9
2014-06-08,65.1
2014-06-09,64.0
2014-06-10,62.6
2014-06-11,61.0
2014-06-12,59.4
2014-06-13,58.0
2014-06-14,57.1
2014-06-15,56.4
2014-06-16,56.0
2014-06-17,55.8
2014-06-18,55.6
2014-06-19,55.5
2014-06-20,55.4
2014-06-21,55.3
2014-06-22,55.2
2014-06-23,55.0
2014-06-24,54.6
2014-06-25,54.2
2014-06-26,54.0
2014-06-27,54.0
2014-06-28,54.0
2014-06-29,54.0
2014-06-30,54.0
2014-07-01,54.0
2014-07-02,54.0
2014-07-03,54.0
2014-07-04,54.0
2014-07-05,54.0
2014-07-06,54.0
2014-07-07,54.0
2014-07-08,59.0
2014-07-09,64.0
2014-07-10,63.9
2014-07-11,63.5
2014-07-12,63.1
2014-07-13,62.6
2014-07-14,62.2
2014-07-15,62.0
2014-07-16,61.9
2014-07-17,61.8
2014-07-18,61.7
2014-07-19,61.7
2014-07-20,61.6
2014-07-21,61.6
2014-07-22,61.6
2014-07-23,61.5
2014-07-24,61.5
2014-07-25,61.4
2014-07-26,61.4
2014-07-27,61.3
2014-07-28,61.2
2014-07-29,61.0
2014-07-30,59.9
2014-07-31,58.0
2014-08-01,57.0
2014-08-02,57.0
2014-08-03,57.0
2014-08-04,57.0
2014-08-05,57.0
2014-08-06,57.0
2014-08-07,57.0
2014-08-08,57.0
2014-08-09,57.0
2014-08-10,57.0
2014-08-11,57.0
2014-08-12,57.0
2014-08-13,57.0
2014-08-14,68.3
2014-08-15,83.0
2014-08-16,89.5
2014-08-17,94.9
2014-08-18,98.6
2014-08-19,100.0
2014-08-20,100.0
2014-08-21,100.0
2014-08-22,100.0
2014-08-23,100.0
2014-08-24,100.0
2014-08-25,100.0
2014-08-26,100.0
2014-08-27,100.0
2014-08-28,100.0
2014-08-29,100.0
2014-08-30,100.0
2014-08-31,100.0
2014-09-01,100.0
2014-09-02,100.0
2014-09-03,100.0
2014-09-04,100.0
2014-09-05,100.0
2014-09-06,100.0
2014-09-07,100.0
2014-09-08,100.0
2014-09-09,100.0
2014-09-10,100.0
2014-09-11,99.5
2014-09-12,98.2
2014-09-13,96.8
2014-09-14,95.5
2014-09-15,95.0
2014-09-16,95.0
2014-09-17,95.0
2014-09-18,95.0
2014-09-19,95.0
2014-09-20,95.0
