날짜,저수율
2014-01-01,47.2
2014-01-02,47.2
2014-01-03,47.2
2014-01-04,47.2
2014-01-05,47.1
2014-01-06,47.1
2014-01-07,47.1
2014-01-08,46.9
2014-01-09,46.6
2014-01-10,46.4
2014-01-11,46.4
2014-01-12,46.4
2014-01-13,45.7
2014-01-14,44.9
2014-01-15,44.8
2014-01-16,44.8
2014-01-17,44.8
2014-01-18,44.8
2014-01-19,44.7
2014-01-20,44.7
2014-01-21,44.7
2014-01-22,44.6
2014-01-23,44.5
2014-01-24,44.4
2014-01-25,44.3
2014-01-26,44.2
2014-01-27,44.0
2014-01-28,43.2
2014-01-29,42.5
2014-01-30,42.5
2014-01-31,42.5
2014-02-01,42.5
2014-02-02,42.5
2014-02-03,42.5
2014-02-04,42.5
2014-02-05,42.1
2014-02-06,41.5
2014-02-07,41.2
2014-02-08,40.8
2014-02-09,40.6
2014-02-10,40.5
2014-02-11,40.5
2014-02-12,40.4
2014-02-13,40.4
2014-02-14,40.4
2014-02-15,40.4
2014-02-16,40.4
2014-02-17,40.4
2014-02-18,40.3
2014-02-19,40.3
2014-02-20,40.2
2014-02-21,40.0
2014-02-22,39.7
2014-02-23,39.5
2014-02-24,39.3
2014-02-25,39.1
2014-02-26,39.0
2014-02-27,38.9
2014-02-28,38.7
2014-03-01,38.6
2014-03-02,38.5
2014-03-03,38.4
2014-03-04,38.3
2014-03-05,38.2
2014-03-06,38.1
2014-03-07,38.1
2014-03-08,38.1
2014-03-09,38.1
2014-03-10,38.1
2014-03-11,38.1
2014-03-12,38.1
2014-03-13,38.4
2014-03-14,38.6
2014-03-15,38.6
2014-03-16,38.6
2014-03-17,38.5
2014-03-18,38.5
2014-03-19,38.5
2014-03-20,38.4
2014-03-21,38.4
2014-03-22,38.4
2014-03-23,38.3
2014-03-24,38.3
2014-03-25,38.3
2014-03-26,38.3
2014-03-27,38.3
2014-03-28,38.3
2014-03-29,38.2
2014-03-30,38.2
2014-03-31,38.2
2014-04-01,37.8
2014-04-02,37.2
2014-04-03,36.6
2014-04-04,36.3
2014-04-05,36.1
2014-04-06,35.6
2014-04-07,35.2
2014-04-08,35.2
2014-04-09,35.1
2014-04-10,34.7
2014-04-11,34.1
2014-04-12,33.7
2014-04-13,33.4
2014-04-14,33.3
2014-04-15,33.3
2014-04-16,33.3
2014-04-17,33.4
2014-04-18,33.4
2014-04-19,33.3
2014-04-20,33.1
2014-04-21,32.9
2014-04-22,32.6
2014-04-23,32.2
2014-04-24,31.6
2014-04-25,31.1
2014-04-26,30.9
2014-04-27,30.6
2014-04-28,30.5
2014-04-29,30.3
2014-04-30,30.2
2014-05-01,30.1
2014-05-02,30.1
2014-05-03,30.5
2014-05-04,31.4
2014-05-05,32.7
2014-05-06,34.1
2014-05-07,35.3
2014-05-08,36.6
2014-05-09,37.5
2014-05-10,37.7
2014-05-11,37.8
2014-05-12,37.8
2014-05-13,37.8
2014-05-14,37.8
2014-05-15,37.8
2014-05-16,37.8
2014-05-17,37.8
2014-05-18,39.0
2014-05-19,40.2
2014-05-20,40.2
2014-05-21,40.2
2014-05-22,40.2
2014-05-23,40.1
2014-05-24,39.8
2014-05-25,37.9
2014-05-26,35.8
2014-05-27,35.1
2014-05-28,34.6
2014-05-29,34.2
2014-05-30,33.9
2014-05-31,33.4
