날짜,저수율
2014-01-01,56.4
2014-01-02,56.4
2014-01-03,56.4
2014-01-04,56.4
2014-01-05,56.4
2014-01-06,56.4
2014-01-07,56.3
2014-01-08,56.3
2014-01-09,56.3
2014-01-10,56.3
2014-01-11,56.2
2014-01-12,56.1
2014-01-13,56.1
2014-01-14,56.1
2014-01-15,56.0
2014-01-16,56.0
2014-01-17,56.0
2014-01-18,56.0
2014-01-19,55.9
2014-01-20,55.9
2014-01-21,55.8
2014-01-22,55.7
2014-01-23,55.7
2014-01-24,55.6
2014-01-25,55.6
2014-01-26,55.6
2014-01-27,55.5
2014-01-28,55.5
2014-01-29,55.5
2014-01-30,55.5
2014-01-31,55.4
2014-02-01,55.4
2014-02-02,55.4
2014-02-03,55.4
2014-02-04,55.4
2014-02-05,55.4
2014-02-06,55.4
2014-02-07,55.6
2014-02-08,55.7
2014-02-09,55.8
2014-02-10,55.9
2014-02-11,55.9
2014-02-12,56.0
2014-02-13,56.0
2014-02-14,56.0
2014-02-15,56.0
2014-02-16,56.1
2014-02-17,56.1
2014-02-18,56.2
2014-02-19,56.3
2014-02-20,56.3
2014-02-21,56.3
2014-02-22,56.3
2014-02-23,56.3
2014-02-24,56.3
2014-02-25,56.4
2014-02-26,56.5
2014-02-27,57.0
2014-02-28,57.7
2014-03-01,58.3
2014-03-02,58.9
2014-03-03,59.4
2014-03-04,59.8
2014-03-05,60.1
2014-03-06,60.2
2014-03-07,60.2
2014-03-08,60.2
2014-03-09,60.2
2014-03-10,60.2
2014-03-11,60.3
2014-03-12,61.4
2014-03-13,63.0
2014-03-14,64.4
2014-03-15,65.4
2014-03-16,65.7
2014-03-17,65.9
2014-03-18,66.2
2014-03-19,66.4
2014-03-20,66.7
2014-03-21,67.0
2014-03-22,67.3
2014-03-23,67.5
2014-03-24,67.9
2014-03-25,68.5
2014-03-26,69.3
2014-03-27,70.2
2014-03-28,71.3
2014-03-29,72.6
2014-03-30,74.1
2014-03-31,75.4
2014-04-01,76.5
2014-04-02,77.5
2014-04-03,78.4
2014-04-04,79.1
2014-04-05,79.5
2014-04-06,79.7
2014-04-07,80.0
2014-04-08,80.4
2014-04-09,80.7
2014-04-10,80.9
2014-04-11,81.0
2014-04-12,81.0
2014-04-13,81.0
2014-04-14,81.0
2014-04-15,81.1
2014-04-16,81.4
2014-04-17,82.0
2014-04-18,82.8
2014-04-19,83.6
2014-04-20,84.4
2014-04-21,84.7
2014-04-22,84.7
2014-04-23,84.6
2014-04-24,84.5
2014-04-25,84.5
2014-04-26,84.5
2014-04-27,84.5
2014-04-28,84.5
2014-04-29,86.7
2014-04-30,89.6
2014-05-01,90.9
2014-05-02,91.5
2014-05-03,90.9
2014-05-04,89.6
2014-05-05,87.9
2014-05-06,86.4
2014-05-07,85.4
2014-05-08,85.0
2014-05-09,84.7
2014-05-10,84.4
2014-05-11,84.2
2014-05-12,84.0
2014-05-13,83.9
2014-05-14,83.8
2014-05-15,83.6
2014-05-16,83.2
2014-05-17,82.8
2014-05-18,82.3
2014-05-19,81.7
2014-05-20,81.1
2014-05-21,80.3
2014-05-22,79.6
2014-05-23,78.9
2014-05-24,78.0
2014-05-25,75.4
2014-05-26,72.0
2014-05-27,69.3
2014-05-28,67.2
2014-05-29,66.2
2014-05-30,65.2
2014-05-31,62.9
2014-06-01,60.5
2014-06-02,59.3
2014-06-03,58.5
2014-06-04,58.2
2014-06-05,58.0
2014-06-06,57.7
2014-06-07,56.6
2014-06-08,55.0
2014-06-09,53.2
2014-06-10,51.1
2014-06-11,48.8
2014-06-12,46.8
2014-06-13,45.7
2014-06-14,44.9
2014-06-15,44.4
2014-06-16,43.9
2014-06-17,41.4
2014-06-18,38.9
2014-06-19,38.2
2014-06-20,37.9
