날짜,저수율
2014-01-01,39.1
2014-01-02,39.0
2014-01-03,39.0
2014-01-04,39.0
2014-01-05,38.9
2014-01-06,38.9
2014-01-07,38.9
2014-01-08,38.9
2014-01-09,38.9
2014-01-10,38.9
2014-01-11,38.8
2014-01-12,38.8
2014-01-13,38.8
2014-01-14,38.8
2014-01-15,38.8
2014-01-16,38.8
2014-01-17,38.8
2014-01-18,38.7
2014-01-19,38.7
2014-01-20,38.7
2014-01-21,38.7
2014-01-22,38.7
2014-01-23,38.7
2014-01-24,38.6
2014-01-25,38.6
2014-01-26,38.6
2014-01-27,38.6
2014-01-28,38.6
2014-01-29,38.6
2014-01-30,38.6
2014-01-31,38.6
2014-02-01,38.5
2014-02-02,38.5
2014-02-03,38.5
2014-02-04,38.5
2014-02-05,38.5
2014-02-06,38.5
2014-02-07,38.5
2014-02-08,38.4
2014-02-09,38.4
2014-02-10,38.4
2014-02-11,38.4
2014-02-12,38.3
2014-02-13,38.3
2014-02-14,38.3
2014-02-15,38.2
2014-02-16,38.2
2014-02-17,38.2
2014-02-18,38.2
2014-02-19,38.1
2014-02-20,38.1
2014-02-21,38.1
2014-02-22,38.0
2014-02-23,38.0
2014-02-24,38.0
2014-02-25,38.0
2014-02-26,38.0
2014-02-27,38.1
2014-02-28,38.1
2014-03-01,38.1
2014-03-02,38.1
2014-03-03,38.1
2014-03-04,38.0
2014-03-05,38.0
2014-03-06,38.1
2014-03-07,38.2
2014-03-08,38.3
2014-03-09,38.5
2014-03-10,38.7
2014-03-11,38.9
2014-03-12,39.2
2014-03-13,39.5
2014-03-14,40.5
2014-03-15,41.7
2014-03-16,42.4
2014-03-17,42.9
2014-03-18,43.1
2014-03-19,43.2
2014-03-20,43.4
2014-03-21,43.5
2014-03-22,43.5
2014-03-23,43.6
2014-03-24,43.6
2014-03-25,44.5
2014-03-26,46.0
2014-03-27,48.2
2014-03-28,49.6
2014-03-29,49.6
2014-03-30,49.6
2014-03-31,56.2
2014-04-01,63.1
2014-04-02,63.5
2014-04-03,63.7
2014-04-04,63.9
2014-04-05,64.4
2014-04-06,65.0
2014-04-07,65.6
2014-04-08,66.1
2014-04-09,66.2
2014-04-10,66.3
2014-04-11,66.1
2014-04-12,65.8
2014-04-13,65.5
2014-04-14,65.3
2014-04-15,65.5
2014-04-16,66.1
2014-04-17,66.8
2014-04-18,67.4
2014-04-19,68.0
2014-04-20,68.5
2014-04-21,68.8
2014-04-22,68.9
2014-04-23,68.9
2014-04-24,69.0
2014-04-25,69.0
2014-04-26,69.1
2014-04-27,69.2
2014-04-28,69.4
2014-04-29,72.5
2014-04-30,75.9
2014-05-01,76.8
2014-05-02,77.1
2014-05-03,77.1
2014-05-04,77.1
2014-05-05,77.1
2014-05-06,77.1
2014-05-07,76.8
2014-05-08,76.5
2014-05-09,76.7
2014-05-10,77.2
2014-05-11,78.2
2014-05-12,79.5
2014-05-13,88.8
2014-05-14,97.4
2014-05-15,97.3
2014-05-16,97.2
2014-05-17,97.0
2014-05-18,96.8
2014-05-19,96.5
2014-05-20,96.2
2014-05-21,96.1
2014-05-22,96.0
2014-05-23,95.7
2014-05-24,95.2
2014-05-25,94.3
2014-05-26,93.6
2014-05-27,93.4
2014-05-28,93.3
2014-05-29,92.8
2014-05-30,91.9
2014-05-31,89.9
2014-06-01,87.7
2014-06-02,86.4
2014-06-03,85.5
2014-06-04,85.0
2014-06-05,84.4
2014-06-06,82.6
2014-06-07,79.9
2014-06-08,77.7
2014-06-09,76.6
2014-06-10,75.6
2014-06-11,74.1
2014-06-12,72.5
2014-06-13,71.2
2014-06-14,69.9
2014-06-15,68.8
2014-06-16,67.8
2014-06-17,67.1
2014-06-18,66.3
2014-06-19,64.1
2014-06-20,61.7
2014-06-21,60.2
2014-06-22,59.1
2014-06-23,58.3
2014-06-24,58.0
2014-06-25,57.6
2014-06-26,56.5
2014-06-27,55.0
2014-06-28,53.7
2014-06-29,52.5
2014-06-30,51.5
2014-07-01,50.5
2014-07-02,50.0
2014-07-03,50.0
2014-07-04,50.0
2014-07-05,50.0
2014-07-06,50.0
2014-07-07,50.8
2014-07-08,52.2
2014-07-09,53.9
2014-07-10,55.0
2014-07-11,55.0
2014-07-12,55.0
2014-07-13,55.0
2014-07-14,55.0
2014-07-15,55.0
2014-07-16,55.0
2014-07-17,57.2
2014-07-18,61.7
2014-07-19,69.3
2014-07-20,79.0
2014-07-21,84.4
2014-07-22,85.4
2014-07-23,85.8
2014-07-24,85.8
2014-07-25,85.8
2014-07-26,85.8
2014-07-27,85.8
2014-07-28,85.4
2014-07-29,84.6
2014-07-30,82.4
2014-07-31,80.7
2014-08-01,83.7
2014-08-02,90.4
2014-08-03,97.0
2014-08-04,100.0
2014-08-05,99.9
2014-08-06,99.8
2014-08-07,99.6
2014-08-08,99.4
2014-08-09,99.1
2014-08-10,98.9
2014-08-11,98.8
2014-08-12,98.7
2014-08-13,98.8
2014-08-14,99.0
2014-08-15,99.4
2014-08-16,99.7
2014-08-17,99.9
2014-08-18,100.0
2014-08-19,100.0
2014-08-20,100.0
2014-08-21,100.0
2014-08-22,100.0
2014-08-23,100.0
2014-08-24,100.0
