날짜,저수율
2014-01-01,75.0
2014-01-02,75.0
2014-01-03,75.0
2014-01-04,75.0
2014-01-05,75.0
2014-01-06,75.0
2014-01-07,75.0
2014-01-08,75.0
2014-01-09,75.0
2014-01-10,75.0
2014-01-11,75.0
2014-01-12,75.0
2014-01-13,75.0
2014-01-14,75.0
2014-01-15,75.0
2014-01-16,75.0
2014-01-17,75.0
2014-01-18,75.0
2014-01-19,75.0
2014-01-20,75.0
2014-01-21,75.0
2014-01-22,75.0
2014-01-23,75.0
2014-01-24,75.0
2014-01-25,75.0
2014-01-26,75.0
2014-01-27,75.0
2014-01-28,75.0
2014-01-29,75.0
2014-01-30,75.0
2014-01-31,75.0
2014-02-01,75.0
2014-02-02,75.0
2014-02-03,75.0
2014-02-04,75.0
2014-02-05,75.0
2014-02-06,75.0
2014-02-07,75.0
2014-02-08,75.0
2014-02-09,75.4
2014-02-10,76.4
2014-02-11,77.6
2014-02-12,78.6
2014-02-13,79.0
2014-02-14,79.0
2014-02-15,79.0
2014-02-16,79.0
2014-02-17,79.0
2014-02-18,79.0
2014-02-19,79.0
2014-02-20,79.0
2014-02-21,79.0
2014-02-22,79.0
2014-02-23,79.0
2014-02-24,79.0
2014-02-25,79.0
2014-02-26,79.0
2014-02-27,79.0
2014-02-28,79.0
2014-03-01,79.0
2014-03-02,79.0
2014-03-03,79.0
2014-03-04,79.0
2014-03-05,79.0
2014-03-06,79.0
2014-03-07,79.0
2014-03-08,79.0
2014-03-09,79.0
2014-03-10,79.4
2014-03-11,80.5
2014-03-12,82.0
2014-03-13,83.6
2014-03-14,85.0
2014-03-15,86.3
2014-03-16,87.7
2014-03-17,89.0
2014-03-18,90.0
2014-03-19,90.8
2014-03-20,91.6
2014-03-21,92.4
2014-03-22,93.1
2014-03-23,93.7
2014-03-24,94.2
2014-03-25,94.6
2014-03-26,94.9
2014-03-27,95.0
2014-03-28,95.0
2014-03-29,95.0
2014-03-30,95.0
2014-03-31,95.0
2014-04-01,95.0
2014-04-02,95.0
2014-04-03,95.0
2014-04-04,95.0
2014-04-05,95.0
2014-04-06,95.0
2014-04-07,95.0
2014-04-08,95.0
2014-04-09,95.0
2014-04-10,95.0
2014-04-11,95.0
2014-04-12,95.0
2014-04-13,95.0
2014-04-14,95.0
2014-04-15,95.0
2014-04-16,95.0
2014-04-17,95.0
2014-04-18,95.0
2014-04-19,95.0
2014-04-20,95.0
2014-04-21,95.0
2014-04-22,95.0
2014-04-23,95.0
2014-04-24,95.0
2014-04-25,95.0
2014-04-26,95.0
2014-04-27,95.0
2014-04-28,95.0
2014-04-29,95.0
2014-04-30,95.0
2014-05-01,95.0
2014-05-02,95.0
2014-05-03,95.0
2014-05-04,95.0
2014-05-05,95.0
2014-05-06,95.0
2014-05-07,95.0
2014-05-08,95.0
2014-05-09,95.5
2014-05-10,96.8
2014-05-11,98.2
2014-05-12,99.5
2014-05-13,100.0
2014-05-14,99.9
2014-05-15,99.4
2014-05-16,98.8
2014-05-17,98.0
2014-05-18,97.1
2014-05-19,96.1
2014-05-20,95.0
2014-05-21,93.9
2014-05-22,92.9
2014-05-23,92.0
2014-05-24,91.2
2014-05-25,90.6
2014-05-26,90.1
2014-05-27,90.0
2014-05-28,90.0
2014-05-29,90.0
2014-05-30,90.0
2014-05-31,90.0
2014-06-01,90.0
2014-06-02,90.0
2014-06-03,90.0
2014-06-04,90.0
2014-06-05,90.0
2014-06-06,90.0
2014-06-07,90.0
2014-06-08,90.0
2014-06-09,90.0
2014-06-10,90.0
2014-06-11,90.0
2014-06-12,90.5
2014-06-13,91.8
2014-06-14,93.2
2014-06-15,94.5
2014-06-16,95.0
2014-06-17,94.9
2014-06-18,94.7
2014-06-19,94.3
2014-06-20,93.9
2014-06-21,93.3
2014-06-22,92.7
2014-06-23,92.0
2014-06-24,91.3
2014-06-25,90.7
2014-06-26,90.0
2014-06-27,89.2
2014-06-28,88.1
2014-06-29,87.0
2014-06-30,86.0
2014-07-01,85.3
2014-07-02,85.0
2014-07-03,85.0
2014-07-04,85.1
2014-07-05,85.2
2014-07-06,85.4
2014-07-07,85.6
2014-07-08,85.9
2014-07-09,86.2
2014-07-10,86.6
2014-07-11,87.0
2014-07-12,87.5
2014-07-13,88.0
2014-07-14,88.6
2014-07-15,89.3
2014-07-16,90.0
2014-07-17,92.4
2014-07-18,96.1
2014-07-19,98.0
2014-07-20,97.5
2014-07-21,96.5
2014-07-22,95.5
2014-07-23,95.0
2014-07-24,95.0
2014-07-25,95.0
2014-07-26,95.0
2014-07-27,95.0
2014-07-28,95.0
2014-07-29,95.0
2014-07-30,95.0
2014-07-31,95.0
2014-08-01,95.0
2014-08-02,95.0
2014-08-03,95.0
2014-08-04,95.0
2014-08-05,95.0
2014-08-06,95.0
2014-08-07,95.0
2014-08-08,95.0
2014-08-09,95.0
2014-08-10,95.2
2014-08-11,95.8
2014-08-12,96.6
2014-08-13,97.4
2014-08-14,98.0
2014-08-15,98.5
2014-08-16,99.0
2014-08-17,99.5
2014-08-18,99.9
2014-08-19,100.0
2014-08-20,99.9
2014-08-21,99.8
2014-08-22,99.6
2014-08-23,99.3
2014-08-24,99.0
2014-08-25,98.7
2014-08-26,98.4
2014-08-27,98.2
2014-08-28,98.1
2014-08-29,98.0
2014-08-30,98.0
2014-08-31,98.0
2014-09-01,98.0
2014-09-02,98.0
2014-09-03,98.0
2014-09-04,98.0
2014-09-05,98.0
2014-09-06,98.0
2014-09-07,98.0
2014-09-08,98.0
2014-09-09,98.0
2014-09-10,98.0
2014-09-11,96.1
2014-09-12,91.7
2014-09-13,86.3
2014-09-14,81.9
2014-09-15,80.0
2014-09-16,80.1
2014-09-17,80.5
2014-09-18,81.1
2014-09-19,81.8
2014-09-20,82.5
2014-09-21,83.2
2014-09-22,83.9
2014-09-23,84.5
2014-09-24,84.9
2014-09-25,85.0
2014-09-26,85.0
2014-09-27,85.0
2014-09-28,85.0
2014-09-29,85.0
2014-09-30,85.0
2014-10-01,85.0
2014-10-02,85.0
2014-10-03,85.0
2014-10-04,85.0
2014-10-05,85.0
2014-10-06,85.0
2014-10-07,85.0
2014-10-08,85.0
2014-10-09,85.0
2014-10-10,85.0
2014-10-11,85.0
2014-10-12,85.0
2014-10-13,85.0
2014-10-14,85.0
2014-10-15,85.0
2014-10-16,85.0
2014-10-17,85.0
2014-10-18,85.0
2014-10-19,85.0
2014-10-20,85.0
2014-10-21,85.0
2014-10-22,85.0
2014-10-23,85.0
2014-10-24,84.5
2014-10-25,83.2
2014-10-26,81.8
2014-10-27,80.5
2014-10-28,80.0
2014-10-29,80.0
2014-10-30,80.0
2014-10-31,80.0
2014-11-01,80.0
2014-11-02,80.0
2014-11-03,80.0
2014-11-04,80.0
2014-11-05,80.0
2014-11-06,80.0
2014-11-07,80.0
2014-11-08,80.0
2014-11-09,80.0
2014-11-10,80.0
2014-11-11,80.0
2014-11-12,80.0
2014-11-13,80.0
2014-11-14,80.0
2014-11-15,80.0
2014-11-16,80.0
2014-11-17,80.0
2014-11-18,80.0
2014-11-19,80.0
2014-11-20,80.0
2014-11-21,80.0
2014-11-22,80.0
2014-11-23,80.0
2014-11-24,80.0
2014-11-25,80.0
2014-11-26,80.0
2014-11-27,80.0
2014-11-28,80.0
2014-11-29,80.0
2014-11-30,80.0
2014-12-01,80.0
2014-12-02,80.0
2014-12-03,80.0
2014-12-04,80.0
2014-12-05,80.0
2014-12-06,80.0
2014-12-07,80.0
2014-12-08,80.0
2014-12-09,80.0
2014-12-10,80.0
2014-12-11,80.0
2014-12-12,80.0
2014-12-13,80.0
2014-12-14,80.0
2014-12-15,80.0
2014-12-16,80.0
2014-12-17,80.0
2014-12-18,80.0
2014-12-19,80.0
2014-12-20,80.0
2014-12-21,80.0
2014-12-22,80.0
2014-12-23,80.0
2014-12-24,80.0
2014-12-25,80.0
2014-12-26,80.0
2014-12-27,80.0
2014-12-28,80.0
2014-12-29,80.0
2014-12-30,80.0
2014-12-31,80.0
2015-01-01,80.0
2015-01-02,80.0
2015-01-03,80.0
2015-01-04,80.0
2015-01-05,80.0
2015-01-06,80.0
2015-01-07,80.0
2015-01-08,80.0
2015-01-09,80.0
2015-01-10,80.0
2015-01-11,80.0
2015-01-12,80.0
2015-01-13,80.0
2015-01-14,80.0
2015-01-15,80.0
2015-01-16,80.0
2015-01-17,80.0
2015-01-18,80.0
2015-01-19,80.0
2015-01-20,80.0
2015-01-21,80.0
2015-01-22,80.0
2015-01-23,80.0
2015-01-24,80.0
2015-01-25,80.0
2015-01-26,80.0
2015-01-27,84.7
2015-01-28,90.0
2015-01-29,91.2
2015-01-30,92.2
2015-01-31,92.9
2015-02-01,93.4
2015-02-02,93.8
2015-02-03,94.0
2015-02-04,94.2
2015-02-05,94.3
2015-02-06,94.5
2015-02-07,94.6
2015-02-08,94.7
2015-02-09,94.8
2015-02-10,94.8
2015-02-11,94.9
2015-02-12,95.0
2015-02-13,95.0
2015-02-14,95.0
2015-02-15,95.1
2015-02-16,95.1
2015-02-17,95.1
2015-02-18,95.1
2015-02-19,95.1
2015-02-20,95.1
2015-02-21,95.1
2015-02-22,95.1
2015-02-23,95.1
2015-02-24,95.1
2015-02-25,95.1
2015-02-26,95.1
2015-02-27,95.1
2015-02-28,95.1
2015-03-01,95.1
2015-03-02,95.1
2015-03-03,95.1
2015-03-04,95.1
2015-03-05,95.1
2015-03-06,95.1
2015-03-07,95.1
2015-03-08,95.1
2015-03-09,95.1
2015-03-10,95.1
2015-03-11,95.1
2015-03-12,95.1
2015-03-13,95.1
2015-03-14,95.1
2015-03-15,95.1
2015-03-16,95.1
2015-03-17,95.1
2015-03-18,95.1
2015-03-19,95.1
2015-03-20,95.1
2015-03-21,95.1
2015-03-22,95.1
2015-03-23,95.1
2015-03-24,95.1
2015-03-25,95.1
2015-03-26,95.1
2015-03-27,95.1
2015-03-28,95.1
2015-03-29,95.1
2015-03-30,95.1
2015-03-31,95.1
2015-04-01,95.1
2015-04-02,95.1
2015-04-03,95.1
2015-04-04,95.1
2015-04-05,95.1
2015-04-06,95.1
2015-04-07,95.1
2015-04-08,95.1
2015-04-09,95.1
2015-04-10,95.1
2015-04-11,95.1
2015-04-12,95.1
2015-04-13,95.1
2015-04-14,95.1
2015-04-15,95.1
2015-04-16,95.1
2015-04-17,95.1
2015-04-18,95.1
