날짜,저수율
2014-01-01,38.0
2014-01-02,38.0
2014-01-03,38.0
2014-01-04,41.1
2014-01-05,48.4
2014-01-06,57.2
2014-01-07,64.5
2014-01-08,67.6
2014-01-09,67.6
2014-01-10,67.6
2014-01-11,67.6
2014-01-12,67.5
2014-01-13,67.5
2014-01-14,67.5
2014-01-15,67.4
2014-01-16,61.4
2014-01-17,55.4
2014-01-18,55.4
2014-01-19,55.5
2014-01-20,55.5
2014-01-21,55.6
2014-01-22,55.6
2014-01-23,55.6
2014-01-24,55.6
2014-01-25,55.6
2014-01-26,55.6
2014-01-27,55.6
2014-01-28,55.6
2014-01-29,55.6
2014-01-30,55.6
2014-01-31,55.6
2014-02-01,55.6
2014-02-02,55.6
2014-02-03,55.6
2014-02-04,55.6
2014-02-05,55.6
2014-02-06,55.6
2014-02-07,55.6
2014-02-08,55.6
2014-02-09,55.6
2014-02-10,55.6
2014-02-11,55.6
2014-02-12,55.6
2014-02-13,55.6
2014-02-14,55.6
2014-02-15,55.6
2014-02-16,55.7
2014-02-17,55.8
2014-02-18,55.9
2014-02-19,55.9
2014-02-20,55.9
2014-02-21,55.9
2014-02-22,55.9
2014-02-23,55.9
2014-02-24,55.9
2014-02-25,55.9
2014-02-26,55.9
2014-02-27,55.9
2014-02-28,55.9
2014-03-01,55.9
2014-03-02,55.9
2014-03-03,55.9
2014-03-04,55.9
2014-03-05,55.9
2014-03-06,55.9
2014-03-07,55.9
2014-03-08,55.9
2014-03-09,55.9
2014-03-10,55.9
2014-03-11,55.9
2014-03-12,55.9
2014-03-13,55.9
2014-03-14,55.9
2014-03-15,55.6
2014-03-16,54.7
2014-03-17,53.8
2014-03-18,52.9
2014-03-19,52.6
2014-03-20,52.6
2014-03-21,52.6
2014-03-22,52.6
2014-03-23,52.6
2014-03-24,52.7
2014-03-25,53.0
2014-03-26,53.3
2014-03-27,53.9
2014-03-28,54.6
2014-03-29,55.4
2014-03-30,56.2
2014-03-31,56.5
2014-04-01,56.5
2014-04-02,56.5
2014-04-03,56.5
2014-04-04,56.5
2014-04-05,56.5
2014-04-06,56.5
2014-04-07,56.5
2014-04-08,56.5
2014-04-09,56.5
2014-04-10,56.5
2014-04-11,56.5
2014-04-12,56.5
2014-04-13,56.5
2014-04-14,56.5
2014-04-15,56.5
2014-04-16,56.5
2014-04-17,56.5
2014-04-18,56.5
2014-04-19,56.5
2014-04-20,56.5
2014-04-21,56.5
2014-04-22,56.5
2014-04-23,56.4
2014-04-24,56.2
2014-04-25,56.7
2014-04-26,57.9
2014-04-27,59.7
2014-04-28,62.0
2014-04-29,67.1
2014-04-30,72.0
2014-05-01,73.8
2014-05-02,74.6
2014-05-03,74.5
2014-05-04,74.3
2014-05-05,73.8
2014-05-06,73.3
2014-05-07,72.6
2014-05-08,70.6
2014-05-09,68.2
2014-05-10,67.0
2014-05-11,66.0
2014-05-12,65.2
2014-05-13,64.5
2014-05-14,64.0
2014-05-15,63.8
2014-05-16,63.6
2014-05-17,61.1
2014-05-18,58.8
2014-05-19,58.7
2014-05-20,58.7
2014-05-21,58.7
2014-05-22,58.6
2014-05-23,58.6
2014-05-24,58.6
2014-05-25,58.6
2014-05-26,58.6
2014-05-27,58.8
2014-05-28,59.0
2014-05-29,59.2
2014-05-30,58.6
2014-05-31,57.9
2014-06-01,58.5
2014-06-02,60.0
2014-06-03,71.2
2014-06-04,90.0
2014-06-05,100.0
2014-06-06,99.3
2014-06-07,97.2
2014-06-08,94.1
2014-06-09,90.0
2014-06-10,79.0
2014-06-11,66.2
2014-06-12,58.3
2014-06-13,54.0
2014-06-14,53.2
2014-06-15,52.5
2014-06-16,51.9
2014-06-17,51.4
2014-06-18,51.0
2014-06-19,50.7
2014-06-20,50.4
2014-06-21,50.2
2014-06-22,50.1
2014-06-23,50.0
2014-06-24,50.0
2014-06-25,50.0
2014-06-26,50.0
2014-06-27,50.0
2014-06-28,50.0
2014-06-29,50.0
2014-06-30,50.0
2014-07-01,50.0
2014-07-02,50.0
2014-07-03,50.0
2014-07-04,50.0
2014-07-05,50.0
2014-07-06,50.0
2014-07-07,50.0
2014-07-08,50.0
2014-07-09,50.0
2014-07-10,50.0
2014-07-11,50.0
2014-07-12,50.0
2014-07-13,50.0
2014-07-14,50.0
2014-07-15,50.0
2014-07-16,50.0
2014-07-17,50.0
2014-07-18,50.0
2014-07-19,50.0
2014-07-20,50.0
2014-07-21,50.0
2014-07-22,50.0
2014-07-23,50.0
2014-07-24,49.8
2014-07-25,49.3
2014-07-26,48.7
2014-07-27,48.2
2014-07-28,48.0
2014-07-29,49.4
2014-07-30,53.2
2014-07-31,58.8
2014-08-01,65.4
2014-08-02,72.4
2014-08-03,79.2
2014-08-04,85.0
2014-08-05,91.2
2014-08-06,97.2
2014-08-07,100.0
2014-08-08,99.2
2014-08-09,97.2
2014-08-10,94.5
2014-08-11,91.7
2014-08-12,87.3
2014-08-13,84.3
2014-08-14,84.7
2014-08-15,85.7
2014-08-16,87.3
2014-08-17,89.1
2014-08-18,91.1
2014-08-19,93.0
2014-08-20,94.7
2014-08-21,96.0
2014-08-22,97.1
2014-08-23,98.1
2014-08-24,99.1
2014-08-25,99.7
2014-08-26,100.0
2014-08-27,100.0
2014-08-28,99.9
2014-08-29,99.9
2014-08-30,99.7
2014-08-31,99.6
2014-09-01,99.4
2014-09-02,99.2
2014-09-03,98.9
2014-09-04,98.0
2014-09-05,96.6
2014-09-06,95.1
2014-09-07,93.4
2014-09-08,91.6
2014-09-09,89.6
2014-09-10,87.4
2014-09-11,85.2
2014-09-12,82.8
2014-09-13,79.8
2014-09-14,73.6
2014-09-15,68.7
2014-09-16,68.0
2014-09-17,67.4
2014-09-18,66.1
2014-09-19,65.2
2014-09-20,65.6
2014-09-21,66.7
2014-09-22,68.4
2014-09-23,70.5
2014-09-24,72.9
2014-09-25,77.8
2014-09-26,81.5
2014-09-27,81.5
2014-09-28,81.5
2014-09-29,83.3
2014-09-30,85.5
2014-10-01,86.1
2014-10-02,86.5
2014-10-03,86.7
2014-10-04,86.9
2014-10-05,87.0
2014-10-06,87.2
2014-10-07,87.5
2014-10-08,87.7
2014-10-09,87.8
2014-10-10,87.9
2014-10-11,88.0
2014-10-12,88.1
2014-10-13,88.2
2014-10-14,88.7
2014-10-15,89.2
2014-10-16,89.3
2014-10-17,89.4
2014-10-18,89.4
2014-10-19,89.4
2014-10-20,89.5
2014-10-21,89.9
2014-10-22,91.2
2014-10-23,92.5
2014-10-24,92.9
2014-10-25,93.3
2014-10-26,93.5
2014-10-27,93.7
2014-10-28,93.9
2014-10-29,94.0
2014-10-30,94.1
2014-10-31,94.3
2014-11-01,95.4
2014-11-02,97.4
2014-11-03,98.6
