날짜,저수율
2014-01-01,100.0
2014-01-02,100.0
2014-01-03,100.0
2014-01-04,100.0
2014-01-05,100.0
2014-01-06,100.0
2014-01-07,100.0
2014-01-08,100.0
2014-01-09,100.0
2014-01-10,100.0
2014-01-11,100.0
2014-01-12,100.0
2014-01-13,100.0
2014-01-14,100.0
2014-01-15,100.0
2014-01-16,100.0
2014-01-17,100.0
2014-01-18,100.0
2014-01-19,100.0
2014-01-20,100.0
2014-01-21,100.0
2014-01-22,100.0
2014-01-23,100.0
2014-01-24,100.0
2014-01-25,100.0
2014-01-26,100.0
2014-01-27,100.0
2014-01-28,100.0
2014-01-29,100.0
2014-01-30,100.0
2014-01-31,100.0
2014-02-01,100.0
2014-02-02,100.0
2014-02-03,100.0
2014-02-04,100.0
2014-02-05,100.0
2014-02-06,100.0
2014-02-07,100.0
2014-02-08,100.0
2014-02-09,100.0
2014-02-10,100.0
2014-02-11,100.0
2014-02-12,100.0
2014-02-13,100.0
2014-02-14,100.0
2014-02-15,100.0
2014-02-16,100.0
2014-02-17,100.0
2014-02-18,100.0
2014-02-19,100.0
2014-02-20,100.0
2014-02-21,100.0
2014-02-22,100.0
2014-02-23,100.0
2014-02-24,100.0
2014-02-25,100.0
2014-02-26,100.0
2014-02-27,100.0
2014-02-28,100.0
2014-03-01,100.0
2014-03-02,100.0
2014-03-03,100.0
2014-03-04,100.0
2014-03-05,100.0
2014-03-06,100.0
2014-03-07,100.0
2014-03-08,100.0
2014-03-09,100.0
2014-03-10,100.0
2014-03-11,100.0
2014-03-12,100.0
2014-03-13,100.0
2014-03-14,100.0
2014-03-15,100.0
2014-03-16,100.0
2014-03-17,100.0
2014-03-18,100.0
2014-03-19,100.0
2014-03-20,100.0
2014-03-21,100.0
2014-03-22,100.0
2014-03-23,100.0
2014-03-24,100.0
2014-03-25,100.0
2014-03-26,100.0
2014-03-27,100.0
2014-03-28,100.0
2014-03-29,100.0
2014-03-30,100.0
2014-03-31,100.0
2014-04-01,100.0
2014-04-02,100.0
2014-04-03,100.0
2014-04-04,100.0
2014-04-05,100.0
2014-04-06,100.0
2014-04-07,100.0
2014-04-08,100.0
2014-04-09,100.0
2014-04-10,100.0
2014-04-11,100.0
2014-04-12,100.0
2014-04-13,100.0
2014-04-14,100.0
2014-04-15,100.0
2014-04-16,100.0
2014-04-17,100.0
2014-04-18,100.0
2014-04-19,100.0
2014-04-20,100.0
2014-04-21,100.0
2014-04-22,100.0
2014-04-23,100.0
2014-04-24,100.0
2014-04-25,100.0
2014-04-26,100.0
2014-04-27,100.0
2014-04-28,100.0
2014-04-29,100.0
2014-04-30,100.0
2014-05-01,100.0
2014-05-02,100.0
2014-05-03,100.0
2014-05-04,99.7
2014-05-05,98.8
2014-05-06,97.7
2014-05-07,96.7
2014-05-08,96.0
2014-05-09,95.6
2014-05-10,95.4
2014-05-11,95.0
2014-05-12,94.4
2014-05-13,93.7
2014-05-14,92.7
2014-05-15,91.5
2014-05-16,90.0
2014-05-17,87.3
2014-05-18,83.5
2014-05-19,80.0
2014-05-20,76.8
2014-05-21,75.0
2014-05-22,75.0
2014-05-23,75.1
2014-05-24,75.2
2014-05-25,75.3
2014-05-26,75.5
2014-05-27,75.8
2014-05-28,76.1
2014-05-29,76.5
2014-05-30,77.0
2014-05-31,77.6
2014-06-01,78.3
2014-06-02,79.1
2014-06-03,80.0
2014-06-04,90.2
2014-06-05,100.0
2014-06-06,100.0
2014-06-07,100.0
2014-06-08,100.0
2014-06-09,100.0
2014-06-10,100.0
2014-06-11,100.0
2014-06-12,100.0
2014-06-13,100.0
2014-06-14,100.0
2014-06-15,100.0
2014-06-16,100.0
2014-06-17,100.0
2014-06-18,100.0
2014-06-19,100.0
2014-06-20,99.2
2014-06-21,97.3
2014-06-22,94.8
2014-06-23,92.2
2014-06-24,90.0
2014-06-25,87.9
2014-06-26,85.9
2014-06-27,85.0
2014-06-28,85.0
2014-06-29,85.0
2014-06-30,81.8
2014-07-01,75.7
2014-07-02,72.0
2014-07-03,71.4
2014-07-04,70.9
2014-07-05,70.5
2014-07-06,70.2
2014-07-07,70.1
2014-07-08,70.0
2014-07-09,70.3
2014-07-10,71.2
2014-07-11,72.5
2014-07-12,74.2
2014-07-13,76.1
2014-07-14,78.0
2014-07-15,80.0
2014-07-16,82.0
2014-07-17,85.0
2014-07-18,93.4
2014-07-19,100.0
2014-07-20,99.9
2014-07-21,99.8
