날짜,저수율
2014-01-01,78.3
2014-01-02,78.3
2014-01-03,78.3
2014-01-04,78.3
2014-01-05,78.3
2014-01-06,78.3
2014-01-07,78.3
2014-01-08,78.3
2014-01-09,78.3
2014-01-10,78.3
2014-01-11,78.3
2014-01-12,78.3
2014-01-13,78.3
2014-01-14,78.3
2014-01-15,78.3
2014-01-16,78.3
2014-01-17,78.3
2014-01-18,78.3
2014-01-19,78.3
2014-01-20,78.3
2014-01-21,78.3
2014-01-22,78.3
2014-01-23,78.3
2014-01-24,78.3
2014-01-25,78.3
2014-01-26,78.4
2014-01-27,78.4
2014-01-28,78.4
2014-01-29,78.4
2014-01-30,78.5
2014-01-31,78.5
2014-02-01,78.5
2014-02-02,78.6
2014-02-03,78.6
2014-02-04,78.6
2014-02-05,78.6
2014-02-06,78.7
2014-02-07,78.7
2014-02-08,78.7
2014-02-09,78.8
2014-02-10,78.8
2014-02-11,78.8
2014-02-12,78.9
2014-02-13,78.9
2014-02-14,79.0
2014-02-15,79.1
2014-02-16,79.2
2014-02-17,79.3
2014-02-18,79.7
2014-02-19,80.1
2014-02-20,80.2
2014-02-21,80.3
2014-02-22,80.4
2014-02-23,80.6
2014-02-24,80.8
2014-02-25,81.0
2014-02-26,81.3
2014-02-27,82.5
2014-02-28,83.5
2014-03-01,83.5
2014-03-02,83.5
2014-03-03,84.3
2014-03-04,85.2
2014-03-05,85.5
2014-03-06,85.6
2014-03-07,85.6
2014-03-08,85.6
2014-03-09,85.6
2014-03-10,85.7
2014-03-11,86.0
2014-03-12,86.9
2014-03-13,88.4
2014-03-14,91.6
2014-03-15,94.4
2014-03-16,95.0
2014-03-17,95.3
2014-03-18,95.6
2014-03-19,95.9
2014-03-20,96.1
2014-03-21,96.3
2014-03-22,96.4
2014-03-23,96.6
2014-03-24,96.7
2014-03-25,96.9
2014-03-26,97.2
2014-03-27,98.0
2014-03-28,98.8
2014-03-29,99.4
2014-03-30,99.8
2014-03-31,100.0
2014-04-01,100.0
2014-04-02,100.0
2014-04-03,100.0
2014-04-04,100.0
2014-04-05,100.0
2014-04-06,100.0
2014-04-07,100.0
2014-04-08,100.0
2014-04-09,100.0
2014-04-10,100.0
2014-04-11,100.0
2014-04-12,100.0
2014-04-13,100.0
2014-04-14,99.9
2014-04-15,99.8
2014-04-16,99.8
2014-04-17,99.8
2014-04-18,99.7
2014-04-19,99.7
2014-04-20,99.6
2014-04-21,99.4
2014-04-22,99.1
2014-04-23,98.8
2014-04-24,98.6
2014-04-25,98.4
2014-04-26,98.3
2014-04-27,98.6
2014-04-28,99.1
2014-04-29,99.6
2014-04-30,99.9
2014-05-01,100.0
2014-05-02,99.9
2014-05-03,99.6
2014-05-04,99.3
2014-05-05,98.8
2014-05-06,98.3
2014-05-07,97.9
2014-05-08,97.5
2014-05-09,97.0
2014-05-10,96.5
2014-05-11,95.7
2014-05-12,94.9
2014-05-13,94.5
2014-05-14,94.2
2014-05-15,93.8
2014-05-16,93.4
2014-05-17,93.0
2014-05-18,92.5
2014-05-19,92.1
2014-05-20,91.7
2014-05-21,91.3
2014-05-22,90.9
2014-05-23,90.7
2014-05-24,90.4
2014-05-25,89.8
2014-05-26,89.0
2014-05-27,88.2
2014-05-28,87.6
2014-05-29,87.3
2014-05-30,86.9
2014-05-31,86.2
2014-06-01,85.4
2014-06-02,85.0
2014-06-03,84.6
2014-06-04,84.1
2014-06-05,83.6
2014-06-06,83.1
2014-06-07,82.6
2014-06-08,82.1
2014-06-09,81.5
2014-06-10,80.8
2014-06-11,80.2
2014-06-12,79.6
2014-06-13,78.9
2014-06-14,78.0
2014-06-15,77.1
2014-06-16,76.0
2014-06-17,75.0
2014-06-18,73.8
2014-06-19,72.6
2014-06-20,72.0
2014-06-21,72.1
2014-06-22,72.5
2014-06-23,73.0
2014-06-24,73.4
2014-06-25,73.8
2014-06-26,73.9
2014-06-27,73.7
2014-06-28,73.2
2014-06-29,72.7
2014-06-30,72.5
2014-07-01,72.5
2014-07-02,72.7
2014-07-03,72.8
2014-07-04,73.0
2014-07-05,73.4
2014-07-06,74.0
2014-07-07,74.3
2014-07-08,74.3
2014-07-09,74.3
