날짜,저수율
2014-01-01,56.1
2014-01-02,56.1
2014-01-03,56.1
2014-01-04,56.1
2014-01-05,56.1
2014-01-06,56.1
2014-01-07,56.1
2014-01-08,56.1
2014-01-09,56.1
2014-01-10,56.1
2014-01-11,56.1
2014-01-12,56.1
2014-01-13,56.1
2014-01-14,56.0
2014-01-15,55.9
2014-01-16,55.8
2014-01-17,55.8
2014-01-18,55.8
2014-01-19,55.8
2014-01-20,55.8
2014-01-21,55.8
2014-01-22,55.8
2014-01-23,55.8
2014-01-24,55.8
2014-01-25,55.8
2014-01-26,55.8
2014-01-27,55.8
2014-01-28,55.8
2014-01-29,55.8
2014-01-30,55.8
2014-01-31,55.8
2014-02-01,55.9
2014-02-02,56.0
2014-02-03,56.1
2014-02-04,56.1
2014-02-05,56.1
2014-02-06,56.1
2014-02-07,56.1
2014-02-08,56.1
2014-02-09,56.1
2014-02-10,56.1
2014-02-11,56.1
2014-02-12,56.1
2014-02-13,56.1
2014-02-14,56.1
2014-02-15,56.1
2014-02-16,56.1
2014-02-17,56.1
2014-02-18,56.1
2014-02-19,56.1
2014-02-20,56.1
2014-02-21,56.1
2014-02-22,56.1
2014-02-23,56.1
2014-02-24,56.1
2014-02-25,56.1
2014-02-26,56.1
2014-02-27,56.1
2014-02-28,56.1
2014-03-01,56.1
2014-03-02,56.1
2014-03-03,56.1
2014-03-04,56.1
2014-03-05,56.1
2014-03-06,56.1
2014-03-07,56.1
2014-03-08,56.1
2014-03-09,56.1
2014-03-10,56.1
2014-03-11,56.1
2014-03-12,56.1
2014-03-13,56.1
2014-03-14,56.2
2014-03-15,56.2
2014-03-16,56.3
2014-03-17,56.4
2014-03-18,56.5
2014-03-19,56.6
2014-03-20,56.8
2014-03-21,56.9
2014-03-22,57.1
2014-03-23,57.3
2014-03-24,57.6
2014-03-25,57.8
2014-03-26,58.1
2014-03-27,58.5
2014-03-28,59.0
2014-03-29,59.5
2014-03-30,60.2
2014-03-31,60.8
2014-04-01,61.0
2014-04-02,61.1
2014-04-03,61.1
2014-04-04,61.0
2014-04-05,61.0
2014-04-06,60.9
2014-04-07,60.8
2014-04-08,60.6
2014-04-09,60.5
2014-04-10,60.4
2014-04-11,60.4
2014-04-12,60.3
2014-04-13,60.3
2014-04-14,60.2
2014-04-15,60.2
2014-04-16,60.1
2014-04-17,60.1
2014-04-18,60.1
2014-04-19,60.1
2014-04-20,60.1
2014-04-21,60.2
2014-04-22,60.3
2014-04-23,60.5
2014-04-24,60.7
2014-04-25,61.0
2014-04-26,61.3
2014-04-27,61.7
2014-04-28,62.2
2014-04-29,64.1
2014-04-30,66.2
2014-05-01,67.0
2014-05-02,67.3
2014-05-03,67.3
2014-05-04,67.3
2014-05-05,67.3
2014-05-06,67.3
2014-05-07,67.1
2014-05-08,66.7
2014-05-09,66.5
2014-05-10,66.5
2014-05-11,66.5
2014-05-12,66.7
2014-05-13,67.1
2014-05-14,67.3
2014-05-15,67.2
2014-05-16,67.1
2014-05-17,66.9
2014-05-18,66.7
2014-05-19,66.5
2014-05-20,66.3
2014-05-21,66.1
2014-05-22,65.8
2014-05-23,65.4
2014-05-24,64.7
2014-05-25,63.5
2014-05-26,61.8
2014-05-27,59.6
2014-05-28,56.8
2014-05-29,53.6
2014-05-30,50.4
2014-05-31,46.1
2014-06-01,43.4
2014-06-02,43.4
2014-06-03,43.4
2014-06-04,43.4
2014-06-05,43.4
2014-06-06,43.4
2014-06-07,43.4
2014-06-08,41.4
2014-06-09,38.7
2014-06-10,37.6
2014-06-11,36.7
2014-06-12,35.9
2014-06-13,35.0
2014-06-14,33.6
2014-06-15,31.9
2014-06-16,30.5
2014-06-17,29.5
2014-06-18,28.7
2014-06-19,27.9
2014-06-20,27.2
2014-06-21,26.6
2014-06-22,26.1
2014-06-23,25.7
2014-06-24,25.5
2014-06-25,25.2
2014-06-26,24.5
2014-06-27,23.3
2014-06-28,22.0
2014-06-29,21.0
2014-06-30,20.6
2014-07-01,20.6
2014-07-02,20.7
2014-07-03,20.9
2014-07-04,21.0
2014-07-05,21.2
2014-07-06,21.3
2014-07-07,21.3
2014-07-08,21.3
2014-07-09,21.3
2014-07-10,21.3
2014-07-11,21.3
2014-07-12,21.3
2014-07-13,21.4
2014-07-14,21.5
2014-07-15,21.6
2014-07-16,21.7
2014-07-17,22.1
2014-07-18,22.9
2014-07-19,25.1
2014-07-20,28.8
2014-07-21,32.0
2014-07-22,34.6
2014-07-23,37.2
2014-07-24,39.2
2014-07-25,40.0
2014-07-26,40.0
2014-07-27,40.0
2014-07-28,40.0
2014-07-29,40.0
2014-07-30,40.0
2014-07-31,40.0
2014-08-01,40.0
2014-08-02,40.0
2014-08-03,40.0
2014-08-04,44.6
2014-08-05,50.0
2014-08-06,51.2
2014-08-07,51.7
2014-08-08,51.4
2014-08-09,50.7
2014-08-10,49.9
2014-08-11,49.0
2014-08-12,48.3
2014-08-13,48.0
2014-08-14,48.0
2014-08-15,48.1
2014-08-16,48.2
2014-08-17,48.4
2014-08-18,48.6
2014-08-19,48.8
2014-08-20,49.1
2014-08-21,49.4
2014-08-22,49.7
2014-08-23,50.2
2014-08-24,51.1
2014-08-25,52.1
2014-08-26,53.3
2014-08-27,54.7
2014-08-28,55.9
2014-08-29,57.1
2014-08-30,58.3
2014-08-31,59.6
2014-09-01,60.8
2014-09-02,61.8
2014-09-03,62.9
2014-09-04,65.0
2014-09-05,66.5
2014-09-06,66.5
2014-09-07,66.5
2014-09-08,66.5
2014-09-09,66.5
2014-09-10,66.5
2014-09-11,63.4
2014-09-12,59.5
2014-09-13,58.1
2014-09-14,57.0
2014-09-15,56.4
2014-09-16,56.1
2014-09-17,55.8
2014-09-18,55.4
2014-09-19,55.1
2014-09-20,55.0
2014-09-21,54.9
2014-09-22,54.7
2014-09-23,54.2
2014-09-24,53.4
2014-09-25,52.4
2014-09-26,51.7
2014-09-27,51.5
2014-09-28,51.4
2014-09-29,51.3
2014-09-30,51.2
2014-10-01,51.2
2014-10-02,51.1
2014-10-03,51.1
2014-10-04,51.0
2014-10-05,50.9
2014-10-06,50.7
2014-10-07,50.2
2014-10-08,49.7
2014-10-09,49.5
2014-10-10,49.4
2014-10-11,49.3
2014-10-12,49.1
2014-10-13,49.0
2014-10-14,48.9
2014-10-15,48.7
2014-10-16,48.3
2014-10-17,48.0
2014-10-18,48.0
2014-10-19,48.0
2014-10-20,48.0
2014-10-21,48.0
2014-10-22,49.5
2014-10-23,51.0
2014-10-24,51.1
2014-10-25,51.2
2014-10-26,51.2
2014-10-27,51.3
2014-10-28,51.3
2014-10-29,51.4
2014-10-30,51.6
2014-10-31,51.9
2014-11-01,52.3
2014-11-02,52.6
2014-11-03,52.7
2014-11-04,52.7
2014-11-05,52.7
2014-11-06,52.6
2014-11-07,52.6
2014-11-08,52.5
2014-11-09,52.5
2014-11-10,52.4
2014-11-11,52.4
2014-11-12,52.4
2014-11-13,52.3
2014-11-14,52.3
2014-11-15,52.2
2014-11-16,52.2
2014-11-17,52.1
2014-11-18,51.9
2014-11-19,51.7
2014-11-20,51.7
2014-11-21,51.7
2014-11-22,51.7
2014-11-23,51.7
2014-11-24,51.7
2014-11-25,56.2
2014-11-26,61.1
2014-11-27,61.9
2014-11-28,62.2
2014-11-29,62.3
2014-11-30,62.4
2014-12-01,62.5
2014-12-02,64.3
2014-12-03,66.5
2014-12-04,67.3
2014-12-05,68.0
2014-12-06,68.8
2014-12-07,69.6
2014-12-08,70.4
