날짜,저수율
2020-02-28,100.0
2020-02-29,100.0
2020-03-01,100.0
2020-03-02,100.0
2020-03-03,100.0
2020-03-04,100.0
2020-03-05,100.0
2020-03-06,100.0
2020-03-07,100.0
2020-03-08,100.0
2020-03-09,100.0
2020-03-10,100.0
2020-03-11,100.0
2020-03-12,100.0
2020-03-13,100.0
2020-03-14,100.0
2020-03-15,100.0
2020-03-16,100.0
2020-03-17,100.0
2020-03-18,100.0
2020-03-19,100.0
2020-03-20,100.0
2020-03-21,100.0
2020-03-22,100.0
2020-03-23,100.0
2020-03-24,100.0
2020-03-25,100.0
2020-03-26,100.0
2020-03-27,100.0
2020-03-28,100.0
2020-03-29,100.0
2020-03-30,100.0
2020-03-31,100.0
2020-04-01,100.0
2020-04-02,100.0
2020-04-03,100.0
2020-04-04,100.0
2020-04-05,100.0
2020-04-06,100.0
2020-04-07,100.0
2020-04-08,100.0
2020-04-09,100.0
2020-04-10,100.0
2020-04-11,100.0
2020-04-12,100.0
2020-04-13,100.0
2020-04-14,100.0
2020-04-15,100.0
2020-04-16,100.0
2020-04-17,100.0
2020-04-18,100.0
2020-04-19,100.0
2020-04-20,100.0
2020-04-21,100.0
2020-04-22,100.0
2020-04-23,100.0
2020-04-24,100.0
2020-04-25,100.0
2020-04-26,100.0
2020-04-27,100.0
2020-04-28,100.0
2020-04-29,100.0
2020-04-30,100.0
2020-05-01,100.0
2020-05-02,100.0
2020-05-03,100.0
2020-05-04,100.0
2020-05-05,100.0
2020-05-06,100.0
2020-05-07,100.0
2020-05-08,100.0
2020-05-09,100.0
2020-05-10,100.0
2020-05-11,100.0
2020-05-12,100.0
2020-05-13,100.0
2020-05-14,100.0
2020-05-15,100.0
2020-05-16,100.0
2020-05-17,100.0
2020-05-18,100.0
2020-05-19,100.0
2020-05-20,100.0
2020-05-21,100.0
2020-05-22,100.0
2020-05-23,100.0
2020-05-24,100.0
2020-05-25,100.0
2020-05-26,100.0
2020-05-27,100.0
2020-05-28,100.0
2020-05-29,100.0
2020-05-30,100.0
2020-05-31,100.0
2020-06-01,100.0
2020-06-02,100.0
2020-06-03,100.0
2020-06-04,100.0
2020-06-05,100.0
2020-06-06,100.0
2020-06-07,100.0
2020-06-08,100.0
2020-06-09,100.0
2020-06-10,100.0
2020-06-11,100.0
2020-06-12,100.0
2020-06-13,100.0
2020-06-14,100.0
2020-06-15,100.0
2020-06-16,100.0
2020-06-17,100.0
2020-06-18,100.0
2020-06-19,100.0
2020-06-20,100.0
2020-06-21,100.0
2020-06-22,100.0
2020-06-23,100.0
2020-06-24,100.0
2020-06-25,100.0
2020-06-26,100.0
2020-06-27,100.0
2020-06-28,100.0
2020-06-29,100.0
2020-06-30,100.0
2020-07-01,68.5
2020-07-02,31.7
2020-07-03,31.7
2020-07-04,31.7
2020-07-05,31.7
2020-07-06,31.7
2020-07-07,31.7
2020-07-08,31.7
2020-07-09,31.7
2020-07-10,31.7
2020-07-11,31.7
2020-07-12,31.7
2020-07-13,31.7
2020-07-14,31.7
2020-07-15,77.9
2020-07-16,100.0
2020-07-17,100.0
2020-07-18,100.0
2020-07-19,100.0
2020-07-20,100.0
2020-07-21,100.0
2020-07-22,100.0
2020-07-23,100.0
2020-07-24,100.0
2020-07-25,100.0
2020-07-26,100.0
2020-07-27,100.0
2020-07-28,100.0
2020-07-29,100.0
2020-07-30,100.0
2020-07-31,100.0
2020-08-01,100.0
2020-08-02,100.0
2020-08-03,100.0
2020-08-04,100.0
2020-08-05,100.0
2020-08-06,100.0
2020-08-07,100.0
2020-08-08,100.0
2020-08-09,100.0
2020-08-10,100.0
2020-08-11,100.0
2020-08-12,100.0
2020-08-13,100.0
2020-08-14,100.0
2020-08-15,100.0
2020-08-16,100.0
2020-08-17,100.0
2020-08-18,100.0
2020-08-19,100.0
2020-08-20,100.0
2020-08-21,100.0
2020-08-22,100.0
2020-08-23,100.0
2020-08-24,100.0
2020-08-25,100.0
2020-08-26,100.0
2020-08-27,100.0
2020-08-28,100.0
2020-08-29,100.0
2020-08-30,100.0
2020-08-31,100.0
2020-09-01,100.0
2020-09-02,100.0
2020-09-03,100.0
2020-09-04,100.0
2020-09-05,100.0
2020-09-06,100.0
2020-09-07,100.0
2020-09-08,100.0
2020-09-09,100.0
2020-09-10,100.0
2020-09-11,100.0
2020-09-12,100.0
2020-09-13,100.0
2020-09-14,100.0
2020-09-15,100.0
2020-09-16,100.0
2020-09-17,100.0
2020-09-18,100.0
2020-09-19,100.0
2020-09-20,100.0
2020-09-21,100.0
2020-09-22,100.0
2020-09-23,100.0
2020-09-24,100.0
2020-09-25,100.0
2020-09-26,100.0
2020-09-27,100.0
2020-09-28,100.0
2020-09-29,100.0
2020-09-30,100.0
2020-10-01,100.0
2020-10-02,100.0
2020-10-03,100.0
2020-10-04,100.0
2020-10-05,100.0
2020-10-06,100.0
2020-10-07,100.0
2020-10-08,100.0
2020-10-09,100.0
2020-10-10,100.0
2020-10-11,100.0
2020-10-12,100.0
2020-10-13,100.0
2020-10-14,100.0
2020-10-15,100.0
2020-10-16,100.0
2020-10-17,100.0
